DateTime,Entries,UniqueIPs
1579687592,127,127
1579691165,127,127
1579694780,127,127
1579698380,127,127
1579701978,123,123
1579705577,125,125
1579709183,126,126
1579712790,126,126
1579716386,124,124
1579719975,123,123
1579723576,126,126
1579727180,124,124
1579730784,119,119
1579734389,123,123
1579737994,124,124
1579741571,123,123
1579745182,125,125
1579748782,126,126
1579752373,127,127
1579755963,125,125
1579759563,123,123
1579763158,123,123
1579766761,123,123
1579770362,126,126
1579773968,126,126
1579777557,128,128
1579781156,130,130
1579784762,130,130
1579788360,126,126
1579791958,125,125
1579795552,125,125
1579799146,127,127
1579802760,125,125
1579806367,124,124
1579809960,123,123
1579813562,120,120
1579817157,122,122
1579820766,124,124
1579824380,127,127
1579827956,128,128
1579831568,126,126
1579835168,124,124
1579838766,126,126
1579842367,121,121
1579845972,122,122
1579849565,122,122
1579853165,123,123
1579856748,126,126
1579860369,128,128
1579863958,126,126
1579867565,123,123
1579871159,123,123
1579874754,126,126
1579878357,122,122
1579881951,123,123
1579885555,125,125
1579889169,120,120
1579892758,122,122
1579896351,122,122
1579899962,124,124
1579907164,128,128
1579910759,123,123
1579914369,122,122
1579917964,125,125
1579921561,124,124
1579925173,126,126
1579928758,124,124
1579932352,122,122
1579935958,123,123
1579939550,122,122
1579943156,118,118
1579946748,120,120
1579950352,126,126
1579953957,128,128
1579957551,126,126
1579961151,125,125
1579964761,120,120
1579968352,120,120
1579971958,124,124
1579975557,123,123
1579979158,124,124
1579982760,120,120
1579986357,121,121
1579989962,125,125
1579993558,124,124
1580000751,123,123
1580004368,120,120
1580007958,126,126
1580011557,124,124
1580015146,125,125
1580022357,121,121
1580025953,121,121
1580029561,115,115
1580033155,118,118
1580036753,117,117
1580040357,116,116
1580043948,123,123
1580047550,124,124
1580051162,126,126
1580054741,127,127
1580058354,129,129
1580061960,126,126
1580065557,123,123
1580069153,121,121
1580072750,122,122
1580076354,119,119
1580079954,124,124
1580083565,125,125
1580087161,124,124
1580090752,121,121
1580094359,123,123
1580097952,118,118
1580101567,120,120
1580105151,120,120
1580108742,122,122
1580112353,122,122
1580115963,123,123
1580119552,126,126
1580123149,128,128
1580126765,126,126
1580130355,125,125
1580133965,127,127
1580137553,126,126
1580141151,127,127
1580144758,126,126
1580148357,128,128
1580151956,128,128
1580155556,124,124
1580159170,126,126
1580162754,127,127
1580166351,126,126
1580169988,126,126
1580173553,125,125
1580177147,127,127
1580180770,127,127
1580184359,127,127
1580187956,128,128
1580191561,124,124
1580195149,121,121
1580198758,125,125
1580205970,126,126
1580209545,126,126
1580213162,126,126
1580216750,127,127
1580220343,129,129
1580223950,128,128
1580227554,127,127
1580231157,126,126
1580234746,125,125
1580238358,126,126
1580241958,123,123
1580245550,125,125
1580249154,122,122
1580252748,122,122
1580256365,124,124
1580259964,123,123
1580263562,127,127
1580267167,127,127
1580270769,127,127
1580274363,128,128
1580277962,126,126
1580281567,123,123
1580285159,127,127
1580288768,128,128
1580292368,129,129
1580295964,130,130
1580299556,129,129
1580303163,129,129
1580306761,129,129
1580310359,129,129
1580313970,128,128
1580317566,127,127
1580321155,123,123
1580324760,123,123
1580328361,123,123
1580331970,125,125
1580335558,123,123
1580342772,123,123
1580346356,123,123
1580349960,126,126
1580353556,127,127
1580357153,131,131
1580360759,127,127
1580364366,125,125
1580367969,125,125
1580371574,124,124
1580375167,124,124
1580378780,126,126
1580382371,124,124
1580385973,124,124
1580389570,125,125
1580393165,126,126
1580396781,127,127
1580400367,127,127
1580403975,130,130
1580407570,127,127
1580411165,126,126
1580414769,125,125
1580418377,125,125
1580421972,126,126
1580425574,124,124
1580429180,126,126
1580432766,125,125
1580436380,126,126
1580439976,128,128
1580443581,126,126
1580447175,122,122
1580450782,112,112
1580454380,118,118
1580457969,119,119
1580461574,118,118
1580465164,121,121
1580468768,125,125
1580472363,128,128
1580475971,126,126
1580479581,128,128
1580483175,127,127
