DateTime,AddedIPs,RemovedIPs
1580519773,4,743
1580521938,7,483
1580523852,3,322
1580525782,6,367
1580527691,5,278
1580529651,4,393
1580531536,11,420
1580534410,77,765
1580536326,4,466
1580538262,5,473
1580540175,15,626
1580542100,22,502
1580544985,30,713
1580546890,42,340
1580548818,19,345
1580550728,25,315
1580552663,35,457
1580554569,20,438
1580556488,9,418
1580559400,15,595
1580561289,18,432
1580563230,24,200
1580565129,7,4
1580567059,5,1
1580568986,9,6
1580570887,42,6
1580572887,9,4
1580574746,3,9
1580576915,9,5
1580578813,14,7
1580580868,17,10
1580582670,5,2
1580584573,5,3
1580586495,4,1
1580588411,6,7
1580590334,6,4
1580592253,9,6
1580594174,6,1
1580596088,12,3
1580598087,23,2
1580599939,5,6
1580602101,7,5
1580604011,7,3
1580605944,9,4
1580607853,10,7
1580609773,7,1
1580611703,8,3
1580613612,7,1
1580615532,8,4
1580617468,3,6
1580619369,30,9
1580621287,40,61
1580623262,6,3
1580625131,9,4
1580627304,4,4
1580629215,56,5
1580631186,61,9
1580633059,7,57
1580634977,1,4
1580636917,7,6
1580638810,7,2
1580640745,6,2
1580642679,3,11
1580644570,2,6
1580646490,6,6
1580649622,6,5
1580651532,4,4
1580653471,36,3
1580655371,21,7
1580657297,10,37
1580659263,2,6
1580661139,8,0
1580663136,3,6
1580664975,4,5
1580666920,4,3
1580668824,226,3
1580670746,178,3
1580672669,28,0
1580674588,15,7
1580676738,38,3
1580678654,18,3
1580680607,8,4
1580682491,3,5
1580684479,11,11
1580686342,14,5
1580689223,93,3
1580691127,8,6
1580693067,17,3
1580694969,19,2
1580696890,4,0
1580698880,11,3
1580700753,41,3
1580702672,51,5
1580704583,144,6
1580706525,126,9
1580708413,3,4
1580710334,5,2
1580712259,5,7
1580714179,2,3
1580716113,4,84
1580718008,8,26
1580719930,7,8
1580721862,3,20
1580723772,20,4
1580725687,2,5
1580728573,5,5
1580730508,4,2
1580732411,2,5
1580734343,5,4
1580736266,20,5
1580738171,7,20
1580740089,21,9
1580743470,11,29
1580745369,7,6
1580747292,7,15
1580750173,82,8
1580752107,31,9
1580754008,8,88
1580755954,7,322
1580757870,3,68
1580759770,3,5
1580761689,3,45
1580763656,4,9
1580765532,4,20
1580767704,5,5
1580769611,3,7
1580771537,9,7
1580773478,8,108
1580775615,20,7
1580777540,4,8
1580779478,2,15
1580781468,4,23
1580783349,3,5
1580785337,4,11
1580787167,5,42
1580789063,11,50
1580790968,5,144
1580793165,1,132
1580795049,10,3
1580796974,3,3
1580798891,5,6
1580800830,5,1
1580802736,5,5
1580804653,10,13
1580806582,16,7
1580808489,11,3
1580810444,5,6
1580812451,6,4
1580814267,3,6
1580816175,6,4
1580818366,6,6
