DateTime,Entries,UniqueIPs
1580519773,9743,9743
1580521938,9267,9267
1580523852,8948,8948
1580525782,8587,8587
1580527691,8314,8314
1580529651,7925,7925
1580531536,7516,7516
1580534410,6828,6828
1580536326,6366,6366
1580538262,5898,5898
1580540175,5287,5287
1580542100,4807,4807
1580544985,4124,4124
1580546890,3826,3826
1580548818,3500,3500
1580550728,3210,3210
1580552663,2788,2788
1580554569,2370,2370
1580556488,1961,1961
1580559400,1381,1381
1580561289,967,967
1580563230,791,791
1580565129,794,794
1580567059,798,798
1580568986,801,801
1580570887,837,837
1580572887,842,842
1580574746,836,836
1580576915,840,840
1580578813,847,847
1580580868,854,854
1580582670,857,857
1580584573,859,859
1580586495,862,862
1580588411,861,861
1580590334,863,863
1580592253,866,866
1580594174,871,871
1580596088,880,880
1580598087,901,901
1580599939,900,900
1580602101,902,902
1580604011,906,906
1580605944,911,911
1580607853,914,914
1580609773,920,920
1580611703,925,925
1580613612,931,931
1580615532,935,935
1580617468,932,932
1580619369,953,953
1580621287,932,932
1580623262,935,935
1580625131,940,940
1580627304,940,940
1580629215,991,991
1580631186,1043,1043
1580633059,993,993
1580634977,990,990
1580636917,991,991
1580638810,996,996
1580640745,1000,1000
1580642679,992,992
1580644570,988,988
1580646490,988,988
1580649622,989,989
1580651532,989,989
1580653471,1022,1022
1580655371,1036,1036
1580657297,1009,1009
1580659263,1005,1005
1580661139,1013,1013
1580663136,1010,1010
1580664975,1009,1009
1580666920,1010,1010
1580668824,1233,1233
1580670746,1408,1408
1580672669,1436,1436
1580674588,1444,1444
1580676738,1479,1479
1580678654,1494,1494
1580680607,1498,1498
1580682491,1496,1496
1580684479,1496,1496
1580686342,1505,1505
1580689223,1595,1595
1580691127,1597,1597
1580693067,1611,1611
1580694969,1628,1628
1580696890,1632,1632
1580698880,1640,1640
1580700753,1678,1678
1580702672,1724,1724
1580704583,1862,1862
1580706525,1979,1979
1580708413,1978,1978
1580710334,1981,1981
1580712259,1979,1979
1580714179,1978,1978
1580716113,1898,1898
1580718008,1880,1880
1580719930,1879,1879
1580721862,1862,1862
1580723772,1878,1878
1580725687,1875,1875
1580728573,1875,1875
1580730508,1877,1877
1580732411,1874,1874
1580734343,1875,1875
1580736266,1890,1890
1580738171,1877,1877
1580740089,1889,1889
1580743470,1871,1871
1580745369,1872,1872
1580747292,1864,1864
1580750173,1938,1938
1580752107,1960,1960
1580754008,1880,1880
1580755954,1565,1565
1580757870,1500,1500
1580759770,1498,1498
1580761689,1456,1456
1580763656,1451,1451
1580765532,1435,1435
1580767704,1435,1435
1580769611,1431,1431
1580771537,1433,1433
1580773478,1333,1333
1580775615,1346,1346
1580777540,1342,1342
1580779478,1329,1329
1580781468,1310,1310
1580783349,1308,1308
1580785337,1301,1301
1580787167,1264,1264
1580789063,1225,1225
1580790968,1086,1086
1580793165,955,955
1580795049,962,962
1580796974,962,962
1580798891,961,961
1580800830,965,965
1580802736,965,965
1580804653,962,962
1580806582,971,971
1580808489,979,979
1580810444,978,978
1580812451,980,980
1580814267,977,977
1580816175,979,979
1580818366,979,979
1580820254,979,979
1580822417,974,974
1580824329,968,968
1580826255,959,959
1580828184,962,962
1580830094,967,967
1580832972,968,968
1580834906,964,964
1580836849,877,877
1580838725,859,859
1580840677,857,857
1580842572,858,858
1580844495,857,857
1580847648,856,856
1580849534,855,855
1580851464,854,854
1580853372,855,855
1580855293,861,861
1580858172,863,863
1580860094,867,867
1580862013,860,860
1580863964,861,861
1580865881,870,870
1580867772,872,872
1580869691,874,874
1580872581,883,883
1580874506,880,880
1580876415,886,886
1580878339,888,888
1580880279,892,892
1580882183,900,900
1580884107,909,909
1580886970,931,931
1580888894,932,932
1580890817,925,925
1580892726,924,924
1580894650,920,920
1580896578,921,921
1580898489,922,922
1580900442,920,920
1580902349,920,920
1580904526,919,919
1580906425,919,919
1580908340,914,914
1580910268,906,906
1580912173,871,871
1580914101,866,866
1580916031,872,872
1580917932,869,869
1580919853,867,867
1580921787,869,869
1580923703,868,868
1580925656,880,880
1580927548,875,875
1580929830,874,874
1580931866,877,877
1580933785,881,881
1580935940,877,877
1580937850,877,877
1580939783,867,867
1580941690,861,861
1580943881,857,857
1580945786,1164,1164
1580947699,1336,1336
1580949613,1833,1833
1580951560,2359,2359
1580953471,2828,2828
1580955378,3197,3197
1580957306,3566,3566
1580959214,3839,3839
1580961131,4196,4196
1580963066,4475,4475
1580964970,4865,4865
1580966895,5151,5151
1580968872,5678,5678
1580970736,6009,6009
1580972899,6419,6419
1580974814,6907,6907
1580976751,7319,7319
1580978655,7917,7917
1580980573,8411,8411
1580982516,8818,8818
1580984414,9126,9126
1580986344,9490,9490
1580988263,9728,9728
1580990167,10136,10136
1580992361,10631,10631
1580994289,11105,11105
1580996223,11427,11427
1580998115,11845,11845
1581000017,12269,12269
1581002196,12265,12265
1581004104,12259,12259
1581006026,12254,12254
1581007947,12247,12247
1581009853,12244,12244
1581011782,12232,12232
1581013688,12229,12229
1581016575,12223,12223
1581018745,12212,12212
1581020668,12215,12215
1581022573,12211,12211
1581024491,12213,12213
1581026628,12209,12209
1581028587,12211,12211
1581030501,12211,12211
1581032425,11825,11825
1581034351,11687,11687
1581036255,11135,11135
1581038173,10625,10625
1581040111,10138,10138
1581042010,9758,9758
1581043929,9446,9446
1581045867,9138,9138
1581047772,8781,8781
1581049690,8502,8502
1581052573,7969,7969
1581054503,7539,7539
1581056406,7089,7089
1581058326,6688,6688
1581060264,6272,6272
1581062167,5784,5784
1581064087,5329,5329
1581066069,4742,4742
1581067932,4267,4267
1581070104,3918,3918
1581072014,3564,3564
1581073949,3561,3561
1581075853,3323,3323
1581077795,2790,2790
1581079709,2325,2325
1581081610,1992,1992
1581083528,1614,1614
1581085466,1200,1200
1581087389,1022,1022
1581089286,1021,1021
1581092170,1027,1027
1581094128,1024,1024
1581096013,1026,1026
1581097926,1026,1026
1581099860,1026,1026
1581101788,1067,1067
1581103689,1084,1084
1581105653,1084,1084
1581107533,1081,1081
1581109701,1084,1084
1581111616,1079,1079
1581113546,1078,1078
1581115460,1076,1076
1581117386,1077,1077
1581119312,1079,1079
1581121211,1080,1080
1581123154,1084,1084
1581125072,1083,1083
1581126975,1080,1080
1581128889,1079,1079
1581130899,1079,1079
1581132733,1074,1074
1581134680,1074,1074
1581136573,1076,1076
1581138519,1078,1078
