DateTime,AddedIPs,RemovedIPs
1579996580,1,0
1579998488,0,1
1580004499,0,1
1580008342,1,0
1580010254,0,2
1580012219,0,1
1580014138,1,2
1580016011,1,0
1580017934,0,2
1580021767,0,1
1580031612,0,2
1580037371,0,1
1580039303,1,1
1580041211,0,1
1580043128,1,0
1580051775,0,2
1580053691,1,1
1580057528,2,0
1580059450,0,1
1580061385,0,1
1580067169,1,0
1580072922,0,1
1580076730,1,2
1580082727,0,1
1580084652,1,0
1580086581,1,0
1580094512,0,1
1580100261,0,1
1580102197,2,0
1580104094,0,1
1580107926,1,0
1580109854,1,0
1580111791,1,0
1580119713,1,0
1580125466,0,1
1580129537,0,1
1580133389,1,0
1580137248,1,0
1580141091,1,0
1580142970,0,1
1580145025,0,1
1580147066,2,0
1580152827,0,1
1580163399,1,1
1580165309,1,1
1580169144,1,0
1580171051,1,1
1580172985,0,1
1580174887,2,0
1580177776,1,0
1580179721,1,0
1580187373,0,1
1580189293,1,1
1580195325,0,1
1580197218,0,1
1580199152,0,1
1580202981,2,0
1580208733,1,0
1580218366,0,1
1580222431,1,0
1580228661,1,1
1580232518,1,1
1580235388,0,1
1580241128,1,0
1580248887,1,0
1580250751,0,2
1580256513,1,2
1580260333,2,2
1580262265,2,0
1580264172,0,1
1580266093,3,1
1580268022,3,0
1580269932,3,0
1580275689,0,1
1580277672,1,0
1580279546,1,0
1580285544,1,0
1580287458,2,0
1580289373,0,2
1580291299,1,0
1580293231,3,0
1580295128,3,1
1580297052,1,0
1580298984,5,0
1580300888,6,0
1580305709,1,0
1580307607,2,0
1580309534,5,1
1580311465,3,0
1580313376,3,0
1580315287,2,1
1580319247,0,1
1580321308,1,0
1580323218,0,1
1580327050,0,1
1580328980,1,0
1580332836,1,0
1580334727,0,1
1580344340,0,1
1580346502,0,2
1580348436,0,2
1580350352,1,0
1580352253,0,3
1580354173,0,3
1580356105,0,3
1580358008,1,0
1580359926,1,0
1580363768,0,1
1580365934,1,1
1580371947,0,1
1580373847,0,1
1580377747,0,2
1580379608,0,3
1580381529,0,3
1580383463,0,1
1580385369,0,5
1580387302,1,6
1580390187,1,0
1580392125,2,1
1580394024,0,2
1580395927,0,5
1580397865,0,3
1580399771,0,3
1580401688,0,2
1580403716,2,0
1580407516,0,1
1580411344,3,0
1580415139,1,1
1580418978,0,1
1580420896,1,0
1580432460,1,0
1580434342,1,0
1580436284,2,0
1580438185,1,1
1580440095,2,0
1580443948,0,1
1580445854,0,1
1580451736,0,1
1580458821,1,0
1580464585,1,0
1580468486,1,0
1580470352,2,0
1580472518,0,1
1580474415,1,1
1580478255,2,2
1580482109,2,0
1580485933,1,0
1580487885,2,0
1580489817,0,2
1580493567,3,0
1580495530,1,0
1580497516,2,2
1580499377,1,0
1580501305,0,1
1580505138,14,0
1580507074,13,1
1580508982,6,0
1580510894,2,0
1580514729,1,0
1580516651,3,0
1580518582,1,1
1580520487,0,1
1580523398,0,3
1580525297,1,0
1580527212,0,2
1580529143,5,0
1580531066,7,0
1580532972,5,0
1580534892,1,0
1580536927,1,0
1580538736,4,0
1580540739,2,0
1580542572,2,0
1580544748,4,1
1580546651,1,0
1580548580,2,0
1580552411,1,1
1580554330,2,1
1580556268,0,2
1580560104,2,1
1580562059,3,1
1580563953,1,1
1580565871,0,1
1580569718,1,2
1580571632,0,1
1580573534,1,2
1580577384,1,0
1580579301,2,1
1580581232,2,3
1580583132,4,1
1580585065,2,1
1580588889,2,0
1580590893,1,3
1580592772,1,19
1580594927,1,9
1580596811,7,3
1580598751,2,0
1580602842,0,2
1580604745,0,2
1580606671,2,0
1580610492,0,1
1580613381,2,0
1580615303,0,1
1580617216,0,11
1580619139,0,4
1580621086,0,1
1580622980,0,1
1580624890,0,5
1580626858,3,2
1580628750,1,2
1580630665,2,4
1580632594,0,2
1580634511,2,2
1580636414,5,0
1580638354,1,1
1580640251,1,2
1580646007,0,1
1580647928,0,4
1580649861,0,3
1580653941,1,0
1580656107,1,1
1580658012,1,0
1580659953,1,1
1580664028,0,1
1580665932,0,2
1580667964,0,3
1580669784,3,4
1580671687,0,2
1580673633,2,0
1580675550,0,2
1580677716,0,1
1580679612,1,1
1580681557,0,4
1580683455,0,4
1580685371,0,1
1580687292,1,0
1580691129,2,0
1580693068,0,2
1580696892,1,0
1580700983,0,2
1580702888,1,0
1580704810,1,0
1580706747,1,0
1580708648,1,0
1580710570,1,0
1580712519,1,1
1580714410,0,3
1580718262,1,2
1580722090,2,5
1580724973,0,2
1580726906,1,1
1580734571,1,0
1580738663,1,0
1580740596,0,1
1580742774,1,1
1580744655,2,1
1580746573,2,1
1580752327,1,0
1580754266,1,0
1580756184,1,3
1580760502,0,2
1580764354,1,1
1580766268,0,1
1580768175,1,0
1580773931,0,2
1580775868,1,0
1580777770,1,2
1580781647,0,1
1580783587,1,0
1580789418,1,1
1580791467,0,1
1580793373,1,1
1580795308,0,1
1580797224,0,1
1580799143,0,1
1580801050,1,0
1580802985,1,1
1580804887,1,0
1580807825,2,1
1580813533,0,1
1580815456,1,0
1580821703,0,1
1580825539,1,0
1580829400,0,1
1580831310,0,1
1580833219,1,2
1580837129,0,1
1580838988,1,0
1580840925,1,1
1580842888,0,1
1580846730,1,0
1580848588,1,0
1580852413,0,1
1580854375,1,1
1580860095,0,1
1580862015,0,1
1580863965,2,1
1580865884,1,0
1580869692,1,1
1580872583,1,0
1580876416,1,1
1580880280,1,1
1580886110,1,0
1580887967,0,1
1580890112,0,2
1580892013,1,1
1580893975,0,1
1580895873,1,1
1580897774,2,0
1580899696,12,0
1580901613,0,1
1580907376,3,0
1580912174,0,1
1580914102,1,0
1580919854,2,1
1580925691,0,1
1580927549,0,1
1580931867,1,0
1580933806,0,1
1580935941,0,1
1580941691,1,1
1580943952,1,0
1580947706,1,0
1580951561,1,3
1580955381,1,0
1580957307,0,2
1580963067,0,1
1580964971,2,0
1580966896,0,1
1580970737,1,0
1580972900,0,1
1580980574,1,0
1580982517,0,2
1580984415,0,1
1580986344,0,12
1580988265,2,0
1580992362,2,1
1580994313,0,2
1580996232,1,0
1581002197,0,1
1581006027,0,1
1581007948,1,0
1581009855,1,0
1581011783,1,0
1581019509,1,1
1581023304,1,0
1581025213,1,0
1581027151,0,1
1581029054,0,1
1581034810,1,0
1581038664,1,1
1581040585,0,1
1581042488,1,0
1581045373,1,0
1581051139,1,2
1581054966,1,0
1581056886,0,1
1581065526,0,1
1581067463,1,1
1581075135,0,2
1581077106,1,1
1581078988,0,1
1581082813,1,1
1581086654,1,0
1581090509,1,0
1581094328,0,1
1581096269,0,1
1581098169,0,1
1581104907,1,0
1581106809,1,1
1581110676,1,1
1581120511,1,0
1581122413,2,1
1581124346,0,1
1581128172,0,1
1581130105,2,0
1581132024,2,1
1581133941,1,0
1581137777,1,1
1581142574,0,1
1581146419,1,0
1581148334,2,0
1581150252,1,0
1581154088,1,2
1581156992,3,0
1581162984,1,0
1581166848,1,0
1581168748,0,1
1581170652,1,0
1581174528,0,1
1581176411,0,1
1581186022,1,1
1581187926,1,0
1581191784,0,1
1581193689,0,1
1581197533,2,1
1581199727,1,0
1581201611,1,0
1581207377,0,1
1581209304,2,1
1581211210,1,0
1581215065,1,0
1581216968,0,1
1581219143,0,2
1581221117,1,1
1581226852,2,0
1581230660,1,0
1581232575,0,1
1581234513,2,2
1581236431,1,0
1581238339,0,1
1581242180,0,2
1581244090,0,1
1581248903,0,1
1581252725,1,1
1581258488,1,1
1581262338,1,0
1581264266,1,0
1581266184,1,1
1581270015,0,1
1581271950,0,1
1581275775,1,0
1581279624,1,0
1581281544,3,1
1581283458,0,2
1581285388,2,1
1581287288,2,0
1581289278,2,1
1581291132,0,1
1581294981,0,2
1581296904,1,1
1581298839,1,1
1581302655,0,1
1581304577,1,0
1581306509,0,1
1581310342,5,0
1581312269,1,1
