DateTime,Entries,UniqueIPs
1578085709,4,4
1578087632,2,2
1578102738,3,3
1578118578,4,4
1578122428,3,3
1578138520,2,2
1578164892,3,3
1578178339,5,5
1578180270,6,6
1578189241,5,5
1578196994,6,6
1578203059,8,8
1578204971,7,7
1578220589,8,8
1578228264,9,9
1578239770,10,10
1578251777,9,9
1578266195,6,6
1578268085,7,7
1578284428,6,6
1578288273,5,5
1578290169,4,4
1578303862,5,5
1578305813,4,4
1578309632,5,5
1578315381,4,4
1578326914,3,3
1578328820,4,4
1578342497,5,5
1578344551,6,6
1578356480,5,5
1578368437,6,6
1578374186,7,7
1578378041,8,8
1578381858,9,9
1578390737,8,8
1578396764,8,8
1578398901,9,9
1578400812,10,10
1578404653,11,11
1578406572,12,12
1578416182,11,11
1578429174,10,10
1578431312,9,9
1578455298,8,8
1578459137,9,9
1578461055,8,8
1578464893,9,9
1578468852,8,8
1578476672,9,9
1578478590,10,10
1578484332,8,8
1578488178,7,7
1578490094,6,6
1578492096,5,5
1578497772,6,6
1578507380,7,7
1578530906,8,8
1578532807,9,9
1578545492,8,8
1578549365,10,10
1578551535,8,8
1578563313,7,7
1578565211,7,7
1578569080,9,9
1578572917,10,10
1578580597,11,11
1578584415,10,10
1578594286,9,9
1578600506,11,11
1578606488,12,12
1578618152,11,11
1578620222,10,10
1578635788,8,8
1578644954,9,9
1578651171,8,8
1578655197,6,6
1578659054,5,5
1578665172,4,4
1578667050,5,5
1578668979,6,6
1578670826,7,7
1578679326,8,8
1578685697,6,6
1578691475,5,5
1578698449,6,6
1578731793,5,5
1578733967,6,6
1578753610,5,5
1578755570,4,4
1578757457,4,4
1578765131,4,4
1578784589,3,3
1578811693,4,4
1578817473,6,6
1578821290,5,5
1578845180,4,4
1578851073,5,5
1578853241,5,5
1578857089,6,6
1578892825,7,7
1578898612,6,6
1578902555,6,6
1578904604,5,5
1578918283,6,6
1578929794,7,7
1578937705,6,6
1578939628,6,6
1578943471,5,5
1578955478,6,6
1578963370,7,7
1578967275,8,8
1578969194,9,9
1578971122,10,10
1578972972,12,12
1578974895,14,14
1578976824,15,15
1578978736,14,14
1578988573,13,13
1578990512,14,14
1579005855,13,13
1579008036,14,14
1579015957,13,13
1579018841,14,14
1579024594,14,14
1579028486,15,15
1579041856,14,14
1579043785,15,15
1579045718,16,16
1579049533,15,15
1579051481,16,16
1579053705,16,16
1579055559,16,16
1579057741,16,16
1579059642,13,13
1579061545,12,12
1579063449,11,11
1579077141,10,10
1579089420,11,11
1579094420,10,10
1579102843,10,10
1579108823,11,11
1579110741,10,10
1579114598,9,9
1579130437,9,9
1579132331,9,9
1579138090,8,8
1579140995,7,7
1579142934,6,6
1579144875,6,6
1579148661,7,7
1579158513,8,8
1579162641,9,9
1579176172,8,8
1579178431,9,9
1579182260,10,10
1579188251,11,11
1579195965,10,10
1579215383,9,9
1579219725,8,8
1579227420,9,9
1579231240,8,8
1579235072,7,7
1579239137,8,8
1579245153,7,7
1579247052,8,8
1579248981,7,7
1579264832,6,6
1579268659,5,5
1579274415,3,3
1579282126,4,4
1579296757,5,5
1579306578,6,6
1579314253,5,5
1579325051,4,4
1579333715,3,3
1579347625,4,4
1579351462,5,5
1579366895,6,6
1579368768,5,5
1579370707,6,6
1579378585,7,7
1579384580,6,6
1579393471,5,5
1579409323,6,6
1579415072,7,7
1579418898,8,8
1579428762,9,9
1579434535,8,8
1579436414,7,7
1579444099,8,8
1579452022,7,7
1579457791,7,7
1579463558,6,6
1579486827,8,8
1579494489,7,7
1579500519,6,6
1579504598,5,5
1579514184,4,4
1579531455,3,3
1579542974,2,2
1579564132,3,3
1579569884,4,4
1579573695,2,2
1579576606,3,3
1579588090,4,4
1579629371,5,5
1579650015,4,4
1579655797,3,3
1579661538,2,2
1579675213,1,1
1579713135,2,2
1579715085,1,1
1579719136,2,2
