DateTime,Entries,UniqueIPs
1580511127,410,410
1580513048,412,412
1580514981,419,419
1580516889,423,423
1580518831,425,425
1580520764,425,425
1580522912,425,425
1580524811,426,426
1580526750,424,424
1580528652,429,429
1580530570,444,444
1580532508,449,449
1580534411,451,451
1580536327,451,451
1580538262,460,460
1580540176,462,462
1580542100,465,465
1580544985,473,473
1580546891,479,479
1580548818,484,484
1580550729,484,484
1580552663,486,486
1580554569,487,487
1580556488,486,486
1580559410,489,489
1580561290,507,507
1580563231,506,506
1580565130,508,508
1580567060,509,509
1580568986,512,512
1580570887,509,509
1580572905,486,486
1580574747,416,416
1580576916,293,293
1580578813,286,286
1580580869,283,283
1580582670,282,282
1580584573,281,281
1580586496,280,280
1580588412,281,281
1580590334,279,279
1580592253,266,266
1580594175,256,256
1580596088,257,257
1580598094,260,260
1580599939,259,259
1580602102,258,258
1580604011,253,253
1580605944,255,255
1580607854,256,256
1580609774,255,255
1580611703,256,256
1580613613,255,255
1580615532,248,248
1580617468,238,238
1580619370,235,235
1580621287,234,234
1580623272,227,227
1580625132,221,221
1580627304,223,223
1580629215,215,215
1580631187,211,211
1580633060,209,209
1580634977,207,207
1580636918,206,206
1580638811,206,206
1580640745,202,202
1580642680,200,200
1580644571,196,196
1580646491,194,194
1580649622,169,169
1580651533,164,164
1580653471,165,165
1580655372,162,162
1580657297,164,164
1580659284,159,159
1580661140,153,153
1580663160,159,159
1580664975,158,158
1580666921,152,152
1580668824,146,146
1580670747,142,142
1580672670,140,140
1580674589,137,137
1580676738,132,132
1580678655,130,130
1580680607,127,127
1580682492,121,121
1580684501,119,119
1580686343,117,117
1580689223,114,114
1580691128,118,118
1580693067,110,110
1580694970,108,108
1580696891,110,110
1580698920,110,110
1580700754,108,108
1580702676,109,109
1580704583,111,111
1580706525,110,110
1580708413,116,116
1580710334,120,120
1580712260,125,125
1580714183,124,124
1580716114,125,125
1580718009,127,127
1580719930,127,127
1580721863,123,123
1580723772,124,124
1580725688,122,122
1580728574,124,124
1580730508,124,124
1580732412,123,123
1580734344,126,126
1580736267,125,125
1580738171,123,123
1580740089,122,122
1580742063,129,129
1580743934,130,130
1580746111,131,131
1580748012,134,134
1580749955,121,121
1580751851,122,122
1580753772,123,123
1580755725,123,123
1580757609,122,122
1580759527,120,120
1580761469,121,121
1580763383,128,128
1580765291,128,128
1580767256,128,128
1580769136,133,133
1580771065,131,131
1580772975,131,131
1580775161,402,402
1580777054,405,405
1580778974,408,408
1580781020,411,411
1580782887,408,408
1580784832,405,405
1580786652,409,409
1580788587,413,413
1580790488,414,414
1580792451,414,414
1580794348,412,412
1580796262,413,413
1580798209,408,408
1580800112,404,404
1580802012,408,408
1580803934,403,403
1580805976,401,401
1580807804,403,403
1580809693,402,402
1580811631,405,405
1580813532,406,406
1580815455,412,412
1580818828,412,412
1580820743,416,416
1580822670,418,418
1580824569,421,421
1580826491,424,424
1580828434,423,423
1580830336,425,425
1580832263,427,427
1580834195,426,426
1580836099,428,428
1580838014,430,430
1580839949,430,430
1580841859,425,425
1580843775,424,424
1580845726,427,427
1580847649,427,427
1580849534,425,425
1580851465,424,424
1580853372,426,426
1580855293,423,423
1580858172,428,428
1580860094,428,428
1580862014,162,162
1580863964,159,159
1580865883,159,159
1580867773,158,158
1580869691,156,156
1580872582,154,154
1580874506,151,151
1580876416,145,145
1580878340,145,145
1580880280,144,144
1580882183,139,139
1580884108,139,139
1580886971,143,143
1580888895,140,140
1580890818,139,139
1580892726,139,139
1580894650,139,139
1580896578,144,144
1580898489,145,145
1580901371,155,155
1580903308,156,156
1580905208,157,157
1580907144,158,158
1580909050,155,155
1580910987,159,159
1580912886,157,157
1580915774,153,153
1580917692,154,154
1580919621,150,150
1580921528,151,151
1580923474,153,153
1580925369,149,149
1580927285,153,153
1580929280,156,156
1580931146,156,156
1580933313,155,155
