DateTime,AddedIPs,RemovedIPs
1577868266,1,0
1577877848,1,0
1577879812,0,1
1577887940,0,27
1577889856,0,13
1577907869,1,0
1577909783,14,0
1577916078,4,0
1577917934,0,1
1577940995,1,0
1577954442,2,1
1577958275,1,0
1577964087,1,1
1577987558,1,0
1577993579,5,0
1577995513,0,7
1578001219,0,4
1578007226,1,0
1578027781,0,1
1578039421,1,1
1578041315,0,1
1578043211,1,1
1578045131,1,0
1578048978,1,0
1578050890,0,1
1578054012,4,0
1578079471,1,0
1578081369,0,4
1578085709,1,0
1578093751,1,1
1578126281,0,1
1578128173,0,1
1578132502,1,1
1578134439,0,1
1578138521,1,1
1578140422,27,3
1578142351,29,0
1578154093,1,0
1578163712,1,0
1578165617,0,1
1578167535,1,0
1578171371,1,1
1578179096,0,1
1578218736,1,1
1578224409,5,0
1578226359,0,6
1578228265,0,49
1578230180,0,1
1578235930,1,0
1578239771,0,1
1578244101,1,0
1578249852,0,1
1578251777,1,0
1578253711,0,1
1578257531,0,1
1578277688,1,0
1578302668,1,0
1578304570,0,1
1578308523,1,0
1578310356,0,4
1578312326,0,12
1578320182,3,0
1578322349,24,1
1578330351,0,1
1578338657,0,1
1578340606,1,0
1578364342,0,1
1578374187,1,0
1578385694,1,0
1578388593,0,1
1578394573,0,1
1578404653,1,0
1578406573,0,3
1578408516,0,24
1578416183,1,0
1578425794,20,0
1578427707,0,1
1578461056,0,1
1578472814,0,1
1578490095,0,1
1578495949,1,0
1578501630,1,0
1578503570,2,1
1578511222,0,4
1578513134,0,3
1578521056,3,0
1578523225,15,0
1578550365,1,0
1578554180,1,0
1578561876,1,0
1578563774,1,0
1578574568,1,0
1578579618,2,0
1578581527,0,1
1578589704,0,14
1578608178,20,3
1578610330,1,14
1578636521,0,1
1578640355,0,1
1578644974,8,0
1578646907,0,1
1578651172,1,1
1578653328,1,0
1578661193,0,1
1578665195,0,2
1578690993,3,0
1578694826,0,15
1578696740,0,1
1578720076,15,0
1578731794,0,8
1578738019,0,2
1578778810,0,10
1578792753,2,0
1578804755,0,15
1578806690,0,1
1578827801,1,0
1578853242,1,0
1578857090,1,0
1578864770,7,0
1578866716,6,0
1578868582,4,0
1578876252,1,0
1578878177,1,0
1578880118,0,2
1578887801,1,0
1578913584,1,0
1578915629,2,1
1578917560,10,0
1578939871,0,1
1578943945,0,1
1578951611,0,3
1578955689,1,0
1578957621,3,0
1578961463,1,1
1578963370,0,1
1578967285,1,0
1578972972,0,1
1578976824,1,0
1578980687,1,0
1578986695,3,0
1578988573,4,0
1578990512,3,0
1578992565,1,0
1578994813,16,0
1578996732,2,0
1578998680,2,1
1579000588,4,0
1579002757,0,14
1579004668,0,12
1579008754,15,0
1579010628,1,0
1579031804,16,0
1579038737,1,0
1579042569,0,2
1579044487,0,2
1579046463,1,0
1579048351,0,1
1579054433,0,1
1579065392,0,1
1579067298,0,1
1579073076,0,3
1579074971,0,4
1579077141,2,3
1579079304,0,1
1579081233,0,16
1579083387,0,2
1579085565,0,3
1579087491,0,3
1579095390,0,14
1579097304,8,1
1579101397,1,0
1579107136,1,0
1579118901,0,15
1579122776,1,0
1579124652,0,1
1579131153,1,0
1579133326,0,1
1579162659,0,2
1579172174,1,0
1579174114,4,0
1579182261,0,1
1579184460,0,1
1579188252,0,1
1579194120,0,1
1579207722,0,1
1579213473,1,0
1579217538,0,1
1579221645,2,0
1579248982,1,0
1579258573,0,7
1579260790,0,6
1579272609,1,0
1579274416,2,0
1579276335,11,0
1579290993,1,0
1579297936,1,0
1579299866,0,1
