DateTime,AddedIPs,RemovedIPs
1580214492,5,1
1580216613,1,2
1580218594,0,1
1580220513,1,2
1580222432,0,4
1580224591,0,1
1580226763,2,0
1580228663,1,1
1580230588,0,3
1580232519,3,0
1580235390,2,0
1580237295,1,3
1580241130,2,0
1580243051,1,0
1580245004,0,1
1580246924,0,3
1580248954,1,1
1580250973,2,2
1580252906,0,1
1580254810,2,0
1580256735,1,0
1580258661,1,0
1580260570,0,1
1580268252,1,0
1580270190,1,0
1580274981,1,0
1580276898,0,2
1580280731,1,0
1580284571,2,0
1580296336,1,1
1580298263,1,1
1580300186,1,1
1580302101,0,2
1580304007,1,0
1580305928,1,0
1580307881,1,2
1580309767,1,2
1580311710,4,1
1580313792,1,1
1580315785,0,1
1580317702,1,0
1580319610,1,1
1580321547,0,2
1580323449,0,2
1580327306,3,1
1580329209,1,1
1580331126,3,1
1580333064,1,0
1580334969,1,1
1580336902,0,1
1580338889,1,1
1580340733,0,1
1580343163,1,1
1580345052,3,1
1580348904,4,0
1580350814,4,1
1580354662,1,0
1580356573,0,4
1580358736,1,1
1580364501,1,0
1580368345,0,1
1580370283,0,2
1580374107,1,0
1580379864,2,0
1580381770,0,1
1580383693,0,1
1580385690,1,1
1580389476,0,1
1580391371,0,1
1580393315,2,2
1580395214,1,0
1580397156,0,1
1580399082,1,2
1580400977,0,1
1580402922,0,2
1580404808,4,2
1580406750,1,0
1580408651,1,0
1580412488,1,0
1580415375,4,5
1580417296,1,1
1580419225,2,1
1580421133,3,2
1580424993,3,1
1580426886,6,1
1580430751,2,4
1580432914,1,0
1580434814,1,1
1580436753,2,1
1580438653,2,2
1580440598,1,0
1580442506,0,2
1580444412,0,1
1580446327,1,2
1580448294,0,1
1580450168,0,2
1580452099,1,1
1580454284,1,0
1580460011,1,0
1580461934,1,1
1580465794,0,2
1580467706,1,1
1580469621,1,1
1580477289,0,1
1580479316,1,2
1580481130,3,0
1580483316,2,0
1580487154,7,0
1580492446,0,2
1580494345,3,2
1580496314,2,1
1580498443,0,4
1580502255,1,1
1580504182,2,0
1580506093,3,2
1580508983,4,5
1580510895,1,4
1580512824,1,2
1580516652,0,2
1580518583,1,2
1580522494,1,0
1580524346,0,2
1580526291,1,1
1580533948,0,1
1580538016,0,1
1580539945,0,1
1580549545,1,0
1580551544,3,0
1580553385,1,1
1580557224,1,1
1580559160,1,1
1580561058,0,1
1580563233,1,1
1580565132,1,0
1580567061,0,3
1580568988,1,0
1580570889,0,2
1580573012,2,6
1580574970,1,3
1580576917,4,1
1580578815,0,1
1580580876,0,3
1580582893,3,2
1580586729,1,0
1580588666,1,0
1580590569,1,1
1580592523,0,4
1580595867,1,5
1580597770,2,1
1580599688,0,1
1580601682,1,0
1580605507,2,0
1580607382,1,1
1580611451,0,1
1580613381,0,1
1580615304,1,0
1580622982,1,0
1580628007,1,0
1580635688,1,2
1580638588,3,0
1580640507,1,1
1580642410,1,0
1580644331,1,0
1580648171,0,2
1580650092,0,1
1580652093,0,2
1580653942,0,2
1580656108,0,1
1580658012,0,2
1580659954,0,1
1580661851,2,0
1580664051,2,5
1580667965,3,0
1580671687,1,0
1580673697,3,2
1580675551,0,1
1580677717,1,1
1580679613,4,3
1580681557,1,0
1580683456,2,0
1580685372,2,0
1580687293,1,0
1580689225,3,1
1580691129,2,2
1580693068,1,0
1580694971,3,0
1580696892,1,0
1580700983,0,1
1580704811,2,0
1580712520,1,0
1580714411,1,0
1580722112,2,0
1580724973,0,1
1580728810,1,2
1580730748,0,1
1580732676,0,1
1580734572,2,0
1580736737,0,1
1580738677,1,0
1580740596,2,1
1580748500,2,0
1580750414,3,2
1580754281,1,2
1580756186,1,1
1580758339,2,2
1580760502,1,1
1580762415,1,0
1580764355,2,5
1580766269,1,3
1580768176,3,1
1580770118,1,1
1580772029,1,5
1580773932,0,1
1580775869,2,2
1580777771,1,0
1580779707,2,2
1580781651,1,1
