DateTime,Entries,UniqueIPs
1580512337,3538,3538
1580514272,3530,3530
1580516173,3495,3495
1580518096,3484,3484
1580520024,3468,3468
1580521940,3495,3495
1580523854,3498,3498
1580525784,3472,3472
1580527693,3468,3468
1580529726,3471,3471
1580531540,3684,3684
1580534412,4006,4006
1580536328,4116,4116
1580538264,4471,4471
1580540178,6559,6559
1580542102,8574,8574
1580544076,10683,10683
1580545937,12086,12086
1580548115,13842,13842
1580550013,15166,15166
1580551977,16159,16159
1580553853,17288,17288
1580555776,17750,17750
1580557967,18162,18162
1580559853,18458,18458
1580561770,18851,18851
1580563687,19150,19150
1580566601,19585,19585
1580568496,19899,19899
1580570425,20135,20135
1580572327,20298,20298
1580574252,20455,20455
1580576181,20629,20629
1580578102,20750,20750
1580581233,21054,21054
1580583133,21184,21184
1580585067,21299,21299
1580586991,21410,21410
1580588891,21502,21502
1580590910,21622,21622
1580592774,21749,21749
1580594928,21887,21887
1580596813,22022,22022
1580598753,22112,22112
1580600670,22207,22207
1580602865,22309,22309
1580604747,22403,22403
1580606673,22485,22485
1580608570,22557,22557
1580610493,22636,22636
1580613383,22773,22773
1580615305,22881,22881
1580617217,22973,22973
1580619141,22864,22864
1580621088,22945,22945
1580622983,22947,22947
1580624892,22978,22978
1580628008,21604,21604
1580629947,21361,21361
1580631872,21207,21207
1580633769,21060,21060
1580635690,20891,20891
1580638591,20691,20691
1580640508,20499,20499
1580642411,20282,20282
1580644332,20208,20208
1580646264,20191,20191
1580648172,20124,20124
1580650093,20127,20127
1580653209,20292,20292
1580655130,20822,20822
1580657070,20968,20968
1580658973,20964,20964
1580660890,20966,20966
1580663185,20965,20965
1580665212,20981,20981
1580667387,21734,21734
1580669541,24642,24642
1580671454,24648,24648
1580673385,24659,24659
1580675289,24667,24667
1580678175,24670,24670
1580680097,24694,24694
1580682020,24698,24698
1580683945,24685,24685
1580685859,24683,24683
1580687783,24695,24695
1580689689,24690,24690
1580691730,24699,24699
1580693533,24700,24700
1580695515,24698,24698
1580697385,24696,24696
1580699565,24702,24702
1580701455,24694,24694
1580703377,24693,24693
1580705307,24690,24690
1580707232,24685,24685
1580709129,24682,24682
1580711092,25231,25231
1580712982,25547,25547
1580714896,25552,25552
1580716911,25546,25546
1580718766,25554,25554
1580720903,25617,25617
1580722813,25544,25544
1580724752,25759,25759
1580726656,25774,25774
1580728576,25787,25787
1580730511,25756,25756
1580732415,25662,25662
1580734346,25559,25559
1580736269,25474,25474
1580738174,25334,25334
1580740092,25267,25267
1580743472,24595,24595
1580745372,24443,24443
1580747294,24333,24333
1580750175,25491,25491
1580752109,25336,25336
1580754011,24280,24280
1580755957,21322,21322
1580757872,21196,21196
1580759772,21182,21182
1580761691,21186,21186
1580763755,21198,21198
1580765826,21191,21191
1580767707,21202,21202
1580769613,21223,21223
1580771539,21242,21242
1580773480,21260,21260
1580775617,21272,21272
1580777542,21284,21284
1580779481,21300,21300
1580781470,21320,21320
1580783351,21331,21331
1580785402,21357,21357
1580787497,21687,21687
1580789420,21933,21933
1580791469,21941,21941
1580793375,22135,22135
1580795311,22744,22744
1580797226,22868,22868
1580799146,22992,22992
1580801053,24545,24545
1580802987,25889,25889
1580804890,26919,26919
1580807835,28198,28198
1580809697,28722,28722
1580811634,29112,29112
1580813535,29282,29282
1580815459,29547,29547
1580817780,29738,29738
1580819851,29814,29814
1580821705,29960,29960
1580823615,30018,30018
1580825542,30093,30093
1580827471,30236,30236
1580829403,30282,30282
1580831312,30278,30278
1580833245,30273,30273
1580835136,30265,30265
1580837156,29063,29063
1580838991,29510,29510
1580840930,29735,29735
1580843012,29700,29700
1580844994,29668,29668
1580847170,29640,29640
1580849052,29630,29630
1580850974,29609,29609
1580852906,29596,29596
1580854820,29571,29571
1580856729,29547,29547
1580858655,29545,29545
1580860584,29526,29526
1580862492,29518,29518
1580864469,29501,29501
1580866366,29485,29485
1580868500,29524,29524
1580870410,29501,29501
1580872344,29488,29488
1580874254,29007,29007
1580876170,28986,28986
1580878103,28970,28970
1580880012,28900,28900
1580881937,29025,29025
1580883861,29739,29739
1580885768,30346,30346
1580887691,30379,30379
1580890590,29979,29979
1580892492,29738,29738
1580894422,29320,29320
1580896331,28945,28945
1580898252,28573,28573
1580900181,28139,28139
1580902121,27724,27724
1580904067,27337,27337
1580905937,27107,27107
1580908112,26806,26806
1580910013,26626,26626
1580911938,26252,26252
1580913866,25860,25860
1580915775,25750,25750
1580917694,25719,25719
1580919623,25713,25713
1580921530,25704,25704
1580923476,25686,25686
1580925370,25651,25651
1580927287,25577,25577
1580929344,25483,25483
1580931151,25395,25395
1580933314,25276,25276
1580935211,25118,25118
1580937142,24911,24911
1580939065,24653,24653
1580940972,24575,24575
1580942893,24069,24069
1580944811,23710,23710
1580946731,23022,23022
1580948667,22485,22485
1580950569,21703,21703
1580952490,20820,20820
1580954545,20532,20532
1580956582,20067,20067
1580958503,19877,19877
1580960413,19735,19735
1580962348,19637,19637
1580964265,19613,19613
1580966434,18979,18979
1580968332,18414,18414
1580970267,17980,17980
1580972174,16754,16754
1580974089,16068,16068
1580977211,15568,15568
1580979126,15153,15153
1580981068,14725,14725
1580982976,14345,14345
1580984894,14234,14234
1580986881,14233,14233
1580988733,14229,14229
1580990911,14224,14224
1580992827,14233,14233
1580994742,14228,14228
1580996651,14157,14157
1580998579,14165,14165
1581000509,14230,14230
1581002407,14226,14226
1581004341,13387,13387
1581006251,12835,12835
1581008182,12685,12685
1581010087,12669,12669
1581012974,12650,12650
1581014893,12635,12635
1581016823,12621,12621
1581018747,12608,12608
1581020670,12600,12600
1581022574,12594,12594
1581024493,12583,12583
1581026645,12571,12571
1581028589,12551,12551
1581030503,12531,12531
1581032426,12519,12519
1581034352,12516,12516
1581036256,12502,12502
1581038175,12501,12501
1581040113,12504,12504
1581042012,12478,12478
1581043930,12467,12467
1581045868,12460,12460
1581047773,12449,12449
1581049692,12442,12442
1581052575,12436,12436
1581054505,12439,12439
1581056408,13265,13265
1581058328,13619,13619
1581060270,13848,13848
1581062169,14078,14078
1581064088,14240,14240
1581067211,14605,14605
1581069132,14807,14807
1581071076,14990,14990
1581072975,15142,15142
1581075136,15313,15313
1581077124,15544,15544
1581078989,15723,15723
1581080901,17634,17634
1581082814,18091,18091
1581084751,18096,18096
1581086655,18113,18113
1581088582,18126,18126
1581090510,18135,18135
1581092420,18153,18153
1581094329,18118,18118
1581096270,18125,18125
1581098171,18141,18141
1581100092,18156,18156
1581103004,18183,18183
1581104909,18201,18201
1581106811,18223,18223
1581108731,18239,18239
1581110678,18249,18249
1581112572,18272,18272
1581114490,18294,18294
1581116692,18314,18314
1581118586,18338,18338
1581120512,18356,18356
1581122415,18376,18376
1581124348,18387,18387
1581126252,18402,18402
1581128174,18405,18405
1581130131,18426,18426
1581132030,18444,18444
1581133943,18456,18456
1581135855,18475,18475
1581137779,18478,18478
1581139707,18494,18494
1581142576,18484,18484
1581144492,18867,18867
1581146422,18520,18520
1581148336,18455,18455
1581150254,18395,18395
1581152185,18547,18547
1581154090,18538,18538
1581156094,18531,18531
1581157945,18528,18528
1581160827,18514,18514
1581162734,18516,18516
1581164651,18516,18516
1581166585,18134,18134
1581168488,16443,16443
1581171622,16425,16425
1581173528,16880,16880
1581175451,17365,17365
1581177382,17781,17781
1581179315,17769,17769
1581181289,17763,17763
1581183148,17757,17757
1581185315,17747,17747
1581187211,17736,17736
1581189142,17740,17740
1581191084,17732,17732
1581193230,17723,17723
1581195128,17718,17718
1581197068,17709,17709
1581198972,17700,17700
1581200889,17676,17676
1581202896,17666,17666
1581204733,17648,17648
1581206899,17639,17639
1581208814,17639,17639
1581210749,17623,17623
1581212649,17611,17611
1581214571,17598,17598
1581216507,17578,17578
1581218413,17563,17563
1581220333,17549,17549
1581222294,17533,17533
1581224168,17536,17536
1581226336,16680,16680
1581228284,16842,16842
1581230188,18667,18667
1581232102,19570,19570
1581234012,20044,20044
1581235949,20028,20028
1581237866,19894,19894
1581239774,20032,20032
1581241712,20022,20022
1581243610,20015,20015
1581245529,20010,20010
1581247467,20006,20006
1581249369,19993,19993
1581251289,19996,19996
1581254415,19975,19975
1581256339,19975,19975
1581258282,19975,19975
1581260171,19568,19568
1581262088,19184,19184
1581264974,18885,18885
1581266924,18882,18882
1581268807,18879,18879
1581270727,18889,18889
1581272667,18900,18900
1581274582,18909,18909
1581276497,20657,20657
1581278501,21863,21863
1581280337,21863,21863
1581282539,21866,21866
1581284415,21875,21875
1581286336,21882,21882
1581288265,21897,21897
1581290176,21896,21896
1581292116,21903,21903
1581294012,21895,21895
1581295931,22302,22302
1581297867,22308,22308
1581299785,22329,22329
1581301693,22340,22340
1581304579,22361,22361
1581306511,22376,22376
1581308424,22375,22375
1581310344,22376,22376
1581312272,22382,22382
1581314173,22383,22383
1581316095,21165,21165
1581319012,18031,18031
1581320927,17568,17568
1581322830,17278,17278
1581324730,16733,16733
1581326667,16787,16787
1581328574,16596,16596
1581330513,17914,17914
1581332577,18281,18281
1581334586,18214,18214
1581336504,18011,18011
1581338414,17803,17803
1581340442,17600,17600
1581342257,17407,17407
1581344173,17220,17220
1581346109,17106,17106
1581348013,17112,17112
1581349931,17125,17125
1581351885,17133,17133
1581353770,17150,17150
1581355690,17169,17169
1581358811,17157,17157
1581360732,17169,17169
1581362658,16071,16071
1581364583,14111,14111
1581366739,14113,14113
1581368904,14146,14146
1581370817,14141,14141
1581372761,14148,14148
1581374654,14225,14225
1581376583,14235,14235
1581378515,14248,14248
1581380418,14256,14256
1581382336,13752,13752
1581384272,13761,13761
1581386175,13767,13767
1581388094,13760,13760
1581390103,13760,13760
1581391944,13747,13747
1581393928,14331,14331
