DateTime,AddedIPs,RemovedIPs
1580518584,39,56
1580520489,57,48
1580523400,101,81
1580525298,38,48
1580527213,28,33
1580529144,35,31
1580531067,30,26
1580532974,465,30
1580534894,174,30
1580537012,158,60
1580538985,1179,527
1580541138,3429,666
1580543056,2121,52
1580544987,1633,75
1580546892,1787,87
1580548820,1471,53
1580550731,1242,45
1580552686,989,47
1580554571,982,50
1580556491,441,34
1580559413,523,67
1580561292,371,28
1580563234,349,27
1580565134,370,27
1580567062,303,23
1580568989,323,34
1580570890,227,17
1580573026,188,36
1580574971,205,14
1580576918,174,24
1580578816,146,21
1580580877,235,28
1580582894,192,28
1580584842,138,20
1580586730,148,33
1580588667,123,24
1580590570,142,30
1580592524,162,22
1580595868,260,35
1580597771,135,19
1580599689,107,22
1580601687,96,29
1580603529,119,23
1580605518,96,21
1580607383,133,39
1580609553,127,40
1580611452,123,28
1580613384,107,27
1580615306,134,25
1580617218,109,19
1580619142,162,272
1580621089,192,113
1580623002,117,116
1580624893,131,101
1580626918,121,918
1580628752,39,730
1580630668,29,184
1580632595,29,220
1580634513,41,158
1580636415,33,200
1580638356,32,160
1580640253,47,221
1580642174,38,269
1580644109,44,132
1580646009,30,49
1580647929,31,94
1580649863,36,28
1580651770,159,107
1580653943,337,155
1580656109,592,158
1580658013,209,44
1580659955,46,32
1580661852,33,40
1580664052,43,38
1580665934,146,32
1580667966,1355,35
1580669786,2266,29
1580671688,39,45
1580674826,70,59
1580676741,43,33
1580678657,28,24
1580680610,51,31
1580682494,24,27
1580684555,25,39
1580686570,30,26
1580688510,24,15
1580690411,25,22
1580692357,32,17
1580694253,32,30
1580696176,21,40
1580698112,36,25
1580700013,22,19
1580701932,25,36
1580703875,43,22
1580705771,36,29
1580707693,16,19
1580709778,25,29
1580711771,958,86
1580713951,80,73
1580715852,98,150
1580717775,185,160
1580719712,193,131
1580721623,156,188
1580723531,211,87
1580725464,121,50
1580727371,58,25
1580729292,37,42
1580731353,63,123
1580733384,44,159
1580735302,41,136
1580737212,59,157
1580739176,91,185
1580741052,107,597
1580743473,154,394
1580745374,44,193
1580747295,38,148
1580750176,1316,158
1580752110,36,197
1580754012,35,1090
1580755959,49,3000
1580757873,33,158
1580759773,49,61
1580761692,48,43
1580763775,46,40
1580765827,60,64
1580767708,39,32
1580769614,47,29
1580771541,35,18
1580773481,50,30
1580775618,34,26
1580777543,41,32
1580779482,38,25
1580781471,41,26
1580783351,42,25
1580785420,54,34
1580787498,362,27
1580789422,269,29
1580791471,29,21
1580793376,223,28
1580795312,622,16
1580797227,146,25
1580799147,1084,954
1580801054,1619,65
1580802989,1476,132
1580804891,1277,247
1580807836,1580,305
1580809698,823,306
1580811636,526,139
1580813537,317,144
1580815460,346,83
1580817797,335,143
1580819852,233,153
1580821707,265,116
1580823616,185,127
1580825543,188,111
1580827472,211,68
1580829404,90,44
1580831313,36,43
1580833247,34,44
1580835137,22,30
1580837157,251,1450
1580838992,477,34
1580840931,258,31
1580844015,31,73
1580845939,15,50
1580847874,21,48
1580849768,24,37
1580851688,43,46
1580853755,20,48
1580855771,11,42
1580857704,20,30
1580859611,24,49
1580861556,13,31
1580863449,31,32
1580865397,21,42
1580867307,19,29
1580869232,71,39
1580871129,25,41
1580873076,16,39
1580874972,23,489
1580877136,14,41
1580879313,398,34
1580881357,296,789
1580883399,475,73
1580885329,1303,255
1580887243,329,197
1580889140,40,301
1580891058,51,294
1580892984,72,343
1580894915,15,430
1580897776,27,564
1580899698,9,397
1580901615,10,500
1580903534,20,441
1580905456,13,244
1580907379,21,309
1580909295,15,221
1580911325,23,276
1580913149,20,401
1580915319,23,328
1580917214,21,48
1580919148,17,26
1580921075,14,21
1580923216,32,61
1580925132,32,65
1580927053,29,92
1580928982,33,129
1580930901,35,136
1580932890,35,123
1580934752,19,200
1580936919,31,166
1580938814,27,196
1580940736,28,276
1580942664,29,288
1580944572,28,608
1580946508,22,674
1580948411,18,587
1580950329,20,751
1580952265,23,951
1580954186,36,282
1580956088,20,505
1580958096,19,269
1580959934,13,134
1580962102,26,104
1580964037,20,88
1580965974,20,640
1580967852,25,373
1580969778,45,582
1580971706,912,2031
1580973609,97,847
1580975538,124,558
1580977466,87,360
1580979370,60,467
1580981291,77,465
1580983351,28,437
1580985385,16,75
1580987302,25,24
1580989211,30,42
1580991149,28,24
1580993052,24,17
1580995230,34,34
1580997173,34,103
1580999068,89,75
1581000971,84,29
1581002908,24,303
1581004876,25,774
1581006749,53,549
1581008663,19,26
1581010817,17,39
1581012738,20,35
1581014669,22,35
1581016577,25,30
1581018748,31,48
1581020671,23,31
1581022575,19,27
1581024493,24,32
1581026653,21,28
1581028589,22,37
1581030503,21,34
1581032427,13,25
1581034353,20,25
1581036257,17,27
1581038176,26,28
1581040113,26,26
1581042012,20,50
1581043931,15,23
1581045869,17,22
1581047774,18,32
1581049693,21,24
1581052575,33,41
1581054505,31,30
1581056409,1068,256
1581058329,1067,718
1581060271,289,62
1581062170,272,49
1581064089,213,53
1581067212,400,39
1581069133,221,25
1581071077,200,14
1581072976,170,20
1581075137,204,36
1581077142,241,10
1581078990,212,28
1581080902,1940,26
1581082816,478,25
1581084752,33,26
1581086656,35,17
1581088583,34,31
1581090511,30,24
1581092421,36,18
1581094330,30,65
1581096271,69,20
1581098171,36,20
1581100093,35,15
1581103005,58,32
1581104910,40,24
1581106812,38,22
1581108732,31,12
1581110679,30,21
