DateTime,Entries,UniqueIPs
1580518584,3737,3737
1580520489,3746,3746
1580523400,3766,3766
1580525298,3756,3756
1580527213,3751,3751
1580529144,3755,3755
1580531067,3759,3759
1580532974,4194,4194
1580534894,4338,4338
1580537012,4436,4436
1580538985,5088,5088
1580541138,7851,7851
1580543056,9920,9920
1580544987,11478,11478
1580546892,13178,13178
1580548820,14596,14596
1580550731,15793,15793
1580552686,16735,16735
1580554571,17667,17667
1580556491,18074,18074
1580559413,18530,18530
1580561292,18873,18873
1580563234,19195,19195
1580565134,19538,19538
1580567062,19818,19818
1580568989,20107,20107
1580570890,20317,20317
1580573026,20469,20469
1580574971,20660,20660
1580576918,20810,20810
1580578816,20935,20935
1580580877,21142,21142
1580582894,21306,21306
1580584842,21424,21424
1580586730,21539,21539
1580588667,21638,21638
1580590570,21750,21750
1580592524,21890,21890
1580595868,22115,22115
1580597771,22231,22231
1580599689,22316,22316
1580601687,22383,22383
1580603529,22479,22479
1580605518,22554,22554
1580607383,22648,22648
1580609553,22735,22735
1580611452,22830,22830
1580613384,22910,22910
1580615306,23019,23019
1580617218,23109,23109
1580619142,22999,22999
1580621089,23078,23078
1580623002,23079,23079
1580624893,23109,23109
1580626918,22312,22312
1580628752,21621,21621
1580630668,21466,21466
1580632595,21275,21275
1580634513,21158,21158
1580636415,20991,20991
1580638356,20863,20863
1580640253,20689,20689
1580642174,20458,20458
1580644109,20370,20370
1580646009,20351,20351
1580647929,20288,20288
1580649863,20296,20296
1580651770,20348,20348
1580653943,20530,20530
1580656109,20964,20964
1580658013,21129,21129
1580659955,21143,21143
1580661852,21136,21136
1580664052,21141,21141
1580665934,21255,21255
1580667966,22575,22575
1580669786,24812,24812
1580671688,24806,24806
1580674826,24817,24817
1580676741,24827,24827
1580678657,24831,24831
1580680610,24851,24851
1580682494,24848,24848
1580684555,24834,24834
1580686570,24838,24838
1580688510,24847,24847
1580690411,24850,24850
1580692357,24865,24865
1580694253,24867,24867
1580696176,24848,24848
1580698112,24859,24859
1580700013,24862,24862
1580701932,24851,24851
1580703875,24872,24872
1580705771,24879,24879
1580707693,24876,24876
1580709778,24872,24872
1580711771,25744,25744
1580713951,25751,25751
1580715852,25699,25699
1580717775,25724,25724
1580719712,25786,25786
1580721623,25754,25754
1580723531,25878,25878
1580725464,25949,25949
1580727371,25982,25982
1580729292,25977,25977
1580731353,25917,25917
1580733384,25802,25802
1580735302,25707,25707
1580737212,25609,25609
1580739176,25515,25515
1580741052,25025,25025
1580743473,24785,24785
1580745374,24636,24636
1580747295,24526,24526
1580750176,25684,25684
1580752110,25523,25523
1580754012,24468,24468
1580755959,21517,21517
1580757873,21392,21392
1580759773,21380,21380
1580761692,21385,21385
1580763775,21391,21391
1580765827,21387,21387
1580767708,21394,21394
1580769614,21412,21412
1580771541,21429,21429
1580773481,21449,21449
1580775618,21457,21457
1580777543,21466,21466
1580779482,21479,21479
1580781471,21494,21494
1580783351,21511,21511
1580785420,21531,21531
1580787498,21866,21866
1580789422,22106,22106
1580791471,22114,22114
1580793376,22309,22309
1580795312,22915,22915
1580797227,23036,23036
1580799147,23166,23166
1580801054,24720,24720
1580802989,26064,26064
1580804891,27094,27094
1580807836,28369,28369
1580809698,28886,28886
1580811636,29273,29273
1580813537,29446,29446
1580815460,29709,29709
1580817797,29901,29901
1580819852,29981,29981
1580821707,30130,30130
1580823616,30188,30188
1580825543,30265,30265
1580827472,30408,30408
1580829404,30454,30454
1580831313,30447,30447
1580833247,30437,30437
1580835137,30429,30429
1580837157,29230,29230
1580838992,29673,29673
1580840931,29900,29900
1580844015,29858,29858
1580845939,29823,29823
1580847874,29796,29796
1580849768,29783,29783
1580851688,29780,29780
1580853755,29752,29752
1580855771,29721,29721
1580857704,29711,29711
1580859611,29686,29686
1580861556,29668,29668
1580863449,29667,29667
1580865397,29646,29646
1580867307,29636,29636
1580869232,29668,29668
1580871129,29652,29652
1580873076,29629,29629
1580874972,29163,29163
1580877136,29136,29136
1580879313,29500,29500
1580881357,29007,29007
1580883399,29409,29409
1580885329,30457,30457
1580887243,30589,30589
1580889140,30328,30328
1580891058,30085,30085
1580892984,29814,29814
1580894915,29399,29399
1580897776,28862,28862
1580899698,28474,28474
1580901615,27984,27984
1580903534,27563,27563
1580905456,27332,27332
1580907379,27044,27044
1580909295,26838,26838
1580911325,26585,26585
1580913149,26204,26204
1580915319,25899,25899
1580917214,25872,25872
1580919148,25863,25863
1580921075,25856,25856
1580923216,25827,25827
1580925132,25794,25794
1580927053,25731,25731
1580928982,25635,25635
1580930901,25534,25534
1580932890,25446,25446
1580934752,25265,25265
1580936919,25130,25130
1580938814,24961,24961
1580940736,24713,24713
1580942664,24454,24454
