DateTime,Entries,UniqueIPs
1580510896,1329,1329
1580512824,1321,1321
1580514732,1324,1324
1580516654,1323,1323
1580518584,1325,1325
1580520489,1324,1324
1580523401,1325,1325
1580525298,1331,1331
1580527214,1338,1338
1580529144,1329,1329
1580531067,1335,1335
1580532975,1342,1342
1580534894,1347,1347
1580537028,1352,1352
1580538985,1373,1373
1580541138,1367,1367
1580543056,1380,1380
1580544988,1394,1394
1580546893,1238,1238
1580548821,1416,1416
1580550731,1426,1426
1580552686,1429,1429
1580554571,1436,1436
1580556492,1415,1415
1580559413,1419,1419
1580561292,1430,1430
1580563234,1435,1435
1580565135,1455,1455
1580567063,1459,1459
1580568989,1467,1467
1580570890,1474,1474
1580573037,1474,1474
1580574971,1436,1436
1580576919,1379,1379
1580578817,1254,1254
1580580878,1145,1145
1580582895,1158,1158
1580584843,1158,1158
1580586730,1157,1157
1580588668,1164,1164
1580590571,1167,1167
1580592525,1172,1172
1580595869,1173,1173
1580597771,1172,1172
1580599689,1180,1180
1580601694,1177,1177
1580603530,1174,1174
1580605530,1173,1173
1580607383,1171,1171
1580609554,1166,1166
1580611452,1162,1162
1580613385,1167,1167
1580615307,1161,1161
1580617219,1157,1157
1580619143,1154,1154
1580621090,1150,1150
1580623003,1141,1141
1580624894,1132,1132
1580628009,1107,1107
1580629947,1084,1084
1580631873,1058,1058
1580633769,956,956
1580635690,1048,1048
1580638591,1047,1047
1580640508,1055,1055
1580642411,1065,1065
1580644333,1070,1070
1580646264,1069,1069
1580648173,1071,1071
1580650094,1080,1080
1580653226,1072,1072
1580655131,1087,1087
1580657070,1067,1067
1580658974,1058,1058
1580660890,1049,1049
1580663188,1035,1035
1580665213,1043,1043
1580667388,1042,1042
1580669541,1036,1036
1580671455,1011,1011
1580673385,996,996
1580675290,986,986
1580678175,968,968
1580680098,956,956
1580682020,959,959
1580683946,953,953
1580685859,931,931
1580687783,915,915
1580689690,910,910
1580691751,908,908
1580693782,902,902
1580695696,902,902
1580697610,900,900
1580699565,874,874
1580701456,872,872
1580703377,876,876
1580705308,879,879
1580707233,879,879
1580709130,881,881
1580711093,878,878
1580712983,878,878
1580714897,905,905
1580716929,918,918
1580718767,939,939
1580720904,944,944
1580722813,944,944
1580724752,956,956
1580726656,964,964
1580728577,958,958
1580730511,962,962
1580732415,964,964
1580734347,970,970
1580736270,970,970
1580738174,969,969
1580740092,980,980
1580743474,971,971
1580745375,977,977
1580747295,974,974
1580750177,982,982
1580752111,985,985
1580754013,994,994
1580755960,1003,1003
1580757874,990,990
1580759774,1002,1002
1580761692,1006,1006
1580764812,1013,1013
1580766727,1018,1018
1580768670,1026,1026
1580770575,1028,1028
1580772494,1041,1041
1580774459,1041,1041
1580776335,1048,1048
1580778498,1054,1054
1580780412,1058,1058
1580782619,1068,1068
1580784834,1073,1073
1580786656,1069,1069
1580788589,1068,1068
1580790489,1059,1059
1580793377,1040,1040
1580795312,1040,1040
1580797227,1039,1039
1580799147,1034,1034
1580801055,1013,1013
1580802989,1023,1023
1580804891,891,891
1580807836,1066,1066
1580809699,1065,1065
1580811637,1064,1064
1580813538,1081,1081
1580815460,1094,1094
1580817812,1084,1084
1580819853,1078,1078
1580821707,1079,1079
1580823617,1089,1089
1580825543,1096,1096
1580827472,1109,1109
1580829404,1105,1105
1580831314,1103,1103
1580833265,1108,1108
1580835138,1105,1105
1580837158,1101,1101
1580838993,1097,1097
1580840931,1099,1099
1580843066,1090,1090
1580844994,1074,1074
1580847171,1055,1055
1580849052,1049,1049
1580850975,1053,1053
1580852907,1065,1065
1580854820,1072,1072
1580856729,1081,1081
1580858656,1073,1073
1580860584,1076,1076
1580862492,1078,1078
1580864483,1074,1074
1580866367,1067,1067
1580868501,1062,1062
1580870411,1053,1053
1580872345,1040,1040
1580874255,1030,1030
1580876171,1024,1024
1580878104,1024,1024
1580880013,1023,1023
1580881937,1018,1018
1580883861,1015,1015
1580885768,1019,1019
1580887691,1034,1034
1580890592,1044,1044
1580892493,1041,1041
1580894423,1023,1023
1580896332,1028,1028
1580898252,1039,1039
1580900181,1048,1048
1580902121,1041,1041
1580904078,1031,1031
1580905937,1032,1032
1580908112,1023,1023
1580910014,1020,1020
1580911939,1035,1035
1580913866,1036,1036
1580915776,1017,1017
1580917695,1005,1005
1580919624,990,990
1580921531,980,980
1580923476,976,976
1580925371,971,971
1580927288,971,971
1580929361,974,974
1580931370,963,963
1580933315,957,957
1580935211,949,949
1580937142,941,941
1580939065,927,927
1580940972,923,923
1580942894,925,925
1580944812,902,902
1580946731,892,892
1580948668,887,887
1580950570,892,892
1580952491,894,894
1580954563,894,894
1580956583,897,897
1580958503,909,909
1580960413,915,915
1580962348,924,924
1580964265,926,926
1580966434,927,927
1580968332,929,929
1580970268,940,940
1580972174,959,959
1580974089,948,948
1580976126,941,941
1580977937,929,929
1580980111,935,935
1580982013,929,929
1580983959,922,922
1580985854,920,920
1580988078,883,883
1580989933,862,862
1580991881,847,847
1580993771,837,837
1580995707,826,826
1580997732,810,810
1580999535,792,792
1581001710,794,794
1581003648,811,811
1581005552,828,828
1581007464,841,841
1581009374,853,853
1581011543,869,869
1581013457,887,887
1581015389,897,897
1581017566,900,900
1581019545,901,901
1581021390,901,901
1581023306,902,902
1581025215,900,900
1581027153,898,898
1581029056,899,899
1581030979,881,881
1581032915,870,870
1581034812,867,867
1581036730,866,866
1581038665,863,863
1581040588,860,860
1581042490,856,856
1581044567,846,846
1581046599,817,817
1581048505,798,798
1581050415,784,784
1581052351,772,772
1581054256,766,766
1581056177,759,759
1581058111,751,751
1581060050,725,725
1581061941,1390,1390
1581063879,1393,1393
1581065779,1222,1222
1581067694,1223,1223
1581069799,1231,1231
1581071785,1239,1239
1581073702,1230,1230
1581075618,1232,1232
1581077563,1227,1227
1581079453,1231,1231
1581081394,1232,1232
1581083307,1234,1234
1581085213,1227,1227
1581087129,1226,1226
1581089064,1215,1215
1581090970,1206,1206
1581093143,1193,1193
1581095318,1189,1189
1581097214,1191,1191
1581099150,1188,1188
1581101058,1188,1188
1581103005,1195,1195
1581104910,1214,1214
1581106812,1223,1223
1581108732,1233,1233
1581110680,1239,1239
1581112573,1252,1252
1581114491,1259,1259
1581117615,1288,1288
1581119529,1309,1309
1581121464,1316,1316
1581123368,1320,1320
1581125287,1318,1318
1581127287,1316,1316
1581129128,1319,1319
1581130975,1323,1323
1581132986,1409,1409
1581134891,1425,1425
1581136826,1439,1439
1581138731,1449,1449
1581140663,1462,1462
1581142577,1476,1476
1581144493,1488,1488
1581146422,1511,1511
1581148337,868,868
1581150254,900,900
1581152186,897,897
1581154091,909,909
1581156995,923,923
1581159141,943,943
1581161052,958,958
1581162988,960,960
1581164890,966,966
1581166944,991,991
1581168750,1022,1022
1581170664,1037,1037
1581172590,1054,1054
1581174533,1056,1056
1581176414,1052,1052
1581178340,1074,1074
1581180265,1086,1086
1581182179,1097,1097
1581184113,1105,1105
1581186025,1103,1103
1581187928,1104,1104
1581189856,1095,1095
1581191786,1089,1089
1581193691,1100,1100
1581196817,1094,1094
1581198733,1085,1085
1581200664,1072,1072
1581202569,1060,1060
