DateTime,AddedIPs,RemovedIPs
1572800189,0,1
1572859259,1,0
1572900276,1,0
1572906262,1,0
1572945933,1,1
1572987399,0,1
1572991347,0,1
1573032276,0,1
1573069705,1,0
1573108886,1,0
1573116760,1,0
1573156369,0,1
1573196200,0,1
1573201231,0,1
1573399483,1,0
1573484731,0,1
1573555950,1,0
1573608511,1,0
1573642390,0,1
1573687243,1,0
1573694895,0,1
1573715306,2,0
1573723731,1,0
1573773134,1,1
1573801330,0,1
1573803162,0,1
1573810819,0,1
1573858606,0,1
1574023267,1,0
1574109628,0,1
1574155231,1,0
1574162203,1,0
1574174444,1,0
1574190517,1,0
1574206596,1,0
1574241864,0,1
1574247761,0,1
1574261556,0,1
1574277420,0,1
1574288895,0,1
1574327818,1,0
1574389226,1,0
1574414706,0,1
1574472987,0,1
1574501551,1,0
1574586993,0,1
1574636738,1,0
1574721143,0,1
1574743951,1,0
1574814023,1,0
1574829866,1,0
1574832044,0,1
1574902114,0,1
1574916024,0,1
1574935728,1,0
1574996188,1,0
1575004124,1,0
1575021401,1,0
1575023303,0,1
1575082337,0,1
1575090287,0,1
1575105924,0,1
1575167791,1,0
1575171857,1,0
1575215784,1,0
1575256106,0,1
1575258016,0,1
1575279401,1,0
1575302715,0,1
1575364622,0,1
1575372033,1,0
1575458178,0,1
1575548437,1,0
1575572915,1,0
1575590746,1,0
1575613703,2,0
1575676346,0,1
1575678259,0,1
1575690021,0,1
1575697940,0,2
1575794907,1,0
1575814339,1,0
1575882344,0,1
1575899832,0,1
1575918203,1,0
1575924019,1,0
1575992910,1,0
1576005200,0,1
1576008986,0,1
1576057940,1,0
1576080998,0,1
1576142430,0,1
1576397804,1,0
1576482502,0,1
1576784409,2,0
1576797893,1,0
1576848986,1,0
1576853051,1,0
1576860992,1,0
1576870811,0,2
1576878489,1,0
1576884272,1,1
1576934426,0,1
1576940167,0,1
1576946421,0,1
1576966104,0,1
1576968013,0,1
1577010489,1,0
1577094997,0,1
1577121372,1,0
1577206334,0,1
1577669070,1,0
1577670969,1,0
1577675790,3,0
1577677696,1,0
1577679629,1,0
1577685396,1,0
1577687309,6,0
1577691634,3,0
1577695703,1,0
1577699532,7,0
1577701459,7,0
1577707285,13,0
1577709163,1,0
1577713215,1,0
1577724735,7,0
1577734590,1,0
1577744186,1,0
1577748282,8,0
1577750194,25,0
1577754241,1,0
1577756420,2,1
1577758335,4,0
1577760279,3,0
1577762176,0,3
1577764339,9,1
1577766275,1,1
1577770089,0,1
1577772151,4,6
1577776170,0,1
1577778050,1,2
1577781856,0,1
1577785723,3,8
1577787628,13,7
1577793395,0,13
1577795562,1,1
1577799401,1,1
1577803231,18,0
1577805398,20,0
1577811382,0,7
1577817390,1,0
1577821251,1,1
1577823147,1,0
1577827223,3,0
1577829141,0,1
1577831062,2,0
1577834965,0,10
1577836995,0,11
1577838980,0,1
1577843058,3,2
1577844975,2,3
1577846899,3,3
1577848849,4,8
1577850753,1,1
1577852695,0,1
1577856540,2,0
1577859619,1,4
1577861532,1,0
1577863462,0,1
1577867292,1,0
1577872336,1,7
1577874277,16,10
1577880308,2,0
1577882445,1,1
1577886255,0,1
1577890095,0,23
1577892058,0,26
1577895875,0,1
1577904016,0,1
1577907871,0,1
1577909791,0,1
1577913850,0,3
1577918188,0,1
1577929944,0,2
1577931848,0,4
1577933773,0,1
1577935701,0,4
1577938583,0,1
1577940491,0,1
1577942426,0,2
1577944340,1,0
1577946249,0,1
1577948187,0,1
1577954464,0,1
1577958278,0,1
1577960206,0,16
1577962102,0,1
1577965956,0,2
1577967882,0,1
1578030514,0,1
1578478133,1,0
1578483872,1,0
1578565701,0,1
1578620932,0,1
1578637038,1,0
1578722637,0,1
1578791585,1,0
1578877694,0,1
1579342351,1,0
1579426615,0,1
1579451543,1,0
1579488986,1,0
1579529548,1,0
1579539132,0,1
1579575372,0,1
1579614729,0,1
1580106975,1,0
1580199371,1,0
1580260574,0,1
1580284574,0,1
1580354175,1,0
1580356107,1,0
1580359928,3,0
1580363770,1,0
1580365938,1,0
1580370015,1,0
1580375793,2,0
1580377765,12,0
1580379611,9,0
1580383466,1,0
1580399084,4,0
1580412501,3,0
1580428106,1,0
1580440600,2,1
1580442508,1,0
1580444414,0,1
1580446329,0,2
1580448295,0,1
1580450171,1,0
1580452122,0,1
1580454366,1,0
1580456172,0,1
1580461936,2,2
1580465798,0,21
1580467709,0,1
1580469624,1,1
1580473454,1,0
1580486168,0,4
1580492447,1,0
1580498444,0,3
1580510899,1,0
1580514735,0,1
1580516655,36,0
1580518586,1,0
1580520491,14,0
1580522517,1,0
1580524347,2,0
1580526310,1,2
1580528187,2,1
1580532011,12,0
1580533949,26,0
1580535852,2,0
1580538019,15,1
1580539947,0,1
1580541885,4,0
1580547725,0,1
1580549546,7,0
1580555301,0,1
1580561059,1,1
1580568992,1,0
1580586731,1,0
1580596589,2,1
1580598500,1,1
1580602384,11,7
1580604269,0,1
1580606172,10,1
1580608107,5,27
1580610014,0,1
1580611929,2,1
1580613864,0,3
1580617688,0,1
1580620809,33,23
1580622729,0,3
1580624669,13,20
1580628755,0,4
1580632596,1,0
1580634515,1,0
1580636416,0,11
1580646012,0,2
1580656111,0,1
1580673713,0,1
1580677719,1,0
1580681559,0,1
1580683457,0,1
1580689225,2,11
1580691130,9,4
1580693070,0,11
1580694973,6,2
1580696894,1,1
1580699039,0,1
1580700985,1,0
1580704812,4,11
1580706750,22,32
1580708650,1,0
1580710575,11,8
1580712522,0,1
1580714413,1,0
1580718306,1,1
1580720170,0,1
1580722114,0,1
1580725210,1,0
1580732906,3,0
1580764356,1,1
1580766277,1,0
1580768178,2,0
1580772031,1,0
1580775870,5,5
1580777776,0,9
1580779708,6,0
1580781668,0,5
1580783591,0,1
1580785496,1,0
1580787501,0,1
1580789423,1,0
1580791474,8,13
1580793378,1,17
1580795314,1,1
1580797228,0,9
1580801057,0,1
1580804893,0,1
1580807838,1,0
1580811638,0,1
1580819855,0,3
1580844997,1,0
1580847172,2,0
1580850976,0,1
1580852908,0,1
1580854821,0,2
1580856730,0,1
1580862494,3,4
1580864553,0,2
1580866368,7,7
1580868504,0,1
1580872346,1,1
1580874256,0,1
1580878105,35,10
1580880014,1,1
1580881938,0,1
1580883863,12,0
1580885770,1,0
1580896335,1,0
1580900183,2,0
1580913868,1,0
1580930438,0,1
1580934495,0,2
1580948174,3,2
1580950105,10,2
1580952009,13,0
1580953930,5,7
1580955867,1,0
1580957768,1,0
1580959692,0,1
1580963801,9,6
1580965702,0,27
1580967610,0,1
1580969558,10,8
1580973373,1,1
1580975305,1,0
1580977214,1,0
1580979128,2,1
1580981071,0,1
1580986944,0,2
1580994743,1,0
1581022576,1,0
1581028591,1,0
1581030504,2,1
1581034354,5,2
1581036258,1,0
1581038187,0,11
1581040116,7,16
1581042015,0,1
1581043933,1,1
1581049695,7,8
1581052576,16,9
1581054506,5,10
1581056410,0,1
1581060272,1,1
1581064091,0,1
1581067213,0,2
1581077160,0,1
1581103006,5,0
1581104912,1,0
1581108733,0,1
1581110680,2,0
1581114493,0,1
1581116767,1,2
1581120514,3,5
1581122416,0,1
1581124350,5,0
1581126254,2,7
1581130133,1,1
1581135858,1,0
1581137782,19,21
1581139710,1,2
1581141688,2,6
1581143550,12,0
1581147615,0,1
1581149578,2,0
1581151470,1,0
1581155296,4,0
1581159142,2,0
1581162989,2,0
1581172812,1,0
1581174986,17,0
1581185775,8,0
1581187694,1,3
1581197290,1,2
1581201391,0,1
1581205216,1,0
1581207146,0,3
1581209071,3,0
1581210976,3,5
1581212924,0,1
1581214825,11,0
1581216729,7,0
1581220573,1,0
1581222508,0,1
1581224552,0,1
1581226595,24,1
1581228491,0,3
1581230410,12,3
1581232347,1,0
1581236171,0,2
1581238105,0,1
1581240006,1,0
1581241932,0,4
1581245772,0,1
1581249761,0,5
1581259454,0,1
1581261374,0,18
1581272889,0,8
1581274906,0,1
1581278601,1,0
1581284418,0,1
1581286337,1,0
1581290176,1,0
1581292117,1,1
1581294013,3,2
1581295932,2,1
1581297870,6,1
1581299787,7,11
1581303785,0,4
1581307703,1,1
1581311559,1,5
1581313455,0,18
1581317332,0,40
1581319213,0,1
1581323054,1,0
1581330992,0,1
1581340825,3,0
1581342735,2,0
1581366029,2,4
1581369877,1,0
1581373698,0,1
1581376809,0,2
1581379692,3,3
1581381616,0,1
1581383544,3,5
1581385452,6,10
1581387377,1,1
1581391215,1,0
1581393131,1,0
1581395066,0,1
1581396967,7,0
1581398886,0,1
1581402021,3,0
1581407779,2,0
1581409688,0,1
1581411750,0,1
1581417374,2,0
1581419315,2,0
1581427230,1,3
1581429132,0,2
1581452431,0,2
1581456251,0,1
1581460092,1,0
1581462169,1,0
1581466104,0,3
1581469931,8,1
1581471865,6,6
1581473771,0,1
1581477623,2,1
1581479531,0,1
1581483384,6,7
1581489149,0,3
1581492984,0,1
1581494910,0,1
1581498734,1,0
1581502576,1,2
1581506422,0,2
