DateTime,Entries,UniqueIPs
1580512827,80,80
1580514735,81,81
1580516657,80,80
1580518587,77,77
1580520492,80,80
1580522547,81,81
1580524348,81,81
1580526348,80,80
1580528188,81,81
1580530104,81,81
1580532048,84,84
1580533949,83,83
1580535853,86,86
1580538020,85,85
1580539948,86,86
1580541886,88,88
1580543772,87,87
1580545709,89,89
1580547792,89,89
1580549769,90,90
1580551979,91,91
1580553856,90,90
1580555777,91,91
1580557968,88,88
1580559855,87,87
1580561771,88,88
1580563689,88,88
1580566624,90,90
1580568499,92,92
1580570433,92,92
1580572331,92,92
1580574273,91,91
1580576184,88,88
1580578105,88,88
1580580062,90,90
1580581947,85,85
1580584844,85,85
1580586732,85,85
1580588670,83,83
1580590572,86,86
1580592527,87,87
1580595871,85,85
1580597773,87,87
1580599691,88,88
1580601748,88,88
1580603786,90,90
1580605695,89,89
1580607613,89,89
1580609556,93,93
1580611455,95,95
1580613387,96,96
1580615308,93,93
1580617220,95,95
1580619144,94,94
1580621092,95,95
1580623005,94,94
1580624897,97,97
1580626998,100,100
1580629029,101,101
1580630890,102,102
1580633063,108,108
1580634981,108,108
1580636921,112,112
1580638817,111,111
1580640748,112,112
1580642684,114,114
1580644574,115,115
1580646521,116,116
1580649626,113,113
1580653502,110,110
1580655375,108,108
1580657302,106,106
1580659519,104,104
1580661397,105,105
1580663552,106,106
1580665469,106,106
1580667390,108,108
1580669543,109,109
1580671457,107,107
1580673387,109,109
1580675293,109,109
1580677328,106,106
1580679150,104,104
1580681149,106,106
1580682985,104,104
1580684913,103,103
1580686813,103,103
1580688740,105,105
1580690665,103,103
1580692576,101,101
1580694515,99,99
1580696410,99,99
1580698327,96,96
1580700273,96,96
1580702172,95,95
1580704107,96,96
1580706115,95,95
1580707942,97,97
1580709840,102,102
1580711775,102,102
1580713955,101,101
1580715856,102,102
1580717777,104,104
1580719714,103,103
1580721626,104,104
1580723534,100,100
1580725490,103,103
1580727374,100,100
1580729294,103,103
1580732417,104,104
1580734348,105,105
1580736272,108,108
1580738175,117,117
1580740095,119,119
1580742204,121,121
1580744184,124,124
1580746114,128,128
1580748016,131,131
1580749958,132,132
1580751855,131,131
1580753775,135,135
1580755729,141,141
1580757612,145,145
1580759530,147,147
1580761472,152,152
1580763388,158,158
1580765294,162,162
1580767408,167,167
1580769387,167,167
1580771306,171,171
1580773213,178,178
1580775164,179,179
1580777057,181,181
1580778977,187,187
1580781023,193,193
1580782891,197,197
1580784837,205,205
1580786684,211,211
1580788591,210,210
1580790490,211,211
1580792578,211,211
1580794592,208,208
1580796506,202,202
1580798413,203,203
1580800435,201,201
1580802267,200,200
1580804173,196,196
1580805997,191,191
1580807839,188,188
1580809701,189,189
1580811639,183,183
1580813539,185,185
1580815463,181,181
1580817902,181,181
1580819856,180,180
1580821710,178,178
1580823620,173,173
1580825546,169,169
1580827475,166,166
1580829407,169,169
1580831316,174,174
1580833268,174,174
1580835140,176,176
1580837161,187,187
1580838997,189,189
1580840935,192,192
1580843128,197,197
1580844997,198,198
1580847172,195,195
1580849053,203,203
1580850976,205,205
1580852908,200,200
1580854822,214,214
1580856731,221,221
1580858658,222,222
1580860586,229,229
1580862495,234,234
1580864573,240,240
1580866582,247,247
1580868504,246,246
1580870414,247,247
1580872346,246,246
1580874257,250,250
1580876172,259,259
1580878105,273,273
1580880014,284,284
1580881939,295,295
1580883863,304,304
1580885771,315,315
1580887694,320,320
1580890600,340,340
1580892495,343,343
1580894425,354,354
1580896335,362,362
1580898255,372,372
1580900183,376,376
1580902123,386,386
1580904129,397,397
1580905939,400,400
1580908114,406,406
1580910016,413,413
1580911941,422,422
1580913868,426,426
1580915778,433,433
1580917697,430,430
1580919626,433,433
1580921533,437,437
1580923478,430,430
1580925373,426,426
1580927291,423,423
1580929405,419,419
1580931372,414,414
1580933315,418,418
1580935213,411,411
1580937144,413,413
1580939067,412,412
1580940984,409,409
1580942896,406,406
1580944817,405,405
1580946734,395,395
1580948669,399,399
1580950571,392,392
1580952492,380,380
1580954625,383,383
1580956584,386,386
1580958505,382,382
1580960415,380,380
1580962350,371,371
1580964284,361,361
1580966436,350,350
1580968333,342,342
1580970269,333,333
1580972176,327,327
1580974091,328,328
1580977215,314,314
1580979129,313,313
1580981071,309,309
1580982979,304,304
1580984897,301,301
1580988081,298,298
1580989935,290,290
1580991884,284,284
1580993775,284,284
1580995757,277,277
1580998816,268,268
1581000732,273,273
1581002651,265,265
1581004571,264,264
1581006490,254,254
1581008456,251,251
1581010393,249,249
1581012287,250,250
1581014170,246,246
1581016117,247,247
1581018024,244,244
1581019953,238,238
1581021851,234,234
1581023773,227,227
1581025708,227,227
1581027609,223,223
1581029540,217,217
1581031468,214,214
1581033370,210,210
1581035291,205,205
1581037357,206,206
1581039385,211,211
1581041291,209,209
1581043219,201,201
1581045151,203,203
1581047054,201,201
1581048974,203,203
1581050909,202,202
1581052811,201,201
1581054727,199,199
1581056670,200,200
1581058568,194,194
1581060487,190,190
1581062500,184,184
1581064350,182,182
1581066503,183,183
1581068411,177,177
1581070350,172,172
1581072256,394,394
1581074176,1250,1250
1581079958,1249,1249
1581081864,1250,1250
1581083769,1249,1249
1581085689,1251,1251
1581087721,1252,1252
1581089537,1262,1262
1581091700,1265,1265
1581093612,1268,1268
1581095558,1270,1270
1581097454,1271,1271
1581099376,1277,1277
1581101307,1279,1279
1581103251,1285,1285
1581105129,1297,1297
1581107069,1303,1303
1581108971,1314,1314
1581110886,1323,1323
1581112857,1323,1323
1581114734,1330,1330
1581116781,1338,1338
1581118588,1341,1341
1581120514,1347,1347
1581122416,1350,1350
1581124350,1351,1351
1581126254,1354,1354
1581128176,1354,1354
1581130133,1355,1355
1581132034,1357,1357
1581135859,1363,1363
1581139710,1366,1366
1581141701,1369,1369
1581143551,1373,1373
1581145717,1374,1374
1581147616,1377,1377
1581149578,1380,1380
1581151471,1383,1383
1581153379,1389,1389
1581155296,1390,1390
1581157233,1392,1392
1581159142,1393,1393
1581161053,194,194
1581162990,201,201
1581164892,203,203
1581167033,208,208
1581168972,211,211
1581170930,214,214
1581172813,214,214
1581174986,214,214
1581176943,211,211
1581178839,214,214
1581180735,217,217
1581182656,220,220
1581184593,218,218
1581186492,216,216
1581189627,211,211
1581191638,199,199
1581193470,196,196
1581195371,186,186
1581197290,177,177
1581199488,179,179
1581201391,173,173
1581203300,172,172
1581205216,171,171
1581207146,174,174
1581209071,173,173
1581210976,174,174
1581212924,170,170
1581214826,169,169
1581216730,168,168
1581218674,167,167
1581220574,167,167
1581222509,159,159
1581224566,158,158
1581226595,155,155
1581228492,152,152
1581230410,150,150
1581232347,154,154
1581234249,152,152
1581236171,152,152
1581238105,152,152
1581240006,148,148
1581241932,148,148
1581243864,149,149
1581245773,151,151
1581247697,145,145
1581249784,143,143
1581251787,143,143
1581253716,142,142
1581255612,141,141
1581257553,141,141
1581259454,142,142
1581261374,142,142
1581263306,140,140
1581265208,138,138
1581267169,139,139
1581269068,139,139
1581270970,140,140
1581272889,143,143
1581274922,142,142
1581276733,142,142
1581278615,141,141
1581280571,141,141
1581282541,143,143
1581284418,142,142
1581286337,138,138
1581288267,137,137
1581290177,138,138
1581292117,140,140
1581294013,133,133
1581295932,133,133
1581297870,135,135
1581299788,137,137
1581301696,140,140
1581303804,142,142
1581305789,144,144
1581307703,145,145
1581309616,149,149
1581311559,157,157
1581313456,158,158
1581315386,158,158
1581317333,156,156
1581319214,150,150
1581321146,150,150
1581323055,149,149
1581324991,152,152
1581326893,154,154
1581329057,153,153
1581330992,154,154
1581333168,157,157
1581335060,155,155
1581336992,154,154
1581338917,152,152
1581340825,157,157
1581342736,157,157
1581344687,152,152
1581346574,151,151
1581348496,153,153
1581350648,152,152
1581352585,154,154
1581354507,153,153
1581356417,154,154
1581358358,149,149
1581360284,149,149
1581362181,154,154
1581364105,155,155
1581366029,153,153
1581367934,156,156
1581369878,162,162
1581371773,160,160
1581373699,161,161
1581376810,161,161
1581379693,162,162
1581381617,171,171
1581383545,170,170
1581385453,172,172
1581387377,172,172
1581389372,174,174
1581391216,174,174
1581393132,174,174
1581395067,177,177
1581396967,177,177
1581398887,178,178
1581400906,178,178
1581402758,178,178
1581404958,184,184
1581406815,186,186
1581408746,192,192
1581410651,192,192
1581412577,191,191
1581414496,194,194
1581416429,194,194
1581418354,195,195
1581420327,201,201
1581422184,202,202
1581424092,204,204
1581427231,198,198
1581429133,202,202
1581431053,207,207
1581432988,208,208
1581434892,207,207
1581437011,206,206
1581439000,210,210
1581440910,214,214
1581442816,215,215
1581444733,217,217
1581446670,213,213
1581448586,211,211
1581450497,212,212
1581452432,214,214
1581454331,219,219
1581456251,213,213
1581458189,213,213
1581460093,215,215
1581462222,216,216
1581464173,217,217
1581466105,216,216
1581468010,212,212
1581469931,208,208
1581471865,207,207
1581473772,210,210
1581475703,207,207
1581477624,209,209
1581479532,207,207
1581481452,207,207
1581483384,205,205
1581485289,203,203
1581488198,206,206
1581490090,207,207
1581492025,204,204
1581493950,204,204
1581495852,200,200
1581497784,203,203
1581499686,201,201
1581502821,205,205
1581504735,205,205
1581506658,202,202
