DateTime,AddedIPs,RemovedIPs
1580068327,4,8
1580070251,2,5
1580072207,4,6
1580074089,2,3
1580076097,4,5
1580077950,3,3
1580080114,3,5
1580082017,5,4
1580083935,1,4
1580085871,4,1
1580087771,2,4
1580089699,0,2
1580093534,0,4
1580097387,0,2
1580099291,2,1
1580101315,1,3
1580103143,0,2
1580105318,39,3
1580107269,7,7
1580109143,39,1
1580111070,2,6
1580112982,0,4
1580114893,2,3
1580116855,0,2
1580118738,2,4
1580120654,47,2
1580122585,52,4
1580124495,62,3
1580127395,12,7
1580129541,10,4
1580131457,3,2
1580133393,6,4
1580135295,4,4
1580137354,5,5
1580139156,2,3
1580141096,34,3
1580142974,2,5
1580145028,5,4
1580147069,5,5
1580148979,2,2
1580150892,5,4
1580152830,3,2
1580154729,3,4
1580156655,3,2
1580158591,5,4
1580160498,4,2
1580162549,2,4
1580164571,2,4
1580166751,4,2
1580168652,2,5
1580170576,1,2
1580172496,4,3
1580174434,0,2
1580176329,1,0
1580186206,0,2
1580188106,0,1
1580191947,0,1
1580193851,0,2
1580197706,0,2
1580201526,0,2
1580205372,0,2
1580207287,1,51
1580210175,0,189
1580212105,0,10
1580214009,0,7
1580215933,0,9
1580217866,0,3
1580219771,1,5
1580221702,0,4
1580223717,0,5
1580225552,0,2
1580227463,0,34
1580229373,0,2
1580231561,0,5
1580233456,1,4
1580235395,1,2
1580237298,2,5
1580239231,0,3
1580241133,1,3
1580243055,0,3
1580245008,1,6
1580246928,1,4
1580249061,1,2
1580250976,1,2
1580252909,1,4
1580254813,1,1
1580256738,1,2
1580258664,3,4
1580260575,1,0
1580262491,2,0
1580264434,0,1
1580270194,1,0
1580274089,1,0
1580275950,1,0
1580277909,1,0
1580279771,2,0
1580281719,2,0
1580283619,1,0
1580285548,2,0
1580287486,1,0
1580289375,2,0
1580291302,1,0
1580293233,5,1
1580295131,4,0
1580297054,3,0
1580298986,3,0
1580300890,2,0
1580303786,3,0
1580305712,2,3
1580307610,2,0
1580309537,2,0
1580311467,1,0
1580313382,2,0
1580315290,1,0
1580318412,4,0
1580320328,1,2
1580322269,5,0
1580324171,1,2
1580326090,3,0
1580328983,3,1
1580330911,2,1
1580332839,2,1
1580334731,2,1
1580336680,2,0
1580338574,2,1
1580340514,2,1
1580342606,0,2
1580344588,1,1
1580346505,0,2
1580348439,0,2
1580358012,2,1
1580359930,3,1
1580361867,2,1
1580363771,3,1
1580365939,2,2
1580367768,2,1
1580369785,2,2
1580371702,0,2
1580373612,0,1
1580375560,1,2
1580377454,1,1
1580379375,0,5
1580381308,0,3
1580383217,0,5
1580385138,0,3
1580387051,0,2
1580388972,0,2
1580390906,0,2
1580394028,0,3
1580395932,1,2
1580397869,2,1
1580399779,2,2
1580401697,2,1
1580403889,1,2
1580405800,3,1
1580407948,1,3
1580409861,4,2
1580411792,0,3
1580413694,4,1
1580415626,0,2
1580417533,3,2
1580419454,0,2
1580421387,6,2
1580423295,4,2
1580426419,7,4
1580428328,2,0
1580430252,4,1
1580432181,6,0
1580434089,2,0
1580436062,2,0
1580439872,2,0
1580441781,2,0
1580443694,1,0
1580445610,1,0
1580449456,1,0
1580453296,1,0
1580457128,1,0
1580460998,1,1
1580464937,1,0
1580468915,1,0
1580470814,2,0
1580472735,1,0
1580474696,1,0
1580478733,1,0
1580482578,1,2
1580484742,1,1
1580486726,2,0
1580488664,1,2
1580490817,1,4
1580492901,3,8
1580494818,0,3
1580496756,1,6
1580498654,1,4
1580500589,2,6
1580502492,0,2
1580504520,2,2
1580506369,0,2
1580508525,2,5
1580510418,1,6
1580512338,1,3
1580514274,1,3
1580516175,1,3
1580518098,2,6
1580520025,0,3
1580521942,0,2
1580525786,0,3
1580529764,0,3
1580531783,0,1
1580535630,0,1
1580539468,0,1
1580543301,0,1
1580547162,0,1
1580550983,0,1
1580554896,0,1
1580558727,0,1
1580560574,0,1
1580562492,0,1
1580564413,1,1
1580568269,1,1
1580570176,0,1
1580572097,2,2
1580574026,1,0
1580575932,1,2
1580577856,3,1
1580579791,2,2
1580581698,2,0
1580584575,3,1
1580586499,2,3
1580588414,3,0
1580590337,3,2
1580592256,3,0
1580594186,2,2
1580596091,3,0
1580598221,3,2
1580600186,4,0
1580602106,1,2
1580604022,4,1
1580605947,0,1
1580638819,1,0
1580649627,0,1
1580653503,0,1
