DateTime,AddedIPs,RemovedIPs
1580385774,2,4
1580387772,3,6
1580389691,0,3
1580391626,1,2
1580393533,1,4
1580395472,1,4
1580397376,0,1
1580399309,1,2
1580401216,1,5
1580403129,1,1
1580405065,0,3
1580406973,0,1
1580408907,1,2
1580410972,0,3
1580412985,1,3
1580414902,1,6
1580416833,4,5
1580418732,1,2
1580420668,4,11
1580422840,2,2
1580424732,2,1
1580426662,0,1
1580428585,2,0
1580430520,4,1
1580433621,4,4
1580435530,4,2
1580437461,3,1
1580439375,2,2
1580441295,0,6
1580444174,0,3
1580446104,3,4
1580448012,3,1
1580449928,3,3
1580451738,4,0
1580453828,0,2
1580455697,2,2
1580457820,3,1
1580459776,3,0
1580461709,2,2
1580463617,2,3
1580465537,1,0
1580467479,0,4
1580469381,1,3
1580471297,3,3
1580473223,1,1
1580475133,0,2
1580478971,2,2
1580480888,3,0
1580482947,4,2
1580484983,1,1
1580487157,0,2
1580489059,2,1
1580492490,4,0
1580494347,1,1
1580498446,1,0
1580500330,2,1
1580502258,0,1
1580504185,1,2
1580506097,1,1
1580508097,0,3
1580509990,4,3
1580511899,0,2
1580513777,5,1
1580515738,1,5
1580517617,6,3
1580519533,1,2
1580521472,1,3
1580523403,4,2
1580525300,1,2
1580527215,0,1
1580529146,1,1
1580531068,1,0
1580532982,6,4
1580534896,4,2
1580537150,2,6
1580538988,3,2
1580541139,0,2
1580543058,0,4
1580544990,4,3
1580546894,0,2
1580548822,4,3
1580550733,4,2
1580552688,0,2
1580554574,2,1
1580556517,1,4
1580559414,4,6
1580561293,2,0
1580563236,4,0
1580565137,0,1
1580567067,1,2
1580568993,1,4
1580570895,0,2
1580573095,3,2
1580574975,8,2
1580576922,2,1
1580578820,5,2
1580580879,1,0
1580582896,0,4
1580584845,0,1
1580586733,0,1
1580588670,5,0
1580590573,2,2
1580592528,2,1
1580595872,4,3
1580597774,2,0
1580599692,5,1
1580601775,4,1
1580603787,1,6
1580605697,2,2
1580607613,0,1
1580609556,3,1
1580611455,6,5
1580613388,9,1
1580615308,2,1
1580617221,2,1
1580619145,5,5
1580621092,3,3
1580623006,0,1
1580624898,4,2
1580627030,5,3
1580629030,3,0
1580630891,1,2
1580633064,4,0
1580634981,1,4
1580636922,2,4
1580638820,1,1
1580640749,2,3
1580642685,2,0
1580644575,1,2
1580646523,4,1
1580649627,6,2
1580651537,1,0
1580653503,1,0
1580655376,1,1
1580657304,1,0
1580659532,2,4
1580661398,1,5
1580663554,1,0
1580665471,1,4
1580667392,157,1
1580669545,779,0
1580671459,2,0
1580673389,2,1
1580675319,2,4
1580677434,0,2
1580679378,1,3
1580681560,0,4
1580683459,3,2
1580685374,0,1
1580687294,0,9
1580689227,2,1
1580693071,2,2
1580694974,5,1
1580696895,0,4
1580699100,6,1
1580700986,5,7
1580702891,1,2
1580704813,2,1
1580706755,6,4
1580708652,0,3
1580710577,3,0
1580712524,3,5
1580714416,4,1
1580716330,1,3
1580718310,0,6
1580720172,5,5
1580722116,5,2
1580725211,0,3
1580727142,1,3
1580729071,0,1
1580730969,6,0
1580732907,3,2
1580734916,1,1
1580736740,2,4
1580738697,0,6
1580740599,0,1
1580742778,1,4
1580744658,2,1
1580746576,2,0
1580748506,0,1
1580750418,1,3
1580754284,0,308
1580756191,0,626
1580758344,0,3
1580760506,0,2
1580762418,0,2
1580764358,0,1
1580766279,1,1
1580768179,2,0
1580770141,2,6
1580772032,3,3
1580773935,2,0
1580775871,3,3
1580777800,1,1
1580779710,4,1
1580781677,0,4
1580783592,1,2
1580785596,2,2
1580787502,4,2
1580789426,5,3
1580791477,7,10
1580793379,2,0
1580795315,2,3
1580797229,1,2
1580799150,5,4
1580801057,2,4
1580802992,1,1
1580804894,2,0
1580806898,2,5
1580808754,7,6
1580810660,0,1
1580812825,3,3
1580814742,3,0
1580816685,3,3
1580818875,5,5
1580820746,1,4
1580822675,1,1
1580826495,2,0
1580828535,6,1
1580830340,3,2
1580832267,0,2
1580834197,1,0
1580838016,1,1
1580839953,0,1
1580843779,3,0
1580845730,2,0
1580847651,2,0
1580849537,1,0
1580851467,1,1
1580853375,3,0
1580855297,5,3
1580858177,1,4
1580860098,0,3
1580862018,1,2
1580863968,4,0
1580865887,0,5
1580867776,2,1
1580869696,7,1
1580872585,0,2
1580874509,1,2
1580876418,4,6
1580878343,0,5
1580880282,2,1
1580882186,3,2
1580884118,2,1
1580886315,5,5
1580888198,0,1
1580890115,2,2
1580892018,0,1
1580894003,1,4
1580895876,6,4
1580897778,0,2
1580899700,4,1
1580901618,0,2
1580903536,1,6
1580905458,5,2
1580907381,0,1
1580909298,3,1
1580911433,1,0
1580913372,1,3
1580915321,1,3
1580917216,2,3
1580919151,1,0
1580921077,0,2
1580925134,0,1
1580927056,2,0
1580928985,8,0
1580930904,1,4
1580933850,3,3
1580935944,1,1
1580937853,3,3
1580939787,1,1
1580941694,0,6
1580944006,1,1
1580946019,2,0
1580947946,4,1
1580949857,2,3
1580951773,2,0
1580953709,1,3
1580955608,0,5
1580957553,1,2
1580963290,4,4
1580966437,4,3
1580968343,1,6
1580970281,3,3
1580972177,0,3
1580974092,1,2
1580976246,1,2
1580978194,4,0
1580980114,2,1
1580982059,2,5
1580983962,2,0
1580985858,3,5
1580988104,2,0
1580989936,0,1
1580991885,1,3
1580993776,1,0
1580995779,2,4
1580997805,2,1
1580999789,4,0
1581001713,0,2
1581003651,1,2
1581005554,0,1
1581007467,2,1
1581009383,2,0
1581011545,1,1
1581013459,3,3
1581015391,1,6
1581017569,2,1
1581019551,3,2
1581021393,2,2
1581023353,0,2
1581025217,0,3
1581029058,0,1
1581030981,0,2
1581032917,1,2
1581034815,1,5
1581036734,1,1
1581038669,10,2
1581040592,1,1
1581044690,0,1
1581048509,1,0
1581050419,2,4
1581052352,0,2
1581054258,0,3
1581056179,0,3
1581060053,0,2
1581063881,1,3
1581065781,1,5
1581067696,1,3
1581069855,0,3
1581071788,0,3
1581075621,2,0
1581077565,0,1
1581079456,2,1
1581081403,1,2
1581083309,0,1
1581085216,1,3
1581087132,4,0
1581090973,1,2
1581093146,0,1
1581095323,0,4
1581097218,0,1
1581101086,1,1
1581103008,3,1
1581104913,1,3
1581106814,0,3
1581110681,2,2
1581112575,2,0
1581114494,1,1
1581118590,1,0
1581120516,0,4
1581122418,0,1
1581124352,0,6
1581126256,5,5
1581128177,3,1
1581130135,3,0
1581132034,2,1
1581133946,3,0
1581135860,0,3
1581139711,4,1
1581147373,3,0
1581151214,1,0
1581153131,0,1
1581155064,0,1
1581156997,0,2
1581159144,2,0
1581161054,1,1
1581162992,0,2
1581164894,1,1
1581167076,4,2
1581168974,3,0
1581170932,1,0
1581172814,0,3
1581174988,0,2
1581176944,1,0
1581178841,0,1
1581184595,5,0
1581186493,0,1
1581188524,0,3
1581190351,2,1
1581196111,0,2
1581198043,0,2
1581199957,4,1
1581201859,2,1
1581205715,2,1
1581207619,1,0
1581209531,1,0
1581211471,1,5
1581213405,2,0
1581215296,0,5
1581217418,0,1
1581219386,1,1
1581221555,0,2
1581223450,1,0
1581225382,0,3
1581227308,1,1
1581229210,2,0
1581234982,0,2
1581236891,0,2
1581239776,1,0
1581243612,0,1
1581245531,1,2
1581247470,0,2
1581251293,0,1
1581253374,1,4
1581255390,0,3
1581257299,1,1
1581261148,4,0
1581263056,1,1
1581266925,2,0
1581268809,2,0
1581270730,5,3
1581272669,2,1
1581276499,442,0
1581278634,527,1
1581286338,0,3
1581288268,0,2
1581292118,4,1
1581294014,2,1
1581295933,1,0
1581299789,4,3
1581301696,1,0
1581303826,1,0
1581305790,3,1
1581307704,1,0
1581309617,1,1
1581311560,1,0
1581313456,0,1
1581315387,0,2
1581317333,1,0
1581321146,1,0
1581324991,0,1
1581329125,1,1
1581335061,1,0
1581336993,3,0
1581338918,2,0
1581342736,1,0
1581344688,0,1
1581346575,0,2
1581348497,0,3
1581350679,2,0
1581354508,0,3
1581356418,1,6
1581358359,0,3
1581362182,3,189
1581364106,3,778
1581366031,1,1
1581367935,1,1
1581373700,1,0
1581376810,1,1
1581379694,0,6
1581381618,0,1
1581383545,3,1
1581387378,0,4
1581389373,1,2
1581391217,1,0
1581393132,0,3
1581398888,1,1
1581400937,4,0
1581404959,1,1
1581406817,0,1
1581408747,2,0
1581410652,2,0
1581414496,2,1
1581416430,0,1
1581418355,0,1
1581420328,2,1
1581422185,0,1
1581424093,0,2
1581427232,4,1
1581429134,0,1
1581431054,3,1
1581437029,4,1
1581439001,4,0
1581442817,1,1
1581446671,2,0
1581448587,2,2
1581450498,0,4
1581452433,0,2
1581454332,2,1
1581456252,2,0
1581460094,0,1
1581462256,0,2
1581466106,1,0
1581468011,3,0
1581469933,1,1
1581471867,2,0
1581475704,2,1
1581477625,0,1
1581483386,6,0
1581485290,2,0
1581488199,0,3
1581490092,0,1
1581492027,1,0
1581495853,0,5
1581499688,0,1
1581502823,0,1
1581504736,1,1
1581506659,1,2
