DateTime,Entries,UniqueIPs
1580523856,1666,1666
1580525786,1674,1674
1580527694,1678,1678
1580529818,1687,1687
1580531783,1698,1698
1580533691,1710,1710
1580535630,1723,1723
1580537565,1727,1727
1580539492,1757,1757
1580541405,1753,1753
1580543302,1777,1777
1580545219,1795,1795
1580547162,1708,1708
1580549088,1834,1834
1580550984,1847,1847
1580552915,1852,1852
1580556011,1834,1834
1580557969,1834,1834
1580559857,1842,1842
1580561772,1876,1876
1580563689,1888,1888
1580565696,1912,1912
1580567553,1911,1911
1580569720,1910,1910
1580571657,1914,1914
1580573538,1884,1884
1580575493,1804,1804
1580577389,1710,1710
1580579304,1589,1589
1580581235,1505,1505
1580583135,1523,1523
1580585069,1519,1519
1580586994,1519,1519
1580588905,1529,1529
1580590958,1524,1524
1580592777,1513,1513
1580594929,1512,1512
1580596814,1515,1515
1580598755,1526,1526
1580600672,1526,1526
1580602868,1525,1525
1580604750,1517,1517
1580606675,1519,1519
1580608579,1514,1514
1580610496,1512,1512
1580613389,1522,1522
1580615309,1510,1510
1580617222,1496,1496
1580619145,1491,1491
1580621093,1484,1484
1580623010,1471,1471
1580624898,1450,1450
1580627047,1436,1436
1580629031,1412,1412
1580630892,1371,1371
1580633064,1348,1348
1580634982,1302,1302
1580636923,1334,1334
1580638822,1336,1336
1580640750,1341,1341
1580642687,1345,1345
1580644576,1346,1346
1580646523,1345,1345
1580649628,1323,1323
1580651537,1307,1307
1580653504,1309,1309
1580655377,1323,1323
1580657304,1302,1302
1580659534,1289,1289
1580661398,1269,1269
1580663555,1265,1265
1580665472,1269,1269
1580667392,1260,1260
1580669546,1246,1246
1580671459,1218,1218
1580673389,1198,1198
1580675319,1179,1179
1580677450,1155,1155
1580679378,1144,1144
1580681574,1137,1137
1580683459,1127,1127
1580685374,1105,1105
1580687295,1087,1087
1580689227,1076,1076
1580691132,1078,1078
1580693072,1064,1064
1580694975,1061,1061
1580696895,1060,1060
1580699121,1046,1046
1580700986,1020,1020
1580702891,1027,1027
1580704813,1032,1032
1580706756,1036,1036
1580708652,1039,1039
1580710579,1047,1047
1580712524,1044,1044
1580714418,1061,1061
1580716331,1076,1076
1580718310,1097,1097
1580720172,1101,1101
1580722116,1101,1101
1580725212,1114,1114
1580727143,1118,1118
1580729071,1117,1117
1580730970,1117,1117
1580732907,1125,1125
1580734934,1292,1292
1580736740,2762,2762
1580738699,2821,2821
1580740600,2839,2839
1580742779,2827,2827
1580744659,2834,2834
1580746577,2829,2829
1580748506,2829,2829
1580750418,2831,2831
1580752332,2837,2837
1580754284,2847,2847
1580756191,2858,2858
1580758344,2844,2844
1580760506,2859,2859
1580762418,2877,2877
1580764358,2880,2880
1580766279,2881,2881
1580768179,2889,2889
1580770141,2891,2891
1580772033,2902,2902
1580773936,2907,2907
1580775872,3173,3173
1580777802,3175,3175
1580779710,3186,3186
1580781678,3187,3187
1580783593,3195,3195
1580785613,3194,3194
1580787503,3203,3203
1580789427,3196,3196
1580791480,3185,3185
1580793380,3173,3173
1580795316,3172,3172
1580797230,3169,3169
1580799151,3164,3164
1580801058,3144,3144
1580802992,3153,3153
1580804894,3017,3017
1580806913,3119,3119
1580808754,3203,3203
1580810660,3194,3194
1580812825,3207,3207
1580814743,3227,3227
1580816686,3235,3235
1580818876,3212,3212
1580820747,3213,3213
1580822676,1924,1924
1580824574,1562,1562
1580826495,1578,1578
1580828555,1587,1587
1580830586,1582,1582
1580832490,1589,1589
1580834418,1588,1588
1580836349,1584,1584
1580838253,1579,1579
1580840420,1574,1574
1580842285,1567,1567
1580844266,1552,1552
1580846185,1534,1534
1580848108,1519,1519
1580850977,1522,1522
1580852909,1536,1536
1580854825,1544,1544
1580856732,1555,1555
1580858659,1550,1550
1580860587,1501,1501
1580862556,1295,1295
1580864622,1288,1288
1580866595,1276,1276
1580868507,1270,1270
1580870415,1261,1261
1580872347,1246,1246
1580874258,1232,1232
1580876173,1221,1221
1580878106,1221,1221
1580880015,1217,1217
1580881940,1207,1207
1580883867,1206,1206
1580885772,1213,1213
1580887696,1233,1233
1580890601,1241,1241
1580892496,1238,1238
1580894426,1218,1218
1580896336,1225,1225
1580898257,1244,1244
1580900184,1263,1263
1580902125,1260,1260
1580904161,1257,1257
1580906176,1272,1272
1580908116,1260,1260
1580910017,1245,1245
1580911942,1257,1257
1580913870,1256,1256
1580915779,1232,1232
1580917698,1221,1221
1580919627,1199,1199
1580921534,1195,1195
1580923479,1195,1195
1580925374,1188,1188
1580927293,1192,1192
1580929485,1193,1193
1580931373,1188,1188
1580933317,1181,1181
1580935214,1294,1294
1580937145,1287,1287
1580939069,1273,1273
1580940985,1265,1265
1580942897,1272,1272
1580944818,1244,1244
1580946742,1236,1236
1580948671,1231,1231
1580950572,1236,1236
1580952493,1244,1244
1580954708,1246,1246
1580956585,1248,1248
1580958506,1259,1259
1580960416,1265,1265
1580962351,1273,1273
1580964288,1277,1277
1580966438,1276,1276
1580968344,1277,1277
1580970281,1287,1287
1580972178,1331,1331
1580974093,1321,1321
1580976261,1313,1313
1580978194,1308,1308
1580980115,1312,1312
1580982059,1310,1310
1580983963,1301,1301
1580985858,1288,1288
1580988104,1256,1256
1580989937,1229,1229
1580991886,1202,1202
1580993776,1184,1184
1580995783,1210,1210
1580997822,1233,1233
1580999790,1217,1217
1581001713,1220,1220
1581003651,1236,1236
1581005555,1253,1253
1581007468,1269,1269
1581009384,1280,1280
1581011546,1295,1295
1581013459,1310,1310
1581015392,1321,1321
1581017569,1323,1323
1581019552,1328,1328
1581021393,1209,1209
1581023354,1211,1211
1581025218,1211,1211
1581027155,1209,1209
1581029058,1205,1205
1581030981,1190,1190
1581032917,1178,1178
1581034816,1174,1174
1581036734,1172,1172
1581038670,1168,1168
1581040593,1163,1163
1581042525,1163,1163
1581044690,1145,1145
1581046603,1128,1128
1581048509,1112,1112
1581050419,1107,1107
1581052354,1100,1100
1581054258,1097,1097
1581056179,1088,1088
1581058113,1080,1080
1581060053,1049,1049
1581061942,1727,1727
1581063882,1732,1732
1581065782,1555,1555
1581067697,1555,1555
1581069862,1563,1563
1581071789,1567,1567
1581073705,1551,1551
1581075621,1553,1553
1581077565,1549,1549
1581079458,1555,1555
1581081404,1555,1555
1581083310,1485,1485
1581085216,1472,1472
1581087132,1468,1468
1581089068,1474,1474
1581090973,1467,1467
1581093146,1454,1454
1581095324,1442,1442
1581097219,1446,1446
1581099154,1444,1444
1581101087,1442,1442
1581103008,1449,1449
1581104913,1470,1470
1581106815,1478,1478
1581108735,1485,1485
1581110682,1490,1490
1581112575,1498,1498
1581114494,1508,1508
1581116790,1521,1521
1581118590,1542,1542
1581120516,1563,1563
1581122418,1565,1565
1581124353,1560,1560
1581126256,1557,1557
1581128178,1558,1558
1581130135,1560,1560
1581132035,1633,1633
1581133946,1666,1666
1581135860,1676,1676
1581137783,1682,1682
1581139711,1693,1693
1581141745,1704,1704
1581143553,1695,1695
1581145412,1708,1708
1581147375,1088,1088
1581149344,1071,1071
1581151215,1087,1087
1581153132,1099,1099
1581155065,1098,1098
1581156997,1115,1115
1581159145,1134,1134
1581161054,1150,1150
1581162993,1150,1150
1581164894,1157,1157
1581167088,1187,1187
1581168975,1216,1216
1581170932,1234,1234
1581172814,1257,1257
1581174988,1239,1239
1581176944,1246,1246
1581178841,1262,1262
1581180736,1275,1275
1581182657,1289,1289
1581184597,1298,1298
1581186493,1289,1289
1581188566,1284,1284
1581190569,1280,1280
1581192760,1277,1277
1581194654,1283,1283
1581196581,1282,1282
1581198521,1274,1274
1581200417,1261,1261
1581202331,1250,1250
1581204269,1226,1226
1581206169,1222,1222
1581208095,1218,1218
1581210156,1216,1216
1581212190,1215,1215
1581214355,1215,1215
1581216250,1222,1222
1581218178,1209,1209
1581220129,1197,1197
1581222008,1201,1201
1581223933,1202,1202
1581225876,1216,1216
1581227772,1218,1218
1581229689,1236,1236
1581232582,1242,1242
1581234518,1246,1246
1581236436,1239,1239
1581238344,1257,1257
1581240275,1266,1266
1581242183,4547,4547
1581244095,6771,6771
1581247011,6757,6757
1581248908,6756,6756
1581250814,6759,6759
1581252731,6759,6759
