DateTime,AddedIPs,RemovedIPs
1580521943,71,97
1580523856,71,103
1580525787,78,105
1580527695,70,82
1580529831,88,88
1580531784,84,83
1580533691,63,57
1580535631,115,62
1580537566,106,76
1580539493,76,58
1580541405,66,53
1580543302,82,57
1580545220,78,51
1580547163,88,73
1580549089,72,76
1580550984,87,85
1580552915,108,61
1580556012,126,127
1580557971,91,82
1580559865,62,67
1580561772,93,76
1580563690,49,66
1580565715,54,76
1580567553,61,72
1580569721,115,80
1580571658,172,65
1580573538,76,70
1580575493,87,68
1580577389,86,59
1580579304,93,72
1580581236,80,56
1580583136,105,52
1580585070,81,63
1580586994,67,65
1580588905,77,51
1580590977,75,58
1580592777,76,45
1580594929,170,69
1580596815,74,60
1580598756,78,62
1580600673,100,67
1580602886,77,98
1580604750,56,65
1580606676,49,71
1580608580,110,54
1580610496,106,60
1580613390,189,110
1580615309,99,61
1580617223,97,79
1580619146,61,64
1580621093,66,64
1580623024,79,59
1580624899,48,74
1580627058,77,206
1580629031,58,67
1580630892,105,77
1580633065,94,90
1580634983,39,76
1580636924,59,70
1580638830,56,103
1580640751,80,68
1580642695,72,62
1580644577,57,80
1580646524,100,58
1580649629,98,106
1580651538,52,50
1580653505,98,52
1580655378,77,87
1580657306,89,99
1580659548,108,148
1580661399,83,73
1580663556,84,102
1580665473,98,83
1580667393,212,76
1580669547,993,112
1580671460,2700,67
1580673390,1585,69
1580675321,1676,74
1580677507,1577,86
1580679379,1767,76
1580681575,1975,165
1580683460,1959,72
1580685375,1617,81
1580687296,2354,97
1580689228,1541,71
1580691133,1863,57
1580693073,1592,53
1580694976,1634,113
1580696896,1461,100
1580699192,1903,97
1580701222,1742,164
1580703147,1649,102
1580705052,2376,72
1580706974,652,65
1580708917,60,82
1580710823,76,63
1580712750,55,74
1580714665,70,53
1580716572,85,86
1580718493,105,104
1580720541,97,56
1580722591,103,61
1580724497,104,47
1580726423,87,84
1580728354,96,68
1580730256,81,62
1580732185,103,92
1580734113,83,75
