DateTime,AddedIPs,RemovedIPs
1572651152,1,0
1572685036,0,1
1572694829,0,1
1572715975,1,0
1572737572,0,1
1572800682,0,1
1572859262,1,0
1572900979,1,0
1572905320,1,0
1572946461,1,1
1572986686,0,1
1572992675,0,1
1573031799,0,1
1573069705,1,0
1573108896,1,0
1573116762,1,0
1573156371,0,1
1573196234,0,1
1573201242,0,1
1573399485,1,0
1573484734,0,1
1573555951,1,0
1573608514,1,0
1573642962,0,1
1573687247,1,0
1573694899,0,1
1573713871,1,0
1573716030,1,0
1573723732,1,0
1573773139,1,1
1573801477,0,1
1573803372,0,1
1573809399,0,1
1573858354,0,1
1574023270,1,0
1574110351,0,1
1574155239,1,0
1574162206,1,0
1574174447,1,0
1574190543,1,0
1574206600,1,0
1574241867,0,1
1574247906,0,1
1574260111,0,1
1574278593,0,1
1574290135,0,1
1574326864,1,0
1574389028,1,0
1574415152,0,1
1574473973,0,1
1574501553,1,0
1574586541,0,1
1574637403,1,0
1574721147,0,1
1574743953,1,0
1574814027,1,0
1574829870,1,0
1574832048,0,1
1574901623,0,1
1574916027,0,1
1574935469,1,0
1574996190,1,0
1575004128,1,0
1575021405,1,0
1575023307,0,1
1575083568,0,1
1575089534,0,1
1575105158,0,1
1575167792,1,0
1575171858,1,0
1575215797,1,0
1575254422,0,1
1575258272,0,1
1575279411,1,0
1575303177,0,1
1575364629,0,1
1575372035,1,0
1575458182,0,1
1575548438,1,0
1575573879,1,0
1575591402,1,0
1575613003,2,0
1575677105,0,2
1575688821,0,1
1575794909,1,2
1575814340,1,0
1575882353,0,1
1575899837,0,1
1575918266,1,0
1575924021,1,0
1575992433,1,0
1576006100,0,1
1576010418,0,1
1576057489,1,0
1576079333,0,1
1576142434,0,1
1576397807,1,0
1576482038,0,1
1576784410,2,0
1576797895,1,0
1576848743,1,0
1576852570,1,0
1576860271,1,0
1576872643,0,2
1576878491,1,0
1576884273,1,1
1576935632,0,1
1576939452,0,1
1576947145,0,1
1576966355,0,1
1576968276,0,1
1577010490,1,0
1577095936,0,1
1577121373,1,0
1577206096,0,1
1577669071,1,0
1577670970,1,0
1577676019,3,0
1577677937,1,0
1577679848,1,0
1577683687,1,0
1577685702,6,0
1577689620,1,0
1577691650,2,0
1577695708,1,0
1577699537,7,0
1577701463,7,0
1577707472,13,0
1577709617,1,0
1577711540,1,0
1577723296,3,0
1577725350,4,0
1577734813,1,0
1577742756,1,0
1577748548,14,0
1577750493,19,0
1577752348,1,0
1577756424,2,1
1577758339,4,0
1577760283,3,0
1577762179,0,3
1577764344,9,1
1577766279,1,1
1577770101,0,1
1577772360,4,6
1577776193,0,1
1577778067,1,2
1577781859,0,1
1577785726,3,8
1577787632,13,7
1577793399,0,13
1577795576,1,1
1577799404,1,1
1577803235,18,0
1577805408,20,0
1577811386,0,7
1577817393,1,0
1577821255,1,1
1577823150,1,0
1577827227,3,0
1577829146,0,1
1577831072,2,0
1577834969,0,10
1577837147,0,11
1577838991,0,1
1577843061,3,2
1577845014,2,3
1577846902,3,3
1577848877,4,8
1577850756,1,1
1577852698,0,1
1577856543,2,0
1577858632,0,4
1577860620,2,0
1577864413,0,1
1577868270,1,0
1577872114,1,3
1577874011,16,14
1577879816,2,0
1577881971,1,1
1577885774,0,1
1577889863,0,23
1577891784,0,26
1577895887,0,1
1577904020,0,1
1577907874,0,1
1577909806,0,1
1577913852,0,3
1577916327,0,1
1577929948,0,2
1577931851,0,4
1577933779,0,1
1577935706,0,4
1577938830,0,1
1577940734,0,1
1577942649,0,2
1577944590,1,0
1577946492,0,1
1577949623,0,1
1577953476,0,1
1577957288,0,1
1577961152,0,16
1577963104,0,1
1577966913,0,2
1577968844,0,1
1578030014,0,1
1578478134,1,0
1578483874,1,0
1578565705,0,1
1578621392,0,1
1578637040,1,0
1578722667,0,1
1578791587,1,0
1578876988,0,1
1579342352,1,0
1579427538,0,1
1579451544,1,0
1579488989,1,0
1579529771,1,0
1579539390,0,1
1579576841,0,1
1579614503,0,1
1580106977,1,0
1580198908,1,0
1580259405,0,1
1580284575,0,1
1580354178,1,0
1580356110,1,0
1580359931,3,0
1580363772,1,0
1580365949,1,0
1580369787,1,0
1580375561,2,0
1580379376,21,0
1580383219,1,0
1580399790,4,0
1580411793,3,0
1580428329,1,0
1580439132,2,0
1580441068,1,1
1580442984,0,1
1580447026,0,2
1580448996,0,1
1580450896,1,0
1580452811,0,1
1580454734,1,0
1580456677,0,1
1580460763,2,1
1580462653,0,1
1580464587,0,21
1580466496,0,1
1580469626,1,1
1580473456,1,0
1580486170,0,4
1580492491,1,0
1580498447,0,3
1580511130,1,0
1580514984,0,1
1580516892,36,0
1580520997,15,0
1580524814,2,2
1580526751,1,0
1580528654,2,1
1580532528,31,0
1580534414,6,0
1580536330,3,1
1580538266,13,0
1580540180,0,1
1580542104,4,0
1580547163,0,2
1580549108,8,0
1580554956,0,1
1580561060,1,1
1580568993,1,0
1580586734,1,0
1580596589,2,1
1580598501,1,1
1580602385,10,6
1580604270,0,1
1580606173,10,1
1580608108,5,27
1580610015,0,1
1580611929,2,1
