DateTime,AddedIPs,RemovedIPs
1578454107,0,1
1578462727,0,1
1578464674,0,1
1578492315,2,1
1578494449,1,0
1578523301,1,0
1578528978,1,0
1578530914,0,1
1578532817,1,0
1578534734,0,1
1578540498,0,1
1578542724,0,1
1578548423,1,0
1578565706,1,0
1578567901,1,0
1578571734,1,0
1578575797,1,0
1578583714,1,0
1578593789,0,2
1578615617,2,0
1578626205,0,2
1578640845,0,1
1578651234,0,1
1578653336,0,1
1578655208,1,1
1578657313,3,0
1578661741,2,0
1578674418,0,1
1578684898,1,0
1578696771,0,1
1578698699,1,1
1578700588,1,1
1578708506,0,1
1578716657,0,2
1578718610,0,1
1578720524,1,0
1578742393,0,1
1578748483,0,1
1578754356,2,0
1578756286,1,0
1578762508,1,0
1578770180,0,1
1578778100,1,0
1578780433,1,0
1578797799,0,1
1578821298,1,0
1578823372,0,1
1578829261,1,0
1578831415,1,0
1578833548,0,1
1578835494,0,1
1578837421,1,1
1578839311,0,2
1578841588,0,2
1578853478,1,0
1578860424,1,0
1578868093,1,2
1578873138,2,0
1578875080,1,0
1578884894,0,1
1578888755,0,1
1578892829,0,1
1578908420,0,1
1578916097,1,0
1578918290,0,1
1578922094,1,0
1578924264,0,1
1578936033,3,0
1578945966,1,1
1578947832,1,0
1578949729,1,0
1578953998,0,1
1578959789,0,1
1578961704,2,0
1578985727,0,1
1578989563,1,0
1578993391,1,1
1578995546,1,0
1578999396,1,1
1579004412,1,0
1579010172,1,0
1579012341,0,1
1579022194,1,0
1579026036,1,0
1579027967,0,1
1579033710,0,2
1579036851,0,1
1579044493,1,0
1579048369,0,1
1579052350,0,1
1579066829,0,2
1579074741,0,1
1579084572,1,1
1579088449,1,0
1579090370,0,1
1579094434,1,0
1579108829,1,1
1579110748,0,1
1579129567,0,2
1579131381,1,0
1579162711,1,0
1579164526,1,0
1579168342,1,0
1579174122,1,1
1579186343,0,1
1579190218,1,0
1579192095,1,0
1579194320,1,0
