DateTime,AddedIPs,RemovedIPs
1580493984,6,1
1580496068,3,4
1580497965,8,0
1580499879,3,4
1580501776,1,1
1580503696,1,4
1580505630,2,2
1580507565,1,1
1580509474,5,0
1580511386,2,7
1580513292,2,6
1580515306,5,1
1580517148,3,1
1580519028,6,2
1580520998,4,2
1580522917,7,2
1580524815,1,3
1580526752,2,6
1580528656,2,2
1580530573,4,4
1580532529,3,4
1580534415,1,6
1580536331,62,1
1580538267,21,2
1580540182,4,0
1580542106,4,0
1580545222,1,1
1580549113,3,2
1580550986,2,0
1580552919,5,1
1580554996,2,1
1580556985,4,7
1580559163,2,2
1580561061,5,0
1580563238,2,0
1580565140,2,1
1580568994,3,0
1580570896,11,1
1580573118,3,0
1580576924,18,0
1580578825,5,1
1580580882,2,0
1580582898,3,1
1580584858,2,1
1580586735,3,0
1580588673,0,1
1580590575,4,1
1580594631,1,1
1580596590,3,2
1580598502,2,0
1580600419,3,3
1580602389,1,3
1580604274,0,1
1580606177,1,0
1580608109,0,1
1580610017,1,0
1580611930,2,1
1580613866,2,1
1580615773,5,0
1580617690,1,2
1580619787,1,0
1580621785,1,1
1580623710,1,1
1580625616,1,2
1580627550,1,169
1580631379,4,0
1580633310,1,0
1580635210,3,3
1580637150,0,6
1580639064,1,2
1580640972,5,2
1580642908,1,4
1580646014,3,0
1580647933,6,5
1580649865,0,1
1580651772,1,2
1580653945,4,1
1580656112,0,1
1580658016,4,9
1580659959,1,0
1580661858,4,2
1580664056,6,21
1580665938,4,6
1580667971,334,2
1580669789,1137,2
1580671692,2488,3
1580673789,1555,2
1580675782,1804,0
1580677721,1306,9
1580679618,1824,1
1580681577,1623,2
1580683463,1880,4
1580685377,1542,2
1580687298,2298,6
1580689230,1492,2
1580691135,1798,0
1580693075,1509,0
1580694978,1559,0
1580696899,1400,1
1580699201,1842,2
1580701225,1684,3
1580703149,1588,3
1580705055,2356,0
1580706976,604,2
1580708919,1,2
1580712752,1,1
1580716574,1,1
1580718495,0,4
1580720630,1,1
1580722593,2,2
1580724499,3,0
1580726425,3,2
1580728356,2,2
1580730258,1,2
1580732188,2,2
1580734115,5,4
1580736015,5,3
1580739870,0,1
1580741798,1,2
1580743694,0,2
1580745878,0,1
1580747796,1,4
1580749963,8,5
1580751860,9,2
1580753780,2,158
1580755733,5,736
1580757618,2,2720
1580759535,3,1506
1580761476,2,1639
1580763393,0,1562
1580765306,0,1472
1580767521,5,1883
1580769392,1,1792
1580771310,4,1482
1580773216,1,2239
1580775176,0,1632
1580777060,1,1846
1580778982,6,1506
1580781027,1,1670
1580782894,2,1339
1580784841,11,1827
1580786695,7,1315
1580788602,1,1594
1580790493,1,1906
1580792694,4,1797
1580794596,3,2
1580796509,3,0
1580798416,0,1
1580800465,5,0
1580802273,7,0
1580804176,0,1
1580806003,6,1
1580807844,4,0
1580809704,5,2
1580811642,6,4
1580813558,1,3
1580815466,3,2
1580817967,0,1
1580819859,0,3
1580821717,1,8
1580823627,2,0
1580825575,6,0
1580827478,6,0
1580829411,3,2
1580831322,5,1
1580833271,3,1
1580835144,2,0
1580837166,12,10
1580839003,0,3
1580840938,2,3
1580843143,2,3
1580845000,1,3
1580847175,13,1
1580849056,1,2
1580850980,3,1
1580852912,0,3
1580854827,2,2
1580856736,0,4
1580858662,3,4
1580860589,7,1
1580862559,1,1
1580864747,2,3
1580866597,4,3
1580868512,3,3
1580870418,3,8
1580872349,4,6
1580874260,3,1
1580876175,5,1
1580878109,13,3
1580880018,4,4
1580881942,2,0
1580883870,3,3
1580885775,2,3
1580887698,3,9
1580889777,4,0
1580891780,4,6
1580893706,0,3
1580895622,0,6
1580897538,3,5
1580899483,4,3
1580901375,5,2
1580903313,7,2
1580907148,0,1
1580909055,2,2
1580910991,2,3
1580912890,0,6
1580915780,4,10
1580917699,1,4
1580919628,6,4
1580921535,4,0
1580923484,4,12
1580925379,2,0
1580927295,0,2
1580929546,0,2
1580931377,3,1
1580933318,3,10
1580935215,3,4
1580937146,5,0
1580939070,1,3
1580942898,17,3
1580944822,2,1
1580946743,3,9
1580948675,0,1
1580950577,6,2
1580952494,3,5
1580954749,8,5
1580956587,1,3
1580958509,4,3
1580960417,2,4
1580962352,2,6
1580964289,2,13
1580966445,3,4
1580968346,0,2
1580970283,7,4
1580972189,1,2
1580974098,4,3
1580976386,5,4
1580978199,4,3
1580980120,0,1
1580982062,2,1
1580983965,1,3
1580985862,2,2
1580988108,2,4
1580989939,29,4
1580991888,2,0
1580993781,5,0
1580995850,4,2
1580997941,2,3
1580999794,1,4
1581001715,1,3
1581003654,1,3
1581005557,1,4
1581007473,3,3
1581009388,6,3
1581011548,1,2
1581013462,6,4
1581015394,1,1
1581017572,0,2
1581019554,2,3
1581021396,4,3
1581023356,2,6
1581027157,3,2
1581029061,17,17
1581030983,9,2
1581032919,0,4
1581034818,1,0
1581036736,3,6
1581038672,1,2
1581040595,6,16
1581042527,0,1
1581044696,4,5
1581046605,2,2
1581048511,0,2
1581050421,3,2
1581052355,1,2
1581054268,2,0
1581056181,2,4
1581058115,5,5
1581060055,0,4
1581061945,2,4
1581063884,3,2
1581065784,2,3
1581067700,0,1
1581069899,3,2
1581071807,4,2
1581073707,0,1
1581075623,3,7
1581077567,5,4
1581079469,2,1
1581081406,3,6
1581083312,0,2
1581085222,3,0
1581087138,2,2
1581089073,2,0
1581090979,3,0
1581093151,2,4
1581094993,5,4
1581096993,4,1
1581098896,3,2
1581100814,6,5
1581102776,2,2
1581104661,2,1
1581106577,5,2
1581108510,5,6
1581110424,1,0
1581112331,2,1
1581114268,3,4
1581116193,2,4
1581118110,4,2
1581120229,3,0
1581122187,2,1
1581124113,1,3
1581126011,3,3
1581127949,1,4
1581129853,2,3
1581131800,2,1
1581133697,4,1
1581135612,6,1
1581137543,0,4
1581139476,2,1
1581141385,2,2
1581143289,1,3
1581145448,6,3
1581147377,2,1
1581149345,0,3
1581151216,1,3
1581153132,3,1
1581155065,2,1
1581156998,1,3
1581159154,3,0
1581161056,7,1
1581163003,3,2
1581164896,2,2
1581167132,0,1
1581168976,0,3
1581172816,4,6
1581174990,6,2
1581176946,5,7
1581178843,0,3
1581180738,0,5
1581182659,0,3
1581184608,6,2
1581186495,6,4
1581188629,2,1
1581190570,0,2
1581192765,4,2
1581194656,3,7
1581196584,4,2
1581198523,3,0
1581200420,1,3
1581202333,1,2
1581204271,0,4
1581206172,1,4
1581208097,2,0
1581210246,5,3
1581212200,4,5
1581214357,15,1
1581216252,2,2
1581218180,7,2
1581220131,1,3
1581222010,0,7
1581223958,6,0
1581225885,0,1
1581227784,3,2
1581229691,3,1
1581231713,2,7
1581233547,3,2
1581235499,2,1
1581237389,1,1
1581239292,0,2
1581241212,5,3
1581243146,3,2
1581245051,4,1
1581247022,2,6
1581248910,4,3
1581250816,2,1
1581252759,5,0
1581256574,2,1
1581258507,2,3
1581260738,2,5
1581262594,5,6
1581264513,2,0
1581266418,4,0
1581268354,6,1
1581270266,3,4
1581272181,4,2
1581274113,4,5
1581276078,295,1
1581277937,853,1
1581279855,2695,1
1581281774,1462,6
1581283714,1554,2
1581285765,1468,3
1581287773,1754,0
1581289612,1392,1
1581291635,2683,0
1581293547,1442,0
1581295462,2260,0
1581297375,1659,1
1581299318,1812,0
1581301234,1514,0
1581303163,1577,2
1581305070,1271,1
1581306997,1490,2
1581308896,1504,1
1581311007,1495,3
1581313005,2044,0
1581314906,2128,0
1581316821,9,1
1581318751,4,2
1581320657,0,2
1581322579,3,0
1581324504,1,1
1581326425,7,0
1581328335,3,2
1581330272,1,0
1581332192,4,1
1581334097,0,1
1581336240,6,0
1581338195,2,3
1581340102,1,22
1581342016,4,0
1581343950,3,0
1581345863,1,0
1581347775,6,2
1581349711,3,0
1581351619,6,1
1581353553,1,0
1581355476,0,3
1581357376,0,1
1581359297,5,6
1581361543,3,31
1581363379,3,515
