DateTime,Entries,UniqueIPs
1580493984,201,201
1580496068,200,200
1580497965,208,208
1580499879,207,207
1580501776,207,207
1580503696,204,204
1580505630,204,204
1580507565,204,204
1580509474,209,209
1580511386,204,204
1580513292,200,200
1580515306,204,204
1580517148,206,206
1580519028,210,210
1580520998,212,212
1580522917,217,217
1580524815,215,215
1580526752,211,211
1580528656,211,211
1580530573,211,211
1580532529,210,210
1580534415,205,205
1580536331,266,266
1580538267,285,285
1580540182,289,289
1580542106,293,293
1580545222,293,293
1580549113,294,294
1580550986,296,296
1580552919,300,300
1580554996,301,301
1580556985,298,298
1580559163,298,298
1580561061,303,303
1580563238,305,305
1580565140,306,306
1580568994,309,309
1580570896,319,319
1580573118,322,322
1580576924,340,340
1580578825,344,344
1580580882,346,346
1580582898,348,348
1580584858,349,349
1580586735,352,352
1580588673,351,351
1580590575,354,354
1580594631,354,354
1580596590,355,355
1580598502,357,357
1580600419,357,357
1580602389,355,355
1580604274,354,354
1580606177,355,355
1580608109,354,354
1580610017,355,355
1580611930,356,356
1580613866,357,357
1580615773,362,362
1580617690,361,361
1580619787,362,362
1580621785,362,362
1580623710,362,362
1580625616,361,361
1580627550,193,193
1580631379,197,197
1580633310,198,198
1580635210,198,198
1580637150,192,192
1580639064,191,191
1580640972,194,194
1580642908,191,191
1580646014,194,194
1580647933,195,195
1580649865,194,194
1580651772,193,193
1580653945,196,196
1580656112,195,195
1580658016,190,190
1580659959,191,191
1580661858,193,193
1580664056,178,178
1580665938,176,176
1580667971,508,508
1580669789,1643,1643
1580671692,4128,4128
1580673789,5681,5681
1580675782,7485,7485
1580677721,8782,8782
1580679618,10605,10605
1580681577,12226,12226
1580683463,14102,14102
1580685377,15642,15642
1580687298,17934,17934
1580689230,19424,19424
1580691135,21222,21222
1580693075,22731,22731
1580694978,24290,24290
1580696899,25689,25689
1580699201,27529,27529
1580701225,29210,29210
1580703149,30795,30795
1580705055,33151,33151
1580706976,33753,33753
1580708919,33752,33752
1580712752,33752,33752
1580716574,33752,33752
1580718495,33748,33748
1580720630,33748,33748
1580722593,33748,33748
1580724499,33751,33751
1580726425,33752,33752
1580728356,33752,33752
1580730258,33751,33751
1580732188,33751,33751
1580734115,33752,33752
1580736015,33754,33754
1580739870,33753,33753
1580741798,33752,33752
1580743694,33750,33750
1580745878,33749,33749
1580747796,33746,33746
1580749963,33749,33749
1580751860,33756,33756
1580753780,33600,33600
1580755733,32869,32869
1580757618,30151,30151
1580759535,28648,28648
1580761476,27011,27011
1580763393,25449,25449
1580765306,23977,23977
1580767521,22099,22099
1580769392,20308,20308
1580771310,18830,18830
1580773216,16592,16592
1580775176,14960,14960
1580777060,13115,13115
1580778982,11615,11615
1580781027,9946,9946
1580782894,8609,8609
1580784841,6793,6793
1580786695,5485,5485
1580788602,3892,3892
1580790493,1987,1987
1580792694,194,194
1580794596,195,195
1580796509,198,198
1580798416,197,197
1580800465,202,202
1580802273,209,209
1580804176,208,208
1580806003,213,213
1580807844,217,217
1580809704,220,220
1580811642,222,222
1580813558,220,220
1580815466,221,221
1580817967,220,220
1580819859,217,217
1580821717,210,210
1580823627,212,212
1580825575,218,218
1580827478,224,224
1580829411,225,225
1580831322,229,229
1580833271,231,231
1580835144,233,233
1580837166,235,235
1580839003,232,232
1580840938,231,231
1580843143,230,230
1580845000,228,228
1580847175,240,240
1580849056,239,239
1580850980,241,241
1580852912,238,238
1580854827,238,238
1580856736,234,234
1580858662,233,233
1580860589,239,239
1580862559,239,239
1580864747,238,238
1580866597,239,239
1580868512,239,239
1580870418,234,234
1580872349,232,232
1580874260,234,234
1580876175,238,238
1580878109,248,248
1580880018,248,248
1580881942,250,250
1580883870,250,250
1580885775,249,249
1580887698,243,243
1580889777,247,247
1580891780,245,245
1580893706,242,242
1580895622,236,236
1580897538,234,234
1580899483,235,235
1580901375,238,238
1580903313,243,243
1580907148,242,242
1580909055,242,242
1580910991,241,241
1580912890,235,235
1580915780,229,229
1580917699,226,226
1580919628,228,228
1580921535,232,232
1580923484,224,224
1580925379,226,226
1580927295,224,224
1580929546,222,222
1580931377,224,224
1580933318,217,217
1580935215,216,216
1580937146,221,221
1580939070,219,219
1580942898,233,233
1580944822,234,234
1580946743,228,228
1580948675,227,227
1580950577,231,231
1580952494,229,229
1580954749,232,232
1580956587,230,230
1580958509,231,231
1580960417,229,229
1580962352,225,225
1580964289,214,214
1580966445,213,213
1580968346,211,211
1580970283,214,214
1580972189,213,213
1580974098,214,214
1580976386,215,215
1580978199,216,216
1580980120,215,215
1580982062,216,216
1580983965,214,214
1580985862,214,214
1580988108,212,212
1580989939,237,237
1580991888,239,239
1580993781,244,244
1580995850,246,246
1580997941,245,245
1580999794,242,242
1581001715,240,240
1581003654,238,238
1581005557,235,235
1581007473,235,235
1581009388,238,238
1581011548,237,237
