DateTime,Entries,UniqueIPs
1580529857,1137,1137
1580531785,1154,1154
1580533691,1158,1158
1580535632,1154,1154
1580537570,1153,1153
1580539497,1159,1159
1580541406,1161,1161
1580543306,1169,1169
1580545221,1172,1172
1580547164,1173,1173
1580549113,1169,1169
1580550985,1184,1184
1580552919,1191,1191
1580554978,1186,1186
1580556984,1180,1180
1580559163,1184,1184
1580561061,1186,1186
1580563237,1162,1162
1580565140,1157,1157
1580567081,1143,1143
1580568994,1137,1137
1580570896,1132,1132
1580573116,1119,1119
1580574976,1119,1119
1580576924,1122,1122
1580578824,1119,1119
1580580881,1117,1117
1580582897,1116,1116
1580584847,1105,1105
1580586734,1108,1108
1580588672,1108,1108
1580590574,1114,1114
1580592529,1117,1117
1580594590,1122,1122
1580596590,1128,1128
1580598502,1126,1126
1580600418,1126,1126
1580602388,1121,1121
1580604274,1126,1126
1580606177,1116,1116
1580608109,1118,1118
1580610017,1124,1124
1580611930,1120,1120
1580613866,1126,1126
1580615773,1121,1121
1580617690,1116,1116
1580619767,1102,1102
1580621784,1093,1093
1580623709,1086,1086
1580625615,1088,1088
1580627550,1076,1076
1580629480,1081,1081
1580631379,1080,1080
1580633309,1071,1071
1580635210,1065,1065
1580637150,1056,1056
1580639063,1054,1054
1580640972,1043,1043
1580642908,1054,1054
1580644907,1046,1046
1580646743,1049,1049
1580648661,1048,1048
1580650587,1047,1047
1580652505,1049,1049
1580654416,1053,1053
1580656351,1061,1061
1580658256,1069,1069
1580660427,1078,1078
1580662346,1085,1085
1580664254,1089,1089
1580666199,1091,1091
1580668363,1102,1102
1580670310,1103,1103
1580672180,1102,1102
1580674122,1089,1089
1580676030,1085,1085
1580677945,1073,1073
1580679879,1071,1071
1580682022,1067,1067
1580683948,1064,1064
1580685861,1063,1063
1580687785,1068,1068
1580689693,1066,1066
1580691866,1056,1056
1580693785,1062,1062
1580695697,1054,1054
1580697614,1042,1042
1580699567,1048,1048
1580701458,1051,1051
1580703379,1045,1045
1580705313,1039,1039
1580707239,1049,1049
1580709134,1049,1049
1580711100,1048,1048
1580712987,1046,1046
1580714904,1044,1044
1580717038,1054,1054
1580718997,1058,1058
1580720908,1068,1068
1580722820,1073,1073
1580724756,1072,1072
1580726661,1068,1068
1580728578,1056,1056
1580730513,1053,1053
1580732418,1054,1054
1580734351,1048,1048
1580736274,1045,1045
1580738177,1045,1045
1580740096,1037,1037
1580742237,1036,1036
1580744186,1036,1036
1580746115,1030,1030
1580748019,1025,1025
1580749962,1013,1013
1580751859,1010,1010
1580753779,1003,1003
1580755732,996,996
1580757617,1007,1007
1580759534,1008,1008
1580761475,1018,1018
1580763393,1023,1023
1580765306,1024,1024
1580767513,1041,1041
1580769392,1058,1058
1580771310,1070,1070
1580773216,1075,1075
1580775176,1079,1079
1580777060,1075,1075
1580778981,1066,1066
1580781027,1078,1078
1580782894,1094,1094
1580784841,1106,1106
1580786694,1102,1102
1580788602,1097,1097
1580790493,1108,1108
1580792687,1119,1119
1580794595,1121,1121
1580796508,1130,1130
1580798415,1140,1140
1580800464,1124,1124
1580802272,1129,1129
1580804176,1138,1138
1580806003,1141,1141
1580807843,1150,1150
1580809704,1141,1141
1580811642,1144,1144
1580813557,1148,1148
1580815466,1160,1160
1580817958,1162,1162
1580819859,1166,1166
1580821717,1173,1173
1580823626,1184,1184
1580825575,1185,1185
1580827478,1195,1195
1580829410,1209,1209
1580831320,1222,1222
1580833271,1233,1233
1580835144,1227,1227
1580837165,1232,1232
1580839003,1235,1235
1580840938,1240,1240
1580843142,1226,1226
1580845000,1229,1229
1580847174,1247,1247
1580849056,1246,1246
1580850979,1258,1258
1580852912,1249,1249
1580854827,1238,1238
1580856736,1223,1223
1580858661,1207,1207
1580860589,1213,1213
1580862559,1218,1218
1580864745,1227,1227
1580866597,1219,1219
1580868512,1217,1217
1580870417,1214,1214
1580872349,1210,1210
1580874260,1221,1221
1580876175,1222,1222
1580878108,1233,1233
1580880018,1235,1235
1580881942,1231,1231
1580883870,1219,1219
1580885774,1230,1230
1580887698,1245,1245
1580890823,1255,1255
1580892729,1264,1264
1580894657,1271,1271
1580896581,1279,1279
1580898492,1291,1291
1580901374,1292,1292
1580903312,1293,1293
1580905212,1316,1316
1580907148,1322,1322
1580909054,1312,1312
1580910991,1317,1317
1580912890,1333,1333
1580915780,1348,1348
1580917699,1356,1356
1580919628,1368,1368
1580921535,1382,1382
1580923483,1390,1390
1580925379,1399,1399
1580927295,1408,1408
1580929537,1427,1427
1580931377,1437,1437
1580933318,1436,1436
1580935215,1444,1444
1580937145,1438,1438
1580939070,1444,1444
1580940985,1462,1462
1580942897,1469,1469
1580944822,1477,1477
1580946742,1473,1473
1580948675,1471,1471
1580950577,1479,1479
1580952493,1486,1486
1580954742,1479,1479
1580956586,1474,1474
1580958509,1492,1492
1580960417,1485,1485
1580962352,1488,1488
1580964289,1494,1494
1580966443,1478,1478
1580968346,1479,1479
1580970283,1473,1473
1580972179,1448,1448
1580974098,1432,1432
1580976386,1414,1414
1580978199,1402,1402
1580980120,1395,1395
1580982061,1385,1385
1580983965,1368,1368
1580985862,1358,1358
1580988107,1347,1347
1580989939,1338,1338
1580991888,1312,1312
1580993781,1302,1302
1580995843,1301,1301
1580997936,1295,1295
1580999794,1284,1284
1581001715,1272,1272
1581003653,1253,1253
1581005557,1234,1234
1581007472,1234,1234
1581009388,1214,1214
1581011547,1201,1201
1581013462,1202,1202
1581015393,1181,1181
1581017571,1161,1161
1581019553,1149,1149
1581021395,1148,1148
1581023355,1139,1139
1581025223,1129,1129
1581027157,1103,1103
1581029060,1091,1091
