DateTime,AddedIPs,RemovedIPs
1580231563,3,3
1580233458,3,3
1580235407,1,1
1580237300,0,1
1580239233,4,2
1580241135,2,1
1580243057,2,1
1580245010,3,0
1580246930,0,1
1580249109,1,1
1580250978,3,4
1580252913,0,2
1580254815,1,3
1580260577,4,2
1580262493,1,0
1580264440,0,1
1580266349,1,1
1580268260,2,3
1580270200,2,2
1580272099,2,2
1580275221,1,5
1580277127,1,2
1580279050,1,2
1580280982,2,1
1580282911,4,6
1580286018,1,4
1580287946,3,4
1580289859,0,2
1580291782,2,4
1580293692,2,2
1580296824,2,5
1580298729,1,3
1580300653,1,1
1580302601,3,0
1580304488,0,1
1580306530,2,2
1580308340,1,0
1580311218,3,1
1580313130,4,1
1580315066,2,0
1580316994,0,2
1580318893,1,4
1580320992,0,1
1580322989,3,1
1580324895,2,2
1580326813,2,2
1580328747,5,2
1580330653,6,0
1580332580,4,2
1580334508,7,1
1580336410,4,3
1580338330,1,1
1580340265,0,2
1580344133,0,1
1580347208,1,6
1580351066,3,0
1580352968,0,2
1580354892,2,1
1580356862,1,1
1580358739,2,0
1580360715,1,1
1580362631,0,1
1580364515,0,1
1580366418,0,1
1580368349,0,4
1580370286,1,2
1580372183,0,2
1580374111,2,2
1580376025,1,0
1580377932,0,2
1580379868,4,3
1580381779,3,2
1580383698,1,0
1580385838,2,2
1580387774,2,1
1580389693,0,3
1580391627,0,1
1580393535,0,3
1580395478,0,2
1580397378,0,1
1580399312,1,2
1580401218,0,4
1580403131,2,0
1580405067,0,1
1580408908,1,2
1580411059,0,1
1580412987,0,3
1580414904,1,6
1580416836,3,4
1580418734,0,3
1580420670,2,9
1580422842,0,4
1580424734,1,3
1580426664,2,0
1580430543,4,1
1580434573,0,2
1580436756,3,2
1580438657,1,0
1580440602,1,1
1580442512,0,2
1580446331,1,1
1580448297,1,1
1580450173,2,1
1580456413,1,1
1580460278,1,1
1580462211,1,2
1580464094,2,1
1580466023,1,3
1580467938,0,1
1580469853,2,2
1580471784,1,1
1580476844,0,1
1580478753,1,0
1580480673,2,0
1580482583,3,0
1580484746,0,1
1580488710,1,2
1580490834,1,0
1580492906,1,0
1580494820,1,1
1580496758,2,0
1580498657,1,1
1580500592,1,0
1580502497,0,2
1580508528,0,1
1580510420,1,1
1580512341,1,2
1580514279,2,1
1580516177,1,4
1580518100,2,2
1580521944,0,3
1580523858,4,2
1580525788,0,1
1580531785,0,1
1580533692,6,0
1580535632,1,3
1580537570,1,2
1580543307,0,2
1580545222,0,1
1580549114,1,2
1580550986,0,2
1580552920,0,1
1580555016,1,1
1580556985,1,3
1580559163,0,1
1580561062,1,0
1580563238,1,0
1580565140,0,1
1580567082,1,1
1580568994,2,3
1580570897,0,1
1580573121,3,0
1580574977,5,2
1580578825,1,0
1580580882,1,0
1580582898,0,5
1580584859,0,1
1580586735,1,0
1580588673,3,0
1580592529,3,0
1580594651,0,1
1580596591,0,1
1580598502,1,1
1580600420,3,0
1580602390,3,1
1580604275,1,2
1580606178,1,0
1580610018,0,3
1580613867,5,0
1580617691,1,0
1580619828,1,5
1580621785,2,1
1580623710,0,1
1580625616,3,0
1580627551,1,0
