DateTime,AddedIPs,RemovedIPs
1579898917,1,2
1579902740,0,1
1579904722,2,1
1579906625,1,0
1579908670,0,1
1579910665,0,1
1579912575,0,1
1579914758,0,2
1579916656,1,2
1579918577,2,0
1579922446,2,1
1579924354,1,0
1579926256,1,0
1579928237,1,1
1579930097,0,1
1579932284,0,1
1579934186,1,0
1579936100,1,1
1579938025,1,0
1579939958,1,1
1579941854,2,1
1579943837,1,1
1579949555,2,0
1579951479,3,0
1579953399,1,2
1579955295,1,0
1579957504,3,0
1579959389,1,1
1579961312,1,1
1579965161,2,0
1579967066,1,1
1579970922,1,0
1579972830,1,1
1579976665,0,1
1579980538,2,2
1579982717,0,1
1579986506,2,0
1579988423,1,0
1579990357,2,0
1579992281,0,2
1579994180,2,3
1579996104,3,0
1579998267,1,0
1580002094,1,2
1580004276,1,1
1580006183,1,2
1580008122,4,0
1580010030,1,2
1580011954,0,1
1580013854,3,1
1580015782,1,0
1580017713,4,0
1580021530,2,0
1580023470,2,2
1580025387,2,0
1580027293,0,2
1580029440,1,2
1580033303,1,0
1580035216,1,2
1580037150,1,3
1580039088,2,1
1580040985,0,1
1580042911,0,2
1580044816,0,2
1580046730,0,1
1580048665,0,2
1580050573,0,1
1580052493,1,0
1580054625,1,1
1580056578,0,1
1580058516,0,1
1580060415,0,1
1580062337,1,0
1580064271,1,0
1580066178,1,1
1580068101,2,1
1580071932,1,0
1580073859,0,2
1580075793,0,2
1580080580,1,1
1580082503,1,3
1580084425,0,1
1580086333,1,0
1580090198,1,1
1580092111,1,2
1580094356,0,3
1580100014,1,3
1580101940,1,2
1580103881,0,2
1580105776,2,1
1580107806,1,3
1580111569,1,4
1580115392,2,1
1580119469,2,1
1580121370,0,1
1580123314,1,1
1580125219,1,2
1580127163,2,0
1580129087,0,1
1580130988,1,0
1580138659,0,1
1580140597,1,1
1580142497,1,0
1580147542,1,0
1580149456,1,1
1580151423,4,1
1580153291,0,1
1580155270,2,0
1580159140,2,1
1580164855,1,2
1580166758,2,0
1580168654,1,0
1580172498,0,2
1580174441,0,1
1580176331,0,1
1580178258,1,1
1580180190,5,0
1580182111,3,0
1580184228,1,0
1580188108,2,1
1580191950,0,2
1580193853,1,1
1580195800,0,1
1580197708,0,1
1580201528,0,3
1580205374,2,1
1580207289,2,1
1580213139,1,3
1580214986,1,0
1580216906,1,0
1580218824,2,0
1580221005,1,0
1580222898,0,1
1580224827,1,0
1580226767,1,0
1580228667,3,1
1580234473,0,1
1580236360,0,4
1580238258,0,1
1580240182,2,2
1580242111,0,1
1580245934,0,2
1580247870,2,0
1580249777,0,1
1580251698,2,0
1580253657,1,1
1580255537,2,0
1580257456,1,0
1580259406,1,0
1580263421,0,1
1580265370,0,2
1580267326,1,3
1580269232,0,2
1580271159,1,1
1580274985,4,1
1580276902,1,1
1580278831,1,1
1580280736,2,2
1580282680,1,1
1580284576,2,0
1580288728,1,0
1580290577,1,0
1580292533,0,3
1580294417,2,1
1580296339,2,0
1580298267,2,2
1580300190,1,0
1580302104,2,1
1580304011,0,1
1580305933,2,2
1580307973,0,1
1580311218,1,0
1580313130,1,1
1580315066,0,4
1580316994,1,0
