DateTime,Entries,UniqueIPs
1579497851,15,15
1579499700,14,14
1579501714,13,13
1579514221,14,14
1579516100,13,13
1579518313,14,14
1579520188,17,17
1579522100,18,18
1579524013,20,20
1579525947,21,21
1579531718,22,22
1579535533,21,21
1579539393,19,19
1579541301,20,20
1579543403,19,19
1579545384,19,19
1579547354,18,18
1579549240,19,19
1579554998,19,19
1579559055,20,20
1579564960,22,22
1579566972,22,22
1579568892,20,20
1579570841,21,21
1579576608,21,21
1579582332,20,20
1579591002,21,21
1579598755,22,22
1579600587,22,22
1579604591,21,21
1579606574,18,18
1579608490,17,17
1579610413,15,15
1579612339,16,16
1579614252,17,17
1579616431,16,16
1579618339,17,17
1579622178,18,18
1579626309,19,19
1579628172,19,19
1579632017,18,18
1579633938,19,19
1579635858,18,18
1579639932,19,19
1579641856,19,19
1579643773,20,20
1579645694,19,19
1579649776,18,18
1579651694,17,17
1579653620,16,16
1579655539,17,17
1579657456,16,16
1579659377,17,17
1579663231,16,16
1579667084,17,17
1579668992,18,18
1579670894,20,20
1579673786,21,21
1579675699,20,20
1579677630,21,21
1579679532,22,22
1579683385,24,24
1579685296,26,26
1579687396,27,27
1579691568,28,28
1579697315,31,31
1579699225,29,29
1579701149,29,29
1579709106,28,28
1579711237,29,29
1579713148,28,28
1579715094,27,27
1579719145,28,28
1579721060,27,27
1579722994,28,28
1579727157,27,27
1579728979,26,26
1579730927,25,25
1579732832,27,27
1579740517,28,28
1579742448,29,29
1579744359,28,28
1579752246,30,30
1579754174,30,30
1579756132,29,29
1579758045,27,27
1579759973,27,27
1579763780,26,26
1579765694,26,26
1579767639,27,27
1579769559,26,26
1579771481,25,25
1579773375,23,23
1579775296,24,24
1579777552,24,24
1579781572,27,27
1579783458,27,27
1579787339,28,28
1579789223,30,30
1579791216,31,31
1579793062,33,33
1579795002,34,34
1579796901,36,36
1579799120,37,37
1579800980,39,39
1579802897,40,40
1579804819,39,39
1579808898,41,41
1579810815,40,40
1579812744,42,42
1579814661,46,46
1579816596,48,48
1579818495,49,49
1579820727,48,48
1579826414,48,48
1579828340,49,49
1579830251,50,50
1579832195,52,52
1579839892,49,49
1579841801,48,48
1579843719,48,48
1579845892,47,47
1579851622,49,49
1579853542,48,48
1579857411,46,46
1579861215,45,45
1579863138,44,44
1579866975,44,44
1579868893,40,40
1579871108,39,39
1579873077,39,39
1579874934,38,38
1579876831,37,37
1579878761,35,35
1579880796,34,34
1579882830,32,32
1579884735,30,30
1579886655,29,29
1579888595,27,27
1579892625,28,28
1579894825,26,26
1579898918,24,24
1579900823,21,21
1579902741,18,18
1579904722,17,17
1579906627,16,16
1579910682,17,17
1579912575,16,16
1579914758,14,14
1579916656,12,12
1579918577,10,10
1579924355,11,11
1579930098,10,10
1579938025,9,9
1579939960,9,9
1579941854,10,10
1579943838,11,11
1579949555,13,13
1579951480,15,15
1579953399,15,15
1579955296,16,16
1579959389,15,15
1579961312,17,17
1579963220,16,16
1579965162,17,17
1579967066,18,18
1579974746,19,19
1579976666,20,20
1579978610,19,19
1579984593,20,20
1579998267,19,19
1580010030,18,18
1580019684,19,19
1580021531,20,20
1580023471,19,19
1580027293,18,18
1580029461,17,17
1580031383,16,16
1580035216,15,15
1580037151,13,13
1580039088,11,11
1580040985,10,10
1580044817,11,11
1580046730,9,9
1580048666,10,10
1580050573,10,10
1580052493,9,9
1580060416,8,8
1580062337,8,8
1580071932,7,7
1580090653,8,8
1580092577,9,9
1580106025,8,8
1580107931,7,7
1580119721,8,8
1580127416,9,9
1580131483,8,8
1580133397,8,8
1580135298,8,8
1580137396,7,7
1580142258,8,8
1580148166,7,7
1580154016,8,8
1580167451,9,9
1580171321,10,10
1580175373,11,11
1580177315,10,10
1580179242,9,9
1580181162,10,10
1580184979,11,11
1580188813,13,13
1580196497,14,14
1580201529,16,16
1580203466,17,17
1580207290,19,19
1580210179,21,21
1580214012,20,20
1580219778,19,19
1580221715,19,19
1580225778,22,22
1580229614,21,21
1580235408,22,22
