DateTime,AddedIPs,RemovedIPs
1580533693,23,25
1580535633,25,17
1580537571,29,33
1580539502,30,27
1580541407,31,19
1580543307,43,27
1580545223,42,20
1580547166,55,39
1580549132,37,54
1580550987,35,43
1580552921,71,34
1580555054,52,36
1580556986,42,38
1580559164,39,37
1580561063,23,23
1580563239,14,26
1580565188,26,29
1580567083,22,37
1580568996,73,36
1580570898,93,22
1580573124,100,39
1580574978,43,35
1580576926,31,32
1580578829,39,28
1580580888,55,35
1580582899,66,31
1580584862,44,22
1580586751,36,26
1580588675,40,27
1580590576,35,22
1580592531,30,16
1580594732,139,25
1580596592,29,32
1580598504,34,32
1580600421,56,29
1580602392,50,35
1580604276,19,33
1580606179,24,23
1580608111,70,17
1580610019,61,21
1580611932,49,31
1580613868,136,41
1580615775,63,30
1580617692,60,33
1580619883,44,22
1580621787,39,17
1580623712,33,30
1580625618,21,27
1580627552,41,17
1580629482,38,40
1580631381,61,38
1580633312,34,44
1580635213,12,33
1580637152,15,27
1580639066,23,45
1580640974,49,33
1580642910,29,24
1580644947,29,28
1580646989,46,15
1580648892,32,8
1580650814,18,12
1580652748,37,19
1580654654,40,33
1580656579,63,60
1580658518,64,131
1580660429,37,38
1580662347,38,36
1580664255,28,33
1580666200,21,32
1580668364,19,50
1580670314,18,51
1580672181,19,42
1580674123,24,32
1580676031,19,34
1580677946,23,27
1580679880,34,65
1580682023,63,99
1580683949,46,26
1580685861,45,39
1580687786,29,60
1580689694,28,39
1580691884,54,17
1580693786,45,57
1580695697,45,67
1580697615,32,36
1580699568,27,94
1580701458,27,106
1580703380,34,64
1580705314,12,53
1580707240,24,36
1580709135,21,35
1580711101,45,34
1580712988,18,42
1580714905,35,19
1580717050,57,65
1580718998,76,58
1580720909,44,15
1580722821,63,17
1580724757,47,16
1580726662,49,44
1580728580,73,34
1580730514,52,37
1580732420,55,36
1580734352,66,34
1580736275,63,21
1580738178,88,23
1580740097,63,60
1580742291,46,52
1580744187,44,55
1580746116,79,63
1580748020,39,37
1580749966,33,33
1580751862,40,22
1580753782,29,22
1580755736,46,19
1580757619,48,16
1580759538,47,20
1580761478,66,27
1580763396,42,17
1580765309,58,25
1580767538,56,45
1580769394,62,46
1580771312,49,35
1580773218,56,35
1580775178,32,28
1580777062,26,40
1580778984,23,45
1580781029,26,44
1580782896,25,40
1580784843,37,28
1580786696,39,30
1580788604,23,24
1580790495,26,24
1580792716,13,24
1580794598,26,24
1580796510,50,26
1580798418,40,28
1580800467,39,34
1580802275,45,36
1580804178,51,62
1580806005,75,66
1580807850,103,46
1580809706,131,47
1580811644,128,52
1580813559,138,50
1580815468,123,57
1580817982,235,75
1580819861,175,63
1580821720,159,52
1580823628,142,78
1580825577,93,92
1580827480,51,50
1580829415,34,44
1580831324,36,58
1580833273,30,61
1580835146,46,41
1580837168,61,46
1580839005,36,28
1580840940,49,48
1580843146,57,38
1580845002,98,58
1580847176,121,56
1580849058,121,62
1580850981,131,51
1580852914,97,59
1580854829,91,60
1580856738,83,65
1580858664,97,42
1580860591,92,49
1580862561,85,33
1580864752,59,26
1580866599,52,19
1580868514,46,35
1580870420,56,25
1580872351,49,43
1580874262,53,30
1580876177,28,33
1580878111,31,27
1580880020,43,17
1580881944,76,36
1580883872,73,58
1580885777,67,38
1580887700,61,36
1580889898,68,45
1580891783,61,70
1580893708,54,77
1580895624,56,122
1580897540,75,108
1580899485,64,103
1580901379,55,112
1580903315,60,149
1580905214,49,177
1580907150,44,154
1580909056,47,164
1580910993,54,104
1580912892,51,93
1580914909,74,40
1580916750,51,34
1580919630,115,37
1580921537,109,33
1580923515,95,44
1580925380,81,40
1580927297,109,50
1580929554,97,54
1580931378,96,100
1580933319,108,110
1580935216,83,106
1580937147,101,116
1580939072,70,93
1580940987,62,94
1580942899,77,93
1580944823,84,96
1580946744,87,98
1580948676,103,89
1580950602,76,69
1580952495,77,46
1580954759,77,63
1580956588,52,60
1580958511,61,60
1580960418,47,52
1580962354,53,34
1580964290,34,29
1580966446,76,47
1580968348,96,74
1580970285,107,75
1580972193,55,62
1580974100,43,58
1580976390,51,73
1580978201,44,62
1580980122,43,52
1580982064,44,57
1580983967,48,58
1580985864,106,50
1580988109,94,58
1580989941,71,48
1580991890,32,41
1580993783,39,43
1580995873,58,46
1580997955,35,51
1580999796,31,53
1581001717,44,56
1581003656,34,41
1581005559,30,63
1581007474,48,97
1581009390,36,90
1581011549,58,93
1581013464,27,88
