DateTime,Entries,UniqueIPs
1580533693,1904,1904
1580535633,1912,1912
1580537571,1908,1908
1580539502,1911,1911
1580541407,1923,1923
1580543307,1939,1939
1580545223,1961,1961
1580547166,1977,1977
1580549132,1960,1960
1580550987,1952,1952
1580552921,1989,1989
1580555054,2005,2005
1580556986,2009,2009
1580559164,2011,2011
1580561063,2011,2011
1580563239,1999,1999
1580565188,1996,1996
1580567083,1981,1981
1580568996,2018,2018
1580570898,2089,2089
1580573124,2150,2150
1580574978,2158,2158
1580576926,2157,2157
1580578829,2168,2168
1580580888,2188,2188
1580582899,2223,2223
1580584862,2245,2245
1580586751,2255,2255
1580588675,2268,2268
1580590576,2281,2281
1580592531,2295,2295
1580594732,2409,2409
1580596592,2406,2406
1580598504,2408,2408
1580600421,2435,2435
1580602392,2450,2450
1580604276,2436,2436
1580606179,2437,2437
1580608111,2490,2490
1580610019,2530,2530
1580611932,2548,2548
1580613868,2643,2643
1580615775,2676,2676
1580617692,2703,2703
1580619883,2725,2725
1580621787,2747,2747
1580623712,2750,2750
1580625618,2744,2744
1580627552,2768,2768
1580629482,2766,2766
1580631381,2789,2789
1580633312,2779,2779
1580635213,2758,2758
1580637152,2746,2746
1580639066,2724,2724
1580640974,2740,2740
1580642910,2745,2745
1580644947,2746,2746
1580646989,2777,2777
1580648892,2801,2801
1580650814,2807,2807
1580652748,2825,2825
1580654654,2832,2832
1580656579,2835,2835
1580658518,2768,2768
1580660429,2767,2767
1580662347,2769,2769
1580664255,2764,2764
1580666200,2753,2753
1580668364,2722,2722
1580670314,2689,2689
1580672181,2666,2666
1580674123,2658,2658
1580676031,2643,2643
1580677946,2639,2639
1580679880,2608,2608
1580682023,2572,2572
1580683949,2592,2592
1580685861,2598,2598
1580687786,2567,2567
1580689694,2556,2556
1580691884,2593,2593
1580693786,2581,2581
1580695697,2559,2559
1580697615,2555,2555
1580699568,2488,2488
1580701458,2409,2409
1580703380,2379,2379
1580705314,2338,2338
1580707240,2326,2326
1580709135,2312,2312
1580711101,2323,2323
1580712988,2299,2299
1580714905,2315,2315
1580717050,2307,2307
1580718998,2325,2325
1580720909,2354,2354
1580722821,2400,2400
1580724757,2431,2431
1580726662,2436,2436
1580728580,2475,2475
1580730514,2490,2490
1580732420,2509,2509
1580734352,2541,2541
1580736275,2583,2583
1580738178,2648,2648
1580740097,2651,2651
1580742291,2645,2645
1580744187,2634,2634
1580746116,2650,2650
1580748020,2652,2652
1580749966,2652,2652
1580751862,2670,2670
1580753782,2677,2677
1580755736,2704,2704
1580757619,2736,2736
1580759538,2763,2763
1580761478,2802,2802
1580763396,2827,2827
1580765309,2860,2860
1580767538,2871,2871
1580769394,2887,2887
1580771312,2901,2901
1580773218,2922,2922
1580775178,2926,2926
1580777062,2912,2912
1580778984,2890,2890
1580781029,2872,2872
1580782896,2857,2857
1580784843,2866,2866
1580786696,2875,2875
1580788604,2874,2874
1580790495,2876,2876
1580792716,2865,2865
1580794598,2867,2867
1580796510,2891,2891
1580798418,2903,2903
1580800467,2908,2908
1580802275,2917,2917
1580804178,2906,2906
1580806005,2915,2915
1580807850,2972,2972
1580809706,3056,3056
1580811644,3132,3132
1580813559,3220,3220
1580815468,3286,3286
1580817982,3446,3446
1580819861,3558,3558
1580821720,3665,3665
1580823628,3729,3729
1580825577,3730,3730
1580827480,3731,3731
1580829415,3721,3721
1580831324,3699,3699
1580833273,3668,3668
1580835146,3673,3673
1580837168,3688,3688
1580839005,3696,3696
1580840940,3697,3697
1580843146,3716,3716
1580845002,3756,3756
1580847176,3821,3821
1580849058,3880,3880
1580850981,3960,3960
1580852914,3998,3998
1580854829,4029,4029
1580856738,4047,4047
1580858664,4102,4102
1580860591,4145,4145
1580862561,4197,4197
1580864752,4230,4230
1580866599,4263,4263
1580868514,4274,4274
1580870420,4305,4305
1580872351,4311,4311
1580874262,4334,4334
1580876177,4329,4329
1580878111,4333,4333
1580880020,4359,4359
1580881944,4399,4399
1580883872,4414,4414
1580885777,4443,4443
1580887700,4468,4468
1580889898,4491,4491
1580891783,4482,4482
1580893708,4459,4459
1580895624,4393,4393
1580897540,4360,4360
1580899485,4321,4321
1580901379,4264,4264
1580903315,4175,4175
1580905214,4047,4047
1580907150,3937,3937
1580909056,3820,3820
1580910993,3770,3770
1580912892,3728,3728
1580914909,3762,3762
1580916750,3779,3779
1580919630,3857,3857
1580921537,3933,3933
1580923515,3984,3984
1580925380,4025,4025
1580927297,4084,4084
1580929554,4127,4127
1580931378,4123,4123
1580933319,4121,4121
1580935216,4098,4098
1580937147,4083,4083
1580939072,4060,4060
1580940987,4028,4028
1580942899,4012,4012
1580944823,4000,4000
1580946744,3989,3989
1580948676,4003,4003
1580950602,4010,4010
1580952495,4041,4041
1580954759,4055,4055
1580956588,4047,4047
1580958511,4048,4048
1580960418,4043,4043
1580962354,4062,4062
1580964290,4067,4067
1580966446,4096,4096
1580968348,4118,4118
1580970285,4150,4150
1580972193,4143,4143
1580974100,4128,4128
1580976390,4106,4106
1580978201,4088,4088
1580980122,4079,4079
1580982064,4066,4066
1580983967,4056,4056
1580985864,4112,4112
1580988109,4148,4148
1580989941,4171,4171
1580991890,4162,4162
1580993783,4158,4158
1580995873,4170,4170
1580997955,4154,4154
1580999796,4132,4132
1581001717,4120,4120
1581003656,4113,4113
1581005559,4080,4080
1581007474,4031,4031
1581009390,3977,3977
1581011549,3942,3942
1581013464,3881,3881
1581015395,3844,3844
1581017573,3795,3795
1581019558,3733,3733
1581021398,3706,3706
1581023358,3635,3635
1581025226,3608,3608
1581027159,3557,3557
1581029063,3509,3509
1581030984,3462,3462
1581032921,3377,3377
1581034819,3296,3296
1581036738,3238,3238
1581038673,3188,3188
1581040596,3154,3154
1581042529,3151,3151
1581044698,3127,3127
1581046606,3145,3145
1581048513,3047,3047
1581050423,3029,3029
1581052357,2992,2992
1581054291,2954,2954
1581056183,2876,2876
1581058117,2735,2735
1581060057,2705,2705
1581061946,2702,2702
1581063885,2681,2681
1581065785,2655,2655
1581067701,2647,2647
1581069948,2622,2622
1581071808,2638,2638
1581073709,2576,2576
1581075625,2498,2498
1581077569,2494,2494
1581079470,2474,2474
1581081408,2448,2448
1581083313,2436,2436
1581085224,2420,2420
1581087162,2418,2418
1581089075,2448,2448
1581090980,2450,2450
1581093153,2459,2459
1581095097,2424,2424
1581096997,2405,2405
1581098898,2364,2364
1581100818,2370,2370
1581102777,2356,2356
1581104663,2356,2356
1581106578,2325,2325
1581108512,2300,2300
1581110425,2282,2282
1581112332,2274,2274
1581114269,2257,2257
1581116194,2233,2233
1581118112,2227,2227
1581120279,2215,2215
1581122188,2189,2189
1581124115,2162,2162
1581126012,2158,2158
1581127950,2125,2125
1581129855,2090,2090
1581131802,2067,2067
1581133700,2053,2053
1581135613,2024,2024
1581137544,2003,2003
1581139477,1988,1988
1581141386,1993,1993
1581143291,1982,1982
1581145473,1978,1978
1581147378,1970,1970
1581149346,1945,1945
1581151219,1933,1933
1581153133,1950,1950
1581155067,1947,1947
1581156999,1912,1912
1581159155,1857,1857
1581161057,1845,1845
1581163005,1825,1825
1581164897,1823,1823
1581167146,1826,1826
1581168977,1829,1829
1581170935,1841,1841
1581172818,1845,1845
1581174991,1815,1815
1581176948,1794,1794
1581178844,1801,1801
1581180739,1800,1800
1581182660,1814,1814
1581184611,1829,1829
1581186496,1834,1834
1581188650,1821,1821
1581190573,1813,1813
1581192766,1851,1851
1581194657,1863,1863
1581196585,1840,1840
1581198525,1847,1847
1581200421,1858,1858
1581202334,1831,1831
1581204272,1833,1833
1581206173,1843,1843
1581208098,1846,1846
1581210305,1864,1864
