DateTime,Entries,UniqueIPs
1578251789,27,27
1578257542,26,26
1578275805,27,27
1578277714,25,25
1578283966,24,24
1578289725,23,23
1578293538,24,24
1578295487,25,25
1578297395,26,26
1578301489,27,27
1578303419,28,28
1578305321,30,30
1578307251,34,34
1578319544,33,33
1578321641,31,31
1578323808,31,31
1578325732,30,30
1578329793,31,31
1578331710,32,32
1578333919,31,31
1578349953,32,32
1578351933,31,31
1578355801,32,32
1578357867,33,33
1578359801,36,36
1578363613,36,36
1578365534,35,35
1578367462,36,36
1578375406,37,37
1578384973,38,38
1578390992,37,37
1578393143,35,35
1578402777,36,36
1578408526,35,35
1578414280,34,34
1578416194,32,32
1578418120,31,31
1578420325,27,27
1578422428,28,28
1578426255,29,29
1578428178,35,35
1578430113,37,37
1578434175,38,38
1578438322,38,38
1578442362,37,37
1578444323,40,40
1578446419,39,39
1578454112,38,38
1578457257,37,37
1578463047,36,36
1578464903,35,35
1578469304,34,34
1578471390,35,35
1578486020,35,35
1578489873,34,34
1578493965,35,35
1578497781,36,36
1578509317,37,37
1578511237,35,35
1578513147,36,36
1578515086,35,35
1578518932,35,35
1578527063,35,35
1578530920,32,32
1578538601,31,31
1578540501,30,30
1578552264,31,31
1578558058,31,31
1578565709,32,32
1578573756,32,32
1578575802,34,34
1578579908,33,33
1578585948,32,32
1578587819,31,31
1578599603,30,30
1578601493,27,27
1578603413,25,25
1578607509,24,24
1578619479,23,23
1578635800,22,22
1578640850,21,21
1578647253,22,22
1578649609,23,23
1578651750,22,22
1578659805,23,23
1578661781,20,20
1578663673,19,19
1578671096,18,18
1578713063,20,20
1578715004,21,21
1578731294,20,20
1578733326,19,19
1578752909,18,18
1578760819,19,19
1578788195,21,21
1578798410,20,20
1578800414,19,19
1578802355,18,18
1578811951,18,18
1578847464,18,18
1578859508,20,20
1578863793,21,21
1578875810,20,20
1578894988,19,19
1578901957,20,20
1578907954,21,21
1578923582,22,22
1578934122,21,21
1578936059,22,22
1578937956,23,23
1578941786,24,24
1578945991,22,22
1578951637,21,21
1578970125,22,22
1578981750,21,21
1578983572,22,22
1578985733,20,20
1578991498,19,19
1578997462,16,16
1578999403,14,14
1579001318,13,13
1579004416,14,14
1579006339,15,15
1579008302,16,16
1579010176,16,16
1579012344,17,17
1579024158,19,19
1579026045,22,22
1579031817,29,29
1579038029,28,28
1579071138,27,27
1579074979,26,26
1579081243,28,28
1579083394,29,29
1579093605,29,29
1579101408,28,28
1579105275,29,29
1579109064,30,30
1579110998,27,27
1579112920,24,24
1579115119,25,25
1579116996,26,26
1579118929,26,26
1579120821,31,31
1579122781,32,32
1579127249,35,35
1579135219,34,34
1579156607,33,33
1579160450,34,34
1579166439,33,33
1579168346,32,32
1579170285,33,33
1579180357,31,31
1579184487,32,32
1579188261,33,33
1579190221,34,34
1579192098,33,33
1579194348,32,32
1579202185,31,31
1579206024,29,29
1579207954,25,25
1579211778,24,24
1579213964,22,22
1579227430,23,23
1579243220,22,22
1579270620,22,22
1579274678,21,21
1579294345,22,22
1579296256,23,23
1579306113,24,24
1579308024,30,30
1579313816,29,29
1579315703,30,30
1579356517,29,29
1579362282,28,28
1579366336,27,27
1579368272,28,28
1579381379,26,26
1579387484,27,27
1579391545,26,26
1579393476,21,21
1579395373,22,22
1579403576,21,21
1579407394,22,22
1579416979,22,22
1579436894,23,23
1579439827,24,24
1579445528,25,25
1579451291,26,26
1579455389,25,25
1579466896,26,26
1579468829,25,25
1579470731,26,26
1579474570,26,26
1579479614,27,27
1579481550,25,25
1579493325,25,25
1579501236,26,26
1579512985,25,25
1579514894,21,21
1579520657,20,20
1579524505,18,18
1579532175,17,17
1579538180,17,17
1579542036,18,18
1579551856,19,19
1579555718,21,21
1579557824,23,23
1579561950,23,23
1579563858,26,26
1579579488,25,25
1579581378,26,26
1579589086,26,26
1579596739,27,27
1579600588,28,28
1579606576,30,30
1579610415,31,31
1579614254,32,32
1579616432,31,31
1579622180,30,30
1579624127,28,28
