DateTime,AddedIPs,RemovedIPs
1580256744,0,1
1580258670,3,0
1580260601,2,0
1580262497,1,0
1580264443,1,1
1580266353,1,0
1580268299,1,2
1580270204,1,1
1580272103,1,1
1580274275,1,2
1580276187,1,0
1580280023,1,2
1580281953,0,1
1580283880,1,0
1580289626,1,0
1580291536,0,1
1580297319,1,0
1580299498,0,1
1580301378,1,1
1580303558,1,1
1580307376,1,0
1580309314,0,1
1580311221,1,0
1580313133,1,0
1580315069,1,1
1580316997,1,2
1580318907,0,1
1580321046,0,1
1580322992,2,0
1580328750,0,1
1580330656,0,2
1580332583,1,0
1580336413,0,1
1580344136,0,1
1580346228,1,3
1580348214,1,1
1580350109,2,2
1580353946,1,2
1580357773,0,1
1580359714,1,2
1580361615,0,1
1580367379,0,1
1580369303,1,0
1580371429,1,1
1580373385,1,0
1580377213,1,1
1580381055,1,0
1580383223,1,1
1580387061,0,1
1580390916,1,1
1580393119,1,0
1580396797,1,1
1580398606,0,1
1580400528,0,1
1580402416,3,0
1580404366,1,1
1580408217,0,2
1580410097,1,0
1580412030,1,0
1580415856,2,0
1580417788,1,1
1580423791,1,0
1580425717,1,0
1580427631,1,0
1580433394,1,1
1580435298,0,2
1580437230,2,1
1580439137,1,1
1580441074,1,0
1580442988,2,0
1580447087,0,1
1580454739,0,1
1580456682,2,1
1580458582,1,0
1580460766,0,1
1580464591,0,1
1580466501,0,1
1580470574,1,1
1580476367,1,0
1580478262,0,2
1580480180,1,0
1580484018,0,1
1580489900,1,3
1580494032,0,1
1580496070,0,1
1580497969,2,1
1580499882,0,1
1580501779,0,1
1580503699,0,2
1580509478,1,0
1580511390,0,2
1580513296,1,1
1580517370,3,0
1580519316,0,1
1580523151,1,2
1580526975,0,2
1580528905,0,1
1580530812,0,1
1580541429,1,0
1580543310,0,2
1580545226,0,1
1580549134,1,0
1580550990,1,0
1580555167,1,0
1580556989,1,1
1580563242,0,1
1580567086,0,1
1580570901,2,0
1580576929,0,1
1580578833,1,0
1580582902,1,0
1580584865,1,2
1580586755,1,0
1580592533,1,0
1580594786,1,0
1580596596,1,1
1580600425,0,1
1580602395,1,2
1580604280,0,1
1580608115,1,0
1580610023,1,1
1580611935,5,0
1580613871,1,0
1580615778,1,0
1580617697,1,0
1580619992,1,0
1580622020,2,0
1580623994,2,0
1580625874,0,1
1580635469,1,1
1580637382,1,1
1580639299,2,0
1580641424,0,1
1580643385,0,1
1580645318,1,0
1580647215,2,0
1580652981,1,0
1580654924,1,0
1580656840,1,1
1580658738,0,1
1580660674,1,0
1580662601,1,0
1580664506,1,1
1580670326,0,2
1580672185,2,0
1580674128,0,1
1580679885,0,1
1580682028,0,1
1580683953,0,1
1580689698,0,1
1580693790,1,1
1580697619,3,5
1580699571,0,2
1580701463,1,1
1580707244,1,0
1580709139,0,3
1580711110,0,1
1580720913,1,1
1580722825,0,1
1580724760,0,1
1580726666,1,1
1580728583,2,0
1580732423,0,1
1580734356,0,2
1580736279,1,0
1580738183,2,1
1580740101,2,1
1580742375,2,0
1580744191,1,1
1580746121,0,1
1580748025,3,0
1580749969,2,1
1580751866,2,1
1580757623,2,1
1580759541,1,2
1580761482,3,0
1580765312,0,1
1580767545,2,0
1580769398,2,0
1580773222,1,0
1580778987,1,0
1580781033,0,1
1580782899,2,1
1580784847,0,2
1580786700,1,0
1580788608,2,1
1580794601,3,1
1580798421,1,0
1580800471,1,0
1580802278,1,0
1580806009,1,0
1580807854,0,1
1580809710,1,0
1580811648,2,0
1580813563,0,1
1580815471,1,2
1580819866,1,0
1580821723,1,1
1580825580,0,2
1580827483,1,2
1580829418,1,2
1580833277,2,2
1580835168,0,1
1580837171,1,2
1580839008,2,1
1580843149,0,1
1580845005,0,2
1580847179,1,0
1580849062,0,3
1580850984,1,1
1580852917,0,1
1580854832,1,2
1580856741,0,1
1580860594,2,1
1580862564,2,0
1580864755,1,1
1580868517,2,2
1580870423,1,0
1580872354,2,1
1580874265,0,2
1580876180,2,0
1580880023,2,1
1580881947,4,3
1580883876,0,1
1580885781,1,0
1580887705,0,1
1580889961,2,1
1580891787,0,1
1580893712,1,0
1580895627,0,1
1580897543,8,1
1580899488,3,1
1580901383,2,1
1580905218,1,0
1580907153,0,1
1580910996,2,1
1580916039,1,2
1580917940,0,1
1580919861,0,1
1580921794,3,0
1580923710,1,2
1580925938,1,1
1580927778,2,0
1580931874,0,1
1580935949,0,1
1580939793,0,1
1580941699,1,0
1580944021,3,0
1580946023,0,1
1580947967,0,1
1580949862,0,2
1580951778,6,1
1580953714,1,2
1580955612,4,0
1580957558,5,2
1580959469,0,1
1580961378,1,0
1580963296,0,1
1580965415,1,1
1580967392,1,2
1580969340,2,3
1580971216,3,0
1580973181,1,1
1580975057,6,1
1580977014,6,1
1580978911,1,0
1580980828,4,1
1580982749,2,6
1580984673,2,2
1580986576,1,4
1580988496,2,1
1580992369,0,1
1580994341,2,0
1580996237,0,2
1580998123,4,0
1581000024,2,0
1581002203,4,1
1581006033,1,0
1581007954,3,3
1581009861,1,1
1581011789,1,0
1581013694,0,3
1581015879,1,0
1581017824,2,0
1581021857,1,0
1581025711,1,0
1581027625,1,0
1581029551,0,3
