DateTime,AddedIPs,RemovedIPs
1580529923,102,1492
1580531788,100,1434
1580533694,161,1430
1580535635,83,1515
1580537585,84,1305
1580539521,89,1563
1580541429,89,1267
1580543309,87,1405
1580545225,95,1301
1580547168,130,1408
1580549134,112,1120
1580550989,98,1267
1580552923,104,1218
1580555161,105,1317
1580556988,99,1236
1580559175,98,1254
1580561065,114,1246
1580563242,119,870
1580565191,101,92
1580567085,101,67
1580568998,91,64
1580570900,990,91
1580573127,110,148
1580575013,92,94
1580576928,102,90
1580578832,114,130
1580580891,87,121
1580582902,95,133
1580584865,102,129
1580586754,108,99
1580588680,93,100
1580590579,88,90
1580592533,98,89
1580594786,150,144
1580596595,439,112
1580598506,167,101
1580600424,125,92
1580602394,99,114
1580604279,137,125
1580606181,122,98
1580608114,112,88
1580610022,111,92
1580611935,111,97
1580613871,101,98
1580615777,88,104
1580617695,94,72
1580619958,104,99
1580621789,86,126
1580623714,88,79
1580625621,73,74
1580627555,93,94
1580629485,3166,82
1580631384,1254,81
1580633314,88,170
1580635216,75,91
1580637155,77,90
1580639075,92,67
1580640977,69,73
1580642912,80,80
1580645130,82,101
1580646993,84,74
1580648895,61,87
1580650816,99,93
1580652751,64,73
1580654657,92,59
1580656582,80,384
1580658521,71,659
1580660433,67,68
1580662350,54,88
1580664258,88,82
1580666212,179,83
1580668367,571,72
1580670324,833,81
1580672184,169,81
1580674127,127,70
1580676044,145,103
1580677950,99,70
1580679884,97,74
1580682028,112,84
1580683952,74,499
1580685864,94,148
1580687788,112,92
1580689697,120,112
1580691910,136,113
1580693789,157,91
1580695700,122,109
1580697618,105,102
1580699570,102,76
1580701462,79,101
1580703382,95,107
1580705317,88,94
1580707243,74,71
1580709138,110,118
1580711107,114,89
1580712990,104,97
1580714908,105,934
1580717073,95,3581
1580719001,104,117
1580720912,94,150
1580722825,110,117
1580724759,104,101
1580726665,100,102
1580728582,102,102
1580730516,110,125
1580732422,100,107
1580734355,102,110
1580736278,102,116
1580738182,125,116
1580740100,86,117
1580742360,115,158
1580744190,106,131
1580746121,115,138
1580748024,113,167
1580749968,836,66
1580751865,1519,241
1580753785,108,257
1580755738,98,816
1580757622,116,464
1580759541,97,118
1580761481,89,98
1580763398,72,107
1580765311,74,91
1580767544,110,107
1580769397,88,94
1580771315,105,85
1580773221,106,116
1580775181,111,111
1580777065,125,97
1580778986,109,102
1580781032,90,103
1580782898,76,96
1580784846,95,91
1580786699,89,194
1580788607,96,81
1580790498,84,76
1580792779,118,91
1580794600,96,87
1580796512,90,121
1580798420,92,97
1580800470,82,103
1580802277,81,78
1580804180,81,88
1580806008,93,91
1580807853,118,78
1580809709,82,90
1580811647,83,88
1580813562,83,95
1580815470,87,103
1580818008,135,125
1580819864,93,87
1580821723,100,88
1580823631,91,122
1580825579,94,110
1580827483,90,76
1580829418,94,80
1580831349,83,95
1580833276,78,104
1580835148,86,98
1580837170,94,2152
