DateTime,AddedIPs,RemovedIPs
1580531789,56,61
1580533717,70,76
1580535636,69,55
1580537586,55,77
1580539525,78,50
1580541430,74,53
1580543310,54,71
1580545226,85,54
1580547168,78,59
1580549135,95,61
1580550990,76,68
1580552923,85,67
1580555170,89,87
1580556989,81,47
1580559186,78,83
1580561085,86,56
1580563242,82,66
1580565192,66,75
1580567086,57,68
1580568999,54,64
1580570901,1003,51
1580573127,73,86
1580575014,64,100
1580576929,71,93
1580578833,68,114
1580580892,67,108
1580582903,76,101
1580584866,69,94
1580586755,75,71
1580588681,97,75
1580590622,79,78
1580592534,63,67
1580594787,80,78
1580596596,62,100
1580598507,88,58
1580600425,71,73
1580602396,82,99
1580604280,85,84
1580606182,92,75
1580608115,82,68
1580610023,74,70
1580611936,74,71
1580613872,89,67
1580615779,72,68
1580617698,56,69
1580619996,70,67
1580622020,87,66
1580623995,67,53
1580625874,70,57
1580627776,83,64
1580629726,103,63
1580631616,62,67
1580633536,76,80
1580635470,83,85
1580637383,64,68
1580639299,61,66
1580641440,70,74
1580643385,110,77
1580645319,92,59
1580647217,80,65
1580649163,61,73
1580651060,77,68
1580652982,66,64
1580654925,76,52
1580656842,62,637
1580658740,72,428
1580660674,86,57
1580662603,45,69
1580664507,76,74
1580666580,128,61
1580668413,530,61
1580670326,837,77
1580672185,99,65
1580674129,70,55
1580676047,76,185
1580677951,51,64
1580679886,56,64
1580682030,70,68
1580683954,64,74
1580685866,70,85
1580687790,77,62
1580689698,71,73
1580691918,96,99
1580693791,125,61
1580695701,77,82
1580697620,56,67
1580699572,55,62
1580701463,50,61
1580703384,60,65
1580705318,59,66
1580707244,58,60
1580709139,71,68
1580711112,87,76
1580712992,63,66
1580714909,76,92
1580717079,63,82
1580719002,63,76
1580720914,52,85
1580722826,55,77
1580724761,69,67
1580726666,58,67
1580728584,64,111
1580730518,65,104
1580732424,59,72
1580734357,63,64
1580736280,58,67
1580738184,62,71
1580740101,86,83
1580742380,105,97
1580744192,89,66
1580746122,91,83
1580748026,97,90
1580749970,75,35
1580751866,76,446
1580753786,80,250
1580755739,78,786
1580757624,64,453
1580759542,69,92
1580761482,76,65
1580763399,65,50
1580765312,54,49
1580767546,65,67
1580769398,70,65
1580771340,72,60
1580773222,70,89
1580775182,87,80
1580777066,115,68
1580778988,83,86
1580781033,67,80
1580782899,58,64
1580784847,64,51
1580786700,64,61
1580788609,72,49
1580790499,72,49
1580792797,85,73
1580794602,72,57
1580796514,70,76
1580798422,81,78
1580800472,69,72
1580802279,49,58
1580804182,51,51
1580806010,57,38
1580807854,134,52
1580809711,74,50
1580811648,68,55
1580813564,70,54
1580815472,73,69
1580818010,94,65
1580819867,71,65
1580821724,81,60
1580823632,68,75
1580825581,73,62
1580827484,58,40
1580829420,58,60
1580831350,75,57
1580833278,56,73
1580835169,61,72
1580837171,66,60
1580839009,62,57
1580840943,77,75
1580843150,70,75
1580845006,63,45
1580847180,71,207
1580849062,56,74
1580850985,81,45
1580852917,63,52
1580854833,64,64
1580856741,48,63
1580858667,57,76
1580860594,63,82
1580862564,65,105
1580864755,76,88
1580866602,77,82
1580868517,59,51
1580870423,66,78
1580872354,63,79
1580874266,69,72
1580876180,50,64
1580878115,54,79
1580880023,50,82
1580881948,57,80
1580883876,62,68
1580885781,66,62
1580887705,73,61
1580889963,74,74
1580891787,63,69
1580893712,57,54
1580895628,65,164
1580897544,65,66
1580899489,50,70
1580901383,82,60
1580903319,71,75
1580905218,69,88
1580907154,70,68
1580909060,62,86
1580910996,57,63
1580912895,52,83
1580916063,105,99
1580917940,53,99
1580919862,65,59
1580921796,56,62
1580923711,62,67
1580925943,63,76
1580927780,63,88
1580929838,64,70
1580931875,61,77
1580933934,72,91
1580935949,81,87
1580937858,53,81
1580939793,69,78
1580941701,75,92
1580944022,71,89
1580946024,74,96
1580947967,73,66
1580949862,53,45
1580951779,71,70
1580953714,61,63
1580955613,65,68
1580957558,81,64
1580959470,57,58
1580961380,67,54
1580963296,71,47
1580965423,69,69
1580967393,64,61
1580969340,65,58
1580971216,57,61
1580973181,69,65
1580975058,51,56
1580977016,74,64
1580978911,58,51
1580980829,58,55
1580982750,50,57
1580984674,57,67
1580986576,64,66
1580988496,62,65
1580991615,89,108
1580993545,58,59
1580995463,43,46
1580997433,67,52
1580999293,67,51
1581001426,70,66
1581003375,49,62
1581005325,69,54
1581007227,84,65
1581009139,72,54
1581011127,79,55
1581012979,56,42
1581014899,59,58
1581016839,57,63
1581018754,66,59
1581020677,61,56
1581022582,66,72
1581024499,53,53
1581026679,79,73
1581028604,87,64
1581030509,67,56
1581032433,76,268
1581034359,57,64
1581036263,87,53
1581038192,77,53
1581040121,48,64
1581042020,60,60
1581043938,57,87
1581045876,58,58
1581047782,58,59
1581049700,72,79
1581052581,114,106
1581054511,77,69
1581056415,52,70
1581058335,55,56
1581060277,57,59
1581062180,61,66
1581064095,49,68
1581066263,67,73
1581068193,58,54
1581070114,74,55
1581072020,65,94
1581073957,62,88
1581075859,55,65
1581077801,72,56
1581079714,58,61
1581081616,64,47
1581083543,55,60
1581085474,59,64
1581087397,43,66
1581089293,57,44
1581091512,67,66
1581093387,45,72
1581095332,49,77
1581097227,45,84
1581099158,61,59
1581101096,55,41
1581103014,69,62
1581104918,64,68
1581106819,46,60
1581108741,62,70
1581110686,58,75
1581112580,58,77
1581114499,74,71
1581116820,76,76
1581118848,63,88
1581120755,82,53
1581122681,64,70
1581124580,71,78
1581126513,64,48
1581128427,75,51
1581130333,64,59
1581132270,70,56
1581134177,78,67
1581136110,68,70
1581138289,52,109
1581140198,76,79
1581142118,61,69
1581144019,52,69
1581145958,54,60
1581147880,66,60
1581149831,72,48
1581151946,50,74
1581153864,74,58
1581155792,48,81
1581157699,70,68
1581159944,65,76
1581161818,63,47
1581163712,45,65
1581165618,70,66
1581167549,55,60
1581169469,48,62
1581171395,56,54
1581173296,55,62
1581175227,48,50
1581177147,63,55
1581179054,64,49
1581180993,59,46
1581182894,60,49
1581185123,70,62
1581186974,55,62
1581188923,44,74
1581190862,50,58
1581192769,60,44
1581194661,64,65
1581196588,60,68
1581198528,54,53
1581200424,66,71
1581202338,60,61
1581204275,56,61
1581206198,90,69
1581208101,79,67
1581210328,131,73
1581212235,81,65
1581214361,69,73
1581216256,49,71
1581218184,54,52
1581220134,62,69
1581222014,59,62
1581223961,62,53
1581225889,89,61
1581227789,56,61
1581229695,65,56
1581231891,75,72
1581233825,69,54
1581235694,61,60
1581237617,83,59
1581239572,111,50
1581241454,80,55
1581243379,54,66
1581245312,70,58
1581247238,62,57
1581249135,82,53
1581251070,53,58
1581253006,62,64
1581254897,72,46
1581257134,71,62
1581259002,70,57
1581260936,61,48
1581262819,53,51
1581264759,64,52
1581266660,76,56
1581268580,64,56
1581270516,58,72
1581272417,60,60
1581274336,61,52
1581276282,422,62
1581278177,961,52
1581280110,51,49
1581282363,51,61
1581284174,62,69
1581286121,72,49
1581288021,62,68
1581289956,61,47
1581291866,82,72
1581293780,73,85
1581295716,66,90
1581297615,77,93
1581299533,63,65
1581301473,85,60
1581303374,120,50
1581305300,60,46
1581307461,69,63
1581309449,77,53
1581311313,83,63
1581313217,71,72
1581315156,83,52
1581317058,68,65
1581319055,67,69
1581320936,67,57
1581322838,61,62
1581324739,64,69
1581326676,77,83
1581328588,68,71
1581330523,70,63
1581332780,91,78
1581334597,67,73
1581336513,69,63
1581338424,57,56
1581340454,83,64
1581342269,42,51
1581344185,61,86
1581346118,54,57
1581348026,66,63
1581349942,46,51
1581351930,59,70
1581353780,48,48
1581355700,57,58
1581357936,109,67
1581359825,270,57
1581361723,70,122
1581363626,53,640
1581365629,61,657
1581367489,48,55
1581369419,70,57
1581371325,64,66
1581373246,72,69
1581375202,64,61
1581377108,52,69
1581378992,63,64
1581380946,61,189
1581383179,68,75
1581384999,51,50
1581386915,58,72
1581388824,70,106
1581390801,59,119
1581392681,79,50
1581394850,79,78
1581396771,65,73
1581398686,61,77
1581400587,66,67
1581402537,59,81
1581404799,137,80
1581406821,84,66
1581408751,57,57
1581410698,88,55
1581412582,55,80
1581414536,38,64
1581416434,58,73
1581418400,66,66
1581420336,67,88
1581422194,46,64
1581424139,73,73
1581426280,59,93
1581428179,66,60
1581430115,68,39
1581432040,51,72
1581433943,40,54
1581435887,56,60
1581437775,47,58
1581439698,56,41
1581441629,67,56
1581443533,52,82
1581445521,70,316
1581447393,102,70
1581449293,96,64
1581451434,93,54
1581453374,94,76
1581455322,114,76
1581457217,57,51
1581459140,57,54
1581461074,59,66
1581462991,50,60
1581464897,60,60
1581466830,73,71
1581468734,70,49
1581470673,355,66
1581472630,73,63
1581474553,63,57
1581476743,84,62
1581478579,81,76
1581480510,70,60
1581482418,75,66
1581484336,70,63
1581486274,61,69
1581488206,49,52
1581490101,71,111
1581492034,69,84
1581493961,76,75
1581495860,691,59
1581497792,2282,66
1581499698,61,53
1581501902,58,63
1581503783,38,56
1581505727,43,46
