DateTime,Entries,UniqueIPs
1580531789,4419,4419
1580533717,4413,4413
1580535636,4427,4427
1580537586,4405,4405
1580539525,4433,4433
1580541430,4454,4454
1580543310,4437,4437
1580545226,4468,4468
1580547168,4487,4487
1580549135,4521,4521
1580550990,4529,4529
1580552923,4547,4547
1580555170,4549,4549
1580556989,4583,4583
1580559186,4578,4578
1580561085,4608,4608
1580563242,4624,4624
1580565192,4615,4615
1580567086,4604,4604
1580568999,4594,4594
1580570901,5546,5546
1580573127,5533,5533
1580575014,5497,5497
1580576929,5475,5475
1580578833,5429,5429
1580580892,5388,5388
1580582903,5363,5363
1580584866,5338,5338
1580586755,5342,5342
1580588681,5364,5364
1580590622,5365,5365
1580592534,5361,5361
1580594787,5363,5363
1580596596,5325,5325
1580598507,5355,5355
1580600425,5353,5353
1580602396,5336,5336
1580604280,5337,5337
1580606182,5354,5354
1580608115,5368,5368
1580610023,5372,5372
1580611936,5375,5375
1580613872,5397,5397
1580615779,5401,5401
1580617698,5388,5388
1580619996,5391,5391
1580622020,5412,5412
1580623995,5426,5426
1580625874,5439,5439
1580627776,5458,5458
1580629726,5498,5498
1580631616,5493,5493
1580633536,5489,5489
1580635470,5487,5487
1580637383,5483,5483
1580639299,5478,5478
1580641440,5474,5474
1580643385,5507,5507
1580645319,5540,5540
1580647217,5555,5555
1580649163,5543,5543
1580651060,5552,5552
1580652982,5554,5554
1580654925,5578,5578
1580656842,5003,5003
1580658740,4647,4647
1580660674,4676,4676
1580662603,4652,4652
1580664507,4654,4654
1580666580,4721,4721
1580668413,5190,5190
1580670326,5950,5950
1580672185,5984,5984
1580674129,5999,5999
1580676047,5890,5890
1580677951,5877,5877
1580679886,5869,5869
1580682030,5871,5871
1580683954,5861,5861
1580685866,5846,5846
1580687790,5861,5861
1580689698,5859,5859
1580691918,5856,5856
1580693791,5920,5920
1580695701,5915,5915
1580697620,5904,5904
1580699572,5897,5897
1580701463,5886,5886
1580703384,5881,5881
1580705318,5874,5874
1580707244,5872,5872
1580709139,5875,5875
1580711112,5886,5886
1580712992,5883,5883
1580714909,5867,5867
1580717079,5848,5848
1580719002,5835,5835
1580720914,5802,5802
1580722826,5780,5780
1580724761,5782,5782
1580726666,5773,5773
1580728584,5726,5726
1580730518,5687,5687
1580732424,5674,5674
1580734357,5673,5673
1580736280,5664,5664
1580738184,5655,5655
1580740101,5658,5658
1580742380,5666,5666
1580744192,5689,5689
1580746122,5697,5697
1580748026,5704,5704
1580749970,5744,5744
1580751866,5374,5374
1580753786,5204,5204
1580755739,4496,4496
1580757624,4107,4107
1580759542,4084,4084
1580761482,4095,4095
1580763399,4110,4110
1580765312,4115,4115
1580767546,4113,4113
1580769398,4118,4118
1580771340,4130,4130
1580773222,4111,4111
1580775182,4118,4118
1580777066,4165,4165
1580778988,4162,4162
1580781033,4149,4149
1580782899,4143,4143
1580784847,4156,4156
1580786700,4159,4159
1580788609,4182,4182
1580790499,4205,4205
1580792797,4217,4217
1580794602,4232,4232
1580796514,4226,4226
1580798422,4229,4229
1580800472,4226,4226
1580802279,4217,4217
1580804182,4217,4217
1580806010,4236,4236
1580807854,4318,4318
1580809711,4342,4342
1580811648,4355,4355
1580813564,4371,4371
1580815472,4375,4375
1580818010,4404,4404
1580819867,4410,4410
1580821724,4431,4431
1580823632,4424,4424
1580825581,4435,4435
1580827484,4453,4453
1580829420,4451,4451
1580831350,4469,4469
1580833278,4452,4452
1580835169,4441,4441
1580837171,4447,4447
1580839009,4452,4452
1580840943,4454,4454
1580843150,4449,4449
1580845006,4467,4467
1580847180,4331,4331
1580849062,4313,4313
1580850985,4349,4349
1580852917,4360,4360
1580854833,4360,4360
1580856741,4345,4345
1580858667,4326,4326
1580860594,4307,4307
1580862564,4267,4267
1580864755,4255,4255
1580866602,4250,4250
1580868517,4258,4258
1580870423,4246,4246
1580872354,4230,4230
1580874266,4227,4227
1580876180,4213,4213
1580878115,4188,4188
1580880023,4156,4156
1580881948,4133,4133
1580883876,4127,4127
1580885781,4131,4131
1580887705,4143,4143
1580889963,4143,4143
1580891787,4137,4137
1580893712,4140,4140
1580895628,4041,4041
1580897544,4040,4040
1580899489,4020,4020
