DateTime,AddedIPs,RemovedIPs
1580526976,0,4
1580528906,3,5
1580530819,3,2
1580532736,5,5
1580534683,4,4
1580536603,4,7
1580538501,3,2
1580541431,6,2
1580543310,4,4
1580545227,2,1
1580547170,2,0
1580549135,4,4
1580550990,3,5
1580552924,1,1
1580555171,4,2
1580556989,3,3
1580559187,3,1
1580561085,4,2
1580563243,2,1
1580565192,1,2
1580567086,2,1
1580568999,5,1
1580570902,1,2
1580573128,1,1
1580575014,3,2
1580576930,2,4
1580578834,4,3
1580580892,5,2
1580582903,1,1
1580584866,0,1
1580586756,1,2
1580588681,1,4
1580590623,3,3
1580592534,1,2
1580594787,4,5
1580596597,3,2
1580600425,4,3
1580602396,4,4
1580604281,6,4
1580606183,2,2
1580608115,2,3
1580610024,4,0
1580611937,5,1
1580613872,2,1
1580615783,2,2
1580617698,2,4
1580619997,2,8
1580622021,1,3
1580623995,3,3
1580625875,2,3
1580627777,1,4
1580629726,1,4
1580631617,0,2
1580633537,1,2
1580635471,3,4
1580637383,1,3
1580639300,2,0
1580641449,0,5
1580643386,1,3
1580645319,5,3
1580647218,1,4
1580649164,0,1
1580651061,2,1
1580652982,1,3
1580654925,3,4
1580656846,4,1
1580658744,0,2
1580660675,0,1
1580662604,3,2
1580664507,1,3
1580666600,2,8
1580668413,2,1
1580670327,2,0
1580674129,2,1
1580676047,1,3
1580677952,0,2
1580679886,1,1
1580682031,0,4
1580683954,2,2
1580685866,0,1
1580687790,2,7
1580689699,1,6
1580691919,1,1
1580693792,1,2
1580695701,2,3
1580697622,1,6
1580699572,1,2
1580701464,2,3
1580703384,3,2
1580705319,1,1
1580707245,1,2
1580709140,5,1
1580711114,1,3
1580712993,4,1
1580714910,0,2
1580719003,1,0
1580720914,1,1
1580722826,3,3
1580724761,1,3
1580726667,4,0
1580728584,4,0
1580730518,4,1
1580732447,0,5
1580734357,2,1
1580736282,1,1
1580738185,4,1
1580740102,1,2
1580742381,4,3
1580744192,3,3
1580746122,4,0
1580748026,0,1
1580749971,3,3
1580751867,1,0
1580753786,2,3
1580755740,0,2
1580757624,2,1
1580759542,3,2
1580761482,1,1
1580763400,2,0
1580765313,3,1
1580767547,1,0
1580769399,2,1
1580771341,5,1
1580773223,2,2
1580775183,4,1
1580777066,2,0
1580778988,5,2
1580781033,3,0
1580782900,4,3
1580784848,2,0
1580786701,1,1
1580788609,2,3
1580790500,0,2
1580792802,2,0
1580794602,1,3
1580796514,1,3
1580798422,1,4
1580800472,1,1
1580802279,2,0
1580804182,4,0
1580806010,1,2
1580807855,4,0
1580809711,0,3
1580811649,2,2
1580813564,0,3
1580815472,3,4
1580818011,0,4
1580819869,2,1
1580821724,1,1
1580823632,0,4
1580825582,1,1
1580827484,1,2
1580829422,1,3
1580831350,2,5
1580833278,1,2
1580835169,1,1
1580837172,1,3
1580839009,1,2
1580840944,1,0
1580843150,2,0
1580845006,1,4
1580847180,2,1
1580849072,3,2
1580850985,0,2
1580852918,3,3
1580854833,1,0
1580856742,2,4
1580858667,2,4
1580860595,3,5
1580862565,5,1
1580864756,2,2
1580866602,6,7
1580868518,3,3
1580870424,5,1
1580872354,2,3
1580874266,3,1
1580876181,0,1
1580878115,1,2
1580880024,1,2
1580881948,5,1
1580883876,3,1
1580887705,1,1
1580889963,4,5
1580891788,0,2
1580893713,2,3
1580895628,1,1
1580897544,2,2
1580899489,2,0
1580901384,2,3
1580903319,2,0
1580905218,2,0
1580907154,1,2
1580909060,0,1
1580910996,0,1
1580912896,3,0
1580914979,4,2
1580916981,2,2
1580918920,1,1
1580920819,2,0
1580922795,3,2
1580924654,1,1
1580926580,3,1
1580928503,4,1
1580930444,1,1
1580932333,2,1
1580934191,3,2
1580936192,3,3
1580938092,3,1
1580940183,4,2
1580942177,3,1
1580944022,1,3
1580946024,1,3
1580947968,3,3
