DateTime,AddedIPs,RemovedIPs
1580311227,3,2
1580313135,3,2
1580315070,0,2
1580316998,1,0
1580318909,4,0
1580321054,0,2
1580322993,1,1
1580324904,0,1
1580326818,1,0
1580328751,3,1
1580330658,3,1
1580334512,2,3
1580338334,1,2
1580340269,0,1
1580342178,0,1
1580344137,4,2
1580348215,2,0
1580350110,5,0
1580352019,1,1
1580355870,1,3
1580357774,0,1
1580359715,1,1
1580363545,1,0
1580365475,2,2
1580371477,0,2
1580375297,1,0
1580379148,2,0
1580381056,1,0
1580383225,2,1
1580385145,1,1
1580387063,1,1
1580388988,0,1
1580393146,2,1
1580394975,1,1
1580396801,0,1
1580398608,0,1
1580400530,1,4
1580402418,0,1
1580404369,3,1
1580406375,1,2
1580408219,1,0
1580410099,0,1
1580412033,1,0
1580413937,3,4
1580415858,2,2
1580419696,1,2
1580422017,3,2
1580424019,3,1
1580425937,4,0
1580427864,1,1
1580429775,2,2
1580431699,0,2
1580433623,1,0
1580435533,1,1
1580437464,3,2
1580439377,2,1
1580441297,0,2
1580444420,0,1
1580446335,1,2
1580448300,0,1
1580450176,1,2
1580452127,2,1
1580454379,1,0
1580460324,1,0
1580462216,1,1
1580464097,0,1
1580466026,0,3
1580467941,1,0
1580469865,1,2
1580475710,0,1
1580477531,0,1
1580479350,1,1
1580481385,2,0
1580483319,3,0
1580487162,7,1
1580491997,0,2
1580494040,2,1
1580496072,2,1
1580497972,0,4
1580503701,1,1
1580505634,5,2
1580507569,1,5
1580509483,4,1
1580511395,1,4
1580513301,1,2
1580515459,1,1
1580517375,1,1
1580519318,0,2
1580521242,1,0
1580523154,0,1
1580525069,1,2
1580532737,0,1
1580536604,0,1
1580538503,0,2
1580541434,0,1
1580549136,1,0
1580550991,1,0
1580552925,2,1
1580555172,1,0
1580556990,2,0
1580559188,1,2
1580561086,0,1
1580563244,1,1
1580565194,1,0
1580567088,2,2
1580570903,0,3
1580573129,2,5
1580575031,1,3
1580576931,5,1
1580578835,0,1
1580580894,0,2
1580582904,2,2
1580584868,1,0
1580586757,1,0
1580588682,1,0
1580590624,0,1
1580592535,0,4
1580594789,1,3
1580596598,1,2
1580598509,1,2
1580600427,0,1
1580602398,1,1
1580604282,1,0
1580606184,1,0
1580608117,1,1
1580611938,0,1
1580613873,0,1
1580615784,1,0
1580623996,1,0
1580627778,1,0
1580635472,2,2
1580639301,3,0
1580641464,1,1
1580643387,2,1
1580645320,1,0
1580649165,0,2
1580651062,0,2
1580652984,0,3
1580654926,0,1
1580656849,0,1
1580658745,0,2
1580660676,2,1
1580662605,0,3
1580664509,2,3
1580666662,2,1
1580668853,2,0
1580672676,2,1
1580674597,2,3
1580678664,4,3
1580680616,3,1
1580682499,1,0
1580684665,1,0
1580686575,3,0
1580688513,1,1
1580690415,3,1
1580692362,2,0
1580694258,1,0
1580696178,2,0
1580698115,1,0
1580701937,0,1
1580703878,2,0
1580705774,1,0
1580711778,1,0
1580713960,1,0
1580721629,2,1
1580723537,1,0
1580725492,0,1
1580727383,0,1
1580729297,1,2
1580731522,1,3
1580735306,2,1
1580739180,1,0
1580741057,1,1
1580747323,1,1
1580749334,1,0
1580751140,3,2
1580755102,1,2
1580756917,1,0
1580758816,2,2
1580760750,1,1
1580762667,1,0
1580764602,2,5
1580766517,1,3
1580768413,4,1
1580770370,0,1
1580772259,1,5
1580774190,0,1
1580776095,1,2
1580778184,1,0
1580780196,2,2
1580782213,1,1
1580784030,0,1
1580786062,1,0
1580787886,1,0
1580789779,1,0
1580791697,0,1
1580799389,2,0
1580801292,0,1
1580803411,0,3
1580805216,1,5
1580808977,0,3
1580810915,0,2
1580812828,1,0
1580814745,2,1
1580816688,3,1
1580818878,1,0
1580820749,0,1
1580824600,1,1
1580826497,1,2
1580828645,2,4
1580832493,1,0
1580836369,1,2
1580842287,2,0
1580844269,0,1
1580846190,1,1
1580848110,2,0
1580850124,1,1
1580851939,0,3
1580853825,2,4
1580855775,2,1
1580859616,0,1
1580861560,2,1
1580865402,1,3
1580867311,0,1
1580871134,1,0
1580873079,1,0
1580874976,1,1
1580877140,1,1
1580882754,1,0
1580886511,1,3
1580888431,1,0
1580890337,1,3
1580892268,1,4
1580894178,1,0
1580896098,1,0
1580898023,1,1
1580899935,1,4
1580901890,3,1
1580903771,1,2
1580905701,1,2
1580907859,1,0
1580909779,0,1
1580911717,2,0
1580913616,1,0
1580915537,3,1
1580917464,2,1
1580919384,1,1
1580923224,1,1
1580925137,3,0
1580927058,1,1
1580928988,1,0
1580930907,1,0
1580933047,0,2
1580935030,0,1
1580936924,2,0
1580938818,1,0
1580940740,3,2
1580942668,1,0
1580944610,2,1
1580948442,3,2
1580950333,1,1
1580952268,2,0
1580954190,2,1
1580956101,2,0
1580958229,1,2
1580960205,2,0
