DateTime,Entries,UniqueIPs
1580311227,86,86
1580313135,87,87
1580315070,85,85
1580316998,86,86
1580318909,90,90
1580321054,88,88
1580322993,88,88
1580324904,87,87
1580326818,88,88
1580328751,90,90
1580330658,92,92
1580334512,91,91
1580338334,90,90
1580340269,89,89
1580342178,88,88
1580344137,90,90
1580348215,92,92
1580350110,97,97
1580352019,97,97
1580355870,95,95
1580357774,94,94
1580359715,94,94
1580363545,95,95
1580365475,95,95
1580371477,93,93
1580375297,94,94
1580379148,96,96
1580381056,97,97
1580383225,98,98
1580385145,98,98
1580387063,98,98
1580388988,97,97
1580393146,98,98
1580394975,98,98
1580396801,97,97
1580398608,96,96
1580400530,93,93
1580402418,92,92
1580404369,94,94
1580406375,93,93
1580408219,94,94
1580410099,93,93
1580412033,94,94
1580413937,93,93
1580415858,93,93
1580419696,92,92
1580422017,93,93
1580424019,95,95
1580425937,99,99
1580427864,99,99
1580429775,99,99
1580431699,97,97
1580433623,98,98
1580435533,98,98
1580437464,99,99
1580439377,100,100
1580441297,98,98
1580444420,97,97
1580446335,96,96
1580448300,95,95
1580450176,94,94
1580452127,95,95
1580454379,96,96
1580460324,97,97
1580462216,97,97
1580464097,96,96
1580466026,93,93
1580467941,94,94
1580469865,93,93
1580475710,92,92
1580477531,91,91
1580479350,91,91
1580481385,93,93
1580483319,96,96
1580487162,102,102
1580491997,100,100
1580494040,101,101
1580496072,102,102
1580497972,98,98
1580503701,98,98
1580505634,101,101
1580507569,97,97
1580509483,100,100
1580511395,97,97
1580513301,96,96
1580515459,96,96
1580517375,96,96
1580519318,94,94
1580521242,95,95
1580523154,94,94
1580525069,93,93
1580532737,92,92
1580536604,91,91
1580538503,89,89
1580541434,88,88
1580549136,89,89
1580550991,90,90
1580552925,91,91
1580555172,92,92
1580556990,94,94
1580559188,93,93
1580561086,92,92
1580563244,92,92
1580565194,93,93
1580567088,93,93
1580570903,90,90
1580573129,87,87
1580575031,85,85
1580576931,89,89
1580578835,88,88
1580580894,86,86
1580582904,86,86
1580584868,87,87
1580586757,88,88
1580588682,89,89
1580590624,88,88
1580592535,84,84
1580594789,82,82
1580596598,81,81
1580598509,80,80
1580600427,79,79
1580602398,79,79
1580604282,80,80
1580606184,81,81
1580608117,81,81
1580611938,80,80
1580613873,79,79
1580615784,80,80
1580623996,81,81
1580627778,82,82
1580635472,82,82
1580639301,85,85
1580641464,85,85
1580643387,86,86
1580645320,87,87
1580649165,85,85
1580651062,83,83
1580652984,80,80
1580654926,79,79
1580656849,78,78
1580658745,76,76
1580660676,77,77
1580662605,74,74
1580664509,73,73
1580666662,74,74
1580668853,76,76
1580672676,77,77
1580674597,76,76
1580678664,77,77
1580680616,79,79
1580682499,80,80
1580684665,81,81
1580686575,84,84
1580688513,84,84
1580690415,86,86
1580692362,88,88
1580694258,89,89
1580696178,91,91
1580698115,92,92
1580701937,91,91
1580703878,93,93
1580705774,94,94
1580711778,95,95
1580713960,96,96
1580721629,97,97
1580723537,98,98
1580725492,97,97
1580727383,96,96
1580729297,95,95
1580731522,93,93
1580735306,94,94
1580739180,95,95
1580741057,95,95
1580747323,95,95
1580749334,96,96
1580751140,97,97
1580755102,96,96
1580756917,97,97
1580758816,97,97
1580760750,97,97
1580762667,98,98
1580764602,95,95
1580766517,93,93
1580768413,96,96
1580770370,95,95
1580772259,91,91
1580774190,90,90
1580776095,89,89
1580778184,90,90
1580780196,90,90
1580782213,90,90
1580784030,89,89
1580786062,90,90
1580787886,91,91
1580789779,92,92
1580791697,91,91
1580799389,93,93
1580801292,92,92
1580803411,89,89
1580805216,85,85
1580808977,82,82
1580810915,80,80
1580812828,81,81
1580814745,82,82
1580816688,84,84
1580818878,85,85
1580820749,84,84
1580824600,84,84
1580826497,83,83
1580828645,81,81
1580832493,82,82
1580836369,81,81
1580842287,83,83
1580844269,82,82
1580846190,82,82
1580848110,84,84
1580850124,84,84
1580851939,81,81
1580853825,79,79
1580855775,80,80
1580859616,79,79
1580861560,80,80
1580865402,78,78
1580867311,77,77
1580871134,78,78
1580873079,79,79
1580874976,79,79
1580877140,79,79
1580882754,80,80
1580886511,78,78
1580888431,79,79
1580890337,77,77
1580892268,74,74
1580894178,75,75
1580896098,76,76
1580898023,76,76
1580899935,73,73
1580901890,75,75
1580903771,74,74
1580905701,73,73
1580907859,74,74
1580909779,73,73
1580911717,75,75
1580913616,76,76
1580915537,78,78
1580917464,79,79
