DateTime,AddedIPs,RemovedIPs
1580531789,12,5
1580533720,9,7
1580535637,13,1
1580537587,11,9
1580539541,24,0
1580541447,19,28
1580543313,25,8
1580545228,26,15
1580547172,21,110
1580549137,113,0
1580550992,10,3
1580552926,6,3
1580555173,7,13
1580556991,7,13
1580559189,12,14
1580561087,13,6
1580563245,14,4
1580565194,20,2
1580567088,14,8
1580569001,7,1
1580570903,20,13
1580573130,11,12
1580575034,12,59
1580576932,21,74
1580578836,13,143
1580580894,10,123
1580582905,19,7
1580584868,12,14
1580586758,12,15
1580588684,14,11
1580590626,16,13
1580592537,19,12
1580594791,13,10
1580596599,10,10
1580598511,8,13
1580600429,14,7
1580602400,7,11
1580604284,2,7
1580606184,3,6
1580608118,6,10
1580610026,5,6
1580611939,2,7
1580613874,28,22
1580615785,4,11
1580617700,10,15
1580619999,10,14
1580622022,11,19
1580623997,5,19
1580625876,17,31
1580627778,7,13
1580629728,1,28
1580631619,1,29
1580633539,6,58
1580635473,51,7
1580637385,9,11
1580639301,4,4
1580641468,14,5
1580643387,27,20
1580645321,11,14
1580647220,21,7
1580649166,16,9
1580651064,17,17
1580652985,8,10
1580654928,14,2
1580656850,6,25
1580658746,4,15
1580660677,10,13
1580662606,4,16
1580664510,11,11
1580666697,14,9
1580668855,8,2
1580670754,7,35
1580672677,8,17
1580674598,9,14
1580676747,6,21
1580678665,11,22
1580680617,7,19
1580682499,9,6
1580684675,3,11
1580686576,2,23
1580688513,1,14
1580690416,2,3
1580692363,1,2
1580694259,4,6
1580696179,2,5
1580698115,2,4
1580700018,8,38
1580701937,10,9
1580703878,13,13
1580705775,13,10
1580707699,17,20
1580709881,17,7
1580711778,13,20
1580713961,25,10
1580715870,17,1
1580717797,22,2
1580719718,12,3
1580721630,19,14
1580723537,15,9
1580725493,12,6
1580727384,11,8
1580729298,15,16
1580731546,11,11
1580733390,15,11
1580735307,12,10
1580737218,10,13
1580739182,13,5
1580741058,11,0
1580743482,10,20
1580745383,18,11
1580747325,10,13
1580749391,18,10
1580751391,18,11
1580753315,13,8
1580755218,9,2
1580757163,12,22
1580759057,15,7
1580760983,13,9
1580762928,15,6
1580764828,11,10
1580766732,7,2
1580768676,14,5
1580770596,7,4
1580772497,17,5
1580774494,5,3
1580776339,10,1
1580778244,6,1
1580780197,5,0
1580782214,6,5
1580784030,10,2
1580786063,11,11
1580787887,9,8
1580789780,4,12
1580791698,6,14
1580793618,3,15
1580795535,6,9
1580797456,5,9
1580799390,2,7
1580801293,9,31
1580803437,23,12
1580805374,28,196
1580807311,207,12
1580809218,27,12
1580811134,16,17
1580813065,16,6
1580814975,25,9
1580816920,18,25
1580818880,9,14
1580820751,18,16
1580822679,14,12
1580824601,14,3
1580826499,18,5
1580828663,13,8
1580830590,11,17
1580832494,13,16
1580834422,17,19
1580836370,6,13
1580838257,5,6
1580840456,7,8
1580842288,4,8
1580844270,7,24
1580846190,4,23
1580848110,2,14
1580850157,13,10
1580852185,14,17
1580854150,23,5
1580856015,17,9
1580857934,14,13
1580859867,8,15
1580861774,14,9
1580863739,1,5
1580865625,2,8
1580867529,3,9
1580869463,4,11
1580871370,0,8
1580873318,0,18
1580876421,8,20
1580878346,3,9
1580880286,3,3
1580882188,3,9
1580884120,4,5
1580886383,9,7
1580888200,24,11
1580890119,25,20
1580892019,22,26
1580894005,29,43
1580895878,15,17
1580897781,17,8
1580899703,21,9
1580901620,24,32
1580903538,15,21
1580905460,13,16
1580907383,11,14
1580909300,9,16
1580911480,17,15
1580913373,17,10
1580915322,6,27
1580917218,5,12
1580919153,2,15
1580921079,3,19
1580923225,1,6
1580925138,3,7
1580927059,4,5
1580928988,7,5
1580930908,5,22
1580933080,6,8
1580935031,1,7
1580936924,7,13
1580938819,3,13
1580940740,2,9
1580942669,5,2
1580944611,10,34
1580946514,10,18
1580948442,6,11
1580950334,3,0
1580952269,5,1
1580954191,3,3
1580956102,1,0
1580958260,11,0
1580960206,12,3
1580962107,10,2
1580964043,8,3
1580965980,6,0
1580967878,11,5
1580969786,9,3
1580971712,23,3
1580973614,23,32
1580975542,20,24
1580977472,11,22
1580979375,23,19
1580981303,10,18
1580983548,13,19
1580985391,12,20
1580987312,10,35
1580989216,8,34
1580991162,5,25
1580993058,4,13
1580995235,8,23
1580997178,8,22
1580999073,3,24
1581000977,7,8
1581002913,13,5
1581005036,23,4
1581006977,17,2
1581008914,14,1
1581010844,17,1
1581012742,17,5
1581014673,14,3
1581016582,13,4
1581018755,8,7
1581020679,2,2
1581022584,5,7
1581024501,2,3
1581026682,3,5
1581028607,3,3
1581030511,4,24
1581032444,1,15
1581034360,1,7
1581036265,1,3
1581038194,3,4
1581040122,2,6
1581042022,1,2
1581043939,1,7
1581045878,1,33
1581047784,1,21
1581049701,0,15
1581051714,1,13
1581053550,5,17
1581055364,7,12
1581057390,5,16
1581059290,30,39
1581061212,722,25
1581063153,15,5
1581065053,16,191
1581066985,12,10
1581068923,16,6
1581070815,15,4
1581072771,10,10
1581074670,9,22
1581076573,12,9
1581078492,8,6
1581080612,7,3
1581082590,9,9
1581084499,2,8
1581086416,6,5
1581088350,7,15
1581090254,11,12
1581092175,4,21
1581094134,9,13
1581096019,11,14
1581097931,11,7
1581099867,15,21
1581101794,11,10
1581103694,20,2
1581105719,16,4
1581107538,14,2
1581110426,18,3
1581112333,13,3
1581114270,9,1
1581116195,18,0
1581118113,23,6
1581120292,22,0
1581122189,7,3
1581124115,0,3
1581126013,0,1
1581127951,2,2
1581129856,2,1
1581131803,66,0
1581133701,37,0
1581135615,12,1
1581137546,12,1
1581139479,10,0
1581141389,15,1
1581143299,13,1
1581145498,20,4
1581147380,40,654
1581149348,38,41
1581151221,26,11
1581153136,24,14
1581155070,17,16
1581157002,29,16
1581159158,30,11
1581161059,25,10
1581163008,16,15
1581164899,20,12
