DateTime,Entries,UniqueIPs
1580531789,1316,1316
1580533720,1318,1318
1580535637,1330,1330
1580537587,1332,1332
1580539541,1356,1356
1580541447,1347,1347
1580543313,1364,1364
1580545228,1375,1375
1580547172,1286,1286
1580549137,1399,1399
1580550992,1406,1406
1580552926,1409,1409
1580555173,1403,1403
1580556991,1397,1397
1580559189,1395,1395
1580561087,1402,1402
1580563245,1412,1412
1580565194,1430,1430
1580567088,1436,1436
1580569001,1442,1442
1580570903,1449,1449
1580573130,1448,1448
1580575034,1401,1401
1580576932,1348,1348
1580578836,1218,1218
1580580894,1105,1105
1580582905,1117,1117
1580584868,1115,1115
1580586758,1112,1112
1580588684,1115,1115
1580590626,1118,1118
1580592537,1125,1125
1580594791,1128,1128
1580596599,1128,1128
1580598511,1123,1123
1580600429,1130,1130
1580602400,1126,1126
1580604284,1121,1121
1580606184,1118,1118
1580608118,1114,1114
1580610026,1113,1113
1580611939,1108,1108
1580613874,1114,1114
1580615785,1107,1107
1580617700,1102,1102
1580619999,1098,1098
1580622022,1090,1090
1580623997,1076,1076
1580625876,1062,1062
1580627778,1056,1056
1580629728,1029,1029
1580631619,1001,1001
1580633539,949,949
1580635473,993,993
1580637385,991,991
1580639301,991,991
1580641468,1000,1000
1580643387,1007,1007
1580645321,1004,1004
1580647220,1018,1018
1580649166,1025,1025
1580651064,1025,1025
1580652985,1023,1023
1580654928,1035,1035
1580656850,1016,1016
1580658746,1005,1005
1580660677,1002,1002
1580662606,990,990
1580664510,990,990
1580666697,995,995
1580668855,1001,1001
1580670754,973,973
1580672677,964,964
1580674598,959,959
1580676747,944,944
1580678665,933,933
1580680617,921,921
1580682499,924,924
1580684675,916,916
1580686576,895,895
1580688513,882,882
1580690416,881,881
1580692363,880,880
1580694259,878,878
1580696179,875,875
1580698115,873,873
1580700018,843,843
1580701937,844,844
1580703878,844,844
1580705775,847,847
1580707699,844,844
1580709881,854,854
1580711778,847,847
1580713961,862,862
1580715870,878,878
1580717797,898,898
1580719718,907,907
1580721630,912,912
1580723537,918,918
1580725493,924,924
1580727384,927,927
1580729298,926,926
1580731546,926,926
1580733390,930,930
1580735307,932,932
1580737218,929,929
1580739182,937,937
1580741058,948,948
1580743482,938,938
1580745383,945,945
1580747325,942,942
1580749391,950,950
1580751391,957,957
1580753315,962,962
1580755218,969,969
1580757163,959,959
1580759057,967,967
1580760983,971,971
1580762928,980,980
1580764828,981,981
1580766732,986,986
1580768676,995,995
1580770596,998,998
1580772497,1010,1010
1580774494,1012,1012
1580776339,1021,1021
1580778244,1026,1026
1580780197,1031,1031
1580782214,1032,1032
1580784030,1040,1040
1580786063,1040,1040
1580787887,1041,1041
1580789780,1033,1033
1580791698,1025,1025
1580793618,1013,1013
1580795535,1010,1010
1580797456,1006,1006
1580799390,1001,1001
1580801293,979,979
1580803437,990,990
1580805374,822,822
1580807311,1017,1017
1580809218,1032,1032
1580811134,1031,1031
1580813065,1041,1041
1580814975,1057,1057
1580816920,1050,1050
1580818880,1045,1045
1580820751,1047,1047
1580822679,1049,1049
1580824601,1060,1060
1580826499,1073,1073
1580828663,1078,1078
1580830590,1072,1072
1580832494,1069,1069
1580834422,1067,1067
1580836370,1060,1060
1580838257,1059,1059
1580840456,1058,1058
1580842288,1054,1054
1580844270,1037,1037
1580846190,1018,1018
1580848110,1006,1006
1580850157,1009,1009
1580852185,1006,1006
1580854150,1024,1024
1580856015,1032,1032
1580857934,1033,1033
1580859867,1026,1026
1580861774,1031,1031
1580863739,1027,1027
1580865625,1021,1021
1580867529,1015,1015
1580869463,1008,1008
1580871370,1000,1000
1580873318,982,982
1580876421,970,970
1580878346,964,964
1580880286,964,964
1580882188,958,958
1580884120,957,957
1580886383,959,959
1580888200,972,972
1580890119,977,977
1580892019,973,973
1580894005,959,959
1580895878,957,957
1580897781,966,966
1580899703,978,978
1580901620,970,970
1580903538,964,964
1580905460,961,961
1580907383,958,958
1580909300,951,951
1580911480,953,953
1580913373,960,960
1580915322,939,939
1580917218,932,932
1580919153,919,919
1580921079,903,903
1580923225,898,898
1580925138,894,894
1580927059,893,893
1580928988,895,895
1580930908,878,878
1580933080,876,876
1580935031,870,870
1580936924,864,864
1580938819,854,854
1580940740,847,847
1580942669,850,850
1580944611,826,826
1580946514,818,818
1580948442,813,813
1580950334,816,816
1580952269,820,820
1580954191,820,820
1580956102,821,821
1580958260,832,832
1580960206,841,841
1580962107,849,849
1580964043,854,854
1580965980,860,860
1580967878,866,866
1580969786,872,872
1580971712,892,892
1580973614,883,883
1580975542,879,879
1580977472,868,868
1580979375,872,872
1580981303,864,864
1580983548,858,858
1580985391,850,850
1580987312,825,825
1580989216,799,799
1580991162,779,779
1580993058,770,770
1580995235,755,755
1580997178,741,741
1580999073,720,720
1581000977,719,719
1581002913,727,727
1581005036,746,746
1581006977,761,761
1581008914,774,774
1581010844,790,790
1581012742,802,802
1581014673,813,813
1581016582,822,822
1581018755,823,823
1581020679,823,823
1581022584,821,821
1581024501,820,820
1581026682,818,818
1581028607,818,818
1581030511,798,798
1581032444,784,784
1581034360,778,778
1581036265,776,776
1581038194,775,775
1581040122,771,771
1581042022,770,770
1581043939,764,764
1581045878,732,732
1581047784,712,712
1581049701,697,697
1581051714,685,685
1581053550,673,673
1581055364,668,668
1581057390,657,657
1581059290,648,648
1581061212,1345,1345
1581063153,1355,1355
1581065053,1180,1180
1581066985,1182,1182
1581068923,1192,1192
1581070815,1203,1203
1581072771,1203,1203
1581074670,1190,1190
1581076573,1193,1193
1581078492,1195,1195
1581080612,1199,1199
1581082590,1199,1199
1581084499,1193,1193
1581086416,1194,1194
1581088350,1186,1186
1581090254,1185,1185
1581092175,1168,1168
1581094134,1164,1164
1581096019,1161,1161
1581097931,1165,1165
1581099867,1159,1159
1581101794,1160,1160
1581103694,1178,1178
1581105719,1190,1190
1581107538,1202,1202
1581110426,1217,1217
1581112333,1227,1227
1581114270,1235,1235
1581116195,1253,1253
1581118113,1270,1270
1581120292,1292,1292
1581122189,1296,1296
1581124115,1293,1293
1581126013,1292,1292
1581127951,1292,1292
1581129856,1293,1293
1581131803,1359,1359
1581133701,1396,1396
1581135615,1407,1407
1581137546,1418,1418
1581139479,1428,1428
1581141389,1442,1442
1581143299,1454,1454
1581145498,1470,1470
1581147380,856,856
1581149348,853,853
1581151221,868,868
1581153136,878,878
1581155070,879,879
1581157002,892,892
1581159158,911,911
1581161059,926,926
1581163008,927,927
1581164899,935,935
1581167149,966,966
1581168979,993,993
1581170954,1011,1011
1581172820,1029,1029
1581174993,1026,1026
1581176949,1031,1031
1581178846,1046,1046
1581180741,1056,1056
1581182661,1067,1067
1581184613,1076,1076
1581186498,1073,1073
1581188672,1067,1067
1581190574,1059,1059
1581192770,1055,1055
1581194663,1062,1062
1581196591,1061,1061
1581198530,1051,1051
1581200426,1037,1037
1581202340,1027,1027
1581204277,1005,1005
1581206200,999,999
1581208103,996,996
1581210332,994,994
1581212238,995,995
1581214363,995,995
1581216258,998,998
1581218186,982,982
1581220136,975,975
1581222016,981,981
1581223964,981,981
1581225893,991,991
1581227793,993,993
1581229697,1010,1010
1581231961,1009,1009
1581233827,1021,1021
1581235696,1014,1014
1581237619,1028,1028
1581239573,1038,1038
1581241457,1048,1048
1581243381,1056,1056
1581245314,1070,1070
1581247241,1041,1041
1581249137,1037,1037
1581251072,1036,1036
1581253012,1025,1025
1581254899,1019,1019
1581257141,1030,1030
1581259004,1055,1055
1581260938,1052,1052
1581262822,1064,1064
1581264764,1055,1055
1581266663,1041,1041
1581268584,1039,1039
1581270520,1038,1038
1581272421,1054,1054
1581274339,1077,1077
1581276285,1058,1058
1581278181,1067,1067
1581280113,1080,1080
1581282377,1094,1094
1581284177,1099,1099
1581286124,1108,1108
1581288024,1124,1124
1581289959,1138,1138
1581291868,1136,1136
1581293783,1142,1142
1581295722,1148,1148
1581297619,1159,1159
1581299535,1171,1171
1581301477,1179,1179
1581303377,1181,1181
1581305302,1188,1188
1581307471,1196,1196
1581309451,1212,1212
1581311316,1236,1236
1581313219,1250,1250
1581315159,1284,1284
1581317060,1316,1316
1581319057,1311,1311
1581320939,1326,1326
1581322841,1350,1350
1581324742,1384,1384
1581326678,1410,1410
1581328595,1434,1434
1581330559,1438,1438
1581332787,1454,1454
1581334605,1461,1461
1581336521,1454,1454
1581338428,1455,1455
1581340463,1477,1477
1581342329,1482,1482
1581344191,1668,1668
1581346121,1678,1678
1581348029,1661,1661
1581349948,1648,1648
1581351933,1653,1653
1581353782,1652,1652
1581355703,1656,1656
1581357945,1624,1624
1581359833,1625,1625
1581361726,1601,1601
1581363629,1593,1593
1581365634,1576,1576
1581367492,1568,1568
1581369421,1553,1553
1581371327,1542,1542
1581373252,1532,1532
1581375205,1548,1548
1581377113,1555,1555
1581378994,1578,1578
1581380950,1596,1596
1581383182,1618,1618
1581385001,1612,1612
1581386922,1640,1640
1581388828,1660,1660
1581390804,1645,1645
1581392684,1643,1643
1581394855,1636,1636
1581396774,1624,1624
1581398689,1607,1607
1581400591,1591,1591
1581402539,1557,1557
1581404802,1534,1534
1581406823,1543,1543
1581408754,1477,1477
1581410772,1455,1455
1581412585,1456,1456
1581414560,1462,1462
1581416440,1478,1478
1581418402,1509,1509
1581420339,1478,1478
1581422197,1478,1478
1581424142,1491,1491
1581426356,1432,1432
1581428181,1405,1405
1581430118,1388,1388
1581432043,1391,1391
1581433944,1350,1350
1581435889,1332,1332
1581437778,1309,1309
1581439701,1297,1297
1581441631,1282,1282
1581443535,1270,1270
1581445526,1266,1266
1581447395,1297,1297
1581449295,1261,1261
1581451506,1240,1240
1581453402,1226,1226
1581455357,1218,1218
1581457222,1211,1211
1581459142,1202,1202
1581461077,1182,1182
1581462992,1162,1162
1581464898,1195,1195
1581466831,1175,1175
1581468736,1145,1145
1581470674,1135,1135
1581472632,1109,1109
1581474557,1086,1086
1581476746,1051,1051
1581478582,1044,1044
1581480511,1039,1039
1581482420,1040,1040
1581484338,1033,1033
1581486278,1025,1025
1581488207,1023,1023
1581490104,1026,1026
1581492036,1007,1007
1581493963,1015,1015
1581495862,1003,1003
1581497794,978,978
1581499701,954,954
1581501921,919,919
1581503784,876,876
1581505730,817,817
