DateTime,Entries,UniqueIPs
1579247309,17932,18026
1579248024,17930,18024
1579248755,17931,18025
1579249469,17928,18022
1579250195,17925,18019
1579250925,17925,18019
1579251624,17928,18022
1579252353,17927,18021
1579253064,17931,18025
1579253782,17934,18027
1579254510,17929,18022
1579255239,17929,18022
1579255950,17931,18024
1579256671,17931,18024
1579257388,17933,18026
1579258106,17936,18029
1579258824,17935,18029
1579259551,17937,18031
1579260264,17936,18030
1579261232,17937,18031
1579261941,17935,18029
1579262698,17934,18028
1579263401,17934,18028
1579264107,17934,18028
1579264825,17938,18032
1579265546,17939,18033
1579266269,17938,18032
1579267008,17942,18036
1579267711,17943,18037
1579268431,17944,18038
1579269150,17944,18038
1579269866,17942,18036
1579270600,17943,18037
1579271301,17940,18034
1579272031,17942,18036
1579272995,17946,18040
1579273954,17947,18041
1579274662,17949,18043
1579275387,17948,18042
1579276110,17950,18044
1579276834,17946,18040
1579277543,17950,18044
1579278274,17950,18044
1579278984,17949,18043
1579279707,17947,18041
1579280426,17950,18044
1579281400,17942,18036
1579282116,17944,18038
1579282828,17944,18038
1579283545,17944,18038
1579284522,17946,18040
1579285211,17946,18039
1579285937,17947,18040
1579286664,17951,18044
1579287369,17954,18047
1579288828,17953,18046
1579289559,17951,18044
1579290268,17951,18044
1579290984,17949,18042
1579291717,17950,18043
1579292424,17953,18046
1579293159,17950,18043
1579293868,17949,18042
1579294583,17948,18041
1579295315,17946,18039
1579296025,17945,18037
1579296747,17943,18035
1579297471,17941,18033
1579298185,17939,18031
1579298917,17937,18029
1579299624,17937,18029
1579300349,17933,18025
1579301077,17933,18025
1579301784,17931,18023
1579302758,17935,18027
1579303473,17931,18023
1579304197,17930,18022
1579304908,17930,18022
1579305624,17932,18024
1579306345,17935,18027
1579307069,17930,18022
1579307786,17929,18021
1579308516,17927,18019
1579309224,17929,18021
1579309951,17931,18023
1579310679,17930,18022
1579311383,17930,18022
1579312106,17927,18019
1579312828,17929,18021
1579313802,17925,18017
1579314501,17927,18019
1579315227,17925,18017
1579315942,17920,18012
1579316670,17922,18014
1579317387,17917,18009
1579318107,17924,18016
1579318829,17923,18015
1579319547,17927,18019
1579320515,17931,18023
1579321231,17929,18021
1579321947,17930,18022
1579322669,17930,18022
1579323386,17928,18020
1579324109,17928,18020
1579324823,17930,18022
1579325545,17929,18021
1579326264,17929,18021
1579326981,17929,18021
1579327718,17930,18022
1579328422,17930,18022
1579329153,17929,18021
1579329864,17929,18021
1579330588,17930,18022
1579331556,17929,18021
1579332266,17932,18024
1579332989,17927,18019
1579333705,17926,18018
1579334438,17925,18017
1579335380,17926,18018
1579336085,17927,18019
1579336820,17928,18020
1579337527,17930,18022
1579338266,17934,18026
1579338971,17937,18029
1579339691,17938,18030
1579340409,17937,18029
1579341128,17940,18032
1579342104,17941,18033
1579342807,17943,18035
1579343531,17945,18037
1579344254,17946,18038
1579344967,17946,18038
1579345694,17942,18034
1579346418,17941,18033
1579347131,17940,18032
1579347860,17945,18037
1579348570,17946,18038
1579349293,17947,18039
1579350015,17949,18041
1579350732,17951,18043
1579351454,17954,18046
1579352166,17951,18043
1579352918,17949,18041
1579353628,17950,18042
1579354353,17955,18047
1579355782,17956,18048
1579356509,17959,18051
1579357971,17961,18053
1579358667,17963,18055
1579359382,17967,18059
1579360111,17966,18058
1579361553,17968,18060
1579362271,17966,18058
1579362982,17966,18058
1579363704,17962,18054
1579364425,17964,18056
1579365150,17968,18060
1579365871,17966,18058
1579366583,17969,18061
1579367316,17972,18064
1579368025,17975,18067
1579368761,17972,18064
1579369467,17973,18065
1579370188,17975,18067
1579370907,17973,18065
1579371623,17973,18065
1579372347,17971,18063
1579373065,17968,18060
1579373782,17967,18059
1579374503,17963,18055
1579375222,17965,18057
1579375952,17963,18055
1579376667,17964,18056
1579377382,17965,18057
1579378120,17966,18058
1579378827,17964,18056
1579379547,17969,18061
1579380264,17967,18059
1579380986,17965,18057
1579381710,17962,18054
1579382422,17961,18053
1579383152,17960,18052
1579383876,17960,18052
1579384572,17960,18052
1579385287,17961,18053
1579386013,17961,18053
1579386742,17965,18057
1579387469,17963,18055
1579388166,17964,18056
1579388915,17962,18054
1579389625,17962,18054
1579390345,17965,18057
1579391064,17966,18058
1579391805,17965,18057
1579394186,17962,18054
1579394908,17959,18051
1579395659,17957,18049
1579396345,17960,18052
1579397066,17963,18055
1579397782,17960,18052
1579398509,17965,18057
1579399223,17958,18050
1579399950,17958,18050
1579400664,17960,18052
1579401382,17963,18055
