DateTime,Entries,UniqueIPs
1580755331,9276,9276
1580756170,9279,9279
1580758094,9283,9283
1580760851,9257,9257
1580762411,9292,9292
1580764211,9249,9249
1580765414,9237,9237
1580766167,9232,9232
1580766970,9233,9233
1580768111,9225,9225
1580768890,9226,9226
1580769734,9196,9196
1580771420,9178,9178
1580773335,9168,9168
1580775266,9174,9174
1580776937,9155,9155
1580777770,9156,9156
1580778913,9150,9150
1580846202,8661,8661
1580847311,8651,8651
1580848731,8637,8637
1580850043,8617,8617
1580851690,8623,8623
1580853010,8612,8612
1580854211,8613,8613
1580855415,8616,8616
1580856610,8616,8616
1580857819,8611,8611
1580858893,8612,8612
1580860511,8608,8608
1580861715,8616,8616
1580863334,8607,8607
1580864170,8607,8607
1580865311,8606,8606
1580866933,8610,8610
1580867771,8612,8612
1580868852,8609,8609
1580870529,8608,8608
1580872214,8607,8607
1580873372,8608,8608
1580874610,8604,8604
1580875812,8600,8600
1580877016,8600,8600
1580878211,8599,8599
1580879651,8595,8595
1580880491,8601,8601
1580881332,8593,8593
1580882173,8593,8593
1580883253,8592,8592
1580884089,8591,8591
1580885710,8594,8594
1580886851,8591,8591
1580887955,8592,8592
1580890452,8601,8601
1580891294,8606,8606
1580892135,8604,8604
1580893365,8611,8611
1580894890,8621,8621
1580896570,8626,8626
1580897669,8621,8621
1580898491,8621,8621
1580899633,8620,8620
1580900955,8617,8617
1580902931,8623,8623
1580904851,8633,8633
1580906532,8637,8637
1580907695,8634,8634
1580908813,8641,8641
1580910132,8638,8638
1580910972,8648,8648
1580912112,8637,8637
1580913731,8639,8639
1580915007,8644,8644
1580916657,8643,8643
1580917978,8641,8641
1580919304,8642,8642
1580920504,8634,8634
1580921703,8640,8640
1580922903,8630,8630
1580924531,8627,8627
1580926450,8631,8631
1580927561,8625,8625
1580928659,8625,8625
1580929811,8628,8628
1580931730,8638,8638
1580933649,8648,8648
1580934493,8659,8659
1580935329,8650,8650
1580936172,8660,8660
1580937252,8660,8660
1580938932,8671,8671
1580939768,8680,8680
1580940849,8676,8676
1580942120,7967,7967
1580944450,8675,8675
1580945725,8677,8677
1580947823,8679,8679
1580949732,8679,8679
1580950572,8679,8679
1580951650,8680,8680
1580952489,8689,8689
1580953698,8680,8680
1580955251,8679,8679
1580956089,8686,8686
1580958850,8681,8681
1580960532,8677,8677
1580962450,8676,8676
1580963713,8674,8674
1580964909,8677,8677
1580966105,7967,7967
1580967342,8679,8679
1580968566,7967,7967
1580969650,8685,8685
1580970491,8695,8695
1580972357,8695,8695
1580974091,8699,8699
1580974932,8702,8702
1580975772,8705,8705
1580976914,8711,8711
1580977690,8714,8714
1580979281,8719,8719
1580980452,8719,8719
1580981709,8728,8728
1580982912,8736,8736
1580984049,8730,8730
1580985559,8731,8731
1580987650,8732,8732
1580988937,8736,8736
1580990828,8745,8745
1580992089,8745,8745
1580994257,8753,8753
1580995657,8752,8752
1580997267,8751,8751
1580998512,8746,8746
1580999663,8745,8745
1581000768,8744,8744
1581001904,8746,8746
1581002891,8747,8747
1581004230,8738,8738
1581005428,8741,8741
1581006760,8747,8747
1581007922,8738,8738
1581009249,8738,8738
1581010089,8746,8746
1581011402,8734,8734
1581012847,7967,7967
1581013997,8726,8726
1581015132,8729,8729
1581016448,8725,8725
1581018130,8721,8721
1581020053,8719,8719
1581021472,8715,8715
1581022835,8713,8713
1581024490,8719,8719
1581025331,8709,8709
1581026170,8711,8711
1581027311,8711,8711
1581028089,8717,8717
1581028931,8707,8707
1581030141,8709,8709
1581031803,8713,8713
1581032960,8712,8712
1581034213,8708,8708
1581035426,8711,8711
1581036914,8712,8712
1581038023,8713,8713
1581038889,8720,8720
1581039731,8712,8712
1581041654,8709,8709
1581043223,8710,8710
1581044741,8708,8708
1581045267,8707,8707
1581046089,8708,8708
1581046930,8704,8704
1581048611,8696,8696
1581050531,8702,8702
1581051983,8707,8707
1581053293,8715,8715
1581054132,8706,8706
1581056052,8709,8709
1581057729,8698,8698
1581059650,8690,8690
1581060492,8694,8694
1581061691,8690,8690
1581063251,8694,8694
1581064356,8690,8690
1581065772,8701,8701
1581066915,8698,8698
1581068532,8701,8701
1581070452,8706,8706
1581071290,8710,8710
1581072131,8704,8704
1581073625,8706,8706
1581074925,8721,8721
1581075731,8706,8706
1581077651,8713,8713
1581079334,8713,8713
1581080434,8711,8711
1581082088,8710,8710
1581083769,8708,8708
1581084852,8713,8713
1581086531,8711,8711
1581088454,8719,8719
1581089604,8718,8718
1581091467,8719,8719
1581092052,8722,8722
1581093732,8720,8720
1581095650,8720,8720
1581097331,8720,8720
1581099251,8721,8721
1581100090,8723,8723
1581100930,8705,8705
1581102500,8708,8708
1581104112,8702,8702
1581106453,8695,8695
1581107289,8703,8703
1581109181,8682,8682
1581110053,8682,8682
1581111313,8675,8675
1581113656,8682,8682
1581115218,8677,8677
1581117314,8676,8676
1581118089,8684,8684
1581120298,8681,8681
1581122534,8682,8682
1581124453,8684,8684
1581126011,7967,7967
1581127819,8679,8679
1581129732,8678,8678
1581130571,8679,8679
1581131713,8679,8679
1581133330,8676,8676
1581135254,8678,8678
1581136934,8677,8677
1581138853,8673,8673
1581140530,8663,8663
1581142450,8654,8654
1581143289,8656,8656
1581144132,8644,8644
1581145815,8642,8642
1581147046,8638,8638
1581148211,8636,8636
1581149649,8635,8635
1581150867,8625,8625
1581152124,8622,8622
1581153312,8616,8616
1581154090,8619,8619
1581155342,8614,8614
1581156850,8615,8615
1581158529,8606,8606
1581159369,8607,8607
1581160742,8603,8603
1581162037,8598,8598
1581162970,8601,8601
1581164049,8596,8596
1581165468,8596,8596
1581167313,8600,8600
1581168619,8601,8601
1581170565,8602,8602
1581171751,8604,8604
1581173147,8609,8609
1581174370,8608,8608
1581175950,8604,8604
1581177369,8604,8604
1581178515,8605,8605
1581179716,8609,8609
1581181237,8603,8603
1581183615,8599,8599
1581185418,8598,8598
1581186613,8602,8602
1581189012,8595,8595
1581190218,8599,8599
1581191769,8603,8603
1581192911,8601,8601
1581193692,8606,8606
1581195012,8602,8602
1581196451,8602,8602
1581198131,8601,8601
1581199445,8605,8605
1581200890,8610,8610
1581202568,8603,8603
1581203652,8601,8601
1581205331,8609,8609
1581206429,8610,8610
1581207613,8613,8613
1581208930,8608,8608
1581210851,8607,8607
1581211960,8605,8605
1581214451,8609,8609
1581216132,8609,8609
1581218053,8612,8612
1581219623,8609,8609
1581221413,8605,8605
1581223331,8605,8605
1581225251,8606,8606
1581226930,8601,8601
1581229212,8604,8604
1581230419,8595,8595
1581232513,8594,8594
1581234017,8582,8582
1581235362,8578,8578
1581236574,8581,8581
1581237732,8570,8570
1581238569,8572,8572
1581239712,8567,8567
1581240910,8558,8558
1581241329,8553,8553
1581243252,8550,8550
1581244091,8551,8551
1581245412,8537,8537
1581246562,8529,8529
1581248534,8516,8516
1581250210,8511,8511
1581251290,8512,8512
1581252911,8513,8513
1581254035,8512,8512
1581255730,8500,8500
1581257419,8502,8502
1581258614,8497,8497
1581260432,8490,8490
1581261613,8493,8493
1581262819,8486,8486
1581263771,8489,8489
1581264860,8489,8489
1581265690,8490,8490
1581267016,8489,8489
1581268451,8492,8492
1581269290,8494,8494
1581271324,8489,8489
1581272891,8500,8500
1581274217,8496,8496
1581275652,8508,8508
1581276911,8508,8508
1581278066,8510,8510
1581279249,8511,8511
1581280349,8517,8517
1581282884,8525,8525
1581284415,8516,8516
1581285804,8516,8516
1581287109,8519,8519
1581288311,8516,8516
1581290050,8517,8517
1581291730,8519,8519
1581293411,8522,8522
1581294614,8523,8523
1581295810,8526,8526
1581296931,8525,8525
1581298217,8527,8527
1581299410,8530,8530
1581300556,8530,8530
1581302522,7967,7967
1581303962,8549,8549
1581305293,8555,8555
1581306132,8554,8554
1581306971,8559,8559
1581307236,8559,8559
1581308414,8560,8560
1581311656,8563,8563
1581312489,8564,8564
1581314170,8564,8564
1581315252,8561,8561
1581317712,8559,8559
1581318849,8557,8557
1581319688,8559,8559
1581321458,8561,8561
1581322450,8563,8563
1581323290,8564,8564
1581324613,8562,8562
1581325235,8562,8562
1581326069,8564,8564
1581328571,8564,8564
1581329650,8568,8568
1581330490,8570,8570
1581331332,8573,8573
1581333019,8573,8573
1581334930,8568,8568
1581336850,8568,8568
1581338530,8565,8565
1581340212,8565,8565
1581341293,8572,8572
1581342971,8569,8569
1581344113,8570,8570
1581344889,8571,8571
1581346187,8568,8568
