DateTime,AddedIPs,RemovedIPs
1580768103,38,57
1580768883,30,0
1580769725,54,112
1580771403,112,49
1580773323,93,101
1580775257,87,48
1580776933,0,19253
1580777762,19262,0
1580778904,52,49
1580846195,2713,3563
1580847303,46,61
1580848712,67,93
1580850032,46,107
1580851683,74,2
1580853003,44,110
1580854204,54,57
1580855406,47,79
1580856603,64,37
1580857803,64,66
1580858883,49,1
1580860503,62,103
1580861705,49,65
1580863325,71,116
1580864163,26,2
1580865303,44,65
1580866925,68,132
1580867763,49,0
1580868843,63,57
1580870522,82,117
1580872203,89,58
1580873363,61,82
1580874603,58,35
1580875804,47,59
1580877005,55,82
1580878203,56,29
1580879643,73,84
1580880482,33,1
1580881324,42,115
1580882163,58,1
1580884083,89,64
1580885703,88,129
1580886843,59,67
1580887948,71,92
1580890444,154,99
1580891283,56,0
1580892126,36,124
1580893355,85,60
1580894883,107,3
1580896563,76,104
1580898483,105,75
1580899627,44,108
1580900948,65,56
1580902924,93,138
1580904026,64,67
1580904842,47,4
1580906524,78,119
1580907687,51,58
1580908803,57,1
1580910124,75,114
1580910962,39,0
1580912103,53,57
1580913723,72,131
1580914844,54,73
1580916004,57,0
1580917208,59,169
1580919005,88,62
1580920205,61,99
1580921413,74,28
1580922603,59,59
1580924523,76,100
1580926443,102,63
1580927555,47,86
1580928653,49,26
1580929804,46,61
1580931723,91,99
1580933642,111,60
1580934483,44,1
1580935323,46,120
1580936163,34,1
1580937244,46,53
1580938923,92,103
1580939762,34,1
1580940843,49,73
1580942117,67,148
1580944442,104,92
1580945719,50,90
1580947813,92,96
1580949724,90,130
1580950563,34,0
1580952482,94,52
1580953692,72,105
1580955243,92,52
1580956083,52,1
1580958843,160,156
1580960525,90,122
1580962443,91,43
1580963703,74,73
1580964902,66,22
1580966103,59,65
1580967335,71,69
1580968563,78,28
1580969643,67,51
1580970483,51,1
1580972350,104,160
1580974083,110,6
1580974923,60,86
1580975763,69,1
1580976903,70,50
1580977682,44,1
1580979275,82,114
1580980444,84,45
1580981703,76,67
1580982902,76,27
1580984042,63,63
1580985552,76,87
1580987642,106,93
1580988903,70,81
1580990819,105,95
1580992083,62,0
1580994055,93,151
1580995203,79,0
1580996371,73,89
1580997690,93,70
1580998805,78,0
1581000011,90,76
1581001471,105,46
1581002882,83,3
1581004224,53,96
1581005643,82,38
1581006754,63,77
1581007915,52,23
1581009242,69,262
1581010082,36,0
1581011395,45,140
1581012842,71,70
1581013990,58,104
1581015125,301,25
1581016442,123,67
1581018123,78,90
1581020045,84,50
1581021465,56,88
1581022825,56,89
1581024482,75,1
1581025323,34,89
1581026162,44,1
1581027302,61,79
1581028083,58,0
1581028922,35,104
1581030044,43,47
1581031204,75,0
1581032409,57,92
1581034204,76,46
1581035418,50,87
1581036903,75,33
1581038016,53,65
1581038883,38,0
1581039723,34,107
1581041647,81,47
1581043215,90,127
1581044734,89,60
1581045242,25,0
1581046083,50,0
1581046924,28,102
1581048603,80,71
1581050523,111,110
1581051977,93,77
1581053285,61,3
1581054123,46,114
1581056043,109,65
1581057723,65,145
1581059643,98,60
1581060483,40,1
1581061681,72,154
1581063243,86,83
1581064348,62,112
1581065763,87,30
1581066906,96,63
1581068524,133,120
1581070443,118,63
1581071283,51,0
1581072124,45,135
1581073618,76,78
1581074919,65,2
1581075723,35,114
1581077643,100,52
1581079324,81,96
1581080426,48,56
1581082082,87,0
1581083763,69,129
1581084843,47,56
1581086523,65,118
1581088443,677,53
1581089598,62,103
1581091445,87,96
1581092043,34,0
1581093725,80,94
1581095643,84,54
1581097322,62,107
1581099242,84,56
1581100083,39,0
1581100924,42,113
1581102493,85,73
1581104104,75,94
1581106445,82,74
1581107282,32,0
1581109174,69,144
1581110043,40,2
1581111303,48,84
1581113642,115,73
1581115208,57,96
1581117304,103,57
1581118083,33,0
1581120291,90,162
1581122523,1038,115
1581124443,2817,60
1581126009,931,114
1581127803,163,60
1581129723,79,107
1581130564,35,2
1581131703,54,70
1581133323,58,111
1581135243,81,61
1581136925,62,134
1581138843,88,72
1581140523,68,137
1581142443,80,74
1581143283,35,0
1581144123,37,146
1581145807,81,91
1581147003,67,100
1581148203,55,27
1581149642,55,73
1581150861,40,100
1581152117,40,39
1581153303,59,85
1581154083,34,1
1581155336,49,109
1581156843,72,63
1581158523,63,112
1581160735,99,48
1581162029,43,101
1581162963,39,0
