DateTime,AddedIPs,RemovedIPs
1580520310,1,0
1580521510,1,3
1580522641,3,1
1580524216,6,0
1580526614,5,2
1580527813,4,2
1580529311,4,1
1580530515,6,1
1580531294,1,0
1580532801,4,4
1580534053,4,0
1580535741,2,2
1580536573,3,0
1580537651,4,1
1580538494,1,0
1580539332,0,1
1580540532,2,1
1580542511,4,2
1580543714,3,1
1580544916,0,1
1580546414,0,2
1580547371,1,0
1580548450,3,0
1580549713,1,2
1580550911,3,1
1580552051,1,0
1580552892,1,0
1580553731,1,1
1580555420,1,2
1580556598,5,2
1580558044,1,0
1580559314,1,0
1580560531,2,1
1580561710,2,2
1580562909,4,0
1580563690,2,0
1580564534,3,2
1580566452,4,0
1580568014,3,0
1580569336,1,0
1580570053,2,0
1580572642,3,3
1580573652,1,0
1580575347,3,0
1580577251,1,0
1580578936,1,1
1580580612,7,2
1580581812,0,2
1580583313,6,1
1580584515,2,0
1580586132,0,3
1580587813,1,1
1580589003,1,0
1580590233,10,0
1580591651,2,0
1580593765,0,1
1580595251,1,0
1580596947,2,1
1580598854,2,0
1580600417,1,2
1580602213,1,2
1580603414,1,1
1580604612,2,1
1580606054,2,2
1580606890,5,0
1580607744,2,1
1580609054,3,2
1580610493,5,0
1580612455,3,4
1580614093,4,0
1580616853,2,1
1580618544,2,1
1580620453,3,1
1580622150,3,3
1580622973,1,0
1580624051,0,2
1580625312,5,1
1580627414,4,1
1580628490,4,0
1580629354,2,0
1580631021,1,1
1580632216,0,2
1580633362,2,1
1580634613,1,0
1580635816,0,3
1580637373,5,0
1580638455,2,0
1580639955,0,4
1580641722,1,0
1580643311,2,0
1580644512,4,0
1580645716,3,0
1580646491,1,0
1580648173,1,1
1580649318,1,0
1580651398,0,1
1580652854,0,1
1580654531,1,1
1580658014,3,1
1580658976,3,0
1580663651,4,2
1580665470,1,1
1580667012,2,1
1580668213,0,1
1580668935,2,0
1580670370,0,2
1580671815,3,0
1580676974,0,1
1580681036,2,2
1580683689,0,2
1580685021,2,0
1580686216,0,3
1580688850,1,2
1580690530,2,2
1580694911,0,3
1580696066,2,0
1580697729,1,5
1580699655,4,4
1580702158,7,8
1580703257,1,4
1580704091,1,0
1580705711,1,1
1580706852,0,1
1580708535,2,2
1580710080,1,0
1580711414,2,4
1580714056,2,2
1580717651,1,3
1580721016,2,5
1580722813,3,1
1580724400,3,0
1580725692,1,0
1580726534,0,3
1580728512,0,1
1580730134,0,2
1580730970,1,0
1580732114,0,1
1580733313,0,3
1580736495,3,3
1580737981,1,2
1580739254,1,1
1580740091,1,1
1580741344,0,1
1580742614,2,2
1580744533,0,4
1580745371,1,0
1580747905,1,0
1580750053,1,3
1580751174,0,3
1580752328,0,2
1580753651,3,2
1580756171,2,0
1580760853,2,4
1580764213,0,1
1580765417,1,1
1580766169,0,1
1580766972,1,0
1580768113,1,2
1580771422,1,0
1580773339,0,3
1580775268,1,2
1580776942,2,10
1580778915,6,2
1580846204,60,85
1580847313,1,0
1580848734,3,0
1580850049,0,6
1580853012,1,2
1580854213,0,3
1580855419,0,2
1580856611,1,0
1580857821,0,4
1580858895,1,0
1580860513,1,2
1580861717,1,0
1580863336,4,0
1580864171,1,0
1580865314,1,1
1580866935,2,3
1580867773,1,0
1580868853,0,1
1580870531,1,5
1580872216,2,1
1580873373,1,3
1580875814,0,1
1580877020,0,1
1580879652,0,4
1580880493,1,0
1580881334,0,1
1580882175,1,0
1580883255,1,1
1580884091,1,0
1580885712,1,4
1580886853,3,1
1580887956,0,1
1580890454,1,0
1580891296,4,0
1580892136,0,7
1580893367,0,2
1580896571,1,1
1580897672,2,0
1580902932,3,0
1580904853,1,0
1580906534,1,2
1580907697,5,1
1580908815,1,0
1580910134,2,0
1580913734,0,1
1580915008,2,0
1580917980,1,0
1580919310,1,0
1580920507,2,2
1580921705,0,1
1580922907,1,0
1580924533,1,1
1580926452,4,1
1580927563,0,2
1580929813,1,0
1580931731,5,1
1580933650,6,1
1580935331,2,1
1580938934,0,3
1580940851,2,1
1580942123,4,1
1580944452,0,2
1580945727,0,4
1580947825,0,4
1580949734,2,11
1580951652,0,1
1580953700,1,3
1580955253,2,4
1580958852,3,4
1580960533,0,1
1580962451,1,2
1580963715,2,5
1580964911,2,1
1580966113,0,2
1580967344,0,3
1580969652,1,2
1580972358,0,3
1580974093,4,0
1580974934,1,2
1580976920,2,3
1580977692,1,0
1580979283,2,2
1580981711,0,4
1580982915,1,1
1580985561,1,0
1580987652,2,2
1580988939,1,2
1580990831,0,4
1580994259,1,2
1580995659,2,0
1580997269,1,3
1580998517,1,1
1580999665,1,0
1581001906,0,5
1581004233,1,0
1581005430,1,1
1581005654,1,0
1581006762,2,0
1581007924,2,0
1581009251,1,0
1581011404,0,1
1581012849,3,0
1581013999,0,3
1581015133,5,0
1581016450,0,1
1581018133,3,0
1581020055,4,2
1581021473,5,0
1581022840,0,2
1581024492,1,0
1581025334,0,1
1581027315,2,2
1581028933,0,3
1581030143,2,2
