DateTime,AddedIPs,RemovedIPs
1580771419,47,13
1580773333,29,24
1580775264,34,19
1580776936,34,19
1580777769,16,2
1580778911,11,14
1580846201,1233,905
1580847310,17,14
1580848732,18,19
1580850041,17,25
1580851689,35,2
1580853009,18,23
1580854210,19,13
1580855413,13,17
1580856609,27,10
1580857818,20,12
1580858891,12,1
1580860510,19,20
1580861714,8,11
1580863333,21,21
1580864168,9,2
1580865309,13,15
1580866932,17,29
1580867770,10,1
1580868850,10,10
1580870528,26,16
1580872212,33,10
1580873370,23,22
1580874609,24,6
1580875811,17,8
1580877014,17,14
1580878210,22,9
1580879650,29,20
1580880490,7,0
1580881331,14,38
1580882171,23,0
1580883252,20,18
1580884088,12,0
1580885709,23,36
1580886850,15,17
1580887954,19,31
1580890450,42,33
1580891292,18,0
1580892133,11,32
1580893362,28,4
1580894889,29,1
1580896569,21,33
1580897667,27,11
1580898490,24,0
1580899632,18,29
1580900954,32,18
1580902929,35,43
1580904850,43,22
1580906531,27,37
1580907693,14,19
1580908811,19,1
1580910130,28,40
1580910971,14,3
1580912110,22,11
1580913730,27,35
1580914854,24,31
1580916014,22,0
1580917217,19,59
1580919013,23,16
1580920212,19,31
1580921420,30,9
1580922618,21,19
1580924530,26,23
1580926449,41,25
1580927560,13,22
1580928658,15,12
1580929810,12,26
1580931729,24,33
1580933648,30,18
1580934491,7,1
1580935328,14,37
1580936171,10,2
1580937251,20,18
1580938930,41,38
1580939767,12,1
1580940848,15,26
1580942119,0,3819
1580944449,3818,0
1580945724,20,28
1580947821,30,32
1580949731,30,22
1580950571,7,0
1580951649,14,14
1580952488,14,1
1580953697,27,30
1580955250,28,13
1580956088,22,1
1580958849,44,40
1580960531,22,35
1580962449,29,14
1580963711,27,27
1580964908,12,4
1580966105,0,3883
1580967341,3869,0
1580968565,0,3869
1580969649,3885,0
1580970490,17,1
1580972356,23,54
1580974090,24,1
1580974931,14,29
1580975771,26,0
1580976911,18,12
1580977688,12,1
1580979280,26,43
1580980451,28,15
1580981708,19,19
1580982910,16,9
1580984048,26,28
1580985558,24,39
1580987649,28,35
1580988935,16,26
1580990826,45,46
1580992088,29,0
1580994256,35,36
1580995656,20,0
1580997265,37,59
1580998510,23,17
1580999662,46,22
1581000767,41,5
1581001904,57,10
1581002890,24,2
1581004229,21,29
1581005427,27,16
1581005650,14,0
1581006759,25,40
1581007921,22,8
1581009248,31,213
1581010088,9,2
1581011401,20,27
1581012847,0,3884
1581013996,3886,0
1581015131,279,8
1581016448,77,23
1581018128,40,32
1581020052,33,15
1581021471,25,31
1581022834,23,33
1581024489,37,2
1581025330,14,20
1581026169,22,1
1581027310,32,29
1581028088,29,2
1581028929,14,33
1581030053,14,12
1581031212,35,1
1581032421,24,27
1581034212,35,15
1581035425,22,30
1581036913,21,5
1581038022,19,14
1581038888,12,1
1581039730,15,25
1581041653,36,15
1581043222,38,49
1581044740,31,22
1581045266,10,0
1581046088,13,0
1581046929,7,30
1581048610,24,22
1581050529,50,28
1581051982,36,30
1581053292,26,3
1581054130,13,36
1581056051,40,24
1581057728,26,27
1581059649,48,15
1581060491,11,1
1581061689,25,49
1581063250,26,23
1581064355,16,25
1581065770,28,9
1581066913,24,15
1581068531,28,54
1581070450,42,22
1581071289,14,0
1581072130,19,53
1581073623,24,29
1581074924,16,0
1581075729,16,36
1581077650,31,16
1581079331,32,33
1581080432,22,18
1581082087,39,0
1581083768,29,36
1581084850,25,25
1581086529,20,38
1581088453,39,31
1581089603,22,25
1581091466,33,32
1581092051,10,0
1581093731,29,32
1581095649,42,21
1581097329,26,43
1581099250,31,24
1581100088,11,0
1581100929,19,28
1581102499,38,17
1581104111,31,31
1581106452,29,23
1581107288,24,0
1581109180,28,47
1581110050,23,1
1581111312,23,29
1581113654,50,22
1581115216,25,34
1581117313,44,17
1581118088,15,1
1581120297,43,52
1581122530,38,42
1581124451,35,20
1581126011,0,4587
1581127818,4597,0
1581129731,34,35
1581130570,13,2
1581131711,26,15
1581133329,18,39
1581135252,34,15
1581136933,20,40
1581138851,43,29
1581140529,30,36
1581142449,42,16
1581143288,15,0
1581144131,14,32
1581145814,29,37
1581147044,26,22
1581148210,26,7
1581149648,29,18
1581150866,22,31
1581152123,22,8
1581153310,29,19
1581154089,9,1
1581155341,20,33
1581156849,35,18
1581158528,18,21
1581159368,11,0
1581160741,25,18
1581162035,10,40
1581162969,19,1
1581164048,13,14
1581165467,32,32
1581167311,30,40
1581168618,21,45
1581169330,6,24
1581170564,23,47
1581171750,27,1
1581173146,27,76
1581174368,14,31
1581174852,7,0
1581175949,13,47
1581177368,19,13
1581178513,11,16
1581179715,15,32
1581181235,19,35
1581182047,9,0
1581183614,16,51
1581185416,22,34
1581186612,13,40
1581189011,17,37
1581190217,21,32
1581191768,32,10
1581192910,19,18
1581193690,6,0
1581195012,10,33
1581196450,16,38
1581198129,16,41
1581199443,7,22
1581200889,14,0
1581202568,23,51
1581203651,8,18
1581205330,18,35
1581206428,15,16
1581207611,15,0
1581208929,13,40
1581210850,24,18
1581211959,10,29
1581214450,34,34
1581216131,9,44
1581218052,21,14
1581219621,15,53
1581221412,12,16
1581221649,2,0
1581223330,22,48
1581224169,9,1
1581225250,11,27
1581226929,12,37
1581228037,16,27
1581229210,13,1
1581230418,25,50
1581231371,12,0
1581232512,15,21
1581234016,15,36
1581235361,12,22
1581236573,19,0
1581237729,19,53
1581238568,12,1
1581239712,14,26
1581240908,21,32
1581241328,11,19
1581243250,52,16
1581244089,17,0
1581245411,23,36
1581246561,15,13
1581248533,33,44
1581250209,26,22
1581251289,20,0
1581252910,43,42
1581254034,32,32
1581255729,32,44
1581257418,24,19
1581258611,27,32
1581260430,41,30
1581261612,24,0
1581262817,25,36
1581263770,33,0
1581264859,28,18
1581265689,9,0
1581267015,23,43
1581268450,29,18
1581269289,16,0
1581271322,42,57
1581272889,24,1
1581274216,36,51
1581275651,38,14
1581276910,25,328
1581278065,19,8
1581279248,21,21
1581280348,19,35
1581282883,93,39
1581284414,274,50
1581285802,26,22
1581287108,22,0
1581288310,24,59
1581290049,37,24
1581291729,18,42
1581293410,26,13
1581294612,22,35
1581295809,17,12
1581296929,15,18
1581298215,20,31
1581299408,24,10
1581300555,15,22
1581302522,0,4169
1581303961,4184,0
1581305292,14,0
1581306131,16,33
1581306970,15,0
1581307234,1,34
1581308412,22,0
1581311655,43,78
1581312488,13,0
1581314169,43,32
1581315251,14,16
1581316090,13,0
1581317711,23,58
1581318848,12,20
1581319687,20,0
1581321457,33,44
1581322448,12,27
1581323289,10,0
1581324612,29,47
1581325233,9,27
1581326068,10,0
1581328570,45,47
1581329649,22,11
1581330489,18,0
1581331331,19,34
1581333018,27,26
1581334929,35,44
1581336849,45,12
1581338529,39,42
1581340210,38,32
1581341291,15,1
1581342970,30,47
1581344112,21,17
1581344888,15,0
1581346185,22,32
1581347409,18,11
1581349330,26,18
1581350169,15,0
1581351250,21,18
1581352096,14,0
1581353296,32,22
1581354849,40,15
1581355689,16,0
1581357318,25,25
1581358451,4,11
1581360132,36,39
1581361811,42,22
1581363013,18,16
1581364570,34,7
1581365715,18,12
1581366484,0,4309
1581367817,4332,0
1581369013,16,13
1581370090,16,0
1581371769,26,23
1581372913,20,15
1581374533,36,21
1581376453,32,17
1581378134,30,32
1581380050,34,17
1581381314,18,11
1581383374,31,24
1581385331,29,22
1581387019,23,8
1581388933,47,27
1581389770,17,0
1581390854,15,11
1581391691,6,1
