DateTime,AddedIPs,RemovedIPs
1580760847,77,67
1580762408,36,84
1580764208,81,36
1580766161,47,61
1580766968,22,1
1580768108,18,36
1580768888,18,1
1580769730,33,60
1580771418,45,257
1580773330,94,58
1580775263,58,31
1580777767,80,65
1580778909,45,27
1580846199,1370,1910
1580847308,35,43
1580848729,43,56
1580850039,32,54
1580851688,36,5
1580853008,28,75
1580854209,34,43
1580855412,32,53
1580856608,36,27
1580857817,47,46
1580858889,35,1
1580860508,43,73
1580861711,36,57
1580863332,51,87
1580864167,20,4
1580865308,29,45
1580866931,47,99
1580867768,38,4
1580868848,56,44
1580870527,56,92
1580872208,54,46
1580873369,34,56
1580874607,39,26
1580875808,31,46
1580877011,37,63
1580878208,32,21
1580879648,45,54
1580880487,26,6
1580881329,31,75
1580882169,36,1
1580883249,27,44
1580884087,29,0
1580885708,61,86
1580886847,39,44
1580887953,47,56
1580890449,100,62
1580891290,29,0
1580892132,20,79
1580893360,50,53
1580894888,71,4
1580896567,49,69
1580897664,30,57
1580898488,21,2
1580899631,21,72
1580900953,33,33
1580902929,49,93
1580904848,58,48
1580906529,41,73
1580907692,34,37
1580908808,34,2
1580910969,61,70
1580912109,33,37
1580913729,40,91
1580914851,25,46
1580916011,37,1
1580917214,37,100
1580919011,54,43
1580920210,37,54
1580921419,42,22
1580922617,40,37
1580924529,48,70
1580926448,56,40
1580927559,34,55
1580928657,34,14
1580929809,30,31
1580931728,51,65
1580933647,65,41
1580934489,31,6
1580935327,32,74
1580936167,18,6
1580937250,26,32
1580938927,42,62
1580939766,18,7
1580940847,35,44
1580943707,89,125
1580944447,12,2
1580945723,27,55
1580947819,61,61
1580949729,58,95
1580950569,28,2
1580951647,38,36
1580952487,23,4
1580953696,47,66
1580955247,62,35
1580956087,29,5
1580958848,111,109
1580960529,64,77
1580962448,61,25
1580963708,45,38
1580964907,51,22
1580967340,81,67
1580969648,98,54
1580970488,28,4
1580972354,76,98
1580974087,74,4
1580974930,40,52
1580975770,39,1
1580976908,42,37
1580977687,30,2
1580979280,52,68
1580980450,54,28
1580981707,47,39
1580982909,55,22
1580984047,37,32
1580985557,45,44
1580987647,70,51
1580988908,46,50
1580990824,52,49
1580992087,33,1
1580994255,65,108
1580995655,61,1
1580997263,78,51
1580998509,54,24
1580999661,43,38
1581000766,37,11
1581001903,33,27
1581002888,20,1
1581004228,32,59
1581005410,32,23
1581005648,6,0
1581006758,36,43
1581007920,35,17
1581009247,39,49
1581010087,28,4
1581011400,29,103
1581012847,41,47
1581013995,30,62
1581015130,26,22
1581016447,39,39
1581018127,37,55
1581020050,49,32
1581021470,26,53
1581022831,32,52
1581024487,36,4
1581025328,24,59
1581026167,22,3
1581027308,26,50
1581028087,28,4
1581028927,28,62
1581030052,24,33
1581031210,43,1
1581032419,30,64
1581034210,41,30
1581035424,28,58
1581036912,49,26
