DateTime,Entries,UniqueIPs
1580760847,14383,14383
1580762408,14335,14335
1580764208,14380,14380
1580766161,14366,14366
1580766968,14387,14387
1580768108,14369,14369
1580768888,14386,14386
1580769730,14359,14359
1580771418,14147,14147
1580773330,14183,14183
1580775263,14210,14210
1580777767,14225,14225
1580778909,14243,14243
1580846199,13703,13703
1580847308,13695,13695
1580848729,13682,13682
1580850039,13660,13660
1580851688,13691,13691
1580853008,13644,13644
1580854209,13635,13635
1580855412,13614,13614
1580856608,13623,13623
1580857817,13624,13624
1580858889,13658,13658
1580860508,13628,13628
1580861711,13607,13607
1580863332,13571,13571
1580864167,13587,13587
1580865308,13571,13571
1580866931,13519,13519
1580867768,13553,13553
1580868848,13565,13565
1580870527,13529,13529
1580872208,13537,13537
1580873369,13515,13515
1580874607,13528,13528
1580875808,13513,13513
1580877011,13487,13487
1580878208,13498,13498
1580879648,13489,13489
1580880487,13509,13509
1580881329,13465,13465
1580882169,13500,13500
1580883249,13483,13483
1580884087,13512,13512
1580885708,13487,13487
1580886847,13482,13482
1580887953,13473,13473
1580890449,13511,13511
1580891290,13540,13540
1580892132,13481,13481
1580893360,13478,13478
1580894888,13545,13545
1580896567,13525,13525
1580897664,13498,13498
1580898488,13517,13517
1580899631,13466,13466
1580900953,13466,13466
1580902929,13422,13422
1580904848,13432,13432
1580906529,13400,13400
1580907692,13397,13397
1580908808,13429,13429
1580910969,13420,13420
1580912109,13416,13416
1580913729,13365,13365
1580914851,13344,13344
1580916011,13380,13380
1580917214,13317,13317
1580919011,13328,13328
1580920210,13311,13311
1580921419,13331,13331
1580922617,13334,13334
1580924529,13312,13312
1580926448,13328,13328
1580927559,13307,13307
1580928657,13327,13327
1580929809,13326,13326
1580931728,13312,13312
1580933647,13336,13336
1580934489,13361,13361
1580935327,13319,13319
1580936167,13331,13331
1580937250,13325,13325
1580938927,13305,13305
1580939766,13316,13316
1580940847,13307,13307
1580943707,13271,13271
1580944447,13281,13281
1580945723,13253,13253
1580947819,13253,13253
1580949729,13216,13216
1580950569,13242,13242
1580951647,13244,13244
1580952487,13263,13263
1580953696,13244,13244
1580955247,13271,13271
1580956087,13295,13295
1580958848,13297,13297
1580960529,13284,13284
1580962448,13320,13320
1580963708,13327,13327
1580964907,13356,13356
1580967340,13370,13370
1580969648,13414,13414
1580970488,13438,13438
1580972354,13416,13416
1580974087,13486,13486
1580974930,13474,13474
1580975770,13512,13512
1580976908,13517,13517
1580977687,13545,13545
1580979280,13529,13529
1580980450,13555,13555
1580981707,13563,13563
1580982909,13596,13596
1580984047,13601,13601
1580985557,13602,13602
1580987647,13621,13621
1580988908,13617,13617
1580990824,13620,13620
1580992087,13652,13652
1580994255,13609,13609
1580995655,13669,13669
1580997263,13696,13696
1580998509,13726,13726
1580999661,13731,13731
1581000766,13757,13757
1581001903,13763,13763
1581002888,13782,13782
1581004228,13755,13755
1581005410,13764,13764
1581005648,13770,13770
1581006758,13763,13763
1581007920,13781,13781
1581009247,13771,13771
1581010087,13795,13795
1581011400,13721,13721
1581012847,13715,13715
1581013995,13683,13683
1581015130,13687,13687
1581016447,13687,13687
1581018127,13669,13669
1581020050,13686,13686
1581021470,13659,13659
1581022831,13639,13639
1581024487,13671,13671
1581025328,13636,13636
1581026167,13655,13655
1581027308,13631,13631
1581028087,13655,13655
1581028927,13621,13621
1581030052,13612,13612
1581031210,13654,13654
1581032419,13620,13620
1581034210,13631,13631
1581035424,13601,13601
1581036912,13624,13624
1581038021,13605,13605
1581038887,13622,13622
1581039728,13564,13564
1581041651,13580,13580
1581043221,13558,13558
1581044739,13575,13575
1581045263,13592,13592
1581046087,13628,13628
1581046928,13581,13581
1581048608,13597,13597
1581050528,13569,13569
1581051981,13575,13575
1581053290,13602,13602
1581054128,13563,13563
1581056049,13587,13587
1581057727,13520,13520
1581059648,13534,13534
1581060488,13558,13558
1581061687,13504,13504
1581063248,13497,13497
1581064354,13460,13460
1581065768,13487,13487
1581066911,13514,13514
1581068529,13550,13550
1581070449,13579,13579
1581071287,13611,13611
1581072128,13562,13562
1581073622,13563,13563
1581074923,13597,13597
1581075728,13555,13555
1581077649,13578,13578
1581079328,13563,13563
1581080430,13554,13554
1581082086,13603,13603
1581083767,13552,13552
1581084848,13539,13539
1581086529,13511,13511
1581088451,12575,12575
1581089603,12577,12577
1581091450,12616,12616
1581092048,12650,12650
1581093730,12663,12663
1581095648,12695,12695
1581097327,12698,12698
1581099249,12748,12748
1581100088,12782,12782
1581100928,12757,12757
1581102498,12767,12767
1581104109,12772,12772
1581106451,12807,12807
1581107287,12824,12824
1581109179,12811,12811
1581110047,12845,12845
1581111310,12836,12836
1581113651,12872,12872
1581115214,12862,12862
1581117311,12897,12897
1581118087,12916,12916
1581120296,12892,12892
1581122528,13946,13946
1581124450,16942,16942
1581127817,17928,17928
1581129730,17912,17912
1581130569,17936,17936
1581131708,17912,17912
1581133328,17891,17891
1581135249,17897,17897
1581136931,17853,17853
1581138848,17866,17866
1581140528,17817,17817
1581142448,17808,17808
1581143287,17825,17825
1581144129,17755,17755
1581145813,17758,17758
1581147010,17721,17721
1581148208,17733,17733
1581149647,17710,17710
1581150865,17676,17676
1581152122,17668,17668
1581153308,17640,17640
1581154088,17658,17658
1581155340,17623,17623
1581156848,17612,17612
1581158527,17584,17584
1581159367,17598,17598
1581160740,17623,17623
1581162034,17604,17604
1581162968,17624,17624
1581164047,17616,17616
1581165466,17579,17579
1581167310,17548,17548
1581168615,17529,17529
1581169329,17527,17527
1581170563,17520,17520
1581171749,17543,17543
1581173145,17516,17516
1581174366,17511,17511
1581174851,17521,17521
1581175948,17521,17521
1581177367,17530,17530
1581178510,17525,17525
1581179714,17502,17502
1581181233,17497,17497
1581182047,17513,17513
1581183613,17494,17494
1581185413,17525,17525
1581186609,17500,17500
1581189010,17509,17509
1581190215,17495,17495
1581191767,17512,17512
1581192908,17501,17501
1581193688,17516,17516
1581195011,17500,17500
1581196448,17510,17510
1581198127,17493,17493
1581199441,17498,17498
1581200888,17510,17510
1581202567,17488,17488
1581203650,17482,17482
1581205329,17471,17471
1581206427,17458,17458
1581207609,17477,17477
1581208928,17461,17461
1581210848,17470,17470
1581211958,17442,17442
1581214447,17438,17438
1581216127,17412,17412
1581218050,17419,17419
1581219618,17383,17383
1581221410,17383,17383
1581221648,17384,17384
1581223329,17354,17354
1581224167,17370,17370
1581225247,17365,17365
1581226928,17361,17361
1581228034,17348,17348
1581229207,17358,17358
1581230416,17327,17327
1581231368,17349,17349
1581232510,17335,17335
1581234015,17296,17296
1581235360,17293,17293
1581236572,17318,17318
1581237727,17256,17256
1581238567,17273,17273
1581239710,17253,17253
1581240907,17218,17218
1581241327,17209,17209
1581243248,17215,17215
1581244087,17233,17233
1581245410,17207,17207
1581246560,17178,17178
1581248531,17167,17167
1581250207,17168,17168
1581251288,17195,17195
1581252908,17176,17176
1581254033,17173,17173
1581255728,17151,17151
1581257417,17167,17167
1581258609,17149,17149
1581260429,17146,17146
1581261609,17172,17172
1581262814,17144,17144
1581263768,17162,17162
1581264858,17156,17156
1581265688,17169,17169
1581267013,17155,17155
1581268449,17161,17161
1581269288,17183,17183
1581271321,17141,17141
1581272888,17173,17173
1581274213,17147,17147
1581275649,17165,17165
1581276908,17146,17146
1581278064,17158,17158
1581279247,17165,17165
1581280347,17154,17154
1581282882,17187,17187
1581284413,17160,17160
1581285801,17161,17161
1581287107,17173,17173
1581288309,17152,17152
1581290047,17161,17161
1581291728,17146,17146
1581293408,16428,16428
1581294611,14600,14600
1581295808,13200,13200
1581296928,12101,12101
1581298212,12102,12102
1581299407,12145,12145
1581300554,12152,12152
1581303960,12166,12166
1581305291,12210,12210
1581306130,12153,12153
1581306969,12198,12198
1581307232,12177,12177
1581308409,12229,12229
1581311654,12240,12240
1581312487,12270,12270
1581314167,12276,12276
1581315249,12277,12277
1581316088,12305,12305
1581317708,12300,12300
1581318847,12307,12307
1581319686,12345,12345
1581321456,12367,12367
1581322447,12382,12382
1581323288,12418,12418
1581324608,12409,12409
1581325232,12420,12420
1581326065,12462,12462
1581328569,12511,12511
1581329647,12526,12526
1581330488,12552,12552
1581331330,12520,12520
1581333017,12545,12545
1581334928,12550,12550
1581336848,12585,12585
1581338528,12608,12608
1581340208,12628,12628
1581341289,12650,12650
1581342968,12661,12661
1581344110,12664,12664
1581344887,12688,12688
1581346183,12663,12663
1581347408,12661,12661
1581349329,12657,12657
1581350167,12678,12678
1581351248,12662,12662
1581352093,12686,12686
1581353295,12669,12669
1581354847,12661,12661
1581355688,12676,12676
1581357315,12668,12668
1581358447,12667,12667
1581360129,12655,12655
1581361807,12664,12664
1581363010,12671,12671
1581364568,12691,12691
1581365712,12688,12688
1581367814,12671,12671
1581369010,12669,12669
1581370088,12682,12682
1581371767,12660,12660
1581372909,12669,12669
1581374530,12650,12650
1581376450,12656,12656
1581378131,12626,12626
1581380048,12632,12632
1581381312,12607,12607
1581383372,12602,12602
1581385328,12616,12616
1581387017,12635,12635
1581388929,12657,12657
1581389768,12675,12675
1581390852,12663,12663
1581391689,12692,12692
1581392529,12673,12673
1581393368,12699,12699
1581394509,12699,12699
1581396128,12674,12674
1581396970,12700,12700
1581398048,12697,12697
1581399728,12685,12685
1581400571,12711,12711
1581401713,12722,12722
1581403329,12704,12704
1581404167,12733,12733
1581405309,12750,12750
1581406929,12776,12776
1581408850,12779,12779
1581410529,12785,12785
1581412449,12809,12809
1581413555,12792,12792
1581415346,12792,12792
1581416052,12805,12805
1581417619,12771,12771
1581419648,12789,12789
1581420489,12764,12764
1581421329,12746,12746
1581423249,12758,12758
1581424508,12743,12743
1581425835,12754,12754
1581427210,12751,12751
1581428529,12711,12711
1581431289,12733,12733
1581432129,12703,12703
1581433238,12716,12716
1581434410,12741,12741
1581435617,12730,12730
1581436571,12746,12746
1581437651,12736,12736
1581439331,12694,12694
1581440848,12705,12705
1581442089,12722,12722
1581442928,12688,12688
1581444851,12693,12693
1581445687,12737,12737
1581446529,12759,12759
1581448447,12889,12889
1581449289,12955,12955
1581450908,13026,13026
1581452108,13068,13068
1581452888,13113,13113
1581453728,13077,13077
1581455649,13154,13154
1581457221,13200,13200
1581459009,13264,13264
1581460930,13284,13284
1581461768,13307,13307
1581462851,13308,13308
1581463689,13337,13337
1581465309,13336,13336
1581466449,13334,13334
1581467712,13345,13345
1581470048,13382,13382
1581471617,13366,13366
1581473709,13435,13435
1581474490,13459,13459
1581476168,13477,13477
1581477249,13468,13468
1581478510,13439,13439
1581480609,13453,13453
1581482529,13446,13446
1581484451,13489,13489
1581485288,13510,13510
1581487160,13476,13476
1581488412,13511,13511
1581489730,13492,13492
1581490569,13518,13518
1581491709,13518,13518
1581493331,13465,13465
1581494433,13437,13437
1581495610,13494,13494
1581496931,13427,13427
1581498850,13436,13436
1581499691,13528,13528
1581500530,13466,13466
1581502448,13495,13495
1581504131,13471,13471
1581504968,13498,13498
1581506119,13468,13468
