DateTime,AddedIPs,RemovedIPs
1580212849,0,1
1580215131,1,3
1580218513,0,2
1580220854,1,0
1580222418,0,1
1580224216,1,1
1580226134,1,0
1580229018,0,2
1580229734,0,1
1580235015,1,0
1580236217,2,0
1580237772,1,0
1580238856,0,1
1580242452,1,0
1580246057,2,1
1580247617,0,2
1580256445,2,0
1580259312,1,0
1580262972,0,1
1580264053,0,2
1580265316,0,2
1580271254,2,0
1580272098,1,0
1580272935,0,2
1580274854,1,0
1580277375,1,0
1580279582,0,3
1580280711,0,1
1580281814,0,1
1580286494,1,0
1580287337,0,1
1580291712,1,0
1580294536,0,2
1580296456,0,1
1580297292,1,0
1580300053,5,0
1580302468,1,0
1580303654,0,1
1580305778,0,2
1580307255,0,1
1580312317,0,1
1580314458,1,1
1580319014,0,2
1580321653,2,0
1580330534,1,0
1580332454,0,1
1580333294,1,0
1580334977,0,1
1580338582,1,1
1580339715,0,1
1580346616,0,1
1580347818,1,15
1580351416,0,1
1580354055,3,0
1580356573,1,0
1580358511,2,0
1580362936,0,1
1580365873,0,1
1580371825,0,2
1580375653,1,1
1580376495,1,0
1580379254,0,1
1580380454,2,1
1580382916,0,1
1580384536,0,1
1580386215,3,1
1580390055,0,1
1580390895,1,0
1580395336,1,1
1580402533,0,2
1580405416,1,0
1580407815,0,1
1580409735,2,0
1580411654,1,0
1580412496,1,0
1580415022,2,0
1580419695,1,0
1580422214,1,2
1580424507,0,1
1580427313,1,0
1580431257,0,1
1580434934,1,1
1580438416,1,0
1580439374,1,0
1580442137,1,0
1580445315,1,1
1580446514,1,0
1580447656,1,0
1580449336,1,0
1580451256,0,1
1580457638,0,2
1580460017,1,0
1580461173,0,2
1580463735,0,3
1580467336,0,1
1580474537,1,0
1580479679,0,3
1580481316,2,3
1580482576,1,0
1580483720,0,2
1580485334,0,1
1580487317,1,0
1580489777,1,1
1580490854,1,0
1580492535,1,1
1580494214,1,1
1580496971,1,0
1580497236,0,1
1580501655,2,0
1580505015,0,1
1580507413,0,1
1580513711,0,1
1580514916,1,0
1580516118,0,1
1580517737,1,0
1580524218,1,1
1580524934,1,0
1580526616,1,1
1580527814,0,2
1580530517,1,0
1580534054,1,0
1580540534,0,1
1580544917,0,2
1580546415,0,1
1580547372,1,0
1580549715,4,2
1580553732,0,2
1580558046,0,5
1580559316,1,4
1580563692,1,0
1580564535,0,2
1580566454,1,0
1580568016,1,0
1580569337,5,0
1580572644,4,0
1580575349,1,1
1580578937,0,2
1580581814,1,0
1580592512,2,1
1580596948,0,2
1580600418,0,1
1580606056,0,1
1580607746,1,0
1580609056,0,2
1580612457,1,1
1580614095,2,0
1580616855,1,1
1580618546,0,1
1580622151,1,0
1580627416,1,0
1580629356,0,2
1580631022,0,1
1580633363,1,0
1580643313,0,1
1580644514,0,1
1580649319,0,1
1580651400,1,0
1580654533,1,1
1580656456,1,0
1580658015,0,2
1580661311,0,1
1580665471,7,2
1580667013,1,1
1580668215,3,1
1580671816,3,0
1580673373,3,0
1580674452,2,0
1580675292,2,0
1580676976,1,1
1580678109,2,0
1580679615,2,0
1580681038,1,0
1580681653,1,0
1580682494,1,0
1580683692,1,1
1580685022,1,0
1580686217,0,1
1580688852,4,0
1580690532,3,0
1580693292,1,0
1580694913,1,1
1580697730,1,1
1580699657,0,1
1580702160,1,1
1580703258,1,0
1580704093,1,0
1580706853,2,0
1580708536,2,0
1580710082,1,0
1580711416,0,1
1580712132,1,0
1580714058,1,0
1580719168,0,5
1580722817,0,2
1580724402,0,2
1580726536,1,2
1580730135,3,0
1580736499,1,1
1580737982,1,2
1580739255,0,1
1580741346,1,3
1580742615,0,4
1580746454,1,0
1580747906,0,1
1580750054,1,0
1580751175,1,1
1580752329,0,1
1580753653,0,1
1580756173,1,0
1580762417,1,2
1580766170,0,1
1580768893,1,0
1580769743,1,1
1580771424,1,3
1580773344,1,0
1580775269,1,1
1580776950,2,1
1580846205,17,43
1580848736,1,0
1580850053,1,0
1580853014,0,1
1580854215,0,1
1580855420,1,1
1580857823,2,0
1580858896,2,0
1580860514,1,5
1580863338,0,2
1580866936,1,2
1580870533,1,1
1580872218,0,2
1580875816,2,0
1580877021,0,2
1580881335,1,2
1580882176,2,0
1580883257,1,2
1580885714,1,1
1580886855,1,0
1580887958,0,1
1580890456,2,1
1580891298,1,0
1580892138,2,0
1580896573,0,2
1580897673,1,0
1580898494,1,0
1580904855,0,2
1580906536,1,0
1580907699,1,1
1580912120,0,2
1580913735,1,1
1580921706,2,0
1580922910,0,2
1580924535,1,1
1580926453,2,1
1580931733,2,2
1580933652,3,1
1580935332,0,2
1580937256,1,0
1580939772,1,1
1580940853,1,0
1580942125,1,4
1580944454,1,5
1580945729,1,1
1580947827,1,1
1580949735,1,1
1580950575,1,0
1580951654,0,1
1580956093,0,1
1580958853,6,1
1580960535,0,1
1580962453,2,0
1580963717,1,0
1580967346,2,0
1580969653,1,3
1580972360,0,1
1580975775,1,0
1580979285,2,0
1580980456,2,0
1580981713,0,1
1580982917,1,1
1580985563,1,0
1580987040,0,2
1580988940,0,1
1580990832,3,0
1580994260,1,2
1580995660,3,0
1580998520,2,0
1581000772,1,0
1581004234,0,1
1581005656,1,0
1581006763,1,0
1581007926,3,0
1581009253,0,5
1581011405,0,2
1581012850,0,1
1581015135,8,0
1581018134,1,2
1581021475,1,1
1581025335,1,0
1581027316,2,0
1581028092,1,0
1581028934,1,4
1581031812,1,0
1581032963,1,0
1581034217,0,1
1581038027,0,1
1581041658,0,1
1581043227,0,2
1581044744,1,1
1581045271,1,0
1581046934,0,1
1581048615,1,0
1581053297,2,0
1581054135,0,1
1581056055,3,0
1581057733,1,1
1581061696,0,1
1581063255,1,0
1581066921,1,0
1581068535,0,3
1581070456,0,1
1581071293,1,0
1581072134,0,1
1581073631,2,2
1581075735,2,1
1581080445,1,0
1581083772,0,1
1581086534,0,2
1581088457,9,0
1581089608,2,2
1581091470,1,0
1581095654,0,1
1581097335,1,0
1581100094,1,0
1581100933,0,1
1581102503,1,0
1581104116,1,1
1581106457,1,1
1581109184,0,1
1581110057,1,0
1581111316,0,3
1581120301,1,0
1581122538,63,1
1581124457,84,0
1581126019,20,0
1581127822,1,1
1581129735,0,1
1581135257,1,0
1581138856,1,0
1581140533,1,0
1581147051,0,1
1581153315,0,1
1581155346,0,2
1581158533,0,1
1581167316,0,3
1581168626,1,0
1581170569,1,0
1581181244,1,0
1581185421,1,0
1581189015,0,1
1581192915,1,0
1581196454,1,0
1581198134,0,1
1581205334,0,1
1581214455,0,2
1581216135,1,1
1581218057,3,0
1581219627,0,1
1581226933,0,1
1581234021,0,1
1581240929,0,1
1581241332,0,2
1581243255,0,1
1581244094,1,0
1581254039,2,1
1581257422,0,4
1581258640,0,2
1581260444,0,1
1581262823,1,1
1581268455,0,1
1581271331,1,0
