DateTime,AddedIPs,RemovedIPs
1580490738,29,36
1580492894,37,37
1580494811,37,31
1580496743,48,33
1580498648,31,42
1580500581,39,48
1580502484,37,0
1580506340,39,84
1580508518,42,26
1580510412,19,49
1580512334,38,48
1580514259,34,37
1580516169,40,47
1580518093,32,36
1580520017,32,35
1580521936,28,0
1580523849,28,37
1580525778,22,32
1580527688,26,0
1580529628,31,0
1580531533,30,30
1580533453,39,37
1580535380,42,34
1580537557,28,26
1580539452,35,26
1580541386,41,41
1580543288,39,39
1580545206,38,31
1580547155,29,20
1580549048,14,27
1580552886,30,55
1580554823,26,26
1580556730,30,29
1580558665,29,29
1580562488,26,57
1580564409,32,37
1580566331,20,41
1580568260,20,20
1580570171,17,33
1580572091,18,14
1580574017,27,21
1580575926,33,38
1580577849,35,30
1580579779,31,33
1580581688,24,39
1580583610,22,49
1580587461,23,81
1580589382,31,35
1580591304,26,0
1580593222,24,41
1580595387,31,39
1580597303,30,20
1580599207,27,31
1580601130,25,28
1580603059,30,39
1580604971,34,28
1580607135,36,39
1580609055,28,31
1580610985,22,27
1580612893,26,28
1580614810,25,32
1580616744,21,28
1580618648,27,32
1580620574,31,42
1580622505,23,45
1580624412,31,28
1580626330,26,34
1580628264,25,37
1580630169,19,49
1580632088,26,33
1580634028,25,30
1580635928,24,15
1580637856,30,0
1580639782,23,28
1580641699,26,23
1580643612,20,24
1580645546,12,28
1580648449,30,0
1580650332,15,29
1580652500,22,25
1580654410,26,15
1580656340,21,30
1580658247,14,14
1580662339,26,75
1580664247,34,0
1580666177,27,36
1580668354,43,58
1580670252,35,20
1580672173,38,0
1580674111,29,20
1580676016,29,32
1580677937,35,29
1580679863,28,24
1580682015,31,27
1580683939,37,30
1580685852,27,23
1580687779,25,29
1580689685,23,29
1580691609,28,31
1580693528,15,0
1580695451,15,25
1580697379,27,26
1580699559,17,48
1580701449,32,27
1580703373,29,21
1580705300,21,21
1580707208,25,32
1580709125,31,26
1580711086,34,29
1580712978,28,25
1580714892,23,20
1580716824,22,20
1580718734,23,31
1580720899,20,22
1580722809,43,22
1580724746,29,31
1580726651,29,30
1580728570,24,26
1580730504,20,20
1580732408,34,13
1580734341,22,0
1580736258,27,23
1580738169,37,16
1580740086,19,17
1580742037,33,21
1580743931,19,22
1580746108,27,13
1580748009,40,0
1580749948,44,21
1580751848,33,29
1580753769,43,32
1580755706,34,41
1580757607,41,35
1580759525,57,36
1580761464,6,31
1580763369,43,32
1580765288,30,38
1580767227,60,31
1580769134,48,33
1580771051,54,38
1580772968,40,23
1580775155,41,24
1580777050,32,23
1580778969,42,26
1580781012,33,15
1580782884,25,19
1580784826,29,26
1580786645,25,19
1580788581,39,38
1580790484,38,33
1580792410,25,25
1580794328,23,28
1580796254,19,30
1580798204,19,36
1580800107,27,24
1580802009,22,22
1580803930,29,16
1580805967,27,22
1580807770,14,24
1580809690,22,37
1580811624,29,30
1580815451,24,60
1580817656,24,25
1580819570,10,31
1580821698,22,23
1580823608,41,30
1580825533,27,29
1580827463,20,17
1580829379,22,28
1580831305,33,11
1580833212,35,20
1580835127,42,36
1580837123,29,47
1580838970,48,35
1580840886,26,46
1580842820,44,37
1580844742,36,39
1580846663,34,54
1580848581,41,6
1580850500,43,46
1580854332,38,84
1580856262,35,49
1580858168,43,51
1580860088,34,41
1580862007,32,49
1580863926,32,29
1580865860,35,39
1580867770,38,35
1580869689,27,25
1580871626,22,36
1580873530,32,25
1580875455,34,43
1580877380,28,37
1580879309,29,32
1580881350,26,22
1580883395,19,25
1580885323,29,24
1580887239,23,26
1580889127,41,21
1580891051,26,28
1580892979,33,30
1580894887,14,15
1580896818,32,22
1580898745,17,30
1580900652,20,0
1580902581,32,24
1580904524,37,23
1580906423,29,6
1580908336,29,20
1580910260,25,37
1580912170,44,26
1580914093,29,21
1580916027,12,19
1580917928,31,30
1580919848,22,35
1580921783,39,41
1580923700,22,24
1580925636,60,45
1580929711,43,70
1580931609,40,35
1580933530,37,39
1580935467,25,46
1580937371,51,44
1580939293,33,0
1580941223,52,38
1580943139,31,31
1580945059,27,37
1580946966,40,39
1580948886,34,36
1580952731,39,70
1580954900,42,35
1580956808,35,23
1580958741,35,32
1580960647,30,35
1580962579,32,32
1580964505,44,32
1580966411,30,31
1580968328,32,30
1580970260,37,26
1580972168,36,38
1580974085,34,24
1580976026,42,36
1580977934,27,32
1580980097,27,36
1580983946,20,50
1580985847,26,19
1580988074,21,16
1580989930,41,27
1580991875,25,42
1580993767,34,33
1580995685,20,31
1580997667,23,27
1580999531,42,39
1581001707,32,28
1581003622,37,11
1581005549,34,34
1581007458,34,21
1581009370,39,34
1581011538,39,24
1581013451,33,52
1581015382,26,0
1581017547,34,47
1581019452,37,38
1581021383,34,30
1581023300,34,29
1581025209,27,50
1581027145,42,39
1581029050,42,46
1581032905,31,56
1581034806,27,40
1581038658,39,38
1581040566,34,39
1581042485,44,40
1581044420,28,33
1581046331,29,35
1581048500,29,33
1581050410,28,34
1581052344,30,44
1581054251,28,29
1581056172,38,28
1581058104,28,36
1581060045,33,36
1581061927,25,40
1581063863,36,45
1581065766,28,25
1581067689,29,27
1581071533,20,18
1581073696,24,25
1581075613,34,17
1581077546,24,43
1581079448,25,19
1581081390,30,31
1581083301,33,23
1581085209,25,14
1581087124,25,44
1581089059,14,30
1581090966,22,35
1581093135,29,38
1581095297,36,32
1581097209,41,42
1581099142,37,41
1581101052,31,33
1581102973,37,26
1581104900,35,32
1581106804,33,33
1581108724,27,34
1581110670,35,35
1581112565,31,23
1581114484,37,38
1581116427,44,36
1581118330,40,0
1581120497,36,30
1581122409,39,33
1581124341,39,0
1581126247,31,39
1581128169,35,38
1581130100,23,37
1581132003,39,30
1581133936,29,28
1581135850,33,21
1581137770,31,32
1581139684,31,28
1581141616,30,27
1581143543,37,29
1581145707,27,34
1581147608,37,28
1581149530,31,28
1581151458,25,30
1581153373,14,26
1581155291,21,24
1581157218,21,0
1581159134,30,17
1581161047,18,30
1581162979,25,33
1581164885,17,23
1581168738,20,60
1581170648,26,33
1581172585,27,24
1581174519,25,31
1581176408,13,17
1581178331,19,23
1581180257,17,38
1581182172,22,34
1581184091,26,44
1581186016,18,33
1581187923,22,29
1581189850,33,37
1581191779,33,35
1581193685,21,40
1581195624,36,27
1581197530,23,33
1581199700,29,28
1581201608,13,31
1581203543,27,44
1581205446,36,47
1581207373,35,38
1581209299,31,39
1581211207,37,31
1581213124,22,30
1581215060,18,39
1581216965,22,26
1581219138,22,39
1581221074,28,28
1581222987,25,34
1581224899,30,29
1581226849,25,31
1581228747,25,32
1581230656,28,43
1581232572,31,31
1581234507,26,34
1581236427,18,27
1581238336,24,25
1581240263,14,12
1581242172,10,18
1581244087,10,19
1581246036,8,35
1581250103,32,50
1581252010,25,15
1581253954,19,0
1581255850,19,19
1581257778,26,24
1581259704,28,22
1581261612,18,29
1581263532,15,13
1581265464,28,21
1581267367,27,15
1581269289,36,23
1581271221,16,29
1581273135,39,19
1581275300,36,20
1581277213,24,36
1581279394,32,33
1581281294,34,17
1581283219,34,33
1581285129,24,25
1581287052,35,29
1581288983,17,15
1581290891,29,28
1581292831,23,36
1581294732,25,35
1581296901,33,32
1581300747,28,56
1581302652,32,26
1581304573,23,18
1581306503,28,19
1581308417,30,29
1581310329,26,25
1581312262,28,30
1581314168,29,32
1581318029,25,59
1581320921,33,64
1581322817,19,0
1581324723,13,24
1581326659,10,27
1581328567,36,14
1581330488,19,21
1581332426,23,0
1581334328,34,9
1581336498,25,0
1581340347,41,52
1581342251,30,40
1581346100,49,28
1581348007,42,25
1581349924,31,13
1581353764,37,45
1581357623,34,76
1581359528,29,0
1581361707,25,82
1581363610,40,0
1581365552,25,28
1581367451,41,34
1581369371,11,32
1581371301,25,31
1581373206,19,21
1581375141,36,38
1581377059,22,18
1581378965,33,36
1581380885,31,25
1581384727,32,62
1581386648,28,0
1581388581,30,31
1581390497,17,31
1581392410,28,24
1581394349,27,33
1581396247,36,32
1581398168,40,25
1581400106,34,30
1581402014,23,34
1581403923,24,0
1581405858,37,20
1581407765,23,35
1581409683,23,18
1581411619,19,14
1581413546,24,9
1581415449,32,30
1581417369,41,17
1581419307,42,27
1581421208,33,34
1581423132,15,25
1581425060,23,0
1581427222,31,38
1581429126,26,34
1581431048,23,0
1581432978,30,41
1581434886,15,37
1581436828,32,29
1581438742,42,0
1581440651,34,37
1581444505,28,34
1581446411,45,24
1581448579,39,30
1581450490,33,36
1581452423,29,23
1581454324,14,41
1581456245,24,13
1581458180,25,28
1581460087,41,20
1581462013,31,37
1581463946,37,24
1581465852,20,32
1581467768,32,26
1581469701,31,0
1581471611,28,26
1581473535,33,20
1581475463,29,26
1581477369,34,23
1581479295,31,22
1581481217,34,26
1581483126,25,34
1581485045,32,38
1581486978,9,34
1581488885,41,23
1581490820,20,31
1581493703,33,31
1581495618,35,23
1581497526,20,21
1581499448,10,19
1581501378,30,27
1581503283,30,38
1581505230,24,36
