DateTime,Entries,UniqueIPs
1580490738,19131,19562
1580492894,19146,19578
1580494811,19154,19587
1580496743,19154,19587
1580498648,19168,19602
1580500581,19172,19606
1580502484,19185,19620
1580506340,19198,19634
1580508518,19192,19633
1580510412,19182,19622
1580512334,19187,19627
1580514259,19200,19641
1580516169,19204,19644
1580518093,19202,19642
1580520017,19206,19646
1580521936,19204,19644
1580523849,19194,19635
1580525778,19187,19628
1580527688,19180,19621
1580529628,19179,19621
1580531533,19179,19624
1580533453,19174,19619
1580535380,19177,19622
1580537557,19170,19615
1580539452,19170,19615
1580541386,19160,19607
1580543288,19163,19611
1580545206,19159,19606
1580547155,19156,19605
1580549048,19156,19602
1580552886,19127,19574
1580554823,19126,19571
1580556730,19126,19573
1580558665,19125,19571
1580562488,19121,19568
1580564409,19119,19566
1580566331,19102,19551
1580568260,19090,19537
1580570171,19091,19538
1580572091,19094,19541
1580574017,19086,19533
1580575926,19090,19536
1580577849,19091,19536
1580579779,19084,19531
1580581688,19076,19524
1580583610,19074,19521
1580587461,19061,19509
1580589382,19058,19506
1580591304,19036,19485
1580593222,19032,19481
1580595387,19038,19487
1580597303,19041,19490
1580599207,19051,19502
1580601130,19045,19497
1580603059,19024,19476
1580604971,19027,19480
1580607135,19029,19482
1580609055,19025,19478
1580610985,19020,19473
1580612893,19015,19468
1580614810,19021,19471
1580616744,19031,19481
1580618648,19032,19481
1580620574,19036,19486
1580622505,19048,19499
1580624412,19064,19515
1580626330,19051,19501
1580628264,19053,19503
1580630169,19055,19505
1580632088,19066,19516
1580634028,19068,19520
1580635928,19065,19518
1580637856,19071,19524
1580639782,19066,19520
1580641699,19068,19522
1580643612,19060,19514
1580645546,19050,19504
1580648449,19037,19490
1580650332,19027,19480
1580652500,19020,19473
1580654410,19019,19473
1580656340,19019,19471
1580658247,19013,19465
1580662339,19004,19456
1580664247,18999,19452
1580666177,18999,19453
1580668354,19021,19475
1580670252,19032,19486
1580672173,19031,19486
1580674111,19042,19497
1580676016,19043,19497
1580677937,19049,19502
1580679863,19046,19499
1580682015,19044,19496
1580683939,19043,19495
1580685852,19040,19492
1580687779,19047,19500
1580689685,19043,19497
1580691609,19041,19496
1580693528,19036,19491
1580695451,19034,19489
1580697379,19037,19492
1580699559,19036,19490
1580701449,19042,19500
