DateTime,AddedIPs,RemovedIPs
1580490738,46,69
1580492894,59,47
1580494811,58,60
1580496743,69,59
1580498648,53,69
1580500581,61,54
1580502484,63,62
1580506340,68,58
1580508518,63,67
1580510412,43,67
1580512334,59,41
1580514259,60,58
1580516169,68,63
1580518093,57,63
1580520017,62,58
1580521936,56,62
1580523849,55,58
1580525778,60,55
1580527688,60,62
1580529628,57,58
1580531533,60,55
1580533453,62,60
1580535380,63,65
1580537557,57,65
1580539452,65,51
1580541386,64,69
1580543288,65,64
1580545206,57,66
1580547155,59,56
1580549048,21,59
1580552886,51,21
1580554823,52,49
1580556730,48,51
1580558665,55,43
1580562488,49,61
1580564409,55,50
1580566331,43,57
1580568260,45,41
1580570171,33,48
1580572091,33,34
1580574017,42,31
1580575926,53,42
1580577849,57,47
1580579779,61,58
1580581688,49,62
1580583610,51,50
1580587461,41,48
1580589382,59,43
1580591304,56,58
1580593222,55,56
1580595387,65,58
1580597303,59,60
1580599207,53,62
1580601130,50,54
1580603059,58,51
1580604971,63,54
1580607135,60,67
1580609055,53,57
1580610985,58,53
1580612893,58,60
1580614810,60,58
1580616744,53,60
1580618648,52,47
1580620574,63,54
1580622505,52,60
1580624412,63,62
1580626330,55,59
1580628264,57,56
1580630169,52,55
1580632088,52,55
1580634028,49,54
1580635928,41,48
1580637856,62,40
1580639782,54,64
1580641699,50,54
1580643612,46,47
1580645546,28,44
1580648449,54,28
1580650332,36,58
1580652500,41,36
1580654410,42,42
1580656340,33,43
1580658247,24,34
1580662339,44,23
1580664247,48,43
1580666177,51,47
1580668354,71,51
1580670252,69,72
1580672173,62,66
1580674111,60,63
1580676016,64,60
1580677937,64,66
1580679863,60,61
1580682015,70,63
1580683939,72,69
1580685852,61,73
1580687779,48,59
1580689685,58,46
1580691609,58,58
1580693528,40,62
1580695451,53,36
1580697379,52,53
1580699559,56,53
1580701449,64,54
1580703373,62,66
1580705300,58,60
1580707208,55,56
1580709125,55,58
1580711086,65,57
1580712978,61,64
1580714892,56,61
1580716824,48,57
1580718734,38,45
1580720899,53,38
1580722809,61,53
1580724746,52,62
1580726651,58,52
1580728570,54,63
1580730504,46,54
1580732408,56,45
1580734341,48,52
1580736258,46,51
1580738169,54,47
1580740086,44,55
1580742037,49,43
1580743931,38,46
1580746108,44,36
1580748009,64,46
1580749948,68,65
1580751848,65,71
1580753769,74,65
1580755706,65,74
1580757607,60,65
1580759525,76,60
1580761464,14,76
1580763369,74,16
1580765288,64,67
1580767227,79,67
1580769134,75,83
1580771051,74,73
1580772968,74,75
1580775155,67,68
1580777050,67,70
1580778969,69,64
1580781012,62,67
1580782884,52,60
1580784826,71,57
1580786645,59,71
1580788581,69,60
1580790484,66,68
1580792410,57,66
1580794328,52,52
1580796254,52,49
1580798204,51,60
1580800107,63,52
1580802009,36,66
1580803930,59,35
1580805967,53,57
1580807770,21,54
1580809690,47,22
1580811624,56,46
1580815451,45,54
1580817656,51,49
1580819570,19,51
1580821698,36,20
1580823608,58,35
1580825533,51,54
1580827463,43,55
1580829379,51,42
1580831305,61,51
1580833212,55,60
1580835127,69,53
1580837123,50,68
1580838970,70,54
1580840886,52,70
1580842820,67,53
1580844742,69,66
1580846663,63,67
1580848581,58,63
1580850500,64,59
1580854332,66,67
1580856262,54,63
1580858168,72,56
1580860088,58,69
1580862007,63,60
1580863926,65,58
1580865860,61,70
1580867770,63,59
1580869689,60,63
1580871626,63,59
1580873530,61,63
1580875455,59,63
1580877380,54,56
1580879309,54,51
1580881350,52,57
1580883395,46,55
1580885323,69,49
1580887239,54,63
1580889127,66,55
1580891051,51,66
1580892979,59,53
1580894887,29,61
1580896818,60,28
1580898745,41,61
1580900652,34,38
1580902581,57,35
1580904524,53,55
1580906423,49,56
1580908336,49,51
1580910260,49,49
1580912170,59,45
1580914093,50,60
1580916027,21,51
1580917928,50,23
1580919848,39,49
1580921783,52,39
1580923700,46,53
1580925636,74,46
1580929711,75,73
1580931609,54,75
1580933530,57,52
1580935467,55,52
1580937371,70,58
1580939293,59,72
1580941223,65,59
1580943139,68,67
1580945059,51,63
1580946966,70,55
1580948886,72,66
1580952731,58,70
1580954900,61,60
1580956808,57,59
1580958741,60,58
1580960647,63,62
1580962579,62,66
1580964505,74,63
1580966411,58,72
1580968328,55,57
1580970260,67,54
1580972168,63,66
1580974085,63,60
1580976026,66,67
1580977934,48,68
1580980097,42,48
1580983946,39,44
1580985847,46,39
1580988074,42,45
1580989930,69,42
1580991875,40,71
1580993767,51,39
1580995685,39,50
1580997667,36,41
1580999531,68,32
1581001707,64,65
1581003622,61,65
1581005549,57,59
1581007458,59,62
1581009370,70,58
1581011538,67,67
1581013451,55,71
1581015382,42,57
1581017547,60,42
1581019452,59,57
1581021383,64,57
1581023300,61,62
1581025209,39,65
1581027145,69,40
1581029050,73,69
1581032905,66,70
1581034806,54,67
1581038658,63,55
1581040566,65,62
1581042485,65,64
1581044420,59,68
1581046331,60,57
1581048500,54,60
1581050410,62,53
1581052344,63,63
1581054251,58,65
1581056172,56,55
1581058104,68,58
1581060045,63,65
1581061927,55,58
1581063863,65,63
1581065766,54,66
1581067689,56,55
1581071533,46,54
1581073696,48,40
1581075613,58,53
1581077546,36,57
1581079448,51,40
1581081390,57,49
1581083301,52,60
1581085209,45,49
1581087124,47,46
1581089059,28,50
1581090966,51,27
1581093135,65,50
1581095297,50,63
1581097209,63,49
1581099142,64,64
1581101052,53,66
1581102973,59,50
1581104900,59,61
1581106804,49,61
1581108724,43,47
1581110670,63,45
1581112565,56,63
1581114484,61,53
1581116427,64,57
1581118330,67,68
1581120497,59,66
1581122409,57,58
1581124341,67,60
1581126247,62,66
1581128169,68,61
1581130100,58,67
1581132003,64,62
1581133936,65,66
1581135850,63,62
1581137770,61,64
1581139684,61,60
1581141616,62,60
1581143543,68,61
1581145707,64,68
1581147608,67,66
1581149530,50,67
1581151458,47,49
1581153373,24,48
1581155291,49,27
