DateTime,AddedIPs,RemovedIPs
1576005047,1,2
1576015334,2,3
1576026115,2,1
1576036526,1,0
1576046629,0,2
1576055404,0,1
1576065285,2,1
1576076222,0,3
1576086486,2,2
1576097005,1,3
1576107826,2,5
1576117510,2,3
1576128058,0,2
1576138160,2,2
1576148835,2,0
1576159520,0,7
1576169605,4,4
1576179811,2,3
1576190797,2,1
1576212638,3,1
1576223621,0,3
1576234796,1,0
1576245188,4,1
1576256138,0,2
1576266301,1,6
1576277449,2,1
1576286858,1,2
1576297298,1,3
1576307713,2,0
1576317887,2,3
1576328649,2,1
1576339177,3,4
1576350161,2,3
1576360497,4,1
1576369985,1,3
1576380202,2,3
1576390252,3,2
1576411671,3,1
1576422673,2,0
1576432674,1,2
1576443400,5,4
1576454494,1,1
1576465322,1,3
1576476473,4,4
1576487289,2,3
1576496605,1,2
1576507079,1,2
1576517822,0,3
1576527527,3,2
1576538369,3,2
1576549207,1,1
1576559530,0,1
1576570359,2,2
1576580997,3,3
1576591862,2,1
1576603073,3,1
1576613630,2,2
1576624774,0,4
1576634944,2,1
1576645268,1,1
1576677119,0,1
1576687741,1,1
1576698436,0,2
1576709518,2,5
1576719498,1,4
1576729325,0,1
1576739715,0,2
1576750467,1,2
1576761187,0,2
1576772087,1,0
1576782901,0,6
1576793924,2,0
1576804618,1,0
1576815570,2,1
1576825789,1,0
1576847052,3,0
1576857932,1,1
1576868672,2,0
1576879672,4,2
1576890584,0,1
1576901392,3,0
1576910564,2,2
1576921609,2,0
1576932572,2,0
1576942997,2,0
1576954081,3,3
1576964855,3,2
1576975423,7,4
1576986366,2,0
1576997173,1,0
1577006101,0,1
1577016921,2,1
1577026915,0,2
1577036559,1,2
1577047839,4,4
1577058606,2,2
1577069631,1,2
1577080055,1,1
1577089405,3,1
1577100033,1,3
1577110646,2,3
1577120976,3,0
1577131881,7,1
1577141094,3,8
1577151570,1,5
1577161528,1,2
1577183257,1,1
1577193933,4,1
1577204576,1,1
1577215567,1,3
1577225601,1,2
1577235998,0,5
1577246940,1,1
1577268437,3,1
1577279732,2,3
1577290910,3,1
1577301497,1,3
1577312351,2,2
1577322965,3,0
1577332856,3,4
1577343954,1,0
1577354521,2,1
1577365021,2,0
