DateTime,AddedIPs,RemovedIPs
1579169009,1,1
1579172610,2,0
1579176212,1,1
1579179810,0,1
1579183406,0,1
1579190605,0,1
1579194207,1,1
1579197808,1,0
1579208605,1,1
1579212204,0,2
1579219402,1,1
1579223005,3,2
1579226605,1,1
1579230204,0,2
1579233802,2,2
1579237399,0,1
1579241001,2,0
1579244599,2,3
1579251801,3,1
1579255399,0,1
1579258998,2,1
1579262599,2,1
1579266197,3,3
1579269797,1,1
1579273392,4,3
1579276990,2,3
1579280591,2,1
1579284191,3,1
1579287790,0,2
1579291385,0,3
1579294987,3,0
1579298587,1,1
1579302187,0,2
1579305786,0,1
1579309385,2,1
1579312986,1,0
1579316584,0,1
1579320182,0,3
1579323778,0,3
1579327374,0,3
1579330972,0,1
1579334570,0,1
1579338173,0,1
1579341770,0,1
1579345368,2,2
1579348969,1,0
1579352559,0,27
1579356161,2,0
1579359760,0,1
1579363358,2,2
1579366959,1,1
1579370560,1,1
1579374163,3,2
1579377764,1,0
1579384964,2,1
1579388566,4,2
1579392167,0,2
1579395767,1,1
1579399367,2,0
1579406570,0,1
1579410170,1,0
1579413767,0,2
1579417369,5,0
1579420977,21,0
1579424579,2,1
1579435380,3,0
1579438977,0,3
1579449780,1,0
1579453379,1,0
1579456979,2,1
1579460578,0,1
1579464181,0,1
1579474977,0,1
1579478577,0,2
1579485777,0,2
1579489377,2,0
1579492978,1,1
1579496577,0,1
1579500181,1,0
1579503778,0,2
1579507377,1,1
1579525378,1,1
1579528979,1,0
1579532579,0,1
1579536180,0,1
1579539781,1,0
1579543382,3,1
1579546982,1,3
1579550583,1,0
1579554185,1,3
1579557783,1,0
1579561384,2,1
1579564984,0,1
1579572189,1,0
1579575794,2,1
1579579384,0,3
1579586584,0,1
1579590189,1,0
1579593787,1,0
1579597387,1,0
1579600986,1,2
1579604587,2,0
1579608189,2,0
1579611787,0,2
1579615386,3,1
1579618986,3,1
1579622587,2,4
1579626186,1,2
1579629787,1,0
1579636986,0,1
1579640587,2,1
1579647789,2,1
1579651388,1,0
1579658588,0,1
1579665788,0,2
1579669388,1,0
1579672988,1,0
1579680193,1,0
1579683792,1,1
1579687390,0,1
1579694590,0,1
1579698193,2,1
1579701794,1,0
1579705391,1,1
1579708992,2,0
1579716194,3,2
1579719793,1,1
1579723391,0,1
1579726993,1,1
1579730589,0,2
1579737790,0,1
1579744987,0,1
1579762990,3,0
1579766592,6,0
1579770194,2,0
1579773793,7,1
1579777398,7,0
1579781000,11,2
1579784603,10,1
1579788205,5,1
1579791807,6,1
1579795411,4,0
1579799016,1,0
1579802611,0,2
1579806213,1,1
1579809810,0,2
1579813413,2,0
1579817013,1,1
1579820612,0,1
1579824211,2,4
1579827813,1,2
1579831410,1,1
1579835013,1,0
1579838611,0,1
1579842213,1,2
1579845820,4,1
1579849417,2,2
1579853020,1,0
1579856620,1,0
1579860221,1,2
1579863821,1,2
1579867421,1,2
1579871020,0,1
1579874622,2,1
1579878225,0,2
1579881824,0,2
1579885418,0,4
1579889019,1,2
1579892621,2,0
1579899820,0,3
1579903420,1,1
1579907020,0,1
1579910623,4,1
1579914228,2,0
1579917828,1,0
1579921426,1,0
1579928627,0,1
1579932228,0,1
1579939427,1,0
1579943027,1,0
1579946628,1,0
1579950236,4,0
1579953835,0,1
1579957434,2,2
1579964638,3,0
1579968239,0,2
1579975439,3,0
1579979036,2,4
1579982637,1,0
1579986239,1,0
1579989838,1,1
1579993437,1,2
1579997039,3,0
1580004240,1,2
1580011442,3,0
1580015041,2,1
1580018641,0,1
1580022241,2,5
1580025831,0,22
1580029427,0,2
1580033025,0,2
1580040225,0,4
1580043826,2,0
1580047424,0,1
1580051026,2,0
1580054626,0,1
1580058226,0,1
1580061825,0,1
1580065427,2,0
1580087030,1,1
1580094230,0,2
1580097828,0,1
1580105026,0,1
1580108627,2,0
1580115828,1,0
1580119427,2,0
1580130228,0,1
1580133825,0,1
1580144623,0,1
1580148222,1,5
1580151821,1,0
1580159022,2,0
1580162625,1,0
1580166226,0,1
1580169823,0,1
1580173427,2,0
1580177024,1,1
1580184226,1,0
1580187825,0,1
1580195025,2,1
1580198627,2,1
1580202230,1,1
1580209428,0,1
1580213029,1,1
1580216628,1,1
1580220230,0,2
1580223827,1,2
1580227424,0,1
1580231024,1,0
1580234623,0,1
1580241834,22,0
1580245429,5,4
1580249032,2,0
1580252630,0,1
1580256236,2,0
1580259835,1,1
1580263435,2,0
1580267034,0,1
1580270634,2,1
1580274237,3,1
1580277836,2,1
1580281433,0,1
1580285033,0,2
1580288632,1,1
1580292235,2,1
1580299434,3,0
1580303033,1,2
1580306644,2,1
1580310236,0,2
1580317435,1,0
1580321033,1,2
1580324636,1,0
1580342637,1,1
1580353434,0,1
1580357035,2,0
1580367844,28,3
1580371443,0,3
1580378644,0,2
1580382241,0,3
1580385840,0,7
1580389435,0,10
1580393036,0,7
1580396631,0,8
1580400225,0,6
1580403826,0,1
1580407426,0,1
1580418222,0,1
1580421827,2,2
1580429024,1,1
1580432622,1,0
1580436221,0,2
1580439821,1,1
1580443423,1,0
1580454218,0,3
1580457820,3,0
1580465016,0,2
1580468615,1,1
1580472213,0,1
1580475811,0,2
1580479410,1,2
1580486610,1,0
1580490210,0,1
1580493811,0,1
1580497409,1,1
1580501008,1,1
1580508206,0,1
1580515403,0,3
1580518997,2,3
1580522599,1,0
1580526197,0,1
1580529800,2,0
1580533398,0,1
1580540599,1,0
1580544198,0,1
1580547802,2,1
1580551399,0,1
1580554996,2,2
1580558596,0,1
1580562193,2,2
1580565796,1,2
1580569388,1,2
1580576588,0,1
1580580188,2,3
1580583784,1,4
1580587383,1,2
1580590979,2,2
1580594580,0,1
1580598179,2,2
1580601779,0,1
1580616181,1,0
1580619794,28,0
1580623394,2,1
1580648592,0,3
1580655791,0,2
1580666591,1,0
1580670190,2,1
1580673794,4,0
1580677395,1,0
1580684597,3,0
1580691797,0,1
1580695397,0,1
1580698997,1,0
1580702599,1,1
1580706210,25,0
1580735010,1,0
1580742208,0,1
1580745816,21,0
1580749415,4,1
1580753018,2,1
1580756617,2,0
1580760219,1,1
1580763818,1,3
1580767417,1,1
1580771017,0,1
1580774619,1,0
1580778218,0,1
1580781822,0,1
1580785416,0,1
1580789015,0,1
1580792617,1,0
1580799826,21,2
1580810627,1,0
1580814224,0,1
1580821425,1,0
1580825023,1,1
1580828626,2,0
1580843025,0,2
1580846608,0,30
1580850209,0,7
1580853813,1,0
1580861009,2,1
1580864611,1,0
1580868211,0,1
1580875408,0,2
1580879009,0,2
1580882608,1,1
1580886207,0,1
1580893407,0,1
1580897009,2,1
1580900607,0,1
1580904203,1,4
1580907804,1,2
1580911404,1,2
1580918599,1,7
1580922197,0,12
1580925808,24,1
1580929404,0,2
1580933004,4,0
1580936611,18,0
1580940210,0,1
1580943810,0,1
1580947406,0,1
1580951008,1,0
1580958210,1,0
1580961810,0,2
1580969011,1,1
1580972599,0,26
1580979802,4,0
1580983404,4,0
1580987007,1,0
1580990606,4,0
1580994212,5,0
1581001414,1,0
1581005018,3,0
1581012226,18,0
1581015828,1,0
1581019429,2,1
1581023029,1,1
1581026634,3,1
1581030238,2,0
1581033838,0,2
1581037440,3,0
1581044638,0,1
1581051843,2,2
1581055440,2,1
1581059037,0,2
1581062643,3,2
1581069849,1,0
1581073464,0,1
1581077349,2,0
1581081092,4,0
1581084250,1,3
1581087851,2,0
1581091451,1,0
1581095060,1,0
1581098659,2,0
1581102256,1,1
1581109462,2,0
1581113066,2,0
1581116666,2,1
1581120267,2,1
1581123866,1,3
1581127469,1,0
1581134667,1,1
1581138267,2,1
1581141863,1,2
1581145461,0,1
1581149074,15,1
1581152672,2,1
1581156272,1,0
1581159872,0,1
1581163476,7,0
1581167072,1,5
1581170672,2,2
1581174285,12,1
1581177887,3,1
1581185089,1,3
1581188691,4,0
1581195893,1,1
1581199493,2,1
1581203092,0,3
1581206691,2,0
1581210326,43,0
1581213929,1,0
1581217533,1,0
1581221127,0,5
1581224715,0,23
1581228316,1,1
1581235515,0,1
1581239119,1,0
1581249915,1,0
1581253515,1,0
1581257119,1,1
1581260722,19,1
1581267922,1,0
1581271523,1,1
1581275120,0,3
1581278714,0,3
1581282314,0,4
1581285913,2,0
1581289513,1,2
1581296713,1,1
1581311109,0,19
1581325505,0,1
1581329107,1,0
1581350699,0,14
1581354300,1,6
1581357896,2,5
1581361496,0,2
1581365098,1,1
1581368695,0,1
1581372296,1,1
1581375894,0,1
1581386696,2,1
1581390299,2,0
1581393898,0,1
1581397502,1,0
1581401114,19,0
1581404697,0,22
1581415498,1,0
1581419098,0,1
1581422696,0,1
1581426296,1,0
1581433495,0,3
1581437094,0,2
1581440693,1,0
1581444291,2,3
1581455094,1,0
1581458694,1,1
1581465892,1,2
1581469490,1,2
1581473091,1,0
1581480290,1,0
1581483891,1,0
1581487502,22,0
1581491101,1,0
1581494702,1,1
1581498307,2,0
1581501907,3,1
1581505507,1,1
