DateTime,Entries,UniqueIPs
1579169009,250,250
1579172610,252,252
1579176212,252,252
1579179810,251,251
1579183406,250,250
1579190605,249,249
1579194207,249,249
1579197808,250,250
1579208605,250,250
1579212204,248,248
1579219402,248,248
1579223005,249,249
1579226605,249,249
1579230204,247,247
1579233802,247,247
1579237399,246,246
1579241001,248,248
1579244599,247,247
1579251801,249,249
1579255399,248,248
1579258998,249,249
1579262599,250,250
1579266197,250,250
1579269797,250,250
1579273392,251,251
1579276990,250,250
1579280591,251,251
1579284191,253,253
1579287790,251,251
1579291385,248,248
1579294987,251,251
1579298587,251,251
1579302187,249,249
1579305786,248,248
1579309385,249,249
1579312986,250,250
1579316584,249,249
1579320182,246,246
1579323778,243,243
1579327374,240,240
1579330972,239,239
1579334570,238,238
1579338173,237,237
1579341770,236,236
1579345368,236,236
1579348969,237,237
1579352559,210,210
1579356161,212,212
1579359760,211,211
1579363358,211,211
1579366959,211,211
1579370560,211,211
1579374163,212,212
1579377764,213,213
1579384964,214,214
1579388566,216,216
1579392167,214,214
1579395767,214,214
1579399367,216,216
1579406570,215,215
1579410170,216,216
1579413767,214,214
1579417369,219,219
1579420977,240,240
1579424579,241,241
1579435380,244,244
1579438977,241,241
1579449780,242,242
1579453379,243,243
1579456979,244,244
1579460578,243,243
1579464181,242,242
1579474977,241,241
1579478577,239,239
1579485777,237,237
1579489377,239,239
1579492978,239,239
1579496577,238,238
1579500181,239,239
1579503778,237,237
1579507377,237,237
1579525378,237,237
1579528979,238,238
1579532579,237,237
1579536180,236,236
1579539781,237,237
1579543382,239,239
1579546982,237,237
1579550583,238,238
1579554185,236,236
1579557783,237,237
1579561384,238,238
1579564984,237,237
1579572189,238,238
1579575794,239,239
1579579384,236,236
1579586584,235,235
1579590189,236,236
1579593787,237,237
1579597387,238,238
1579600986,237,237
1579604587,239,239
1579608189,241,241
1579611787,239,239
1579615386,241,241
1579618986,243,243
1579622587,241,241
1579626186,240,240
1579629787,241,241
1579636986,240,240
1579640587,241,241
1579647789,242,242
1579651388,243,243
1579658588,242,242
1579665788,240,240
1579669388,241,241
1579672988,242,242
1579680193,243,243
1579683792,243,243
1579687390,242,242
1579694590,241,241
1579698193,242,242
1579701794,243,243
1579705391,243,243
1579708992,245,245
1579716194,246,246
1579719793,246,246
1579723391,245,245
1579726993,245,245
1579730589,243,243
1579737790,242,242
1579744987,241,241
1579762990,244,244
1579766592,250,250
1579770194,252,252
1579773793,258,258
1579777398,265,265
1579781000,274,274
1579784603,283,283
1579788205,287,287
1579791807,292,292
1579795411,296,296
1579799016,297,297
1579802611,295,295
1579806213,295,295
1579809810,293,293
1579813413,295,295
1579817013,295,295
1579820612,294,294
1579824211,292,292
1579827813,291,291
1579831410,291,291
1579835013,292,292
1579838611,291,291
1579842213,290,290
1579845820,293,293
1579849417,293,293
1579853020,294,294
1579856620,295,295
1579860221,294,294
1579863821,293,293
1579867421,292,292
1579871020,291,291
1579874622,292,292
1579878225,290,290
1579881824,288,288
1579885418,284,284
1579889019,283,283
1579892621,285,285
1579899820,282,282
1579903420,282,282
1579907020,281,281
1579910623,284,284
1579914228,286,286
1579917828,287,287
1579921426,288,288
1579928627,287,287
1579932228,286,286
1579939427,287,287
1579943027,288,288
1579946628,289,289
1579950236,293,293
1579953835,292,292
1579957434,292,292
1579964638,295,295
1579968239,293,293
1579975439,296,296
1579979036,294,294
1579982637,295,295
1579986239,296,296
1579989838,296,296
1579993437,295,295
1579997039,298,298
1580004240,297,297
1580011442,300,300
1580015041,301,301
1580018641,300,300
1580022241,297,297
1580025831,275,275
1580029427,273,273
1580033025,271,271
1580040225,267,267
1580043826,269,269
1580047424,268,268
1580051026,270,270
1580054626,269,269
1580058226,268,268
1580061825,267,267
1580065427,269,269
1580087030,269,269
1580094230,267,267
1580097828,266,266
1580105026,265,265
1580108627,267,267
1580115828,268,268
1580119427,270,270
1580130228,269,269
1580133825,268,268
1580144623,267,267
1580148222,263,263
1580151821,264,264
1580159022,266,266
1580162625,267,267
1580166226,266,266
1580169823,265,265
1580173427,267,267
1580177024,267,267
1580184226,268,268
1580187825,267,267
1580195025,268,268
1580198627,269,269
1580202230,269,269
1580209428,268,268
1580213029,268,268
1580216628,268,268
1580220230,266,266
1580223827,265,265
1580227424,264,264
1580231024,265,265
1580234623,264,264
1580241834,286,286
1580245429,287,287
1580249032,289,289
1580252630,288,288
1580256236,290,290
1580259835,290,290
1580263435,292,292
1580267034,291,291
1580270634,292,292
1580274237,294,294
1580277836,295,295
1580281433,294,294
1580285033,292,292
1580288632,292,292
1580292235,293,293
1580299434,296,296
1580303033,295,295
1580306644,296,296
1580310236,294,294
1580317435,295,295
1580321033,294,294
1580324636,295,295
1580342637,295,295
1580353434,294,294
1580357035,296,296
1580367844,321,321
1580371443,318,318
1580378644,316,316
1580382241,313,313
1580385840,306,306
1580389435,296,296
1580393036,289,289
1580396631,281,281
1580400225,275,275
1580403826,274,274
1580407426,273,273
1580418222,272,272
1580421827,272,272
1580429024,272,272
1580432622,273,273
1580436221,271,271
1580439821,271,271
1580443423,272,272
1580454218,269,269
1580457820,272,272
1580465016,270,270
1580468615,270,270
1580472213,269,269
1580475811,267,267
1580479410,266,266
1580486610,267,267
1580490210,266,266
1580493811,265,265
1580497409,265,265
1580501008,265,265
1580508206,264,264
1580515403,261,261
1580518997,260,260
1580522599,261,261
1580526197,260,260
1580529800,262,262
1580533398,261,261
1580540599,262,262
1580544198,261,261
1580547802,262,262
1580551399,261,261
1580554996,261,261
1580558596,260,260
1580562193,260,260
1580565796,259,259
1580569388,258,258
1580576588,257,257
1580580188,256,256
1580583784,253,253
1580587383,252,252
1580590979,252,252
1580594580,251,251
1580598179,251,251
1580601779,250,250
1580616181,251,251
1580619794,279,279
1580623394,280,280
1580648592,277,277
1580655791,275,275
1580666591,276,276
1580670190,277,277
1580673794,281,281
1580677395,282,282
1580684597,285,285
1580691797,284,284
1580695397,283,283
1580698997,284,284
1580702599,284,284
1580706210,309,309
1580735010,310,310
1580742208,309,309
1580745816,330,330
1580749415,333,333
1580753018,334,334
1580756617,336,336
1580760219,336,336
1580763818,334,334
1580767417,334,334
1580771017,333,333
1580774619,334,334
1580778218,333,333
1580781822,332,332
1580785416,331,331
1580789015,330,330
1580792617,331,331
1580799826,350,350
1580810627,351,351
1580814224,350,350
1580821425,351,351
1580825023,351,351
1580828626,353,353
1580843025,351,351
1580846608,321,321
1580850209,314,314
1580853813,315,315
1580861009,316,316
1580864611,317,317
1580868211,316,316
1580875408,314,314
1580879009,312,312
1580882608,312,312
1580886207,311,311
1580893407,310,310
1580897009,311,311
1580900607,310,310
1580904203,307,307
1580907804,306,306
1580911404,305,305
1580918599,299,299
1580922197,287,287
1580925808,310,310
1580929404,308,308
1580933004,312,312
1580936611,330,330
1580940210,329,329
1580943810,328,328
1580947406,327,327
1580951008,328,328
1580958210,329,329
1580961810,327,327
1580969011,327,327
1580972599,301,301
1580979802,305,305
1580983404,309,309
1580987007,310,310
1580990606,314,314
1580994212,319,319
1581001414,320,320
1581005018,323,323
1581012226,341,341
1581015828,342,342
1581019429,343,343
1581023029,343,343
1581026634,345,345
1581030238,347,347
1581033838,345,345
1581037440,348,348
1581044638,347,347
1581051843,347,347
1581055440,348,348
1581059037,346,346
1581062643,347,347
1581069849,348,348
1581073464,347,347
1581077349,349,349
1581081092,353,353
1581084250,351,351
1581087851,353,353
1581091451,354,354
1581095060,355,355
1581098659,357,357
1581102256,357,357
1581109462,359,359
1581113066,361,361
1581116666,362,362
1581120267,363,363
1581123866,361,361
1581127469,362,362
1581134667,362,362
1581138267,363,363
1581141863,362,362
1581145461,361,361
1581149074,375,375
1581152672,376,376
1581156272,377,377
1581159872,376,376
1581163476,383,383
1581167072,379,379
1581170672,379,379
1581174285,390,390
1581177887,392,392
1581185089,390,390
1581188691,394,394
1581195893,394,394
1581199493,395,395
1581203092,392,392
1581206691,394,394
1581210326,437,437
1581213929,438,438
1581217533,439,439
1581221127,434,434
1581224715,411,411
1581228316,411,411
1581235515,410,410
1581239119,411,411
1581249915,412,412
1581253515,413,413
1581257119,413,413
1581260722,431,431
1581267922,432,432
1581271523,432,432
1581275120,429,429
1581278714,426,426
1581282314,422,422
1581285913,424,424
1581289513,423,423
1581296713,423,423
1581311109,404,404
1581325505,403,403
1581329107,404,404
1581350699,390,390
1581354300,385,385
1581357896,382,382
1581361496,380,380
1581365098,380,380
1581368695,379,379
1581372296,379,379
1581375894,378,378
1581386696,379,379
1581390299,381,381
1581393898,380,380
1581397502,381,381
1581401114,400,400
1581404697,378,378
1581415498,379,379
1581419098,378,378
1581422696,377,377
1581426296,378,378
1581433495,375,375
1581437094,373,373
1581440693,374,374
1581444291,373,373
1581455094,374,374
1581458694,374,374
1581465892,373,373
1581469490,372,372
1581473091,373,373
1581480290,374,374
1581483891,375,375
1581487502,397,397
1581491101,398,398
1581494702,398,398
1581498307,400,400
1581501907,402,402
1581505507,402,402
