DateTime,AddedIPs,RemovedIPs
1579342260,1,24
1579345730,1,0
1579349319,2,2
1579352926,2,1
1579356671,5,1
1579360260,3,0
1579363732,4,0
1579367324,2,4
1579370928,1,1
1579374696,4,3
1579378263,2,2
1579381723,3,9
1579385332,2,2
1579388929,1,2
1579392684,2,1
1579396285,74,8
1579399759,21,0
1579403357,11,3
1579406967,9,0
1579410731,0,1
1579414294,1,0
1579417762,1,1
1579421363,2,1
1579424972,1,0
1579428741,3,1
1579432306,3,0
1579435772,3,0
1579439373,1,0
1579442980,2,1
1579446738,3,0
1579450304,4,3
1579453780,2,1
1579457380,3,2
1579460983,3,2
1579468317,1,1
1579471783,1,4
1579475381,3,5
1579478988,4,2
1579486325,4,1
1579489796,1,1
1579493395,0,1
1579496992,1,0
1579504315,0,3
1579507782,1,0
1579511382,2,3
1579514986,3,0
1579522317,3,2
1579525780,2,1
1579529383,1,1
1579532992,3,1
1579540291,3,4
1579543797,3,0
1579547393,0,3
1579550993,1,1
1579558323,4,4
1579561778,1,6
1579565387,1,3
1579576343,6,6
1579583380,2,2
1579586976,2,3
1579597788,2,0
1579601386,0,1
1579604985,5,1
1579612300,6,4
1579615789,7,1
1579619393,1,1
1579622984,5,4
1579630294,4,5
1579633786,0,1
1579637390,0,2
1579641006,2,2
1579648287,5,9
1579651783,3,1
1579655383,1,3
1579658992,2,1
1579666329,4,2
1579669796,2,1
1579673378,0,3
1579676986,0,3
1579684311,1,2
1579687781,0,3
1579691372,3,2
1579694981,3,1
1579698736,0,1
1579702297,1,2
1579705779,0,1
1579709371,2,3
1579712977,0,2
1579720307,6,6
1579723775,1,0
1579727372,0,6
1579730977,5,2
1579738300,3,2
1579741782,2,1
1579745376,2,1
1579748969,0,3
1579756307,2,1
1579759777,2,0
1579763379,1,1
1579774298,4,3
1579781376,1,0
1579795782,4,0
1579799381,3,3
1579802977,2,5
1579806737,3,0
1579810301,1,3
1579813790,3,0
1579817376,0,6
1579820977,1,1
1579828297,1,4
1579831774,1,1
1579835362,0,4
1579838966,2,2
1579842680,1,1
1579846285,0,4
1579849764,0,1
1579853366,2,0
1579856958,1,0
1579864286,1,1
1579867766,1,2
1579871364,1,2
1579874965,1,1
1579878720,2,2
1579882289,2,3
1579885757,1,2
1579889357,1,3
1579892963,3,4
1579896720,3,1
1579900275,5,1
1579903767,2,4
1579907362,0,1
1579910970,1,2
1579914726,1,0
1579918293,0,1
1579921760,1,1
1579925359,0,2
1579928958,0,5
1579936286,1,3
1579939754,2,1
1579943354,1,1
1579946950,2,2
1579950706,1,0
1579954283,0,2
1579957753,1,2
1579961349,0,7
1579964947,1,2
1579968712,2,4
1579972278,3,1
1579975755,3,2
1579979348,3,3
1579982945,2,3
1579986719,0,2
1579990278,2,2
1579993742,2,2
1579997350,1,2
1580000927,0,40
1580004699,1,23
1580008250,1,27
1580011712,4,23
1580015310,0,1
1580022668,0,1
1580026231,1,2
1580029705,1,1
1580033300,1,4
1580036898,0,2
1580040660,0,5
1580044217,2,1
1580051299,0,5
1580054893,0,3
1580058642,2,1
1580062216,0,3
1580065692,2,3
1580069290,1,1
1580076656,0,1
1580080220,2,1
1580083683,0,2
1580087283,0,2
1580090881,0,4
1580094641,0,2
1580098199,1,4
1580101666,0,2
1580105270,0,1
1580108863,2,0
1580112633,0,1
1580119663,1,1
1580123258,0,2
1580126864,0,1
1580130631,1,2
1580134190,1,4
1580137655,1,2
1580141261,2,0
1580144853,0,3
1580148623,0,3
1580152194,7,1
1580155656,2,2
1580159256,1,2
1580166629,0,1
1580170192,3,1
1580173661,2,1
1580177268,2,5
1580180859,0,1
1580184609,1,1
1580188191,1,1
1580191663,2,3
1580195265,5,1
1580198861,1,1
1580206172,0,1
1580209659,0,2
1580213261,0,1
1580216852,1,2
1580220621,1,1
1580224189,1,0
1580227661,2,4
1580231262,1,2
1580234859,0,2
1580238627,2,0
1580242186,0,2
1580245658,1,0
1580249254,1,1
1580252861,0,3
1580256620,2,3
1580260182,3,3
1580267243,1,1
1580270848,1,4
1580274595,1,2
1580278172,1,1
1580281638,1,1
1580285242,1,1
1580288848,2,1
1580296169,1,3
1580299639,1,2
1580303246,6,1
1580310603,2,0
1580314180,1,1
1580317642,2,3
1580321247,6,2
1580324857,1,3
1580328625,4,1
1580332188,2,1
1580335679,60,3
1580339283,18,2
1580342890,1,4
1580346647,1,0
1580350228,31,1
1580353685,0,1
1580357295,1,1
1580360883,0,1
1580368220,1,0
1580379045,1,3
1580382485,2,0
1580386226,2,2
1580396899,1,0
1580400487,1,2
1580404222,2,1
1580407863,3,3
1580411286,3,4
1580414889,0,1
1580418497,2,3
1580422310,0,2
1580425698,2,1
1580429299,4,0
1580432893,3,1
1580436505,1,4
1580440227,0,1
1580443686,0,3
1580447298,1,0
1580450904,0,1
1580458105,1,1
1580461700,2,0
1580465310,1,0
1580468901,2,0
1580472501,1,0
1580476210,0,1
1580479708,2,2
1580483291,2,2
1580486898,1,3
1580490500,2,0
1580497702,2,2
1580501305,1,0
1580504898,1,1
1580508513,1,3
1580512240,3,1
1580515702,1,1
1580519307,3,1
1580522920,2,5
1580526510,1,4
1580530117,1,1
1580533709,1,3
1580537314,2,1
1580540896,0,1
1580544492,0,1
1580555295,0,1
1580558908,1,0
1580562530,83,0
1580569728,0,1
1580573342,4,0
1580576939,4,0
1580580559,3,0
1580584264,0,5
1580587739,4,2
1580591336,1,1
1580594950,1,2
1580598535,4,2
1580602148,1,6
1580605738,0,1
1580609343,0,2
1580612939,3,1
1580616522,0,4
1580620264,0,1
1580627332,2,1
1580634523,0,1
1580641723,1,2
1580645320,2,0
1580648932,0,1
1580656259,2,1
1580659720,1,0
1580663320,0,1
1580670523,0,2
1580674139,0,1
1580677722,0,1
1580681334,1,1
1580684918,4,2
1580688534,1,0
1580692260,1,1
1580695733,1,1
1580699319,1,2
1580702925,1,2
1580706523,2,0
1580713720,1,1
1580720923,1,0
1580724533,1,0
1580728260,1,0
1580731724,1,0
1580735325,0,1
1580742523,0,4
1580746137,0,3
1580749755,72,2
1580753366,1,1
1580756954,0,2
1580760548,3,2
1580764289,0,1
1580767770,2,2
1580771362,2,1
1580774967,4,1
1580778558,2,3
1580782391,2,1
1580785770,2,0
1580789361,1,0
1580792962,0,2
1580796690,0,3
1580800172,1,2
1580803762,1,1
1580807358,0,2
1580814563,5,1
1580818298,1,0
1580821765,1,0
1580828965,6,4
1580832565,0,2
1580836179,2,2
1580839940,0,12
1580843355,11,3
1580846961,0,2
1580850553,1,0
1580857764,7,4
1580861362,3,1
1580864970,4,0
1580868726,0,1
1580872179,0,1
1580875762,1,1
1580886557,4,3
1580893764,0,1
1580900962,1,6
1580904567,1,0
1580908173,0,4
1580915354,0,3
1580918944,2,29
1580922547,2,4
1580929746,7,4
1580933348,11,0
1580936958,19,4
1580944176,53,40
1580947768,3,2
1580951361,3,1
1580955124,45,66
1580958558,18,1
1580962301,9,2
1580965761,3,1
1580972969,9,2
1580976573,7,0
1580980309,3,1
1580983789,1,0
1580987369,2,0
1580994578,1,3
1581001775,2,3
1581005377,0,3
1581008980,3,0
1581012580,2,1
1581019768,3,3
1581023379,1,2
1581026972,0,5
1581030573,0,2
1581037768,0,1
1581041371,3,1
1581044964,1,1
1581048569,1,1
1581055767,3,3
1581059369,0,2
1581062973,1,1
1581066571,3,1
1581073765,0,4
1581078143,2,1
1581084560,2,0
1581088162,2,0
1581091767,3,3
1581098971,7,2
1581102573,1,0
1581106173,1,0
1581109779,4,0
1581116975,1,1
1581120589,1,2
1581124170,0,5
1581127766,0,2
1581131617,1,1
1581134978,2,0
1581138569,0,2
1581142171,1,0
1581145776,1,0
1581152974,0,1
1581156566,0,1
1581163764,3,5
1581170938,1,53
1581174545,0,2
1581178138,2,1
1581181737,1,2
1581188936,1,4
1581192533,0,2
1581196142,1,3
1581199728,3,2
1581206933,2,8
1581210522,0,1
1581214121,2,0
1581217730,2,1
1581224940,2,0
1581232129,1,0
1581242933,1,0
1581246532,0,1
1581250128,0,1
1581253742,2,0
1581260942,1,1
1581264534,1,2
1581268131,1,0
1581271740,1,3
1581278934,1,1
1581282533,0,2
1581286141,3,1
1581289744,12,4
1581296998,57,1
1581300609,13,1
1581304206,1,3
1581307801,4,1
1581315009,4,3
1581322211,0,1
1581325805,1,0
1581336603,0,2
1581350993,0,7
1581354579,1,42
1581358173,0,1
1581361776,1,1
1581368971,5,4
1581372577,2,2
1581376178,1,3
1581379780,1,0
1581386969,4,8
1581390589,7,3
1581394181,5,2
1581397779,3,1
1581404985,2,0
1581408577,0,1
1581412187,1,2
1581415788,1,2
1581419396,1,3
1581422993,0,5
1581426582,3,1
1581430178,4,1
1581433779,3,2
1581440997,3,6
1581444587,2,2
1581448182,2,0
1581451794,2,3
1581455378,0,1
1581459126,2,0
1581462577,2,2
1581466196,3,1
1581469785,3,4
1581473377,0,3
1581476995,1,1
1581480579,0,1
1581487774,1,1
1581498571,1,1
1581505773,3,1
