DateTime,AddedIPs,RemovedIPs
1579701683,70,47
1579708871,103,101
1579714297,77,51
1579717909,82,71
1579721474,72,68
1579723272,64,70
1579730487,66,67
1579734072,64,98
1579735901,52,93
1579739465,72,79
1579743065,49,62
1579746668,26,54
1579752077,130,150
1579757485,52,50
1579761105,63,49
1579764706,58,44
1579766489,58,78
1579770069,62,44
1579775470,60,48
1579779107,52,48
1579782702,61,52
1579786279,63,50
1579789869,49,59
1579795269,54,49
1579797072,60,61
1579800699,71,43
1579804309,79,62
1579807868,78,64
1579811511,83,72
1579815105,57,78
1579818684,71,80
1579822267,40,87
1579825866,62,94
1579829465,61,67
1579833068,33,48
1579836665,55,80
1579838465,65,113
1579843882,54,63
1579847465,67,51
1579851074,64,66
1579854671,54,56
1579858270,67,46
1579865474,101,77
1579869075,50,43
1579874525,83,93
1579879887,69,50
1579883469,65,62
1579887077,82,48
1579890687,85,56
1579892483,71,76
1579897876,73,67
1579901470,62,71
1579905068,58,84
1579908785,52,71
1579912267,60,74
1579915885,63,78
1579917672,42,58
1579923105,63,71
1579928465,64,77
1579930310,57,69
1579933866,57,38
1579937478,41,42
1579941076,57,50
1579946478,81,42
1579948285,54,55
1579953690,76,52
1579955465,86,64
1579960880,75,61
1579962684,57,87
1579968069,66,60
1579969873,63,53
1579975269,73,54
1579977078,75,61
1579980664,65,85
1579982472,77,77
1579989668,63,57
1579993267,57,63
1579995080,127,142
1579998700,69,86
1580002269,62,76
1580005907,32,61
1580009465,58,71
1580013096,59,71
1580016702,60,76
1580020291,55,44
1580023868,35,38
1580027468,55,43
1580031098,81,34
1580034677,59,46
1580038311,76,47
1580043671,70,65
1580047373,67,60
1580049076,79,61
1580052685,70,50
1580058069,73,64
1580059883,72,159
1580061666,87,1
1580063494,74,59
1580067067,72,70
1580070664,66,76
1580074300,66,81
1580077880,57,87
1580081473,45,81
1580085073,76,100
1580088671,55,75
1580094090,102,126
1580095865,75,68
1580097694,68,75
1580101277,54,75
1580104863,60,57
1580106664,68,62
1580110273,60,53
1580112072,69,41
1580117479,61,52
1580122868,65,61
1580124682,66,60
1580128267,52,40
1580131900,65,42
1580135470,64,62
1580140976,72,60
1580142733,64,58
1580146274,81,71
1580149871,79,66
1580153465,91,65
1580157071,65,70
1580158886,79,115
1580160668,115,79
1580162476,79,115
1580164286,119,90
1580167906,61,86
1580171489,66,89
1580175088,61,79
1580178666,43,54
1580184068,56,97
1580185885,66,79
1580189472,67,56
1580193095,60,56
1580196687,50,54
1580200296,84,55
1580203886,62,46
1580207486,63,52
1580211099,57,46
1580214742,59,42
1580216497,67,57
1580220084,65,57
1580225476,78,56
1580229079,54,67
1580232663,60,62
1580236265,80,69
1580239877,72,57
1580243492,77,63
1580252467,96,164
1580254264,93,99
1580259672,105,129
1580266869,66,65
1580270516,69,79
1580272278,74,76
1580277672,54,74
1580281300,67,53
1580283063,45,48
1580286666,65,54
1580290270,64,37
1580293913,50,44
1580297483,48,61
1580301080,85,40
1580304692,64,72
1580310145,64,48
1580313688,62,46
1580315473,51,53
1580320880,133,105
1580326267,76,76
1580329900,86,87
1580333471,95,88
1580338883,55,106
1580340686,56,78
1580353271,123,151
1580355076,98,143
1580358671,100,78
1580364074,115,115
1580369479,42,70
1580373071,78,45
1580376700,71,41
1580382121,79,54
1580383880,41,39
1580385669,55,57
1580391069,56,49
1580394665,65,54
1580398286,56,69
1580401913,52,55
1580407272,75,51
1580409109,76,62
1580412686,98,70
1580416271,85,70
1580419906,66,81
1580423473,68,123
1580425277,54,94
1580430668,94,54
1580432464,127,158
1580436065,87,65
1580437880,43,80
1580441496,80,76
1580445100,63,82
1580448671,70,66
1580454092,65,74
1580455878,67,38
1580459464,68,51
1580461272,66,47
1580468465,65,57
1580470283,62,42
1580475670,61,40
1580479269,58,61
1580481082,59,55
1580484670,56,46
1580488277,56,70
1580491903,60,58
1580493724,62,68
1580499094,74,55
1580504473,56,72
1580508101,74,55
1580509888,70,104
1580513468,50,120
1580520665,179,136
1580524276,67,56
1580527887,60,106
1580533274,94,79
1580536864,79,69
1580538663,67,53
1580542272,52,43
1580545902,64,38
1580549475,90,77
1580551287,7,0
1580553066,54,48
1580556664,75,65
1580560430,70,58
1580563900,88,50
1580567491,63,73
1580571071,71,74
1580574672,90,63
1580578279,63,77
1580581890,93,63
1580585470,64,66
1580589073,52,63
1580592687,71,98
1580596266,82,65
1580599893,58,112
1580603505,83,84
1580605306,84,83
1580607070,115,156
1580610691,45,58
1580614293,69,83
1580617875,99,71
1580621472,93,60
1580625069,54,58
1580628711,104,47
1580632268,69,51
1580634076,64,40
1580639495,76,52
1580643065,67,58
1580646670,58,60
1580650269,85,45
1580653865,61,62
1580657485,76,89
1580661065,103,61
1580664687,87,79
1580668307,87,71
1580671866,75,74
1580675487,77,75
1580679071,80,81
1580684464,66,111
1580686276,72,112
1580689867,54,111
1580695373,67,87
1580697071,51,54
1580700665,61,70
1580704300,64,79
1580707875,59,56
1580713282,104,94
1580718692,68,52
1580722265,66,59
1580725902,68,44
1580731286,111,83
1580736681,55,63
1580742073,82,55
1580743878,68,57
1580747475,72,85
1580751065,73,72
1580756487,106,56
1580758310,60,194
1580761883,70,59
1580765487,85,88
1580767268,88,85
1580769079,123,155
1580772713,64,112
1580774473,65,85
1580779898,59,69
1580783490,39,72
1580787068,74,76
1580790696,67,74
1580794274,70,78
1580796076,74,54
1580801500,67,44
1580805072,69,50
1580808673,71,59
1580814089,63,57
1580815907,69,45
1580819507,64,57
1580823080,67,72
1580826686,72,70
1580830272,71,60
1580832075,72,68
1580833875,68,72
1580835673,72,68
1580837479,93,61
1580841096,69,70
1580842866,70,69
1580844665,133,95
1580848265,79,85
1580853668,76,73
1580855475,58,115
1580860868,97,155
1580866286,65,62
1580868074,60,62
1580873465,69,82
1580877070,80,79
1580880672,54,70
1580884277,78,52
1580888022,52,56
1580893285,64,54
1580895069,77,45
1580898665,68,55
1580900468,55,68
1580902314,100,76
1580905901,70,49
1580909474,52,106
1580913080,65,68
1580916673,54,63
1580922067,79,50
1580923886,79,74
1580927494,79,70
1580932888,77,63
1580934666,80,57
1580938270,75,102
1580941901,102,75
1580943764,109,159
1580945475,54,82
1580949080,73,90
1580954469,60,91
1580956265,46,61
1580959870,73,71
1580961700,64,87
1580967103,121,59
1580968876,67,92
1580970667,92,67
1580972554,67,92
1580974278,62,56
1580977896,72,72
1580981478,76,49
1580985095,64,68
1580988718,55,45
1580990467,70,48
1580997715,63,68
1580999479,69,70
1581004887,61,67
1581006669,59,68
1581010290,82,47
1581015678,80,72
1581019407,79,61
1581021188,70,72
1581024675,55,62
1581028274,69,162
1581031870,59,94
1581037343,78,84
1581039150,78,100
1581042668,47,67
1581046267,66,76
1581049886,73,88
1581053468,55,75
1581057071,113,63
1581060693,186,62
1581062463,151,305
1581064271,281,165
1581067862,77,81
1581071464,60,88
1581076877,52,74
1581080501,60,40
1581082265,70,52
1581085894,60,70
1581089479,73,75
1581094874,73,51
1581096666,69,62
1581100293,67,59
1581103895,62,59
1581107467,67,59
1581111079,68,76
1581116496,73,81
1581118276,45,78
1581123708,107,123
1581129189,51,68
1581132671,67,80
