DateTime,Entries,UniqueIPs
1579701683,6157,6157
1579708871,6159,6159
1579714297,6185,6185
1579717909,6196,6196
1579721474,6200,6200
1579723272,6194,6194
1579730487,6193,6193
1579734072,6159,6159
1579735901,6118,6118
1579739465,6111,6111
1579743065,6098,6098
1579746668,6070,6070
1579752077,6050,6050
1579757485,6052,6052
1579761105,6066,6066
1579764706,6080,6080
1579766489,6060,6060
1579770069,6078,6078
1579775470,6090,6090
1579779107,6094,6094
1579782702,6103,6103
1579786279,6116,6116
1579789869,6106,6106
1579795269,6111,6111
1579797072,6110,6110
1579800699,6138,6138
1579804309,6155,6155
1579807868,6169,6169
1579811511,6180,6180
1579815105,6159,6159
1579818684,6150,6150
1579822267,6103,6103
1579825866,6071,6071
1579829465,6065,6065
1579833068,6050,6050
1579836665,6025,6025
1579838465,5977,5977
1579843882,5968,5968
1579847465,5984,5984
1579851074,5982,5982
1579854671,5980,5980
1579858270,6001,6001
1579865474,6025,6025
1579869075,6032,6032
1579874525,6022,6022
1579879887,6041,6041
1579883469,6044,6044
1579887077,6078,6078
1579890687,6107,6107
1579892483,6102,6102
1579897876,6108,6108
1579901470,6099,6099
1579905068,6073,6073
1579908785,6054,6054
1579912267,6040,6040
1579915885,6025,6025
1579917672,6009,6009
1579923105,6001,6001
1579928465,5988,5988
1579930310,5976,5976
1579933866,5995,5995
1579937478,5994,5994
1579941076,6001,6001
1579946478,6040,6040
1579948285,6039,6039
1579953690,6063,6063
1579955465,6085,6085
1579960880,6099,6099
1579962684,6069,6069
1579968069,6075,6075
1579969873,6085,6085
1579975269,6104,6104
1579977078,6118,6118
1579980664,6098,6098
1579982472,6098,6098
1579989668,6104,6104
1579993267,6098,6098
1579995080,6083,6083
1579998700,6066,6066
1580002269,6052,6052
1580005907,6023,6023
1580009465,6010,6010
1580013096,5998,5998
1580016702,5982,5982
1580020291,5993,5993
1580023868,5990,5990
1580027468,6002,6002
1580031098,6049,6049
1580034677,6062,6062
1580038311,6091,6091
1580043671,6096,6096
1580047373,6103,6103
1580049076,6121,6121
1580052685,6141,6141
1580058069,6150,6150
1580059883,6063,6063
1580061666,6149,6149
1580063494,6164,6164
1580067067,6166,6166
1580070664,6156,6156
1580074300,6141,6141
1580077880,6111,6111
1580081473,6075,6075
1580085073,6051,6051
1580088671,6031,6031
1580094090,6007,6007
1580095865,6014,6014
1580097694,6007,6007
1580101277,5986,5986
1580104863,5989,5989
1580106664,5995,5995
1580110273,6002,6002
1580112072,6030,6030
1580117479,6039,6039
1580122868,6043,6043
1580124682,6049,6049
1580128267,6061,6061
1580131900,6084,6084
1580135470,6086,6086
1580140976,6098,6098
1580142733,6104,6104
1580146274,6114,6114
1580149871,6127,6127
1580153465,6153,6153
1580157071,6148,6148
1580158886,6112,6112
1580160668,6148,6148
1580162476,6112,6112
1580164286,6141,6141
1580167906,6116,6116
1580171489,6093,6093
1580175088,6075,6075
1580178666,6064,6064
1580184068,6023,6023
1580185885,6010,6010
1580189472,6021,6021
1580193095,6025,6025
1580196687,6021,6021
1580200296,6050,6050
1580203886,6066,6066
1580207486,6077,6077
1580211099,6088,6088
1580214742,6105,6105
1580216497,6115,6115
1580220084,6123,6123
1580225476,6145,6145
1580229079,6132,6132
1580232663,6130,6130
1580236265,6141,6141
1580239877,6156,6156
1580243492,6170,6170
1580252467,6102,6102
1580254264,6096,6096
1580259672,6072,6072
1580266869,6073,6073
1580270516,6063,6063
1580272278,6061,6061
1580277672,6041,6041
1580281300,6055,6055
1580283063,6052,6052
1580286666,6063,6063
1580290270,6090,6090
1580293913,6096,6096
1580297483,6083,6083
1580301080,6128,6128
1580304692,6120,6120
1580310145,6136,6136
1580313688,6152,6152
1580315473,6150,6150
1580320880,6178,6178
1580326267,6178,6178
1580329900,6177,6177
1580333471,6184,6184
1580338883,6133,6133
1580340686,6111,6111
1580353271,6083,6083
1580355076,6038,6038
1580358671,6060,6060
1580364074,6060,6060
1580369479,6032,6032
1580373071,6065,6065
1580376700,6095,6095
1580382121,6120,6120
1580383880,6122,6122
1580385669,6120,6120
1580391069,6127,6127
1580394665,6138,6138
1580398286,6125,6125
1580401913,6122,6122
1580407272,6146,6146
1580409109,6160,6160
1580412686,6188,6188
1580416271,6203,6203
1580419906,6188,6188
1580423473,6133,6133
1580425277,6093,6093
1580430668,6133,6133
1580432464,6102,6102
1580436065,6124,6124
1580437880,6087,6087
1580441496,6091,6091
1580445100,6072,6072
1580448671,6076,6076
1580454092,6067,6067
1580455878,6096,6096
1580459464,6113,6113
1580461272,6132,6132
1580468465,6140,6140
1580470283,6160,6160
1580475670,6181,6181
1580479269,6178,6178
1580481082,6182,6182
1580484670,6192,6192
1580488277,6178,6178
1580491903,6180,6180
1580493724,6174,6174
1580499094,6193,6193
1580504473,6177,6177
1580508101,6196,6196
1580509888,6162,6162
1580513468,6092,6092
1580520665,6135,6135
1580524276,6146,6146
1580527887,6100,6100
1580533274,6115,6115
1580536864,6125,6125
1580538663,6139,6139
1580542272,6148,6148
1580545902,6174,6174
1580549475,6187,6187
1580551287,6194,6194
1580553066,6200,6200
1580556664,6210,6210
1580560430,6222,6222
1580563900,6260,6260
1580567491,6250,6250
1580571071,6247,6247
1580574672,6274,6274
1580578279,6260,6260
1580581890,6290,6290
1580585470,6288,6288
1580589073,6277,6277
1580592687,6250,6250
1580596266,6267,6267
1580599893,6213,6213
1580603505,6212,6212
1580605306,6213,6213
1580607070,6172,6172
1580610691,6159,6159
1580614293,6145,6145
1580617875,6173,6173
1580621472,6206,6206
1580625069,6202,6202
1580628711,6259,6259
1580632268,6277,6277
1580634076,6301,6301
1580639495,6325,6325
1580643065,6334,6334
1580646670,6332,6332
1580650269,6372,6372
1580653865,6371,6371
1580657485,6358,6358
1580661065,6400,6400
1580664687,6408,6408
1580668307,6424,6424
1580671866,6425,6425
1580675487,6427,6427
1580679071,6426,6426
1580684464,6381,6381
1580686276,6341,6341
1580689867,6284,6284
1580695373,6264,6264
1580697071,6261,6261
1580700665,6252,6252
1580704300,6237,6237
1580707875,6240,6240
1580713282,6250,6250
1580718692,6266,6266
1580722265,6273,6273
1580725902,6297,6297
1580731286,6325,6325
1580736681,6317,6317
1580742073,6344,6344
1580743878,6355,6355
1580747475,6342,6342
1580751065,6343,6343
1580756487,6393,6393
1580758310,6259,6259
1580761883,6270,6270
1580765487,6267,6267
1580767268,6270,6270
1580769079,6238,6238
1580772713,6190,6190
1580774473,6170,6170
1580779898,6160,6160
1580783490,6127,6127
1580787068,6125,6125
1580790696,6118,6118
1580794274,6110,6110
1580796076,6130,6130
1580801500,6153,6153
1580805072,6172,6172
1580808673,6184,6184
1580814089,6190,6190
1580815907,6214,6214
1580819507,6221,6221
1580823080,6216,6216
1580826686,6218,6218
1580830272,6229,6229
1580832075,6233,6233
1580833875,6229,6229
1580835673,6233,6233
1580837479,6265,6265
1580841096,6264,6264
1580842866,6265,6265
1580844665,6303,6303
1580848265,6297,6297
1580853668,6300,6300
1580855475,6243,6243
1580860868,6185,6185
1580866286,6188,6188
1580868074,6186,6186
1580873465,6173,6173
1580877070,6174,6174
1580880672,6158,6158
1580884277,6184,6184
1580888022,6180,6180
1580893285,6190,6190
1580895069,6222,6222
1580898665,6235,6235
1580900468,6222,6222
1580902314,6246,6246
1580905901,6267,6267
1580909474,6213,6213
1580913080,6210,6210
1580916673,6201,6201
1580922067,6230,6230
1580923886,6235,6235
1580927494,6244,6244
1580932888,6258,6258
1580934666,6281,6281
1580938270,6254,6254
1580941901,6281,6281
1580943764,6231,6231
1580945475,6203,6203
1580949080,6186,6186
1580954469,6155,6155
1580956265,6140,6140
1580959870,6142,6142
1580961700,6119,6119
1580967103,6181,6181
1580968876,6156,6156
1580970667,6181,6181
1580972554,6156,6156
1580974278,6162,6162
1580977896,6162,6162
1580981478,6189,6189
1580985095,6185,6185
1580988718,6195,6195
1580990467,6217,6217
1580997715,6212,6212
1580999479,6211,6211
1581004887,6205,6205
1581006669,6196,6196
1581010290,6231,6231
1581015678,6239,6239
1581019407,6257,6257
1581021188,6255,6255
1581024675,6248,6248
1581028274,6155,6155
1581031870,6120,6120
1581037343,6114,6114
1581039150,6092,6092
1581042668,6072,6072
1581046267,6062,6062
1581049886,6047,6047
1581053468,6027,6027
1581057071,6077,6077
1581060693,6201,6201
1581062463,6047,6047
1581064271,6163,6163
1581067862,6159,6159
1581071464,6131,6131
1581076877,6109,6109
1581080501,6129,6129
1581082265,6147,6147
1581085894,6137,6137
1581089479,6135,6135
1581094874,6157,6157
1581096666,6164,6164
1581100293,6172,6172
1581103895,6175,6175
1581107467,6183,6183
1581111079,6175,6175
1581116496,6167,6167
1581118276,6134,6134
1581123708,6118,6118
1581129189,6101,6101
1581132671,6088,6088
1581136303,6068,6068
1581139865,6058,6058
1581141710,6054,6054
1581147087,6065,6065
1581150707,6078,6078
1581154265,6108,6108
1581157866,6139,6139
1581161477,6150,6150
1581165073,6164,6164
1581168707,6181,6181
1581174099,6173,6173
1581175887,6174,6174
1581179483,6194,6194
1581183084,6200,6200
1581186676,6204,6204
1581190264,6208,6208
1581195791,6228,6228
1581197511,6218,6218
1581199275,6195,6195
1581204696,6159,6159
1581206483,6154,6154
1581211882,6147,6147
1581217438,6131,6131
1581219083,6113,6113
1581222676,6106,6106
1581226279,6092,6092
1581229873,6093,6093
1581235271,6096,6096
1581237070,6113,6113
1581240665,6142,6142
1581244284,6188,6188
1581247880,6204,6204
1581251475,6208,6208
1581255074,6209,6209
1581256881,6220,6220
1581262274,6223,6223
1581265899,6239,6239
1581269488,6258,6258
1581273063,6266,6266
1581276700,6270,6270
1581282088,6264,6264
1581283875,6251,6251
1581287474,6220,6220
1581291081,6173,6173
1581292874,6172,6172
1581298269,6167,6167
1581301903,6156,6156
1581305488,6131,6131
1581309084,6125,6125
1581312665,6121,6121
1581316284,6125,6125
1581318092,6121,6121
1581319893,6141,6141
1581325270,6136,6136
1581328912,6171,6171
1581330678,6187,6187
1581334265,6183,6183
1581337870,6183,6183
1581341545,6198,6198
1581345104,6193,6193
1581348689,6193,6193
1581352273,6207,6207
1581357680,6228,6228
1581363089,6245,6245
1581368474,6263,6263
1581370264,6243,6243
1581372074,6225,6225
1581377474,6195,6195
1581381067,6162,6162
1581384670,6164,6164
1581390073,6146,6146
1581391876,6190,6190
1581395467,6177,6177
1581400865,6180,6180
1581404475,6196,6196
1581409903,6209,6209
1581413494,6213,6213
1581417067,6235,6235
1581420670,6242,6242
1581424280,6259,6259
1581431502,6284,6284
1581433279,6280,6280
1581438676,6289,6289
1581444091,6285,6285
1581447750,6322,6322
1581449503,6285,6285
1581451289,6345,6345
1581453080,6357,6357
1581454878,6331,6331
1581462066,6290,6290
1581463868,6259,6259
1581469306,6242,6242
1581474664,6219,6219
1581478276,6204,6204
1581481864,6183,6183
1581485464,6178,6178
1581489068,6201,6201
1581490868,6210,6210
1581496271,6230,6230
1581499906,6261,6261
1581505265,6260,6260
