DateTime,AddedIPs,RemovedIPs
1578930624,2,0
1578932128,11,0
1578933032,1,1
1578933323,0,1
1578933928,14,0
1578934228,0,1
1578934829,0,1
1578935126,0,2
1578936026,2,1
1578936925,2,0
1578937826,7,0
1578939025,1,0
1578940224,32,0
1578941430,3,0
1578942625,2,0
1578943825,3,0
1578945323,24,0
1578946225,3,0
1578946824,0,1
1578947123,1,0
1578948924,9,0
1578950724,4,0
1578952222,115,0
1578952827,3,0
1578954022,5,0
1578954924,6,0
1578955525,2,0
1578956723,11,0
1578957022,0,1
1578957623,0,1
1578958822,4,0
1578959123,2,0
1578960322,16,0
1578961523,3,0
1578962422,3,0
1578963321,17,0
1578964220,2,0
1578965421,8,0
1578965721,1,0
1578967225,16,0
1578968421,5,0
1578969924,21,0
1578971724,4,0
1578973523,5,0
1578974722,12,0
1578976227,3,0
1578976822,18,0
1578978623,1,0
1578979223,4,0
1578979825,1,0
1578980423,42,0
1578981023,58,0
1578981921,16,0
1578982821,1,0
1578984922,11,2
1578986121,1,0
1578986423,0,1
1578987622,40,0
1578987927,1,0
1578988521,0,2
1578989123,0,2
1578989424,24,1
1578990625,12,0
1578991824,2,0
1578992722,2,0
1578995424,4,0
1578996025,2,0
1578998423,18,0
1579000823,8,0
1579002624,15,0
1579002922,2,0
1579003526,1,0
1579005323,5,0
1579006523,8,0
1579007125,1,0
1579007425,0,1
1579008627,1,0
1579009526,6,0
1579010726,2,0
1579011624,1,0
1579012525,1,0
1579014925,0,2
1579017925,0,1
1579020324,130,0
1579023929,16,0
1579025126,373,0
1579031425,0,1
1579032326,0,7
1579039523,0,2
1579046726,0,1
1579050322,0,2
1579053922,0,10
1579057822,0,8
1579068322,0,1
1579077025,89,2
1579079122,0,1
1579089926,0,2
1579101926,10,0
1579106425,32,0
1579106726,0,2
1579111823,0,2
1579121128,449,0
1579122324,0,1
1579138225,81,0
1579151121,0,1
1579173024,0,1
1579189529,1,1
1579189827,0,2
1579194928,31,0
1579196426,451,0
1579200025,0,2
1579208723,0,1
1579209625,48,0
1579233920,0,1
1579248322,0,1
1579251922,0,1
1579259123,0,1
1579262724,0,1
1579266623,0,1
1579269926,0,2
1579273526,0,2
1579277125,0,1
1579284326,98,2
1579287924,0,1
1579291529,0,1
1579297825,61,4
1579302324,0,2
1579305922,0,2
1579313122,0,1
1579334123,0,2
1579334425,0,4
1579334724,0,1
1579335327,86,0
1579337126,21,0
1579338621,0,1
1579354824,22,0
1579361128,52,0
1579361427,8,0
1579362024,1,0
1579377926,0,1
1579378828,14,0
1579381525,0,2
1579385125,0,1
1579392323,0,1
1579399521,0,1
1579406721,0,1
1579417822,0,1
1579418725,36,0
1579428324,0,1
1579437025,42,0
1579437624,0,2
1579439127,0,2
1579452923,0,1
1579457123,0,1
1579462225,1,0
1579464322,0,1
1579471522,0,1
1579489522,0,1
1579497623,96,0
1579503924,0,1
1579511124,0,1
1579521928,0,1
1579525525,0,1
1579530326,9,0
1579532725,0,1
1579533327,20,1
1579536326,0,2
1579542024,0,2
1579543523,0,1
1579565122,0,1
1579568427,49,0
1579572323,0,1
1579575922,0,1
1579583122,0,1
1579598124,0,3
1579598727,11,0
1579601124,0,1
1579611927,0,1
1579615228,32,0
1579615527,0,1
1579619127,0,1
1579626030,37,0
1579626329,0,3
1579629926,0,1
1579635627,0,6
1579635930,0,8
1579636225,0,6
1579636522,0,7
1579636828,0,11
1579637126,0,6
1579637422,0,6
1579638026,0,10
1579638324,0,3
1579638625,0,7
1579638926,0,5
1579639228,0,2
1579639526,0,5
1579639823,0,6
1579640124,0,5
1579643132,248,0
1579643424,74,0
1579651526,0,2
1579658723,0,1
1579671022,31,0
1579677023,49,0
1579680323,0,1
1579687525,0,1
1579691124,0,2
1579694725,0,1
1579707323,0,1
1579714225,61,0
1579715127,217,0
1579720826,3,0
1579722027,92,0
1579723523,0,2
1579756822,121,0
1579766723,0,2
1579773925,0,2
1579781122,0,1
1579784726,0,1
1579788926,12,0
1579793127,0,1
1579799124,0,1
1579799425,0,1
1579799729,43,1
1579802727,0,2
1579804828,182,0
1579806324,0,1
1579813528,0,1
1579817122,0,2
1579824323,0,1
1579825823,111,0
1579831523,0,1
1579838723,0,2
1579842923,58,0
1579856725,0,1
1579863925,0,1
1579867523,0,1
1579871125,49,1
1579873827,19,0
1579874124,2,0
1579874724,0,3
1579878027,0,1
1579878326,0,1
1579881926,0,1
1579882825,0,2
1579886425,1,0
1579889128,0,2
1579889427,0,2
1579892725,0,1
1579896326,273,3
1579896931,41,0
1579899926,0,1
1579902922,0,5
1579903224,0,8
1579903524,0,4
1579903823,0,4
1579904125,0,9
1579904723,0,11
1579935925,0,1
1579939225,95,0
1579946426,27,0
1579966828,99,0
1579969526,34,0
1579971928,0,1
1579979127,0,1
1580008525,50,0
1580008824,49,0
1580025923,0,2
1580029524,0,6
1580034326,57,0
1580034921,0,1
1580035224,36,0
1580045426,40,0
1580049325,1,0
1580049625,2,0
1580058328,0,1
1580063427,49,0
1580069125,0,1
1580087125,0,1
1580090722,0,1
1580101524,0,1
1580101823,40,0
1580102726,39,0
1580108723,0,2
1580112324,0,1
1580114426,6,0
1580123127,0,2
1580125229,26,0
1580125529,37,0
1580126725,0,1
1580130328,0,1
1580133323,15,0
1580133926,0,1
1580134826,44,0
1580146226,96,0
1580146524,0,1
1580148625,33,0
1580151028,0,1
1580151925,0,1
1580153428,0,1
1580177123,0,3
1580184624,0,1
1580188826,0,3
1580198722,0,1
1580205628,0,1
1580205925,0,1
1580207723,89,0
1580216725,0,1
1580217026,0,3
1580228424,0,1
1580229627,25,0
1580231124,10,2
1580231423,0,1
1580232024,0,1
1580234123,0,1
1580234725,0,1
1580238325,0,1
1580256324,0,1
1580263523,0,1
1580275222,0,1
1580275524,42,0
1580288724,0,1
1580295926,0,1
1580303124,0,1
1580306725,0,2
1580307023,48,0
1580311526,0,1
1580328326,73,1
1580349923,0,1
1580357122,0,3
1580360721,0,1
1580361021,0,1
1580361325,161,2
1580361624,38,2
1580364321,0,1
1580367322,0,2
1580367922,0,1
1580370024,3,0
1580371523,24,1
1580375124,0,1
1580379624,48,2
1580381127,5,0
1580385927,0,2
1580387127,6,0
1580387427,50,0
1580387722,15,0
1580388024,0,1
1580391625,3,0
1580393125,0,4
1580397024,0,1
1580397928,384,0
1580403926,0,1
1580406924,0,1
1580407524,47,0
1580411123,0,1
1580418323,0,1
1580421921,0,1
1580447724,0,2
1580448026,0,1
1580448327,0,1
1580448626,80,0
1580457923,0,1
1580462729,0,1
1580463024,59,0
1580465122,0,1
1580472026,11,0
1580474726,25,0
1580483124,4,0
1580493923,0,2
1580505623,0,1
1580506526,48,0
1580521222,0,1
1580533525,0,1
1580539523,53,0
1580546121,93,0
1580546421,4,0
1580573123,0,1
1580591728,99,0
1580616324,0,1
1580617528,74,0
1580628632,19,0
1580628926,59,0
1580633133,5,0
1580652032,0,1
1580652327,0,1
1580673930,0,1
1580676028,197,0
1580681126,0,1
1580692222,0,1
1580695523,0,3
1580707525,43,2
1580708122,44,0
1580713521,0,1
1580720723,0,1
1580721927,0,1
1580722521,0,4
1580727924,0,2
1580738725,0,2
1580749528,0,1
1580752829,0,1
1580760324,0,1
1580763925,0,1
1580781922,0,1
1580789423,0,1
1580793625,0,3
1580796325,0,2
1580803524,0,2
1580807127,0,2
1580807725,0,1
1580808026,92,0
1580824232,47,0
1580825126,0,3
1580845224,0,1
1580849129,6,0
1580849424,248,0
1580850026,36,0
1580850322,0,1
1580851826,0,1
1580880023,64,0
1580880323,10,0
1580897121,0,1
1580915425,46,0
1580922324,0,1
1580925924,0,5
1580927125,0,2
1580929822,0,69
1580954723,0,1
1580958323,0,1
1580961922,0,2
1580965525,0,1
1580966423,49,2
1580967322,5,0
1580987124,0,1
1580991627,0,1
1580993128,30,0
1580997923,0,1
1581005124,0,2
1581014123,23,0
1581019522,0,1
1581030320,0,1
