DateTime,Entries,UniqueIPs
1580728570,7682,7983
1580730504,7685,7986
1580732408,7702,8006
1580734341,7714,8022
1580736258,7892,8206
1580738169,7908,8222
1580739302,8142,8464
1580740086,8143,8465
1580742037,8155,8477
1580742772,8275,8592
1580742902,8473,8792
1580743931,8468,8787
1580746108,8474,8793
1580748009,8504,8823
1580749948,8526,8845
1580750102,8838,9162
1580751848,8837,9161
1580753769,8855,9177
1580755706,8853,9176
1580757607,8976,9301
1580759525,9000,9323
1580761464,8988,9311
1580763369,9237,9562
1580765288,9234,9559
1580767227,9260,9584
1580769134,9568,9893
1580771051,9586,9911
1580772489,9723,10054
1580772601,9871,10206
1580772968,9890,10225
1580775155,9907,10242
1580776202,7635,7885
1580777050,7647,7897
1580778969,7665,7916
1580780165,7706,7962
1580781012,7713,7969
1580782884,7718,7973
1580783402,8004,8270
1580784016,7977,8234
1580784826,7984,8241
1580786645,7992,8248
1580788581,7994,8250
1580789387,7984,8239
1580790484,7985,8243
1580790602,8171,8451
1580792410,8174,8454
1580794328,8179,8459
1580796254,8176,8456
1580798204,8253,8535
1580800107,8374,8665
1580802009,8378,8670
1580803930,8384,8676
1580805967,8500,8802
1580807770,8494,8800
1580809690,8646,8954
1580811624,8648,8956
1580812449,8664,8979
1580815451,8781,9100
1580817656,9040,9365
1580819570,9023,9348
1580821698,9024,9350
1580823608,9040,9366
1580824801,9316,9647
1580825533,9312,9643
1580827463,9313,9644
1580828402,9476,9808
1580829379,9465,9797
1580831305,9478,9811
1580832002,9608,9944
1580833212,9622,9958
1580835127,9624,9960
1580835602,9773,10111
1580837123,9756,10094
1580838970,9774,10112
1580839946,9683,10017
1580840886,9665,9999
1580842820,9674,10008
1580844742,10007,10348
1580846663,9987,10329
1580848581,10008,10350
1580850500,10117,10461
1580854332,10216,10562
1580856262,10201,10548
1580858168,10286,10633
1580860088,10273,10621
1580861050,10235,10579
1580861702,7382,7652
1580862007,7372,7641
1580863926,7375,7645
1580865302,7468,7744
1580865860,7464,7741
1580867770,7479,7752
1580868732,7470,7745
1580869689,7477,7752
1580871626,7469,7744
1580872502,7686,7982
1580873530,7696,7992
1580874004,7713,8010
1580875455,7711,8008
1580877380,7711,8007
1580879309,7722,8018
1580879702,7899,8204
1580881350,7907,8212
1580883395,7908,8214
1580885323,7923,8229
1580887239,8034,8342
1580889127,8150,8461
1580891051,8153,8464
1580892979,8169,8480
1580894887,8274,8584
1580896818,8287,8596
1580898745,8514,8829
1580900652,8521,8836
1580902202,8654,8971
1580902581,8662,8979
1580904524,8680,8996
1580905802,8786,9103
1580906423,8805,9122
1580908336,8809,9126
1580910260,8803,9120
1580912170,8812,9129
1580913002,9106,9429
