DateTime,AddedIPs,RemovedIPs
1581105775,0,1
1581106321,5,0
1581106921,9,0
1581107521,62,52
1581108122,3,0
1581108722,4,0
1581109375,3,1
1581110522,4,0
1581111121,59,67
1581111721,1,0
1581112975,3,0
1581114121,2,0
1581115322,1,0
1581115921,2,0
1581117121,66,70
1581117721,4,0
1581118276,38,63
1581118381,1,0
1581118921,2,0
1581119521,9,0
1581120175,6,1
1581121321,6,0
1581121921,2,0
1581122522,5,0
1581123122,1,0
1581123721,90,106
1581124321,1,0
1581124921,2,0
1581126121,6,0
1581127375,3,0
1581128521,4,0
1581129189,40,58
1581129721,3,1
1581130975,3,0
1581131521,3,0
1581132121,5,0
1581132721,63,71
1581133321,5,0
1581133921,1,0
1581134575,4,0
1581135121,1,0
1581135722,2,0
1581136303,52,72
1581136921,7,0
1581138175,8,2
1581139321,7,0
1581139865,50,60
1581140521,2,0
1581141121,2,0
1581141775,42,43
1581142321,1,1
1581143581,1,0
1581144121,2,0
1581144722,6,0
1581145375,6,1
1581146676,945,289
1581147181,44,31
1581147721,2,0
1581149521,1,0
1581150121,8,0
1581150707,51,39
1581151321,14,0
1581152521,8,1
1581152576,0,1
1581153721,2,0
1581154321,75,36
1581155522,22,0
1581156121,12,0
1581156175,0,2
1581156722,4,0
1581157321,10,0
1581157866,64,32
1581157981,2,0
1581158521,4,0
1581159121,11,0
1581159776,0,1
1581160321,5,0
1581160922,1,0
1581161522,56,51
1581162121,3,0
1581162721,1,0
1581163321,1,0
1581163921,6,0
1581164521,5,0
1581165073,56,41
1581165721,3,0
1581166321,2,0
1581166975,6,0
1581167521,2,0
1581168121,11,0
1581168707,59,38
1581169321,1,0
1581170521,3,0
1581170576,0,1
1581171121,5,0
1581171721,2,0
1581172321,0,1
1581172921,1,0
1581174176,54,53
1581174721,1,0
1581175321,2,0
1581175922,50,49
1581175981,3,0
1581177121,2,0
1581177776,5,1
1581178321,2,0
1581178922,2,0
1581179522,3,0
1581179581,62,52
1581180722,2,0
1581181436,7,2
1581182521,1,0
1581183121,62,41
1581184976,4,1
1581185522,2,0
1581186121,3,0
1581186721,52,50
1581187321,1,0
1581187921,1,0
1581189722,3,0
1581190322,59,50
1581190922,3,0
1581191521,1,0
1581192121,4,0
1581192721,2,0
1581193981,1,0
1581194521,2,0
1581195791,78,56
1581196921,7,0
1581197581,61,68
1581198121,3,0
1581199376,51,73
1581201722,6,0
1581204721,42,72
1581205921,2,0
1581206576,63,61
1581207721,3,0
1581208921,2,0
1581210176,2,2
1581211321,5,0
1581211922,44,56
1581212521,2,0
1581213721,3,0
1581214321,0,1
1581214921,3,0
1581216121,5,0
1581217438,45,58
1581218521,4,0
1581219182,44,60
1581219722,2,0
1581220976,2,0
1581222121,1,0
1581222676,66,75
1581222781,1,0
1581223321,2,0
1581224576,2,1
1581225721,5,0
1581226321,48,55
1581226921,2,0
1581228176,1,2
1581228721,1,0
1581229321,8,0
1581229873,38,39
1581230521,0,2
1581231776,4,2
1581232921,13,0
1581233521,3,0
1581233808,1023,271
1581234122,3,0
1581235376,40,34
1581237070,46,30
1581237722,2,1
1581238976,1,0
1581240121,1,0
1581240721,69,37
1581241321,5,0
1581241921,1,0
1581242576,4,2
1581243122,3,0
1581243721,6,0
1581244284,71,31
1581244921,3,0
1581245521,1,0
1581246121,4,0
1581247321,5,0
1581247921,62,40
1581249121,1,0
1581249776,3,1
1581250922,2,1
1581251521,59,51
1581253377,2,0
1581253922,1,0
1581254522,4,0
1581255121,56,56
1581255721,2,0
1581256977,59,51
1581258121,3,0
1581260577,5,0
1581261721,2,0
1581262321,60,51
1581262921,1,0
1581263522,1,0
1581264177,0,1
1581264721,1,0
1581265321,2,0
1581265921,66,49
1581266522,2,1
1581267777,0,1
1581268922,4,1
1581269581,78,61
1581270121,4,0
1581271377,3,2
1581272521,3,0
1581273122,73,57
1581273722,1,0
1581274322,1,0
1581274977,2,1
1581275521,10,0
1581276700,51,44
1581277321,2,0
1581277921,3,0
1581278577,1,2
1581279721,2,0
1581280321,2,0
1581280921,7,0
1581282177,83,78
1581283321,3,0
1581283875,68,78
1581284521,2,2
1581285121,6,0
1581285777,1,1
1581286921,5,0
1581287474,63,90
1581288121,3,0
1581289377,2,0
1581291121,40,77
1581291721,1,0
1581292321,2,0
1581292921,58,71
1581292977,0,1
1581294721,2,0
1581294782,3,0
1581295321,2,0
1581296577,4,0
1581297121,2,0
1581297721,4,0
1581298269,54,65
1581298922,3,0
1581300177,5,0
1581300722,2,0
1581301322,1,0
1581301903,48,57
1581302522,1,0
1581303121,1,0
1581303777,1,0
1581304921,1,0
1581305488,47,74
1581306121,5,0
1581306722,1,0
1581307921,3,0
1581308521,3,0
1581309084,63,68
1581310977,1,0
1581311521,2,0
1581312121,5,0
1581312721,7,0
1581312781,56,56
1581313321,1,0
1581314577,3,1
1581315721,1,0
1581316284,65,54
1581316922,2,0
1581318177,55,64
1581319921,112,85
1581320522,5,0
1581320917,884,267
1581321777,3,0
1581322921,8,0
1581323521,3,0
1581324121,3,0
1581325321,60,58
1581326521,6,0
1581327181,2,0
1581327721,1,0
1581328978,79,43
1581329521,1,1
1581330678,52,44
1581331322,1,0
1581333121,5,3
1581333722,2,0
1581334265,52,57
1581335521,3,0
1581336178,4,2
1581337322,3,0
1581337921,56,43
1581338522,4,0
1581339778,7,0
1581340322,1,0
1581340921,3,0
1581341581,60,46
1581342721,3,0
1581343321,1,0
1581343922,3,0
1581344522,1,1
1581345122,49,57
1581345721,9,0
1581346321,2,0
1581346978,1,0
1581347521,4,0
1581348689,58,52
1581349321,1,0
1581349921,2,0
1581350578,2,0
1581352321,65,49
1581352921,1,0
1581353521,1,0
1581354178,1,0
1581354721,1,0
1581355321,2,0
1581356521,1,0
1581357778,110,93
1581358321,3,0
1581358921,1,0
1581359521,6,0
1581359581,2,0
1581360121,1,0
1581360721,2,0
1581361378,3,1
1581361922,4,0
1581363089,70,43
1581363181,1,0
1581363721,11,0
1581364921,4,0
1581365521,1,1
1581366121,2,0
1581367321,6,0
1581368578,74,55
1581370321,56,71
1581370921,2,0
1581372121,60,70
1581372178,0,1
1581372721,7,0
1581373321,3,0
1581373921,1,0
1581375721,4,0
1581377474,53,78
1581378122,5,0
1581379322,2,0
1581380522,2,0
1581381067,52,80
1581381721,2,0
1581382321,1,0
1581384121,4,0
1581384670,57,62
1581385322,3,0
1581387721,1,0
1581388921,2,0
1581390178,48,63
1581391321,2,0
1581391922,108,67
1581392522,1,0
1581393121,1,0
1581393722,1,0
1581394321,4,1
1581395582,69,85
1581396122,4,0
1581397379,8,2
1581398522,2,0
1581399721,3,0
1581400978,68,58
1581402121,2,0
1581402782,1,0
1581403321,2,1
1581404580,100,82
1581405721,3,0
1581406922,2,0
1581408047,988,307
1581408179,2,1
1581409321,2,0
1581409903,54,43
1581410522,4,0
1581411121,2,0
1581412921,2,0
1581413522,59,51
1581413581,2,0
1581415922,1,0
1581416521,4,0
1581417122,10,0
1581417182,56,32
1581418980,2,0
1581419521,1,0
1581420722,52,43
1581421321,1,0
1581421922,4,0
1581422522,2,0
1581423122,4,0
1581423721,3,0
1581424322,59,40
1581424382,2,0
1581424922,1,0
1581426179,4,1
1581426721,5,0
1581427921,1,0
1581427981,5,0
1581428521,2,0
1581429721,4,0
1581430921,1,0
1581431521,1,0
1581431581,92,72
1581432121,4,0
1581433321,46,40
1581434521,4,0
1581436322,4,0
1581436979,1,0
1581438122,1,1
1581438721,53,45
1581439321,4,0
1581439921,1,0
1581440521,4,0
1581440580,0,1
1581441121,2,0
1581442921,3,0
1581443521,1,0
1581444122,63,58
1581444179,0,1
1581445321,1,1
1581446521,1,0
1581447779,84,49
1581448321,1,0
1581448921,2,0
1581449521,3,0
1581449581,49,81
1581450121,1,0
1581451388,130,71
1581451921,2,0
1581452521,6,0
1581453122,74,63
1581453721,2,0
