DateTime,Entries,UniqueIPs
1581025323,19504,33284
1581026162,19546,33327
1581027143,19538,33319
1581027302,19522,33302
1581028083,19576,33360
1581029048,19502,33285
1581030971,19503,33282
1581031204,19573,33357
1581032072,19571,32845
1581032905,19570,32844
1581034204,19565,32839
1581034806,19747,33023
1581035418,19709,32987
1581036725,19714,32992
1581036903,19754,33033
1581038658,19751,33030
1581038883,19776,33055
1581039723,19704,32982
1581040566,19704,32982
1581041647,19733,33015
1581042485,19730,33012
1581043215,19699,32975
1581044420,19691,32967
1581044734,19722,32995
1581045242,19746,33020
1581046330,19789,33066
1581046924,19718,32993
1581048500,19716,32991
1581048603,19724,33001
1581050410,19719,32996
1581050523,19719,32995
1581052343,19738,33014
1581053285,19811,33088
1581054251,19746,33021
1581056171,19801,33079
1581058104,19730,33003
1581059643,19765,33041
1581060045,19766,33042
1581060483,19805,33081
1581061927,19802,33078
1581063862,19731,33006
1581064348,19683,32958
1581065765,19681,32956
1581067688,19776,33052
1581068524,19794,33063
1581069626,19796,33065
1581070443,19850,33116
1581071532,19891,33159
1581072124,19806,33071
1581073695,19391,32648
1581075011,19384,32646
1581075612,19445,32710
1581075723,19370,32631
1581077545,19601,32864
1581077643,19648,32912
1581079447,19655,32919
1581080426,19635,32896
1581081389,19635,32896
1581082082,19720,32982
1581083299,19721,32984
1581083763,19662,32927
1581085207,19651,32917
1581086523,19601,32866
1581087123,19600,32865
1581088443,20211,33487
1581089057,20208,33484
1581089598,20169,33443
1581090965,20173,33447
1581091445,20165,33438
1581092043,20197,33470
1581093134,20185,34985
1581093725,20164,34966
1581095296,20167,34969
1581095643,20195,34998
1581097207,20193,34996
1581097322,20155,34953
1581099140,20156,34954
1581099242,20182,34982
1581100083,20219,35019
1581101051,20145,34946
1581102971,20164,34967
1581104104,20144,34948
1581104898,20133,34937
1581106802,20129,34933
1581107282,20172,34976
1581108722,20171,34975
1581109174,20100,34904
1581110043,20138,34942
1581110668,20133,34937
1581111303,20101,34903
1581112563,20095,34897
1581113642,20135,34938
1581114482,20124,34926
1581115208,20088,34887
1581116425,20085,34885
1581117304,20127,34927
1581118330,20157,34958
1581119161,20156,35978
1581120497,20350,36173
1581120959,20284,36103
1581122409,20283,36102
1581123668,21181,37024
1581124341,21179,37022
1581124443,23904,39770
1581126247,23909,39775
1581126367,24713,40589
1581128169,24713,40589
1581129128,24812,40693
1581129723,24784,40665
1581130100,24781,40662
1581130564,24813,40694
1581131703,24803,40680
1581132003,24800,40677
1581133323,24753,40624
1581133936,24758,40629
1581135243,24776,40646
1581135850,24778,40648
1581136925,24710,40578
1581137769,24714,40582
1581138843,24727,40595
1581139683,24728,40596
1581139805,24729,40852
1581140523,24663,40786
1581141616,24660,40783
1581142443,24663,40791
1581143542,24695,40824
1581144123,24595,40724
1581145707,24599,40728
1581145807,24592,40721
1581146577,24590,40975
1581147003,24556,40942
1581147607,24550,40936
1581148203,24581,40966
1581149529,24566,40951
1581149756,24550,40936
1581151457,24547,40934
1581152117,24490,40878
1581153372,24491,40879
1581154083,24498,40888
1581154268,24497,41142
1581155290,24488,41133
1581155336,24435,41076
1581157217,24428,41067
1581159133,24376,41017
1581160735,24421,41066
1581161046,23950,40586
1581162029,23902,40535
1581162978,23908,40031
1581164042,23927,40051
1581164884,24159,40288
1581165461,24120,40248
1581166810,24143,40271
1581167306,24104,40231
1581168737,24108,40236
1581169324,24041,40168
1581170647,24049,40176
1581172583,24076,40202
1581173140,24008,40129
1581174517,23997,40121
1581174843,24014,40138
1581176407,24018,40142
1581177363,23990,40114
1581178329,23992,40116
1581178503,23981,40104
1581180255,23984,40107
1581181228,23923,40045
1581182171,23928,40047
1581184089,23862,39978
1581185408,23875,39993
1581186014,23868,39986
1581186611,23867,40240
1581187921,23818,40191
1581189848,23791,40161
1581190205,23767,40138
1581191777,23764,40136
1581192012,23804,40176
1581192903,23791,40164
1581193683,23779,40152
1581195622,23749,40120
1581196443,23735,40106
1581197528,23722,40092
1581198122,23679,40048
1581199698,23673,40042
1581200883,23701,40071
1581201605,23692,40061
1581202562,23627,39998
1581203541,23615,39986
1581203644,23599,39969
1581205447,23592,39708
1581205503,23570,39686
1581207374,23776,39899
1581207603,23808,39933
1581209299,23806,39931
1581210843,23761,39886
1581211208,23764,39890
1581211953,23717,39841
1581213125,23723,39848
1581213798,23724,40104
1581215060,23737,40116
1581216122,23675,40055
1581216965,23684,40064
1581218045,23694,40081
1581219138,23697,40084
1581219612,23620,40004
1581221075,23615,39999
1581221405,23605,39988
1581221643,23608,39991
1581222987,23613,39996
1581223324,23550,39933
1581224162,23572,39955
1581224899,23555,39938
1581225243,23533,39916
1581226849,23542,39922
1581226923,23507,39886
1581228746,23507,39886
1581229203,23511,39889
1581230656,23522,39900
1581231363,23487,39867
1581232572,23490,39869
1581234507,23468,39847
1581236426,23371,39751
1581236568,23416,39797
1581238336,23408,39789
1581238563,23333,39714
1581240262,23339,39720
1581240903,23255,39629
1581241323,23238,39606
1581242172,23231,39599
1581243242,23274,39641
1581244086,23264,39630
1581245112,23304,37887
1581246035,22876,37454
1581246555,750,15064
1581247931,748,15062
1581248523,22805,37381
1581250103,22974,37555
1581250203,22973,37555
1581252010,22977,37559
1581252903,23012,37591
1581253953,23018,37597
1581254028,23015,37591
1581255849,23022,37598
1581257778,22663,37235
1581258961,22530,38121
1581259703,22540,38130
1581260423,22539,38131
1581261612,22559,38151
1581263531,22555,38147
1581263762,22608,38202
1581264851,22615,38207
1581265463,22633,38225
1581265683,22659,38251
1581267366,22674,38266
1581268444,22661,38253
1581269288,22667,38259
1581269411,22708,38300
1581271220,22718,38310
1581271316,22649,38243
1581273134,22660,38253
1581274203,22674,38268
1581275299,22678,38018
1581275644,22729,38071
1581277212,22748,38090
1581278059,22471,37798
1581279392,22482,37809
1581281293,22460,37788
1581283218,22465,37793
1581284158,22562,37892
1581284702,22734,38074
1581285128,22731,38071
1581285792,22730,38070
1581287050,22739,38079
1581288982,22739,38080
1581290042,22766,38107
1581290889,22769,38110
1581291723,22734,38075
1581292832,22906,38251
1581293403,22221,37553
1581293711,22220,37297
1581294733,22230,37307
1581295502,20414,35469
1581296901,19046,34091
1581296923,17975,32988
1581298814,17978,32991
1581299403,18040,33051
1581300748,18049,33059
1581302652,1461,16295
1581304574,18097,33105
1581305285,18162,33170
1581306125,18088,33096
1581306503,18085,33093
1581306964,18144,33157
1581307206,18101,33114
1581308417,18097,33111
1581310329,18159,33174
1581311649,18139,33152
1581312262,18142,33155
1581312482,18187,33200
1581314168,18196,33209
1581316089,18211,33223
1581318029,18201,33211
1581318843,18198,33207
1581320018,18266,33276
1581321451,18281,33290
1581322106,18288,33297
1581322443,18291,33299
1581323283,18338,33346
1581324010,18342,33350
1581324603,18316,33322
1581325953,18314,33321
1581326044,18368,33375
1581327848,18376,33383
1581328564,18420,33428
1581329771,18429,33437
1581330483,18504,33515
1581331324,18457,33470
1581331701,18463,33475
1581333615,18058,33066
1581334922,18047,33056
1581335111,18047,32546
1581335528,18050,32549
1581336844,18115,32619
1581337461,18335,32842
