DateTime,AddedIPs,RemovedIPs
1580271123,795,783
1580274961,383,628
1580277841,1379,1383
1580277950,1,0
1580279140,1,0
1580282642,675,419
1580286611,0,255
1580288641,1291,1281
1580289798,3,1
1580292343,4,0
1580294162,415,411
1580295619,93,39
1580298002,182,191
1580299441,1140,1099
1580300767,3,0
1580301842,191,180
1580305682,308,341
1580309522,276,275
1580310241,1192,1162
1580311860,2,2
1580313363,120,118
1580319379,4,3
1580321283,2103,2103
1580322886,1,1
1580325122,120,116
1580328962,784,709
1580331841,2575,2525
1580332802,262,269
1580333156,1,3
1580340498,392,395
1580342641,3053,3078
1580343737,4,3
1580344322,1,0
1580353441,4125,4257
1580354802,1,0
1580358611,252,0
1580364241,1554,1538
1580364353,1,0
1580365572,2,1
1580367365,869,809
1580371206,238,227
1580375042,336,340
1580375288,1363,1347
1580376687,2,3
1580378748,8,0
1580382723,250,168
1580385841,1298,1251
1580386571,191,196
1580387702,3,0
1580390403,196,191
1580394242,191,196
1580396641,1620,1585
1580398082,182,199
1580398642,1,1
1580401923,388,124
1580405763,217,243
1580406744,3,3
1580407441,2290,2273
1580409610,75,68
1580413443,68,71
1580417283,163,166
1580418241,2836,2819
1580418348,0,10
1580420464,0,1
1580427314,0,254
1580428803,36,32
1580429041,3268,3249
1580430640,0,1
1580436723,107,115
1580439841,4130,4297
1580441066,1,3
1580450432,1,1
1580450641,1546,1522
1580452082,87,844
1580455922,878,81
1580459763,623,604
1580461441,1340,1313
1580461568,1,0
1580463145,0,1
1580463603,236,241
1580465147,35,0
1580467443,241,236
1580468751,60,46
1580471282,227,236
1580472241,1218,1191
1580476973,1,3
1580482300,2,0
1580483041,1860,1565
1580486642,177,187
1580490723,127,120
1580492599,4,0
1580494341,2298,2280
1580494563,118,127
1580498402,57,58
1580502242,78,75
1580502744,4,2
1580504642,2835,2811
1580504756,0,4
1580506082,79,83
1580509923,38,40
1580512923,0,1
1580515441,3329,3308
1580517602,30,42
1580521443,4,5
1580523060,1,1
1580526241,4281,4452
1580532963,907,861
1580534014,1,1
1580537041,1592,1592
1580538611,0,1493
1580544135,3,0
1580547841,1449,1424
1580551548,7,0
1580552355,0,512
1580555121,2,1
1580556242,914,984
1580558641,1189,1144
1580563811,507,112
1580567763,162,174
1580569441,1879,1851
1580576576,4,2
1580579283,116,126
1580580499,2541,2526
1580586962,49,47
1580587105,4,1
1580591041,2984,2969
1580591152,0,5
1580598024,2,1
1580598723,4,4
1580601841,3399,3386
1580608859,0,2
1580612641,4081,4212
1580616351,1,0
1580618657,0,1
1580623441,1274,1253
1580624386,256,0
1580629652,2,0
1580633522,815,853
1580634241,1189,1182
1580637954,1,0
1580640382,2,0
1580641219,32,110
1580645283,1262,1235
1580649123,230,206
1580651032,2,1
1580652963,98,91
1580655841,1305,1286
1580656802,164,167
1580661002,0,511
1580661969,3,7
1580666641,2045,2018
1580668323,108,107
1580673065,1,5
1580676003,43,43
1580677441,2468,2475
1580677556,0,4
1580679842,50,51
1580683684,224,233
1580684002,3,8
1580687523,109,108
1580688241,2875,2836
1580694409,5,10
1580695203,873,847
1580699523,4356,4498
1580703362,707,683
1580705517,7,3
1580706357,1,0
1580709841,1285,1292
1580709962,1,0
1580711043,668,653
1580713559,2,0
1580714882,234,223
1580715981,7,5
1580720641,1177,1088
1580722562,322,317
1580724354,9,0
1580727084,3,5
1580727623,72,127
1580731441,1048,1003
1580733012,0,256
1580734082,378,377
1580737923,82,84
1580738048,4,1
1580738757,2,0
1580741763,84,82
1580742241,929,907
1580745613,129,149
1580748214,2,9
1580749442,52,53
1580753283,1679,1672
1580756433,10,4
1580757123,179,177
1580759222,9,4
1580763841,2155,2147
1580763956,0,11
1580764802,2,2
1580767555,3,0
1580768642,0,1
1580770100,4,1
1580771529,1,256
1580772483,1,0
1580775050,2539,2522
1580776323,0,1
1580779951,6,3
1580785441,3699,3887
1580789157,1,0
1580790906,7,7
1580792757,1,0
1580796241,1229,1120
1580801859,5,0
1580807042,833,872
1580807167,1029,1026
1580810883,13,19
1580811547,6,1
1580814019,46,108
1580817841,915,914
1580822120,4,2
1580825155,1,0
1580826483,19,22
1580828641,843,831
1580830323,4,2
1580832013,0,255
1580832289,3,2
1580834163,6,3
1580839441,1143,1132
1580839558,1,0
1580843229,1,4
1580843774,4,10
1580845683,378,340
1580849522,54,53
1580850241,1790,1775
1580850359,0,9
1580854132,8,1
1580857213,181,182
1580861041,2329,2302
1580864883,108,103
1580865106,9,4
1580868354,1,0
1580871841,3610,3683
1580872562,104,108
1580876126,11,3
1580880252,872,863
1580882641,1227,1221
1580886356,1,0
1580886914,5,3
1580891762,885,872
1580892302,0,512
1580893441,1025,1023
1580895602,872,885
1580897159,14,0
1580897571,3,1
1580900420,65,66
1580903282,885,872
1580904241,1220,954
1580907123,872,885
1580908337,3,2
1580908503,254,0
1580910964,883,872
1580915041,874,865
1580919313,3,1
1580922723,2,3
1580925841,1400,1387
1580925967,1,0
1580930082,8,1
1580931145,5,4
1580934483,197,204
1580936641,1861,1850
1580936766,0,4
1580940966,6,3
1580946003,196,205
1580947441,2346,2342
1580949842,96,103
1580951966,6,6
1580953683,103,96
1580957522,96,103
1580958241,3488,3553
1580962758,4,1
1580965202,864,865
1580967234,0,256
1580969041,1094,1094
1580973798,1,3
1580976390,1,0
1580979841,977,974
1580980803,788,777
1580983563,20,0
1580984643,408,392
1580984832,1,4
1580986819,44,43
1580988482,392,408
1580990641,847,827
1580994364,1,0
1580996163,284,284
1581001441,807,800
1581007069,2,2
1581011523,196,194
1581012241,781,769
1581012366,2,0
1581017835,3,2
1581018739,7,7
1581023041,1297,1285
1581023168,1,0
1581024612,0,7
1581028771,4,1
1581033841,1842,1825
1581034562,1,1
1581039768,3,2
1581044641,3278,3332
1581050798,2,0
1581051974,1,0
1581055441,1152,1138
1581061833,0,2
1581066241,908,900
1581067811,0,1
1581069998,1,0
1581072953,2,4
1581073595,50,92
1581077173,905,890
1581083957,5,3
1581087841,866,858
1581095260,4,5
1581096242,593,885
1581098641,930,921
1581103923,861,587
1581106093,5,5
1581107762,588,864
1581109441,1479,1468
1581109575,0,35
1581115444,863,581
1581117091,4,3
1581119283,448,192
1581120241,1943,1942
1581123122,191,201
1581126962,860,860
1581127576,2,0
1581128159,1,5
1581130821,869,859
1581131041,3266,3327
1581134642,856,869
1581138483,867,845
1581138555,4,5
1581141841,1186,1183
1581142322,235,225
1581146163,225,235
1581149513,0,4
1581149770,1,1
1581150002,314,322
1581152641,1055,1053
1581156379,3,0
1581157683,136,136
1581160184,23,93
1581162312,250,256
1581163441,960,946
1581165362,216,210
1581171052,2,3
1581173043,80,87
1581174241,943,914
1581176882,182,176
1581183011,4,4
1581185041,1186,1177
1581185182,1,0
1581188402,161,161
1581191118,0,1
1581192380,0,253
1581195841,1776,1770
1581195981,0,5
1581199922,126,133
1581201858,3,3
1581205012,254,0
1581206641,2250,2242
1581211442,108,107
1581212682,2,3
1581213798,255,0
1581217441,3551,3616
1581222963,883,870
1581223671,2,0
1581228241,1425,1417
1581228385,1,0
1581231979,1,0
1581234482,692,709
1581234677,2,6
1581235608,1,0
1581238323,426,426
1581239041,1480,1465
1581242163,279,282
1581242776,2,0
1581245630,3,4
1581246013,278,279
1581246019,51,100
1581250082,1395,1370
1581253923,260,252
1581256552,0,3
1581257762,69,71
1581258961,251,255
1581260641,1678,1668
1581260778,1,0
1581261603,177,187
1581267552,2,1
1581269411,0,256
1581271441,2500,2467
1581271579,1,0
1581276964,218,221
1581278701,5,3
1581280802,44,42
1581282241,3090,3100
1581282379,1,8
1581288482,150,162
1581289718,3,3
1581293041,3525,3505
1581300628,3,6
1581304082,5257,5320
1581307924,840,873
1581311174,1,0
1581311762,873,844
1581314641,1656,1637
1581315603,882,861
1581318373,1,0
1581322016,1,0
1581322725,1,3
1581323283,352,349
1581325614,1425,1390
1581329177,11,0
1581330962,338,356
1581332419,74,52
1581333810,0,1
1581334802,252,238
1581336491,1306,1285
1581338643,292,559
1581344754,2,1
