DateTime,AddedIPs,RemovedIPs
1581050522,1,0
1581051722,1,0
1581052321,1,0
1581055321,0,1
1581056521,1,0
1581057721,8,0
1581058322,4,0
1581059568,1298,320
1581060121,4,0
1581060722,2,0
1581061322,1,0
1581061921,1,0
1581063721,5,0
1581064921,1,0
1581065521,1,0
1581067322,2,0
1581068521,2,0
1581069121,3,0
1581070322,8,0
1581070921,2,0
1581072121,6,0
1581073321,5,0
1581074522,0,1
1581075121,4,0
1581075721,3,0
1581076321,1,0
1581076922,1,0
1581077521,1,0
1581078122,4,0
1581078721,3,0
1581079321,1,0
1581079921,9,0
1581081122,18,0
1581082381,10,0
1581082921,6,0
1581084721,7,0
1581084722,1,0
1581085921,7,0
1581085982,3,0
1581087122,9,0
1581088321,3,0
1581088921,11,0
1581089581,2,0
1581090121,2,0
1581090721,4,0
1581091321,3,0
1581091921,2,0
1581092521,6,0
1581093121,1,0
1581093721,1,0
1581094921,4,0
1581096122,10,0
1581096721,1,0
1581097322,3,0
1581098521,10,0
1581099121,4,0
1581099721,6,0
1581100381,1,0
1581100921,5,0
1581102121,11,0
1581102721,5,0
1581103321,5,0
1581103922,9,0
1581103982,2,0
1581104522,1,1
1581105721,5,0
1581105722,1,0
1581106321,4,0
1581106921,9,0
1581107521,1,0
1581108122,3,0
1581108722,4,0
1581109322,3,1
1581110522,4,0
1581111121,1,0
1581111721,1,0
1581112921,3,0
1581114121,2,0
1581115322,1,0
1581115921,2,0
1581117121,1,0
1581117721,4,0
1581118381,1,0
1581118921,2,0
1581119521,9,0
1581120121,6,0
1581121321,6,0
1581121921,2,0
1581122522,5,0
1581123122,1,0
1581124321,1,0
1581124921,2,0
1581126121,6,0
1581127321,3,0
1581128521,4,0
1581129721,3,1
1581130322,3,0
1581131521,3,0
1581132121,5,0
1581132721,5,0
1581133321,5,0
1581133921,1,0
1581134522,4,0
1581135121,1,0
1581135722,2,0
1581136921,7,0
1581137521,8,0
1581139321,7,0
1581140521,2,0
1581141121,2,0
1581142321,1,1
1581143581,1,0
1581144121,2,0
1581144722,6,0
1581145322,6,0
1581146676,945,289
1581147721,2,0
1581149521,1,0
1581150121,8,0
1581151321,14,0
1581152521,8,1
1581153721,2,0
1581154321,6,0
1581155522,22,0
1581156121,12,0
1581156722,4,0
1581157321,10,0
1581157981,2,0
1581158521,4,0
1581159121,11,0
1581160321,5,0
1581160922,1,0
1581161522,1,0
1581162121,3,0
1581162721,1,0
1581163321,1,0
1581163921,6,0
1581164521,5,0
1581165721,3,0
1581166321,2,0
1581166921,6,0
1581167521,2,0
1581168121,11,0
1581169321,1,0
1581170521,3,0
1581171121,5,0
1581171721,2,0
1581172321,0,1
1581172921,1,0
1581174121,7,0
1581174721,1,0
1581175321,2,0
1581175922,1,0
1581175981,3,0
1581177121,2,0
1581177721,5,0
1581178321,2,0
1581178922,2,0
1581179522,3,0
1581180722,2,0
1581181321,7,1
1581182521,1,0
1581183121,5,0
1581184921,3,0
1581185522,2,0
1581186121,3,0
1581187321,1,0
1581187921,1,0
1581189722,3,0
1581190922,3,0
1581191521,1,0
1581192121,4,0
1581192721,2,0
1581193981,1,0
1581194521,2,0
1581195721,9,0
1581196921,7,0
1581198121,3,0
1581199321,3,0
1581201722,6,0
1581204721,1,0
1581205921,2,0
1581206522,1,0
1581207721,3,0
1581208921,2,0
1581210122,2,1
1581211321,5,0
1581212521,2,0
1581213721,3,0
1581214921,3,0
1581216121,5,0
1581217322,2,0
1581218521,4,0
1581219722,2,0
1581220921,2,0
1581222121,1,0
1581222781,1,0
1581223321,2,0
1581224521,2,1
1581225721,5,0
1581226921,2,0
1581228121,1,1
1581228721,1,0
1581229321,8,0
1581230521,0,2
1581231721,4,1
1581232921,13,0
1581233521,3,0
1581233808,1023,271
1581234122,3,0
1581235321,4,0
1581237722,2,1
1581238921,1,0
1581240121,1,0
1581240721,4,0
1581241321,5,0
1581241921,1,0
1581242522,4,0
1581243122,3,0
1581243721,6,0
1581244921,3,0
1581245521,1,0
1581246121,4,0
1581247321,5,0
1581247921,2,0
1581249121,1,0
1581249721,3,0
1581250922,2,1
1581251521,3,0
1581252721,2,0
1581253922,1,0
1581254522,4,0
1581255721,2,0
1581258121,3,0
1581260521,5,0
1581261721,2,0
1581262321,3,0
1581262921,1,0
1581263522,1,0
1581264721,1,0
1581265321,2,0
1581265921,1,0
1581266522,2,1
1581268922,4,1
1581270121,4,0
1581271321,3,0
1581272521,3,0
1581273122,2,0
1581273722,1,0
1581274322,1,0
1581274921,2,0
1581275521,10,0
1581277321,2,0
1581277921,3,0
