DateTime,AddedIPs,RemovedIPs
1580537557,8,7
1580539452,16,8
1580541385,13,5
1580543288,11,8
1580545206,7,10
1580547154,16,17
1580549048,4,7
1580550976,9,7
1580552886,11,5
1580554822,10,608
1580556730,15,26
1580558664,339,0
1580560569,12,12
1580562487,10,10
1580564408,9,17
1580566330,17,12
1580568260,8,7
1580570170,11,16
1580572090,13,8
1580574016,15,14
1580575925,14,22
1580577848,6,26
1580579778,13,11
1580581687,11,10
1580583609,10,17
1580585542,11,12
1580587459,4,17
1580589380,13,11
1580591302,16,11
1580593220,9,16
1580595385,15,15
1580597301,8,9
1580599206,13,14
1580601130,11,31
1580603059,300,0
1580604971,10,9
1580607134,8,14
1580609055,9,10
1580610984,31,10
1580612893,14,8
1580614810,6,7
1580616744,7,11
1580618648,7,10
1580620573,7,38
1580622504,8,6
1580624411,6,11
1580626329,7,15
1580628264,10,10
1580630168,14,15
1580632087,4,15
1580634027,6,11
1580635927,9,11
1580637855,3,13
1580639781,7,12
1580641697,12,693
1580643610,23,22
1580645544,325,2
1580647480,22,13
1580649611,17,20
1580651526,14,23
1580653462,13,12
1580655365,15,14
1580657283,15,5
1580659215,11,8
1580661133,12,10
1580663067,13,11
1580664968,10,16
1580666910,12,15
1580668816,12,17
1580670737,10,26
1580672660,15,10
1580674581,8,19
1580676731,10,15
1580678646,17,7
1580680578,11,8
1580682484,5,8
1580684432,8,10
1580686339,4,9
1580688254,261,0
1580690166,9,15
1580692352,12,16
1580694249,7,15
1580696171,10,16
1580698106,9,10
1580700006,5,6
1580701926,15,9
1580703860,9,9
1580705767,13,11
1580707688,9,11
1580709697,13,16
1580711541,13,7
1580713453,13,20
1580715378,14,15
1580717296,12,13
1580719208,20,14
1580721144,11,5
1580723049,12,6
1580724970,13,9
1580726901,16,5
1580728805,7,520
1580730726,24,14
1580732658,232,0
1580734566,16,12
1580736732,13,10
1580738654,17,9
1580740590,16,13
1580742762,19,11
1580744651,11,7
1580746569,9,7
1580748492,9,4
1580750406,18,10
1580752323,19,11
1580754260,8,7
1580756166,19,11
1580758334,9,12
1580760496,5,13
1580762409,14,10
1580764347,12,4
1580766263,9,13
1580768170,18,3
1580770101,20,11
1580772022,13,11
1580773926,14,11
1580775863,195,0
1580777767,26,10
1580779698,14,8
1580781630,14,8
1580783584,11,10
1580785711,8,9
