DateTime,AddedIPs,RemovedIPs
1574162180,6,0
1574177068,8,1
1574191711,6,0
1574206334,7,0
1574220978,6,0
1574235622,10,2
1574250261,7,1
1574264893,6,1
1574279804,8,0
1574294427,3,0
1574309295,15,2
1574323942,8,0
1574338836,15,3
1574353467,8,0
1574368351,12,0
1574382976,18,0
1574397605,8,4
1574412247,3,0
1574426893,5,2
1574441565,6,1
1574456168,3,2
1574470842,7,1
1574485452,3,0
1574500115,7,0
1574514973,4,1
1574529623,3,1
1574544250,16,0
1574573547,5,0
1574588180,6,0
1574602806,8,1
1574617462,6,1
1574632374,2,0
1574646982,16,0
1574661855,7,0
1574676514,6,1
1574691142,12,1
1574705771,5,1
1574720417,10,2
1574735066,7,1
1574749934,5,1
1574764571,7,1
1574779210,5,0
1574793863,5,2
1574808489,3,4
1574823130,10,1
1574837783,7,2
1574852413,3,4
1574867310,7,3
1574881949,4,0
1574896808,11,1
1574911469,4,2
1574926351,7,0
1574940979,19,2
1574955609,7,0
1574970251,19,1
1574984892,6,1
1574999532,16,1
1575014425,15,0
1575029295,4,0
1575043947,11,2
1575058578,11,3
1575073223,10,0
1575087862,4,0
1575102734,8,3
1575117380,12,0
1575132006,7,0
1575146663,9,0
1575161290,10,0
1575175956,8,0
1575190569,16,1
1575205225,13,1
1575220107,13,0
1575234727,22,1
1575249368,21,0
1575264015,20,0
1575278667,10,1
1575293551,20,2
1575308424,21,0
1575323061,25,3
1575337948,10,0
1575352571,12,0
1575367228,10,0
1575382093,19,1
1575396975,15,1
1575411611,24,0
1575426247,18,6
1575440903,15,1
1575455530,13,6
1575470185,25,2
1575484826,19,1
1575499447,23,4
1575514105,19,0
1575528731,17,0
1575543368,11,1
1575558262,16,2
1575572893,10,9
1575587542,17,2
1575602180,17,3
1575616819,13,1
1575631467,23,4
1575646102,15,0
1575660755,17,2
1575675616,12,0
1575690251,6,1
1575704885,13,0
1575719528,22,2
1575734178,14,2
1575748812,8,0
1575763706,18,0
1575778335,37,0
1575793218,22,0
1575807847,18,2
1575822488,28,1
1575837142,26,1
1575851783,33,1
1575866406,21,1
1575881049,23,0
1575895941,21,1
1575910816,20,0
1575925694,18,2
1575940575,20,2
