DateTime,AddedIPs,RemovedIPs
1580608814,191,242
1580610613,232,67
1580612413,253,22
1580614215,237,34
1580616015,225,38
1580617816,202,103
1580619622,218,1098
1580621420,154,168
1580623223,233,202
1580625022,218,122
1580626824,210,140
1580628625,177,305
1580630426,192,171
1580632234,188,275
1580634033,192,185
1580635836,272,80
1580637636,814,97
1580639429,554,37
1580641232,1010,19
1580643031,709,1207
1580644835,555,2133
1580646628,552,283
1580648432,546,91
1580650229,447,213
1580652027,463,151
1580653830,398,182
1580655639,370,332
1580657431,410,535
1580659224,377,468
1580661031,1348,470
1580662833,675,692
1580664628,448,1764
1580666427,495,1265
1580668223,426,438
1580670024,472,304
1580671823,493,91
1580673628,508,180
1580675428,625,170
1580677221,513,257
1580679020,588,395
1580680824,678,695
1580682620,922,479
1580684420,547,1172
1580686224,549,1959
1580688023,442,559
1580689819,408,395
1580691620,416,135
1580693421,373,152
1580695223,301,132
1580697016,267,202
1580698818,259,245
1580700618,295,336
1580702423,220,253
1580704219,293,458
1580706021,266,893
1580707822,300,491
1580709620,231,261
1580711419,357,236
1580713220,341,158
1580715020,293,101
1580716821,314,274
1580718619,352,288
1580720421,328,443
1580722220,245,281
1580724022,439,370
1580725820,1032,215
1580727621,557,162
1580729420,809,162
1580731219,638,206
1580733020,830,823
1580734818,988,915
1580736625,841,1391
1580738419,651,934
1580740222,915,1018
1580742018,843,145
1580743821,884,86
1580745618,773,360
1580747417,920,317
1580749220,847,172
1580751019,887,122
1580752818,918,92
1580754618,780,81
1580756416,672,64
1580758213,620,95
1580760014,710,95
1580761813,798,204
1580763612,759,173
1580765412,586,177
1580767209,706,129
1580769011,675,547
1580770809,1248,780
1580772609,911,1044
1580774409,784,773
1580776210,768,962
1580778008,615,712
1580779808,615,855
1580781609,335,754
1580783405,647,695
1580785206,326,338
1580787005,597,610
1580788805,501,957
1580790605,535,638
1580792405,728,785
1580794205,416,545
1580796004,666,648
1580797804,708,339
1580799605,802,491
1580801405,1125,868
1580803205,1068,676
1580805005,1041,722
1580806805,1005,655
1580808605,1065,734
1580810405,975,554
1580812205,1203,797
1580814005,1191,476
1580815805,1075,863
1580817605,946,986
1580819405,891,1563
1580821207,808,4463
1580823007,682,4959
1580824807,781,2359
1580826607,646,2006
1580828408,544,308
1580830208,658,670
1580832008,481,58
1580833808,505,105
1580835608,510,29
1580837408,464,15
1580839207,449,11
1580841008,442,198
1580842808,574,382
1580844607,582,356
1580846407,580,211
1580848207,425,127
1580850007,935,163
1580851807,718,123
1580853608,482,57
1580855408,787,24
1580857208,678,175
1580859008,777,347
1580860808,787,157
1580862609,937,80
1580864407,764,169
1580866207,701,223
1580868007,791,675
1580869805,601,590
1580871605,686,871
1580873405,524,942
1580875204,592,1116
1580877004,674,592
1580878806,658,892
1580880605,501,661
1580882404,635,944
1580884205,426,1663
1580886005,1299,2616
1580887806,722,1891
1580889606,444,1185
1580891406,347,760
1580893206,503,1083
1580895007,485,1088
1580896808,416,976
1580898607,497,1377
1580900407,448,328
1580902208,444,729
1580904007,615,443
1580905808,565,461
1580907608,582,406
1580909410,467,336
1580911209,262,391
1580913007,433,257
1580914808,494,317
1580916608,571,300
1580918408,452,262
1580920209,357,233
1580922008,337,172
1580923808,351,459
1580925608,261,441
1580927408,370,201
1580929209,1276,472
1580931009,606,410
1580932808,606,229
1580934608,551,226
1580936408,556,559
1580938208,764,723
1580940008,789,673
1580941808,900,650
1580943609,726,525
1580945409,839,411
1580947208,627,1347
1580949008,702,565
1580950808,597,663
1580952608,724,556
1580954408,483,313
1580956208,352,300
1580958007,541,495
1580959808,432,511
1580961607,347,435
1580963408,358,413
1580965207,343,452
1580967007,325,340
1580968807,312,418
1580970608,454,670
1580972407,228,537
1580974206,318,278
1580976007,316,373
1580977807,275,339
1580979607,354,402
1580981407,284,447
1580983207,329,716
1580985007,349,537
1580986806,417,796
1580988606,551,536
1580990408,635,665
1580992207,780,656
1580994007,662,663
1580995808,806,936
1580997607,804,782
1580999407,616,516
1581001207,387,335
1581003007,385,287
1581004807,397,223
1581006608,414,230
1581008407,341,299
1581010208,533,240
1581012006,538,235
1581013807,424,207
1581015608,321,315
1581017407,424,223
1581019206,524,140
1581021008,397,160
1581022807,423,188
1581024607,574,283
1581026406,414,151
1581028207,384,261
1581030005,358,188
1581031805,385,197
1581033605,451,172
1581035405,534,236
1581037205,504,230
1581039005,545,93
1581040805,500,198
1581042605,335,128
1581044404,505,405
1581046204,203,316
1581048004,222,296
1581049804,307,290
1581051604,292,292
1581053404,303,328
1581055203,214,472
1581057004,206,402
1581058804,316,269
1581060604,290,284
1581062403,426,497
1581064204,168,361
1581066004,298,406
1581067803,299,531
1581069603,230,350
1581071403,407,361
1581073204,192,384
1581075004,181,333
1581076804,182,400
1581078604,149,485
1581080404,146,789
1581082204,319,1417
1581084004,234,1007
1581085805,192,1129
1581087604,243,901
1581089404,333,1056
1581091204,251,1112
1581093005,256,680
1581094805,358,240
1581096605,181,64
1581098404,284,55
1581100205,318,65
1581102005,302,109
1581103805,208,190
1581105604,204,168
1581107406,190,367
1581109206,232,498
1581111006,223,458
1581112808,229,264
1581114608,338,756
1581116409,380,788
1581118208,246,351
1581120009,98,241
1581121807,176,181
1581123608,207,172
1581125409,294,304
1581127208,495,213
1581129007,450,156
1581130808,230,221
1581132607,369,174
1581134408,212,31
1581136208,123,34
1581138007,221,53
1581139807,159,55
1581141607,301,88
1581143407,235,51
1581145208,275,115
1581147008,226,150
1581148808,195,56
1581150607,189,101
1581152408,186,605
1581154208,166,606
1581156007,199,373
1581157807,190,467
1581159607,222,411
1581161408,456,377
1581163207,220,286
1581165008,184,225
1581166807,276,118
1581168608,377,208
1581170408,198,162
1581172206,296,38
1581174006,408,32
1581175806,681,59
1581177606,532,86
1581179406,579,134
1581181207,455,96
1581183006,249,72
1581184806,273,69
1581186606,175,30
1581188405,193,31
1581190205,220,68
1581192005,648,55
1581193806,241,198
1581195606,174,346
1581197405,219,259
1581199205,233,117
1581201005,321,181
1581202804,439,258
1581204605,752,357
1581206405,755,353
1581208205,523,395
1581210005,551,790
1581211804,517,675
1581213605,417,839
1581215405,376,532
1581217204,350,255
1581219004,262,269
1581220805,335,460
1581222604,396,471
1581224406,252,256
1581226204,289,381
1581228005,252,489
1581229804,292,864
1581231604,245,956
1581233404,314,649
1581235204,258,514
1581237005,421,565
1581238804,460,495
1581240605,289,352
1581242406,484,432
1581244206,360,497
1581246006,325,362
1581247805,255,314
1581249606,426,278
1581251407,385,360
1581253206,1748,401
1581255006,1291,372
1581256806,722,485
1581258606,591,320
1581260406,501,440
1581262206,619,400
1581264007,509,345
1581265807,629,338
1581267607,771,333
1581269408,666,413
1581271206,500,300
1581273006,398,1212
1581274808,327,1045
1581276606,481,946
1581278406,415,652
1581280207,375,641
1581282007,376,464
1581283807,296,588
1581285606,379,527
1581287406,444,745
1581289207,380,578
1581291007,470,656
1581292806,500,602
1581294606,448,356
1581296407,800,212
1581298207,1005,288
1581300007,650,447
1581301808,401,199
1581303607,327,269
1581305407,302,293
1581307207,395,275
1581309006,311,294
